,t,true_cdf_0.3,Linear_cdf_0.3,Linear_mise_0.3,Linear_with_delta_cdf_0.3,Linear_with_delta_mise_0.3,Linear_MAR_cdf_0.3,Linear_MAR_mise_0.3,Linear_MAR_with_delta_cdf_0.3,Linear_MAR_with_delta_mise_0.3,Standard_Beran_delta_obs_only_cdf_0.3,Standard_Beran_delta_obs_only_mise_0.3,true_cdf_0.5,Linear_cdf_0.5,Linear_mise_0.5,Linear_with_delta_cdf_0.5,Linear_with_delta_mise_0.5,Linear_MAR_cdf_0.5,Linear_MAR_mise_0.5,Linear_MAR_with_delta_cdf_0.5,Linear_MAR_with_delta_mise_0.5,Standard_Beran_delta_obs_only_cdf_0.5,Standard_Beran_delta_obs_only_mise_0.5,true_cdf_0.7,Linear_cdf_0.7,Linear_mise_0.7,Linear_with_delta_cdf_0.7,Linear_with_delta_mise_0.7,Linear_MAR_cdf_0.7,Linear_MAR_mise_0.7,Linear_MAR_with_delta_cdf_0.7,Linear_MAR_with_delta_mise_0.7,Standard_Beran_delta_obs_only_cdf_0.7,Standard_Beran_delta_obs_only_mise_0.7
0,4.5940445846323336e-10,1.2314369595090002e-10,0.0,1.516436985244771e-20,0.0,1.516436985244771e-20,0.0,1.516436985244771e-20,0.0,1.516436985244771e-20,0.0,1.516436985244771e-20,8.64752213632426e-17,0.0,7.47796390982181e-33,0.0,7.47796390982181e-33,0.0,7.47796390982181e-33,0.0,7.47796390982181e-33,0.0,7.47796390982181e-33,5.043666451922929e-23,0.0,2.5438571278252842e-45,0.0,2.5438571278252842e-45,0.0,2.5438571278252842e-45,0.0,2.5438571278252842e-45,0.0,2.5438571278252842e-45
1,0.1368358272985673,0.11030880444259406,0.10849926076502621,0.002357781050405318,0.12814205235700338,0.002241449882431691,0.11857802291870248,0.003530622843568599,0.12795382361908114,0.0020758774239120403,0.1539687475077341,0.003545090568447875,0.020208776786183574,0.04300048048152998,0.0009701791853731212,0.03614152805319096,0.0006423167865129843,0.04105973274646442,0.0007707379110476946,0.03687130682630655,0.0005594022586933026,0.03602641080481021,0.0007405026642618088,0.003093716382620182,0.019870868323577824,0.00042127715566392534,0.009259340544232442,6.368546268562482e-05,0.018798604183725653,0.00036549134911091955,0.008966764441942277,5.5184124699757545e-05,0.005895845764163443,4.754322241206989e-05
2,0.27367165413773015,0.21484213945122266,0.2196334055109733,0.00485702791663118,0.23623125249442095,0.003905191408371295,0.24133960467029728,0.010895828210440868,0.23554428358539634,0.003289214364787065,0.261457522356412,0.0055143886451080315,0.060346413659648254,0.09137191336526342,0.002313443051961541,0.08146323317678468,0.00164657215900827,0.0890496670280942,0.0017650422477382098,0.0821289710208851,0.0014480026542926343,0.08500568083600017,0.0018545473086292324,0.014251318423758451,0.04427834421972576,0.0015045574111846574,0.03539915946485593,0.0009334882430008365,0.04112541630470936,0.0010658215885666427,0.03489659064746266,0.0008905398734752013,0.03522633076703813,0.001177663023888137
3,0.410507480976893,0.30892822761593275,0.3094232959694932,0.005658729748560246,0.31755859828206806,0.0032746203900665175,0.32163560619294057,0.0070645052128423,0.3181956685072832,0.0023677006978683,0.36065450726437426,0.0059885284593522315,0.11063535894653344,0.14919672145805246,0.004120596862181485,0.14381457264831682,0.004497606695696863,0.15217656945018848,0.00444715028181447,0.145237862161758,0.003826975013986638,0.15619165764644583,0.004634646761977718,0.03351828783373644,0.06902849652399061,0.0026837455949857204,0.06758231402262102,0.0021655954312613575,0.06280644279880852,0.001286665709339878,0.06676976353037448,0.0019071973113309313,0.07675945968798643,0.0033274325724800963
4,0.5473433078160558,0.3926776965483373,0.40098976378468565,0.008462910027475467,0.41872798691180757,0.005675659856004588,0.4258533778053983,0.013815302796775116,0.41947583462006666,0.00432731982819957,0.4515616753173194,0.006737281618628058,0.16623038606414045,0.19635263979850506,0.005480473975925165,0.1926590588613467,0.006388747157460956,0.19615133489291953,0.005307675343636234,0.19336326083459693,0.005393614393835259,0.21675405899141875,0.0060873943352155405,0.059900197749433774,0.0947503394881717,0.0031537831019709797,0.09273821656495788,0.0025470432730291728,0.09454662076409268,0.0023035680103692386,0.09067236427309959,0.002006638847715979,0.10840119053679423,0.0037790895289825056
5,0.6841791346552186,0.4668353497378555,0.47146259721889905,0.007764462635651311,0.4821891267969195,0.006437616700957871,0.49629416014156674,0.01169581968162364,0.48418453461893785,0.004667833934315946,0.5164187439267371,0.006427842626404808,0.2240872132692137,0.25347863067908294,0.0071470044340539,0.25165825257771496,0.007801551189490744,0.25559971280269683,0.00554305990271982,0.2513696210527689,0.006360926198231342,0.2795765323236704,0.008117205192599172,0.09213220854486899,0.12703164731178368,0.004401846483703438,0.1283151226921778,0.0040862937657859515,0.12527504078113932,0.0030571311737002697,0.12636255547746716,0.0029726884995397206,0.15737125921758105,0.007508973568992679
6,0.8210149614943815,0.5322969759523533,0.5408366583946905,0.011439596107834423,0.54569064131608,0.00590096181077083,0.559903343250675,0.012018515657264084,0.5501408771447097,0.003112657567120786,0.5875167713819995,0.006570517520227639,0.28218178414382405,0.30576685784693697,0.00685016189815813,0.2985767524810635,0.0073490857396970215,0.3081169803273639,0.005058667455114718,0.2968581682864816,0.005975437264671419,0.3332537591328125,0.009474757118602229,0.12892603250344756,0.15381264223885888,0.005137204721065033,0.15722673912436536,0.003780962786031207,0.15053123222925108,0.0030711017313031397,0.15479834040458415,0.002446788881170306,0.19415432460126242,0.007858822586495302
7,0.9578507883335443,0.5899644272311284,0.5876101487272809,0.009549242405014135,0.5872133059446539,0.004787729355386004,0.6067512619530331,0.01196143771970301,0.5933429051577694,0.0022252949968341795,0.628219643563755,0.0046145692340248835,0.33914926000903656,0.35354151695756164,0.00714575800295221,0.3518792968738011,0.006376563123117447,0.3681389677185857,0.007236416854312725,0.34974207405245317,0.004695239010707392,0.3957944328700431,0.008800063136058252,0.1690749605682555,0.18082988836165778,0.005981024196597119,0.18868062206713496,0.003237972661045429,0.17627763147681288,0.003689309235642267,0.1845214621989934,0.0018891035830395399,0.23122176062095878,0.007171656663581605
8,1.0946866151727073,0.6406920760076347,0.667509427214845,0.014144436204357286,0.6557112305051952,0.0052298419852365805,0.6647187493385183,0.010776800530579172,0.659728725488961,0.004440785241209699,0.6891800586974878,0.005974748717787702,0.39407768625318984,0.4126407695358359,0.006826536579918286,0.4122281847505075,0.007313765061912965,0.4264061020944349,0.006854398393708898,0.4083399025305905,0.005315970529194096,0.4573854154373877,0.012073234045724905,0.21149906390333328,0.2370179649739939,0.009504624124773252,0.23173134153289884,0.004438694211823891,0.22721109833589326,0.005964231619282118,0.22799078195980807,0.003671905186172065,0.2733647461368681,0.0079755437764375
9,1.2315224420118702,0.6852667164569929,0.7065447135474902,0.016610392057292065,0.6881994365013294,0.0058156937362785635,0.7042356518013294,0.013360499585368033,0.6916690456377672,0.004474832050134755,0.7206955312897028,0.004438164392682969,0.44637626997874724,0.464124462509276,0.008889576759596243,0.4644447151283514,0.009068958295771767,0.47476793144727003,0.007409961857620671,0.46279216088402453,0.0061997052711244855,0.5091642914640748,0.014502961240451497,0.2552610025689355,0.2693746452380946,0.010683934809438123,0.272093002745163,0.00525751713972515,0.2616527082820726,0.007534239812053649,0.26833060239465895,0.003699607603761767,0.33036208332909484,0.011615438482212406
