,Linear,Linear_with_delta,Linear_MAR,Linear_MAR_with_delta,Standard_Beran_delta_obs_only
0,0.0033322429275549448,0.0021416298364017165,0.003210482316991274,0.0029988353728168608,0.00790241222885667
1,0.004634534408789288,0.003722547212869914,0.0051890382695083835,0.00412868829638583,0.006789625617718191
2,0.0022622268686598597,0.002488905933386778,0.0035952560238231013,0.002922948404031977,0.005368122075743021
3,0.0014649411682625976,0.0016047966292001832,0.003833667091182428,0.003228354160478915,0.006097827935036643
4,0.003618874178320656,0.0033201274133613412,0.004948394589670202,0.0050584538930900135,0.0075825808331723725
5,0.0023714585665932683,0.0023850766623911843,0.0038058475162707143,0.004208058174328426,0.009238203847260248
6,0.0025917178641947152,0.003278485973357294,0.0031005153539835264,0.003658059328484832,0.005376784454436173
7,0.002405526570676071,0.0016476089860365654,0.0026691700312014687,0.002128917203166467,0.0049886795398782135
8,0.005767042428521787,0.005228841050150845,0.008275296194256798,0.006515263335262481,0.008477959398683316
9,0.005146774774191005,0.0018519551036813027,0.0034497285656264116,0.0032022745121608803,0.007092454504109162
10,0.00458542797086527,0.000882637746533551,0.00270195005831431,0.0016172882654867805,0.005738717334699723
11,0.006152650737042617,0.005846334742290201,0.006865595547293063,0.005092676397102549,0.00877683177724345
12,0.0036215885351970497,0.0030885197869645496,0.005249290319491468,0.00486902558131102,0.006652233352102944
13,0.005218368946142955,0.004128991022291015,0.00443294647560129,0.005180448616012546,0.0054883750385656795
14,0.0015880328770731741,0.0006514981440637796,0.0020000913624862618,0.0012210193222411969,0.005247785317994055
15,0.005630203165019332,0.002746620177089813,0.004051686267025504,0.0033955185311032652,0.0053875107503742956
16,0.0023223781997361516,0.0018517742389664374,0.004883182369355544,0.0032173875312830297,0.006823497643478144
17,0.0018670322040426775,0.00112766659349706,0.002301228736082922,0.0018716497004540593,0.005809507650769785
18,0.006479040910516588,0.005037319235992399,0.00512809246190883,0.003966470361633241,0.005944149152496443
19,0.0021013539635220714,0.002667698484765723,0.00401615139004851,0.004391400680537885,0.004700172533347564
