,t,true_cdf_0.3,Linear_cdf_0.3,Linear_mise_0.3,Linear_with_delta_cdf_0.3,Linear_with_delta_mise_0.3,Linear_MAR_cdf_0.3,Linear_MAR_mise_0.3,Linear_MAR_with_delta_cdf_0.3,Linear_MAR_with_delta_mise_0.3,Standard_Beran_delta_obs_only_cdf_0.3,Standard_Beran_delta_obs_only_mise_0.3,true_cdf_0.5,Linear_cdf_0.5,Linear_mise_0.5,Linear_with_delta_cdf_0.5,Linear_with_delta_mise_0.5,Linear_MAR_cdf_0.5,Linear_MAR_mise_0.5,Linear_MAR_with_delta_cdf_0.5,Linear_MAR_with_delta_mise_0.5,Standard_Beran_delta_obs_only_cdf_0.5,Standard_Beran_delta_obs_only_mise_0.5,true_cdf_0.7,Linear_cdf_0.7,Linear_mise_0.7,Linear_with_delta_cdf_0.7,Linear_with_delta_mise_0.7,Linear_MAR_cdf_0.7,Linear_MAR_mise_0.7,Linear_MAR_with_delta_cdf_0.7,Linear_MAR_with_delta_mise_0.7,Standard_Beran_delta_obs_only_cdf_0.7,Standard_Beran_delta_obs_only_mise_0.7
0,7.178808413545023e-07,2.9915799280720345e-07,0.0,8.949550466043479e-14,0.0,8.949550466043479e-14,0.0,8.949550466043479e-14,0.0,8.949550466043479e-14,0.0,8.949550466043479e-14,2.3251375717688986e-11,0.0,5.40626472765137e-22,0.0,5.40626472765137e-22,0.0,5.40626472765137e-22,0.0,5.40626472765137e-22,0.0,5.40626472765137e-22,1.500969572202242e-15,0.0,2.2529096566769815e-30,0.0,2.2529096566769815e-30,0.0,2.2529096566769815e-30,0.0,2.2529096566769815e-30,0.0,2.2529096566769815e-30
1,0.09514834542644521,0.0766457598443104,0.08548485799975625,7.81296562016063e-05,0.11349332775525689,0.001357743260951814,0.11833026920184697,0.0017375983203785546,0.12704310279017805,0.002539892176003397,0.16005896722595647,0.006957763165693496,0.011182746080568786,0.023022717384566405,0.00014018492047948705,0.01124877396394941,4.359681383725231e-09,0.03159617895646205,0.00041670824177859986,0.017959958638055773,4.5930610049359304e-05,0.00880957529569304,5.631939574187769e-06,0.0013608602258118824,0.0007487752456364349,3.746480229563779e-07,0.0044936959708808955,9.814659805582118e-06,0.006208462697098072,2.349924971961997e-05,0.009149205376803082,6.0658320190968135e-05,0.014663248263460993,0.00017695352750419016
2,0.19029597297204906,0.1523340978635607,0.13871240880929847,0.00018555041269100733,0.19111248668616454,0.0015037634396770467,0.20037553654989293,0.0023079798310526194,0.21354257313912306,0.003746477445559129,0.2836341209276473,0.01723969605662967,0.034249459399514494,0.041229780492175516,4.872488255664837e-05,0.036254319929840184,4.019465746057808e-06,0.06413427362809576,0.0008931021214768134,0.05972252277978196,0.0006488769579751234,0.060033845285388354,0.0006648345555116511,0.0064499724751526264,0.01821469691132871,0.00013840874105915864,0.01031585741220975,1.494506634656516e-05,0.02532538797276096,0.0003562813102073528,0.017856432986769644,0.00013010734140307833,0.019437189307618175,0.00016866780105347643
3,0.2854436005176529,0.22335385249441453,0.23861176594187627,0.000232803922770234,0.30987147543801874,0.007485299079811669,0.3054671031272995,0.006742585929498988,0.32613633211500226,0.010564238116956531,0.3812561693072888,0.02493314165487331,0.0643602517215084,0.06366484822141294,4.835860279450196e-07,0.07357610273400228,8.493190988448444e-05,0.10629784252444519,0.001758761522354568,0.10932260840381769,0.0020216135184272024,0.11663459958500189,0.0027326074445535257,0.015600679148827705,0.030977589228385005,0.0002364493635947909,0.022991961908015113,5.4631060826261026e-05,0.042995385239302686,0.000750469921783507,0.03252069673769209,0.0002862869952074801,0.019437189307618175,1.4718810198502477e-05
4,0.38059122806325674,0.28926064847800537,0.2609736438434068,0.0008001546311977995,0.339398256664464,0.002513779754658843,0.3743501790329531,0.007240228210061382,0.40049462152308624,0.012372996759393778,0.46830191774831054,0.03205577610192192,0.09905535662684452,0.09044499891624191,7.413825990453371e-05,0.09936638762718397,9.674028317216142e-08,0.152724617113269,0.0028803895211596854,0.15763278847149786,0.003431315521515008,0.15400168134381764,0.0030190985999030517,0.02865701191916161,0.03215261334634345,1.2219229337715713e-05,0.022991961908015113,3.209279162879094e-05,0.05171155045384457,0.0005315117470471814,0.03673815680852344,6.530490272285876e-05,0.027063443495820905,2.5394603198685846e-06
5,0.4757388556088606,0.3501026155644447,0.31498225309520356,0.0012334398599708832,0.3816829947458593,0.0009973203492419245,0.46152396589010525,0.012414717308393572,0.4799219546169057,0.016853060792017815,0.5166519126704093,0.027738668366490873,0.13669315018543804,0.09947002042693653,0.0013855613890182404,0.11122348259622283,0.0006487039671051196,0.18253247809844864,0.0021012439835165126,0.19298932717149353,0.003169259543245284,0.19840005598589205,0.0038077422234661052,0.04528266199479034,0.039852011270730014,2.949196728673696e-05,0.03308186827873094,0.00014885936730183456,0.06994853189491446,0.0006084051379298488,0.05860154930702555,0.0001773927592360199,0.05261457125619173,5.3756893417423496e-05
6,0.5708864831544644,0.4060958200755078,0.381284154193685,0.0006156187638312106,0.4053580214349852,5.443468339569836e-07,0.5248249566632366,0.014096607874867554,0.5199844739900832,0.012970625490473923,0.5400645134685214,0.017947610809431268,0.17609050597879294,0.12642120959914416,0.002467039002849392,0.1470043668039508,0.0008460034920982873,0.22338706176700995,0.002236964189427924,0.2337818130481184,0.0033282869113672015,0.2447626488051643,0.004715863200365546,0.06506552632040155,0.05290231417976654,0.0001479437295780909,0.06821269779945527,9.904688318569163e-06,0.09641092818225161,0.000982534217880873,0.09803729312756637,0.0010871374063860558,0.12117426044574675,0.003148190045148677
7,0.6660341107000683,0.45752169573734053,0.45854138871438077,1.0397737674251934e-06,0.4479942685917879,9.077186801381262e-05,0.5827609468500594,0.01568487001927466,0.562253589695255,0.010968769612011833,0.5452609236250054,0.007698172110323597,0.21636533885031423,0.1943060299947832,0.00048661310718370993,0.20652397520463428,9.685243840651087e-05,0.30714567826459316,0.008241070024171685,0.30644635714922697,0.008114589857769052,0.2527045502697186,0.0013205382865841698,0.08756831889246516,0.07054252883363832,0.00028987752712724703,0.08415845326003668,1.1627183631216895e-05,0.12632221976556368,0.001501864832881946,0.12562152369107926,0.0014480463954452672,0.13312508196632422,0.002075418661767728
8,0.7611817382456721,0.504684406470831,0.47787737083187287,0.000718617159748372,0.471087008199487,0.001128785170603309,0.619983188854956,0.0132938092192618,0.589582341368706,0.0072076593499238225,0.57026333019244,0.004300595236484612,0.25684968319833285,0.2229603822190378,0.001148484720865248,0.2239246765647025,0.0010840560618246024,0.35020231505047583,0.008714713873721741,0.3406229351826796,0.007017957748032859,0.3129152472278157,0.0031433474699440436,0.11235614728242875,0.09175801464825839,0.00042428306801487397,0.11163893577672446,5.143923439146195e-07,0.1566109432934838,0.0019584869699800934,0.15339485580221413,0.0016841755969719046,0.17346543301915018,0.0037343448032522656
9,0.8563293657912759,0.54789053987614,0.4901429863331034,0.0033347799402058814,0.4961957072254981,0.002672355722777872,0.6437694800201965,0.00919277116314757,0.6196766091367047,0.005153239739882598,0.6161937239202753,0.004665324950567015,0.2970350741679953,0.2812746566476706,0.00024839076041495775,0.3258460142874039,0.0008300702705641482,0.4103857820168444,0.01284838296983514,0.41499998450241893,0.013915720070208608,0.4340740276176869,0.018779674762586736,0.13901217924990378,0.10144160993029239,0.0014115476789997247,0.12717315335100488,0.00014016253423479897,0.1748618087546142,0.0012851959356250048,0.17456625193634945,0.001264092084593062,0.20330676897188427,0.004133794267517799
