,t,true_cdf_0.3,Standard_beran_cdf_0.3,LogisticRegression_cdf_0.3,Standard_beran_mise_0.3,LogisticRegression_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,LogisticRegression_cdf_0.5,Standard_beran_mise_0.5,LogisticRegression_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,LogisticRegression_cdf_0.7,Standard_beran_mise_0.7,LogisticRegression_mise_0.7
0,-0.9082264141386431,0.003952569169960474,0.0,0.0,1.5622803043322026e-05,1.5622803043322026e-05,0.003952569169960474,0.0,0.0,1.5622803043322026e-05,1.5622803043322026e-05,0.003952569169960474,0.0,0.0,1.5622803043322026e-05,1.5622803043322026e-05
1,-0.8587548334483631,0.003952569169960474,0.0,0.0,1.5622803043322026e-05,1.5622803043322026e-05,0.003952569169960474,0.0039525691699604515,0.003912441388447619,5.085658759397545e-34,3.0474802880539424e-09,0.003952569169960474,0.0039525691699604515,0.003912441388447619,5.085658759397545e-34,3.0474802880539424e-09
2,-0.8092832527580832,0.005928853754940711,0.0,0.0,3.5151306847474576e-05,3.5151306847474576e-05,0.005928853754940711,0.005928853754940677,0.005658796451194215,1.1442732208644476e-33,8.847253956308943e-08,0.005928853754940711,0.005928853754940677,0.005658796451194215,1.1442732208644476e-33,8.847253956308943e-08
3,-0.7598116720678032,0.007905138339920948,0.0,0.0,6.24912121732881e-05,6.24912121732881e-05,0.007905138339920948,0.007905138339920903,0.007290697488163589,2.034263503759018e-33,4.2528028525532276e-07,0.007905138339920948,0.007905138339920903,0.007290697488163589,2.034263503759018e-33,4.2528028525532276e-07
4,-0.7103400913775233,0.007905138339920948,0.0,0.0,6.24912121732881e-05,6.24912121732881e-05,0.007905138339920948,0.007905138339920903,0.007290697488163589,2.034263503759018e-33,4.2528028525532276e-07,0.007905138339920948,0.007905138339920903,0.007290697488163589,2.034263503759018e-33,4.2528028525532276e-07
5,-0.6608685106872433,0.017786561264822136,0.0,0.0,0.00031636176162727115,0.00031636176162727115,0.017786561264822136,0.017786561264822143,0.015393797261235732,4.81482486096809e-35,5.913078104727373e-06,0.017786561264822136,0.017786561264822143,0.015393797261235732,4.81482486096809e-35,5.913078104727373e-06
6,-0.6113969299969633,0.021739130434782608,0.0,0.0,0.00047258979206049156,0.00047258979206049156,0.021739130434782608,0.021739130434782705,0.019062675298971467,9.437056727497456e-33,7.449192784214067e-06,0.021739130434782608,0.021739130434782705,0.019062675298971467,9.437056727497456e-33,7.449192784214067e-06
7,-0.5619253493066834,0.023715415019762844,0.0,0.0,0.0005624209095595932,0.0005624209095595932,0.023715415019762844,0.02371541501976293,0.020925950954731477,7.52316384526264e-33,8.110406128440177e-06,0.023715415019762844,0.02371541501976293,0.020925950954731477,7.52316384526264e-33,8.110406128440177e-06
8,-0.5124537686164033,0.03557312252964427,0.0,0.0,0.0012654470465090846,0.0012654470465090846,0.03557312252964427,0.035573122529644285,0.030983339464375027,1.925929944387236e-34,2.174069020353354e-05,0.03557312252964427,0.035573122529644285,0.030983339464375027,1.925929944387236e-34,2.174069020353354e-05
9,-0.4629821879261234,0.041501976284584984,0.0,0.0,0.0017224140355262545,0.0017224140355262545,0.041501976284584984,0.041501976284585074,0.03686591610201484,8.137054015036071e-33,2.221406762169808e-05,0.041501976284584984,0.041501976284585074,0.03686591610201484,8.137054015036071e-33,2.221406762169808e-05
