,t,true_cdf_0.3,Standard_beran_cdf_0.3,Standard_beran_mise_0.3,True_proba_cdf_0.3,True_proba_mise_0.3,NN_cdf_0.3,NN_mise_0.3,NN_with_delta_cdf_0.3,NN_with_delta_mise_0.3,Linear_cdf_0.3,Linear_mise_0.3,Linear_with_delta_cdf_0.3,Linear_with_delta_mise_0.3,Linear_MAR_cdf_0.3,Linear_MAR_mise_0.3,Linear_MAR_with_delta_cdf_0.3,Linear_MAR_with_delta_mise_0.3,NN_MAR_cdf_0.3,NN_MAR_mise_0.3,NN_MAR_with_delta_cdf_0.3,NN_MAR_with_delta_mise_0.3,Standard_Beran_delta_obs_only_cdf_0.3,Standard_Beran_delta_obs_only_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,Standard_beran_mise_0.5,True_proba_cdf_0.5,True_proba_mise_0.5,NN_cdf_0.5,NN_mise_0.5,NN_with_delta_cdf_0.5,NN_with_delta_mise_0.5,Linear_cdf_0.5,Linear_mise_0.5,Linear_with_delta_cdf_0.5,Linear_with_delta_mise_0.5,Linear_MAR_cdf_0.5,Linear_MAR_mise_0.5,Linear_MAR_with_delta_cdf_0.5,Linear_MAR_with_delta_mise_0.5,NN_MAR_cdf_0.5,NN_MAR_mise_0.5,NN_MAR_with_delta_cdf_0.5,NN_MAR_with_delta_mise_0.5,Standard_Beran_delta_obs_only_cdf_0.5,Standard_Beran_delta_obs_only_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,Standard_beran_mise_0.7,True_proba_cdf_0.7,True_proba_mise_0.7,NN_cdf_0.7,NN_mise_0.7,NN_with_delta_cdf_0.7,NN_with_delta_mise_0.7,Linear_cdf_0.7,Linear_mise_0.7,Linear_with_delta_cdf_0.7,Linear_with_delta_mise_0.7,Linear_MAR_cdf_0.7,Linear_MAR_mise_0.7,Linear_MAR_with_delta_cdf_0.7,Linear_MAR_with_delta_mise_0.7,NN_MAR_cdf_0.7,NN_MAR_mise_0.7,NN_MAR_with_delta_cdf_0.7,NN_MAR_with_delta_mise_0.7,Standard_Beran_delta_obs_only_cdf_0.7,Standard_Beran_delta_obs_only_mise_0.7
0,0.05197447972283253,4.055024753267191e-05,0.0,1.6443225749609643e-09,3.374952682839771e-05,2.6011498006644545e-10,0.0006586384542159146,5.622524948615417e-07,0.00036687720849603976,1.6455731712469902e-07,0.10150438946431782,0.010916357585602271,0.06039907427089638,0.003846892030112462,0.10623332906267366,0.011517383793078002,0.06345572543607891,0.004099716579746614,0.016302274814173224,0.0002783903758528448,0.009406673486818012,9.365516979155257e-05,0.0,1.6443225749609643e-09,1.7718204497242987e-05,0.0,3.139347706061219e-10,2.2474149334140714e-05,7.578653950247473e-11,0.00046076039478183174,2.8899815726517366e-07,0.00026710380326456563,9.384887915598377e-08,0.0973810171418406,0.010166527538463895,0.057600089045724515,0.0035267040428551104,0.10201575071941621,0.01059320343842305,0.06093240223716938,0.00377456959077205,0.013985100378738085,0.00020516549264192635,0.008166852145945553,7.055524438215982e-05,0.0,3.139347706061219e-10,7.741820869774544e-06,0.0,5.993579037967683e-11,1.431938973240232e-05,6.579068926456332e-11,0.0002927130023046681,1.4483623532028163e-07,0.00018327577359346703,5.2699937394228276e-08,0.09199677051017177,0.0091746813568017,0.055436091311756384,0.0033236704468782696,0.0989761473082633,0.010045737838293387,0.05906275776686977,0.0035647327073571196,0.011784233144161216,0.0001486351329568752,0.0069765494688556855,5.2446812805506114e-05,0.0,5.993579037967683e-11
1,0.07244915386152533,0.0001262660302682483,9.263426779277939e-05,1.7782158329437252e-07,0.0001060161713576585,1.8720134263622845e-09,0.0009120082825824926,9.272960883595099e-07,0.0005893357415631689,5.162387229496281e-07,0.11078659948118963,0.013003073396890068,0.06569899428821706,0.004539673721078216,0.11536511640762251,0.01355911695338027,0.06896041455115343,0.004825355182272314,0.01886153133221862,0.00036893616132002504,0.01088952790434766,0.00012343425373511239,0.00016527909998092895,5.406323943279859e-07,6.0549439454389564e-05,7.31027312565813e-05,8.781514753692353e-08,7.430417982252413e-05,5.604937992514012e-10,0.0006476739852570912,5.014680361717881e-07,0.0004401143041276667,3.008876574941363e-07,0.10641838910942958,0.01213961999145732,0.06282684095815269,0.004191391953298687,0.11127222114523345,0.01261144667284528,0.06636648353594218,0.0044692405036358355,0.016279724392326823,0.0002762604365490717,0.009515935676563095,9.521611201015205e-05,0.00013707891297111917,3.1368281451591673e-07,2.90352987788048e-05,4.897816100687735e-05,5.3959009880441746e-08,4.94117946296202e-05,5.824612779977719e-10,0.00042153975555692504,2.584813844532283e-07,0.00029719298159165187,1.655242615107365e-07,0.10081735522154528,0.010978305530144923,0.06046746654379719,0.003952055005280071,0.10802389193476351,0.011938252285778965,0.06437516600289861,0.004232520352161019,0.013780384450260943,0.0002022954694983211,0.008131102101535968,7.096228003682289e-05,9.236566245501122e-05,1.931230445013266e-07
2,0.09292382800021812,0.00029575386274848225,0.00022361263122183117,4.991045737452104e-07,0.0002435036145387226,6.291672040000452e-09,0.001243388252801283,1.4168927659175017e-06,0.000908151520999711,1.132394106150743e-06,0.1191746287880451,0.014999657827915696,0.07105016473757336,0.005283354305371445,0.12457575953520982,0.015757273706874197,0.07453125790487722,0.005603919108344533,0.021597101045656285,0.0004748314785806425,0.012587136889175867,0.00016029312458617215,0.00041718574925746985,1.6898344324760226e-06,0.00015206778433645758,0.00016429986330421752,2.6233606293523275e-07,0.0001775229443691806,1.8132957812686851e-09,0.0008975205999820713,8.285042209091135e-07,0.0007135407747476091,1.7524090450188226e-06,0.11523858173503024,0.014133241983465921,0.06819827908104469,0.004924869394916264,0.12055007894567428,0.014759588526811895,0.07200582249880774,0.005243120628176531,0.018767690428961918,0.00036249341475581495,0.011035466605771397,0.00012551668374346275,0.00031330970789411437,9.557226284392943e-07,7.818597365334501e-05,0.00011670152909894149,2.0533766676150505e-07,0.00012483070485568403,3.000290157358539e-09,0.0006087368305156726,5.044385289275318e-07,0.0004628977694084363,4.237742623385263e-07,0.10956990995298868,0.012924697658104977,0.06589463180034132,0.004680349128718776,0.1172604236834057,0.014014984677004102,0.07009587102001869,0.005002082710059827,0.016077741646162772,0.00027291836853162994,0.009532987314532107,9.613531220966192e-05,0.00022346135227182263,7.108773304024468e-07
3,0.11339850213891092,0.0005842922413377442,0.0004735745810828912,9.911839941151553e-07,0.0004764624082372443,2.345074324793927e-08,0.0016692569645562249,2.0677462859064335e-06,0.0013681968260081674,2.2561322134403484e-06,0.12773802958565836,0.01713339233410612,0.07625184694493643,0.006033141713162434,0.13397458694635758,0.018106513565452863,0.07991983472773741,0.006391662440009651,0.024559404783305986,0.0006005767111240801,0.014461951205583365,0.0002050061737735802,0.0008615962631200097,3.3625962172238187e-06,0.00031767137753320934,0.0003450816034234117,4.920086251416899e-07,0.0003534421637888285,5.2431730108668875e-09,0.0012264560577776524,1.2883291280529804e-06,0.0010686602717178862,2.462844255064944e-06,0.12353919189604706,0.01615503498213302,0.07336408426747833,0.0056651617167688875,0.1293000544686491,0.01692099547199384,0.07740529907028607,0.006029221736582264,0.02143693922729282,0.00046608615286300995,0.012700377383760739,0.00016242350480856867,0.0006378926406959873,1.8000484750591213e-06,0.00017270289643959652,0.0002481299017653882,3.944479392026464e-07,0.00025677645138612537,9.946356053944917e-09,0.0008523761708354011,8.497475604211815e-07,0.0007188883457873613,8.716277913427848e-07,0.11793965058040441,0.014918232102621831,0.07106767415605844,0.005425233300007315,0.12614322001809028,0.01618204784180097,0.0755671138681705,0.005796474400624604,0.018554956694955996,0.000360219209223658,0.01106148383952769,0.00012810484885556055,0.000460317916513463,1.4130862030260839e-06
4,0.13387317627760373,0.0010305477617925296,0.0009086345069986668,1.928584915307213e-06,0.0008413876769976569,6.879241396595479e-08,0.002218376308654518,2.8733759759052157e-06,0.0021119473084810596,4.309108064682091e-06,0.13627130542386096,0.019325963329880177,0.08173521805990179,0.006858970024795892,0.14280677236282127,0.020439031813773743,0.08549303705445352,0.007238629312101892,0.027843054676247925,0.0007500899416217909,0.01675547910867132,0.0002638765983183506,0.0016488495039418888,6.371975809214018e-06,0.0005870008137296186,0.0006464508493632553,8.958687255630262e-07,0.0006414869957458446,1.547690121853205e-08,0.0016602828096695765,1.923929290498746e-06,0.0016011899241525547,3.6221698904127016e-06,0.13204251643467665,0.01835602854932899,0.0787429431565789,0.006479809281146772,0.1384107232132936,0.019304022038654875,0.0829706508273954,0.006878936760914026,0.024497062040060334,0.0005968672556312702,0.014700297097814459,0.00021104880204287095,0.0011826804985731593,3.3785201043779105e-06,0.00033432418249216373,0.00047956901181716026,8.094110699674023e-07,0.0004784258528176155,3.0265505639667846e-08,0.0011736046133416045,1.3197691194688261e-06,0.001112493769361715,1.8603231721221508e-06,0.12650088277271138,0.01712596970415221,0.07620239847277267,0.006207101881425216,0.1351150790256913,0.018520237874129007,0.08093637306393298,0.006617591223185385,0.021272287081656224,0.0004663748373167504,0.012786591645839071,0.00016780579738995892,0.0008870628742725234,3.0013790998886005e-06
5,0.15434785041629653,0.0016761303147589449,0.0014597844971114182,3.2312264398316237e-06,0.0013823937105468748,1.6861311609136603e-07,0.0029770943540202315,4.298312354355528e-06,0.003008709870368681,6.938073425385183e-06,0.14505277556618557,0.021694927453367333,0.08711576118674015,0.007691281614809278,0.1516777442061955,0.022848492464581843,0.09101620984558956,0.008097872865289395,0.03159340474343128,0.0009342651951073664,0.01924806103446403,0.000331807324563592,0.0025976782049619675,1.0331220907902161e-05,0.0009936565671232176,0.001078398321729323,1.5285325864381525e-06,0.0010743134660183267,3.930953947296625e-08,0.0022642472370324757,3.028108813438651e-06,0.0023102822481332786,5.197811488044634e-06,0.1403265767913893,0.020668412517972544,0.08393920857021009,0.007303658792732589,0.1474147369930536,0.021789815647983723,0.08835859192067197,0.0077405692537219,0.02787787020673191,0.0007540350200708215,0.016888940388216638,0.0002683912457899748,0.0019834482669597426,6.001651272869601e-06,0.0005889852276161616,0.0008289939799055007,1.4059343231032542e-06,0.0008269655701886403,7.930963344106158e-08,0.0016247909140607063,2.1343012360153125e-06,0.0016661174080602737,3.4053926812693235e-06,0.13558412313798937,0.019555764757394147,0.08148286698178525,0.007060755272689735,0.1443211654275652,0.021037285196283558,0.08641702440604822,0.0075037417254123825,0.024392951796917143,0.0006008774312768589,0.014762869097508367,0.00021757807081309298,0.0015409504410174046,5.32341148719732e-06
6,0.1748225245549893,0.0025652248434762616,0.0021683045243712624,5.276030929499052e-06,0.0021489402018990893,3.391806453201774e-07,0.0039558624438199175,5.930690911934156e-06,0.004279415155568147,1.1816746047817655e-05,0.1543453674266462,0.024323126614287795,0.09291427120136234,0.008596010237199128,0.16087838014923236,0.02543996766239563,0.09699732574604561,0.009041689491049484,0.03580827440358642,0.0011549096710572388,0.022260615397676417,0.000418404263287029,0.00390408079430624,1.7921758986833272e-05,0.0015749548632322805,0.0017102642822069813,2.9271837806649604e-06,0.0017002714793522182,8.785177763209821e-08,0.0030437702518885316,4.210361558441594e-06,0.0033656991062965156,8.61797445723084e-06,0.14898498622111764,0.023086592028544205,0.089555835432608,0.008208452765101721,0.1567742473399812,0.024484552168676958,0.09416046876887335,0.008685291064166344,0.0317093351578142,0.0009461554001508263,0.019602725203513024,0.0003454515961205476,0.003129298244430127,1.1837531058978202e-05,0.0009667798361219912,0.0013242881440242687,2.7094235217031046e-06,0.0013334724163725003,1.8705781108199672e-07,0.0022199802570142748,3.248690501946359e-06,0.0024764868221139073,6.330620609666093e-06,0.1443455585544656,0.022012604621324327,0.08686878164076496,0.007946793987300256,0.15319783709347787,0.023587075472471235,0.09200854852957537,0.008437835641425452,0.027891867444563796,0.0007682138274109447,0.017136860977506017,0.0002835391893577046,0.002488574747110049,1.0748866399810784e-05
7,0.19529719869368212,0.0037442603624501707,0.0029845708484534934,7.622108171921908e-06,0.0031717687283705437,6.745937802855269e-07,0.005142760831846829,7.858477774510879e-06,0.005697092118544579,1.666111258847257e-05,0.16306833547361574,0.02678878494387596,0.09863462969228765,0.009488986312412403,0.16992472825310412,0.02804776259796593,0.10280919935643229,0.009960728195619809,0.04037804845439416,0.0014028389588733178,0.025444413535551002,0.0005112930354634064,0.005388797172655868,2.5510293350194062e-05,0.002371699891182849,0.0024027576697970747,4.307467403117643e-06,0.002524102230268369,1.706992640108362e-07,0.0039818053791978135,5.7885032711113775e-06,0.004536585501507858,1.2623570430074188e-05,0.15756908153979543,0.025610570225015127,0.09509742892205192,0.009115548604400526,0.1657032413850593,0.02710675701819348,0.09988255552140281,0.00963830826234787,0.035770248084451915,0.001160494314158003,0.02244535245655398,0.0004296874112768975,0.004394516763527408,1.7865201192169335e-05,0.001501909607748098,0.001863640336565795,4.0698729230385535e-06,0.0019893552099350164,3.4774753603700786e-07,0.0029297909335009205,4.808392008906873e-06,0.003398267355265667,1.0153380317719848e-05,0.15226919955958568,0.024360589691886484,0.09209439010656519,0.008834140471365756,0.16179121790931325,0.02613295911218657,0.09747372161655361,0.009384413877639488,0.03143067912298289,0.0009448753025127354,0.019621813826741854,0.0003568528137197609,0.0034934346875644617,1.719955621050176e-05
8,0.21577187283237492,0.005261593220128194,0.004256095175828656,1.0332382453053246e-05,0.004442713200831743,1.3728049320177988e-06,0.006541137559827212,1.047269430501983e-05,0.007762332354864696,2.4457970939336835e-05,0.17116534647387155,0.029128308111729596,0.10481739091115914,0.010453555836969037,0.17888106320704775,0.030613814883326283,0.10903007440994861,0.01093300827693438,0.045188119200568984,0.0016660848194494473,0.029262463873488714,0.0006265068547781423,0.007643367010954441,3.460433190709633e-05,0.0034279575739555672,0.00349203430639245,5.942557930737414e-06,0.003572457069743008,3.1425604212702207e-07,0.0051664107840240754,7.784303933254798e-06,0.00622231255336378,1.8767509766799544e-05,0.1657693919662652,0.028030620240920016,0.10081074601315976,0.0100533604154659,0.17414965308435465,0.029613282303850436,0.10580015636488138,0.010625636366168622,0.04015543971644539,0.0014025733194767268,0.02582406864014486,0.0005361473268906746,0.0062886155114828006,2.658988977824849e-05,0.0022326167040077993,0.002787902644848649,6.393971695429314e-06,0.00287685681556262,6.226106968416561e-07,0.003843426731631742,6.91835200218609e-06,0.0047417459052323425,1.6587531096014442e-05,0.1604964179695055,0.026846452608066954,0.09751054532064306,0.009759234605929545,0.17038978275396446,0.028756538369947928,0.10306277236018589,0.010358416154255878,0.035434348984565316,0.0011632762855334205,0.022592267108654685,0.00045257853078876887,0.005142089511589037,2.7579039674631986e-05
9,0.23624654697106773,0.007167189747836516,0.006034391622280612,1.4787179725121715e-05,0.006086604449136954,2.2787686655564852e-06,0.008356311145268556,1.5672485560404772e-05,0.010436872770388626,3.7381997518861207e-05,0.18005007158605854,0.03162801854470463,0.11159974075626651,0.011496513144864355,0.18763305860063498,0.03305963743257511,0.11589665534408362,0.012003420369854934,0.05062278649763389,0.001975469269126654,0.03385273147793452,0.0007766830241680922,0.010666311135568046,5.476112321014715e-05,0.00479081985926752,0.005038280132135181,8.911004668344538e-06,0.004981740585357245,4.413636000058164e-07,0.006703748648636067,1.0836278907271157e-05,0.008419573225316675,2.8597923396882033e-05,0.1745077397917236,0.030593193241166973,0.10715286282897935,0.011104271859151624,0.18326012872125194,0.03233421546286395,0.1122465687463137,0.011707792326746,0.04521300876223668,0.0016953236406972347,0.029915330834615145,0.0006746440712500316,0.008814625244568615,4.188915321686828e-05,0.0032010947620225456,0.003888233992344564,8.422440934202059e-06,0.004076915682249459,1.1234606965717575e-06,0.005096259128650788,1.0594971615983084e-05,0.00638617594439852,2.478041250480926e-05,0.16942690953337702,0.029609690562493848,0.1034347841857541,0.010798461272011128,0.17952690709195857,0.03161077302790545,0.10916276715220465,0.011438513796041206,0.04010733463820512,0.0014349743283239528,0.02607737209175523,0.0005709271176012248,0.007077432459915117,4.0274255021334014e-05
