,Standard_beran,True_proba,NN,NN_with_delta,Linear,Linear_with_delta,Linear_MAR,NN_MAR,Standard_Beran_delta_obs_only
0,0.007643657586962638,0.000378710883328384,0.001927618356471511,0.008288654298244475,0.0012400536840954871,0.008541348420834182,0.0009613552371971201,0.0002592274913046249,0.006176771958490637
1,0.00015527870918453934,0.00014659565213489046,0.0023854127509113907,0.035392962794085936,0.003099490713801881,0.0004421405414088066,0.001535338365977466,0.00017673371958290795,0.000393726322420501
2,0.0046245649009575545,0.0005422134776478719,0.0004935651887459686,0.0005205636711522852,0.0014291388400571798,0.0006305843902495154,0.0037709224306580456,0.0007823990773058223,0.0002978093663248977
3,0.0003277853554241143,0.00017194707274907823,0.000253865282987279,0.00025639112604905294,0.00021617319363390023,0.00023100831637000186,0.002143130830088984,0.0005164410474913367,0.00027321575105571317
4,0.0003256434334124038,0.0002762751673869416,0.0004983995719266474,0.00033655322380044943,0.001361976037065027,0.0003123682851786563,0.0018896582009528037,0.0004905052161243721,0.00037714382098525263
5,0.0014110775969582024,0.00035783318913806876,0.0011734766387551943,0.002545169152801876,0.0022686565234978666,0.0026488322832827612,0.0011033442894976574,0.0005340666061073783,0.0021421074851258382
6,0.0027978200515591193,0.0005218789965305637,0.002146979902359687,0.002329591774118568,0.004479127866991648,0.0011441058964631442,0.0005061548231371827,0.0006378085134950132,0.002498934541372137
7,0.0005536354411132842,0.00029426682633742633,0.0003728247002128214,0.0006171240528907862,0.006665616784988229,0.0012091907150145564,0.0009425242054681694,0.00030103256701432277,0.0012498192468347455
8,0.007622138872982684,0.00035962227534437326,0.0009103164575449102,0.00546974026334651,0.0003581045263063617,0.004961557292774984,0.00031049587749310085,0.0002472707445966399,0.018087599336827024
9,0.017293748765917775,0.0014987663181881153,0.0013534309216567029,0.0008845899666956993,0.004732413606341374,0.0014664750233899786,0.001832331635845405,0.0018224492330494505,0.030790173874229994
10,0.0075127403587889365,0.0007541742818061518,0.0006366455923196743,0.008798494676614102,0.0018642334274485083,0.009260828858811024,0.0018093669234663964,0.0002472962916234478,0.010201785494877618
11,0.0005234955138317211,0.0012509914478193629,0.0012550965440004118,0.0005625614492078779,0.0013992271374177227,0.0005615053295857233,0.0012381463327923537,0.0013593067113226785,0.0005658817750012773
12,0.00037330636436804155,0.00013661353629315255,0.0005870246323228734,0.00040545451920553124,0.007245502257125002,0.0006627149450969282,0.003202522239387913,0.0004871578324334915,0.00029302919259232505
13,0.0023154137008766593,0.0008437105144198002,0.0019500091819843449,0.006412220690912361,0.002452239599575779,0.0024727256421123436,0.003040725083291132,0.0008361747216848482,0.005595428963119074
14,0.0003260749099011803,0.0007646530534055607,0.0012413582563199725,0.0003195632385636421,0.0037011940228798804,0.0004206863581974078,0.0005806001166061808,0.00041525638238472975,0.00033672221465791803
15,0.010598809949750742,0.0007305553515094811,0.0023645130855290673,0.010215088697796077,0.0026518050242858786,0.003538249491548738,0.0020369083582858303,0.0006414853853636748,0.010792568174670796
16,0.017790178661303967,0.0003034414487807129,0.00024238327369867179,0.0003399292790776062,0.0005510667320001543,0.00040014758138526594,0.0003448738839517988,0.000416729029890104,0.015333524189235698
17,0.00036498205086028676,0.0005143374824688935,0.0022429317378754284,0.006615946473032697,0.005161323844627983,0.0007909425118155295,0.0003907007534982956,0.00029408275790716664,0.0029767739564779804
18,0.00529617819684942,0.0013739853516082075,0.0002900619406399638,0.010134431785835356,0.0067933188173738964,0.015367338146554126,0.0008018208208557272,0.0004938923814041868,0.010835234895546128
19,0.0043190278531821695,0.00021986923776168315,0.0005295800354057756,0.006477604073804878,0.000790694700130781,0.007156481063645748,0.00048439301994798696,0.00032412205757946776,0.008668073681789444
20,0.027315510287183483,0.0003829241741129799,0.000329362153713525,0.017056008003282025,0.0014440170972598021,0.011438590569689872,0.00040158960495649494,0.0003943160569647768,0.03059031690681105
21,0.0009948398247956378,0.0005124914321962448,0.0029525603180437935,0.0013379089574129812,0.0017446410162353587,0.001617474039769525,0.0010939068619902055,0.0004575950100456501,0.0013041738201472607
22,0.005785427426554241,0.0003351263613097796,0.0008835140536730561,0.010313146065085276,0.0031911898612949517,0.0039023486228923435,0.00035912617464772123,0.00033128633271568066,0.01198019603087876
23,0.004955896422838177,0.0006876923632892885,0.002086810496307472,0.009591519865371675,0.0022939933821765957,0.003080084597259359,0.000572961853969974,0.0005725620060153646,0.006423885728791429
24,0.0016361172904506567,0.00035141746232093596,0.0004152697824896285,0.0018409351307790238,0.0003720483739097418,0.001710208702208057,0.00013811561493042165,0.0005608294285651916,0.009451663674364669
25,0.0004566402367802777,0.00029554914364902983,0.0002840771321787334,0.00041494446376672906,0.002260928228429088,0.0005239917859994611,0.000654955783015992,0.00045207458108350836,0.0006422127447351339
26,0.000474117308938115,0.0009089765513459743,0.0013804052505475336,0.0003689897030421414,0.004578980155173412,0.0008098506421851322,0.0002453968960398001,0.0003193436495280862,0.0004647968314449885
27,0.01095299411871507,0.0010552725891002483,0.0019565069793603222,0.01260742135929973,0.001919987650390495,0.013132517031118758,0.0015064469047510038,0.0012965256909168688,0.010631799637784831
28,0.010673040100367287,0.0007884614973316239,0.0019980224842728023,0.016914879457097527,0.0034951882217818006,0.004723369447397715,0.0008257249512770461,0.0007921183187373941,0.019230581597637575
29,0.00029166871203047036,0.0006962246586779676,0.00021158090099504447,0.0003125289864585172,0.0011184615070049338,0.0003853007486326557,0.0015911177469059765,0.00022578803348217335,0.0005307004803905186
30,0.00652772949051283,0.000929313140725815,0.0011361836812977795,0.004953251409919714,0.009875152716672287,0.009557193055527395,0.004602953969424877,0.0009333701011612839,0.006578084071691271
31,0.009589333651700694,0.0007708039659985761,0.001556054758133816,0.010557082548195271,0.004631361865134092,0.003400283626953002,0.0019142913037552168,0.0009309015012891592,0.018237324929926045
32,0.0013964272477928908,0.0002555812469453179,0.00024257395228624074,0.00018719035538442217,0.0026131000380410743,0.0006224689408512025,0.0005044552573203405,0.000393214845629547,0.0002478335319043427
33,0.0049749089104042235,0.00021264891469959478,0.0002039191650230335,0.0038091245847921584,0.004065320284928843,0.0022183968410441628,0.0005404616891607196,0.0004058005914521204,0.004455868598558673
34,0.002400547380719123,0.000839726946561005,0.0009119967240821253,0.001534824691381328,0.0002457229962583516,0.0014871074960975958,0.0021410833791968647,0.0002611406828664902,0.002266501754587344
35,0.012200815775874643,0.00018834681530147473,0.0028746921096108515,0.012948365123979783,0.004911399379960449,0.038567577063775005,0.0033397581511553733,0.00018674185099224022,0.014748155283095657
36,0.010063597639080744,0.00018586947957615702,0.00016079339158907354,0.007201811955477786,0.004045638578342958,0.0030445731005086353,0.0001613774558983765,0.0002913273502946199,0.010964065591465772
37,0.004391484413351024,0.001013062830093568,0.001023573344105125,0.003684075748031898,0.004148220442257937,0.002665198444392091,0.0009539847035493574,0.0008408438742189485,0.0049724185270236245
38,0.007297024436023814,9.838017229701974e-05,0.0008130167495197138,0.007904406818134563,0.004527818430273173,0.0036250251619353623,0.0002976445707680619,0.0002219020871552825,0.008785360641410852
39,0.005457945962695726,0.00038591461469192215,0.001458198851920644,0.005884697352839619,0.0022896488816481556,0.003836359961258718,0.001191565157615414,0.0003897827058662841,0.0031422054060685047
40,0.0023675018887907343,0.0002300870778057887,0.0005057908845355807,0.0038766347505282866,0.003419204467830357,0.00637173536940313,0.0005570360264710285,0.00048138492915716685,0.0037186040812839834
41,0.0032913962502304256,0.000289907719884138,0.00032860621628520633,0.0003186270546702082,0.0025711006017793275,0.0007051702159392477,0.00032513447083293864,0.00043157046127415076,0.0024699395982566157
42,0.012593755973246783,0.0002987751341576429,0.0023498262288217447,0.014398841510311178,0.0052333346615455615,0.005566355615319527,0.0035849178129486905,0.00030342522880089616,0.015586871870942397
43,0.010296325393063072,0.0016404589260365645,0.0016611987589659515,0.01609289581257366,0.004304398647350778,0.007079653662658741,0.003951030206686809,0.001801161068926613,0.023534232464709492
44,0.00041270920383562127,0.0009998195692675356,0.001014114650567358,0.0004179918201186397,0.0028503225427019565,0.0006761555061705802,0.0021959517537853005,0.0012904306840818946,0.0005109211353254332
45,0.0037711294274626952,0.000820655265831616,0.0028380365249568106,0.011120614082697114,0.00015266109395098806,0.007678310443782399,0.0013315453604461707,0.000327492813275562,0.005050068917811338
46,0.013336800983361345,0.0005164630422081702,0.0029584782728655115,0.017736722432721976,0.0055257863498810985,0.004557796567857672,0.0007827775570576241,0.0006193459992494293,0.016073609255479907
47,0.007749132438880346,0.0003100260027173564,0.00037216377311340815,0.005205888886826453,0.001637940705587302,0.005969881133174633,0.001894004871438469,0.00040751797491227876,0.006265567364262526
48,0.0003900397292233299,0.0004652526591019418,0.000429301837154973,0.0004459854742422328,0.005486588224199169,0.0015032282735690222,0.002018411226124142,0.0008634254596821006,0.0003356843855131939
49,0.001787041760991207,0.0010027225153962855,0.001460127492061133,0.002307975363638974,0.005246559726380072,0.0018697066641558114,0.0030190015532423984,0.0010880409830546734,0.0025822024641319447
50,0.00040644508909983587,0.0003439157083249996,0.00038987156636374526,0.00025739649491358636,0.002381287292120217,0.0004072184503833252,0.00032700874734915646,0.0004321097722218183,0.0003356568656652757
51,0.0002723842087421662,0.00026248949914925196,0.0010571590617659353,0.0003624522112624912,0.006592033845978235,0.0006382442440403185,0.0018385738005126414,0.00021101330708390268,0.0003604226957250843
52,0.002523167358771507,0.0017100156931643673,0.0015567512911191896,0.0047472336361968626,0.002767893672296284,0.009339229905913992,0.003624930176374481,0.0003674904240303722,0.00030882859065712464
53,0.0051357480133259244,0.0004451949160322036,0.0014113627259182905,0.005781485257526513,0.0004475182288276284,0.004870818884872677,0.001667442068431332,0.0003757554668518445,0.006846166978601113
54,0.011567816293114885,0.0003282304658687177,0.0003868955595322691,0.004254576543702752,0.0022112945756777957,0.002531815232980946,0.0009793885377754547,0.0005196634443003259,0.008408327952145495
55,0.00027166654549537646,0.00031539643226844436,0.0015504373552310024,0.00045340762241780937,0.002313744789204221,0.0004115628674988102,0.00030539590111784877,0.00034035471224443033,0.0003018906398764459
56,0.0005783462177354557,0.000408919254116632,0.0013854747499460703,0.0002980241375977525,0.0031013718317856897,0.0007880922501576411,0.0013606105908496476,0.0003712024867310575,0.0003229847131745688
57,0.0013945643284734692,0.0007732165967386083,0.000853338571497547,0.008270291270677774,0.0009808225126863106,0.0008470755056552853,0.003261458749888656,0.00020106333587514884,0.0018438709527639563
58,0.0020798605181164644,0.00032240876997028875,0.0003607653018063505,0.0027177756106754533,0.0025810576780049164,0.0019287757865795153,0.0031809302393966776,0.00047026844620088676,0.004164989889506425
59,0.0003147379630581787,0.0005805417402861593,0.001252871740997113,0.0020644475075434826,0.0007852042276067213,0.0010560412084226075,0.00031991126865032435,0.00047595170538412336,0.0009837915186046186
60,0.0030245971017250077,0.0005255462935643908,0.0005248305868287551,0.002538191147992829,0.0009117200783180444,0.0028839209894141377,0.0016653751405422523,0.00032051160240679724,0.0009859648138585981
61,0.021437363383924,0.000621327825855176,0.0020482843901536963,0.0006040183730523118,0.00504266262754068,0.000795799373736547,0.0008782752193112518,0.00042730992764356224,0.022845666144211806
62,0.000915675259154959,0.000311132309682754,0.00031556393659855304,0.0028512461796065852,0.004338653383911118,0.0016049539739180574,0.00033203750379065566,0.0003447781772672401,0.003665104492725621
63,0.00728220662460618,0.00015736491296650224,0.002376320490603307,0.007090708021955363,0.0021001754973229547,0.0025379370433673944,0.0009076236700679183,0.000247619822577048,0.004624319116759681
64,0.0012930259072838257,0.00043780848504131775,0.000409208466590362,0.0012641103762026718,0.002702664318684538,0.0013101901665161545,0.0005780483801767898,0.0006099809959543349,0.001433019035625209
65,0.026415230510014476,0.0005858365765609523,0.0010692800087234956,0.023786159768533446,0.0007825221016105348,0.017954713735400793,0.0014845582259549537,0.0006317938013700338,0.04277568553835585
66,0.00028479339679574013,0.0003624096436476201,0.0006456957760418344,0.00025516843961673874,0.0018700921245705844,0.0005308980822338261,0.0006862830814386215,0.0005494662056727174,0.0002826944092850571
