,t,true_cdf_0.3,Standard_beran_cdf_0.3,Standard_beran_mise_0.3,True_proba_cdf_0.3,True_proba_mise_0.3,NN_cdf_0.3,NN_mise_0.3,Linear_cdf_0.3,Linear_mise_0.3,Linear_MAR_cdf_0.3,Linear_MAR_mise_0.3,NN_MAR_cdf_0.3,NN_MAR_mise_0.3,Standard_Beran_delta_obs_only_cdf_0.3,Standard_Beran_delta_obs_only_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,Standard_beran_mise_0.5,True_proba_cdf_0.5,True_proba_mise_0.5,NN_cdf_0.5,NN_mise_0.5,Linear_cdf_0.5,Linear_mise_0.5,Linear_MAR_cdf_0.5,Linear_MAR_mise_0.5,NN_MAR_cdf_0.5,NN_MAR_mise_0.5,Standard_Beran_delta_obs_only_cdf_0.5,Standard_Beran_delta_obs_only_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,Standard_beran_mise_0.7,True_proba_cdf_0.7,True_proba_mise_0.7,NN_cdf_0.7,NN_mise_0.7,Linear_cdf_0.7,Linear_mise_0.7,Linear_MAR_cdf_0.7,Linear_MAR_mise_0.7,NN_MAR_cdf_0.7,NN_MAR_mise_0.7,Standard_Beran_delta_obs_only_cdf_0.7,Standard_Beran_delta_obs_only_mise_0.7
0,-0.3863489612975798,3.772511507587736e-05,0.0,1.423184307488187e-09,0.0,1.423184307488187e-09,0.0,1.423184307488187e-09,0.0,1.423184307488187e-09,0.0,1.423184307488187e-09,0.0,1.423184307488187e-09,0.0,1.423184307488187e-09,1.0724187389815361e-05,0.0,1.150081951718748e-10,0.0,1.150081951718748e-10,0.0,1.150081951718748e-10,0.0,1.150081951718748e-10,0.0,1.150081951718748e-10,0.0,1.150081951718748e-10,0.0,1.150081951718748e-10,2.644905472522376e-06,0.0,6.995524958578822e-12,0.0,6.995524958578822e-12,0.0,6.995524958578822e-12,0.0,6.995524958578822e-12,0.0,6.995524958578822e-12,0.0,6.995524958578822e-12,0.0,6.995524958578822e-12
1,-0.36039214121411506,5.399785919640154e-05,7.297608038747683e-08,2.908420244398341e-09,0.0,2.915768797794406e-09,0.01,0.009998922958584873,3.53803260555452e-08,2.912073050812245e-09,9.8280082549973e-09,2.9147170739571634e-09,1.725867215363053e-08,2.913934721273119e-09,3.964831337895936e-06,4.059572742948204e-09,1.5723179258136992e-05,2.229507548935028e-05,2.4929369947175472e-08,1.1061438180389738e-05,1.0118703821050877e-08,0.010000369101497793,0.009999685785649897,6.562467320225807e-06,3.8928781444164595e-09,3.135985072271197e-06,6.450307009290167e-10,4.643893707741986e-06,1.277690334220599e-09,2.8398157657921753e-05,4.0680922013364897e-08,3.976779655303696e-06,8.10741646493196e-06,6.524352132302183e-09,9.179987025209613e-07,9.278558108229303e-11,0.010000033668987378,0.009999920480067242,3.931458440894487e-06,1.5301822357880433e-09,1.09224101721761e-06,1.2642661668417482e-10,1.9179733860830163e-06,3.684222523167353e-10,1.6339269165751568e-05,2.658303111711304e-08
2,-0.33443532113065033,7.674158510966767e-05,2.2052132833016992e-06,6.005983859193454e-09,0.0,5.889270885144367e-09,0.01,0.00999847105756869,2.212942578733168e-06,6.023924355822876e-09,4.3887005538034707e-07,5.840329084525034e-09,6.39946253382373e-07,5.829853673963356e-09,6.678008449756412e-06,7.17243073535277e-09,2.2887999621089516e-05,3.6585411671175017e-05,3.716622093760262e-08,2.194802005411334e-05,2.1478756261481653e-08,0.010001664620604112,0.009999542866348899,1.1022701111749189e-05,4.878266178268937e-09,5.5255959125666274e-06,1.102764987918236e-09,1.0238399018077659e-05,3.4361234351975523e-09,4.988056399566454e-05,7.082769817911273e-08,5.936485600593595e-06,3.9891420920915576e-05,1.071569262689007e-07,3.270200315850458e-05,1.0075353800714513e-07,0.01000380572149166,0.009999882683295994,9.78008155716359e-06,4.885399017476367e-09,5.091734372342227e-06,1.6936815994570004e-09,1.273980850049261e-05,1.196305619717016e-08,5.855160145351146e-05,2.0422533178775824e-07
3,-0.30847850104718566,0.00010829259313063215,2.7974174437173094e-05,4.0982731777924145e-08,1.1333659140942975e-05,1.7091345290953453e-08,0.020001576776093054,0.019995679930676424,1.7857337807603012e-05,2.3171060142444894e-08,4.965172235500415e-06,1.1700283881488155e-08,1.0523081811827374e-05,1.4371425965740343e-08,3.9468295733662286e-05,6.172180592918516e-08,3.308045899051767e-05,6.260453935404309e-05,8.952483401606374e-08,5.0309624249396115e-05,1.0016343338058149e-07,0.020007051130933103,0.019998680489577658,2.3250131355598835e-05,1.6669404018370244e-08,9.699044381037414e-06,2.592024545277608e-09,1.898903000972618e-05,8.794978937552275e-09,8.31449239957871e-05,1.555651445447362e-07,8.798484250860795e-06,4.690989895512421e-05,1.1177315880183102e-07,3.311045778943478e-05,1.0061801924844898e-07,0.020003883208361207,0.01999964949326237,1.8031476232435174e-05,1.1534941197384738e-08,6.173464847444299e-06,1.804686894459999e-09,1.4964997224824472e-05,1.2388294941527479e-08,6.75292518357673e-05,2.1183419525052938e-07
4,-0.28252168096372093,0.00015173517958990632,3.486195389933333e-05,5.2502383477523713e-08,1.8221438603103212e-05,3.005681103951976e-08,0.020001653660022947,0.019993953363757727,2.2827739757029786e-05,3.387792114641683e-08,7.668190206620018e-06,2.247550781211521e-08,1.3228385637255035e-05,2.4664292536302476e-08,4.8291991605619036e-05,7.469690595631253e-08,4.747187339176791e-05,6.310303280068763e-05,8.885968100994105e-08,5.0808117696040656e-05,9.985216281105715e-08,0.020007051130933103,0.019998105789312125,2.4563750984226694e-05,1.7207301147708428e-08,1.0413361099529394e-05,3.4553255393990354e-09,1.9184784612894524e-05,9.39292924494874e-09,8.382346278396402e-05,1.5431287890168777e-07,1.294705732666392e-05,4.690989895512421e-05,1.1147415348255079e-07,3.311045778943478e-05,1.0043350990933097e-07,0.020003883208361207,0.019999483608332737,1.8031476232435174e-05,1.1475544372062309e-08,6.173464847444299e-06,1.843677722666212e-09,1.4964997224824472e-05,1.2354341140702091e-08,6.75292518357673e-05,2.113641081468469e-07
5,-0.2565648608802562,0.0002111054351966453,3.486195389933333e-05,6.990479729400005e-08,1.8221438603103212e-05,4.943512814912618e-08,0.020001653660022947,0.019991599899117033,2.2827739757029786e-05,5.2709283702202774e-08,7.668190206620018e-06,4.3106923031282894e-08,1.3228385637255035e-05,4.4635487307589694e-08,4.8291991605619036e-05,9.050463022992812e-08,6.764061382442568e-05,6.310303280068763e-05,8.863593750702095e-08,5.0808117696040656e-05,1.001243652109114e-07,0.020007051130933103,0.019997301076943814,2.4563750984226694e-05,1.8538135187622857e-08,1.0413361099529394e-05,5.356950660524194e-09,1.9184784612894524e-05,1.0940737237941942e-08,8.382346278396402e-05,1.5325332545079614e-07,1.8915745224566963e-05,4.690989895512421e-05,1.1110435151416025e-07,3.311045778943478e-05,1.0022843705590738e-07,0.020003883208361207,0.01999924500464069,1.8031476232435174e-05,1.145047498810338e-08,6.173464847444299e-06,1.9601618768008824e-09,1.4964997224824472e-05,1.2365877469026899e-08,6.75292518357673e-05,2.1074816521445508e-07
6,-0.2306080407967915,0.00029163826748985735,8.129890596306311e-05,1.6309602025669205e-07,6.067621735752482e-05,1.3205286633288942e-07,0.040002338378959834,0.03997675290663816,4.573878296859735e-05,8.966076896793018e-08,2.0073485919474e-05,8.113737209215244e-08,2.4196333060612086e-05,8.288735067234449e-08,0.0001257482289317713,2.445948315912204e-07,9.569526563044979e-05,0.00013341508714905803,2.0206408318420623e-07,0.00011346898856625321,2.3422068656407197e-07,0.04000971200020949,0.039992355074205344,5.2587262947150215e-05,3.5374854695077054e-08,2.479099570707022e-05,1.2211564093989696e-08,3.2006669995270355e-05,1.6528075713108265e-08,0.00017396485788156,3.7593649862748843e-07,2.7439085020533866e-05,0.00010028482125034266,2.3964680768452085e-07,9.217323564088665e-05,3.05683994157252e-07,0.04000601366378324,0.039997806997025806,4.19136542419285e-05,3.077698943062952e-08,1.4409878501580042e-05,5.350546579833648e-09,2.3457621070634983e-05,1.6402242426091597e-08,0.00010189887836980826,2.5893264329301015e-07
7,-0.2046512207133268,0.00040006286988745744,0.00014220511651377832,3.763817685917049e-07,0.00011913688386471887,3.6145180573882156e-07,0.04000631718775493,0.03996815109269388,7.198414699632338e-05,1.8152034689859805e-07,2.9824482349465333e-05,1.5114124369002112e-07,3.6010178319674235e-05,1.5370536806059345e-07,0.00017131013337436273,4.877222023040896e-07,0.00013442832468189025,0.0001667187675075843,2.732457798511173e-07,0.00014106651798612258,3.058380963368695e-07,0.04001183378793011,0.039989264391713235,6.743306584653164e-05,5.2558064038813525e-08,2.8700408782773578e-05,1.9854412042512967e-08,3.8188198718703826e-05,2.4817182054473815e-08,0.00021225271273064505,5.073439213845553e-07,3.9519769508647116e-05,0.00010477531768875559,2.39694226968718e-07,9.666373207929957e-05,3.0592740045434157e-07,0.04000601366378324,0.039996841205877195,4.802358267627538e-05,3.232430745293966e-08,1.579153056027516e-05,5.892984083034957e-09,2.438746327280583e-05,1.6657349336427382e-08,0.00010793100725175143,2.604414168884218e-07
8,-0.17869440062986208,0.0005449512357070756,0.0003212050967876612,1.3222253955004386e-06,0.00034516180198942314,2.3377834042223646e-06,0.04003232493385668,0.03995669741966965,0.00013176017849948041,3.828684215254584e-07,5.994913725897222e-05,2.780886826276754e-07,7.156119518727521e-05,2.9454464784566124e-07,0.0003056104030977946,8.451088910457077e-07,0.00018750571020594568,0.00023480992613687747,4.644830173258521e-07,0.00020791674667010042,5.761841630858529e-07,0.04001736384391104,0.03998503694132828,9.841104403533696e-05,1.0002901138700945e-07,4.0549655652107884e-05,3.614518589945138e-08,4.982413360679505e-05,4.475685113934172e-08,0.00027703136646641257,6.12699220559335e-07,5.651488377656628e-05,0.00010801800099426106,2.406673251329571e-07,9.667707288493977e-05,3.042731696412181e-07,0.04000601366378324,0.039995483024449885,5.331138104765154e-05,3.473631532116884e-08,1.6282450462687948e-05,6.9554469282971095e-09,2.4431190347025123e-05,1.7455785858704898e-08,0.00011518320229617296,2.640459216524259e-07
9,-0.15273758054639736,0.0007371231875868377,0.0005590262459809203,2.8226898232260567e-06,0.0005470459365470193,3.786004087187367e-06,0.04006045842685677,0.03994154527889885,0.0002164086657154385,6.697747577038833e-07,0.00010351207659272665,4.924098557657673e-07,0.00012901140802812239,5.47370236607519e-07,0.0005382553402191425,2.5578829865501123e-06,0.00025969754112851394,0.00033316114177521337,6.533390161901562e-07,0.0003214537096873216,9.620634544325343e-07,0.040027375078115955,0.039979288796333716,0.00014748760787649195,1.5607436180722633e-07,6.0907460489527665e-05,6.15059402441385e-08,7.178658374418556e-05,7.220548857098322e-08,0.00036043720287854406,7.724340006297324e-07,8.024541410906564e-05,0.00019524982357548625,4.86695655127479e-07,0.00017620814949618425,6.121926613589619e-07,0.04001123330716803,0.039993587954440024,9.883536566601458e-05,9.97890510280218e-08,3.28895643309457e-05,1.575900940625334e-08,4.1775434423154675e-05,2.6852041325242107e-08,0.0001794882571604195,4.149839172019709e-07
