,Standard_beran,True_proba,Subramanian,NN_two_steps,NN_two_steps_with_delta,NN_MAR,NN_MAR_with_delta,Standard_Beran_delta_obs_only
0,0.0003873980464409645,0.0002507461146801952,0.0018770040561836346,0.0014504129130302635,0.00024042036056764156,0.0021156580754463426,0.0020776141233934914,0.005404651717154226
1,0.0002050592864965113,0.00010849924432384357,0.0008923362345355331,0.0018209304897632201,0.00026444747245092133,0.00104361855739012,0.0010057905782927255,0.002526263639978312
2,0.00032485341223832854,0.0003789864513731796,0.0006995098049934264,0.0042284142343144175,0.0005557678169785782,0.0007996523236710181,0.0007765320511039744,0.004654694391968536
3,0.0004089005769100394,0.0002879272552766136,0.0026636544781255735,0.003933520011604033,0.00027069791188671173,0.0020882061880475662,0.0022527162123309736,0.009309965475933728
4,0.00019393143604861865,9.025458582121897e-05,0.0020975896280912955,0.0022758927155772635,0.00013365847538762717,0.0025418549875562933,0.002385726691705419,0.0049470322864488235
5,0.0005678960300673654,0.00014707761210473603,0.0027984531291178,0.007129072781697142,0.0009701552322324836,0.0029028906247193635,0.0030319165641378722,0.009651135596401888
6,0.0011061914422900688,0.00018358310881936887,0.00022468112429225177,0.014492510945903992,0.004916745326190327,7.243703511458427e-05,8.856058155274965e-05,0.0036666017135442855
7,0.00018132314039396463,0.00015814894575210626,0.00043901321197367004,0.021045884819638733,0.003923047224253995,0.0005837747781657058,0.0005555616191144545,0.002126707948304009
8,0.00017240680785135659,8.535555207261551e-05,0.0015951816253986246,0.005248878331764037,0.0004875981408854992,0.001344754255378166,0.0014925401451460912,0.004292271892246863
9,0.0003274076334614686,0.0003151372286128829,0.002845563759713632,0.003067764886458699,0.0005202419720959489,0.0025855976005601192,0.00273500133014328,0.0068972092348330745
10,0.0002536753821528869,0.00010371905406348194,0.001134119704235822,0.004676411759629948,0.0005727900558756327,0.001311664196286771,0.0012480561655503616,0.005345873636369915
11,0.000166433548619532,0.0001434336428987932,0.0012030609589295746,0.0007151182711887213,0.00011433938714804576,0.0016878211910827153,0.001652605331574946,0.004351926567816823
12,0.0003382444702498574,0.0001703733716233422,0.0009106777219331089,0.0015032393572042438,0.00023700818774831045,0.0007558765593525791,0.0008411407252006445,0.0038901194847702604
13,0.00025673395869849736,0.0002408164171245811,0.001671759895141273,0.004094652417145455,0.00039548595107556926,0.0019835530060467676,0.0019753223675397866,0.005768032189401306
14,0.0003135849467964911,0.00028478242213540934,0.0003332035472638154,0.009019545705981642,0.0021422245713877052,0.0004529287209376473,0.0003887424545560268,0.002822445886968661
15,0.00014313532842501206,0.0001467796656369188,0.0010799754422421849,0.008125816952907039,0.001278783120526808,0.0008840489526359111,0.0009741101105384342,0.0043820580039687215
16,8.745264075096792e-05,0.00012134875161007655,0.0010305775083961253,0.003751656809686102,0.0005450316426184646,0.0010180615989807836,0.0010283541239896222,0.004459993096120736
17,0.0005009489342044793,0.00014540434750068347,0.0006260545481763393,0.0036256212362263864,0.0008023521151142761,0.0005561917366154627,0.0005573093813248871,0.003072064009036135
18,0.0002407731170434459,0.0001325561167893183,0.0007877691323549794,0.004026090858016961,0.0005336629551983605,0.000911235519954088,0.0008949297296884221,0.002361883041403802
19,0.0002233943768052966,0.00024333367891960162,0.0008718945588178527,0.0034786540388260147,0.0005641770833491343,0.0014023923362897284,0.0012664340701144723,0.005530499240936793
