,Standard_beran,True_proba,Subramanian,NN_MAR,NN_MAR_with_delta,NN_two_steps,NN_two_steps_with_delta,Standard_Beran_delta_obs_only
0,0.00012858381094983277,9.169108502553192e-05,6.040334404954779e-06,3.828471773606691e-05,2.0526808236816283e-05,6.423806531539824e-05,4.710201550588871e-05,0.0001317121392486681
1,0.0002487626508387524,0.00011822556660569865,3.2026790687320076e-05,4.3425799885817574e-05,5.678291017111225e-05,0.010434460095891834,0.0035293653457960606,0.0012003526152301628
2,2.22637894480388e-05,7.697895360785294e-05,8.846695650491795e-06,3.980565152449852e-05,2.2687320567778975e-05,7.426674536540234e-05,5.0833271569650244e-05,9.695546252623683e-05
3,9.264908660525013e-05,8.513337704998414e-05,2.199082516739241e-05,5.031912183410042e-05,2.5853272967617976e-05,3.140507702877829e-05,2.1423242207718168e-05,5.316400201824339e-05
4,0.00011537806413625373,8.910562590144354e-05,2.8911790979131606e-06,5.053172178814591e-05,2.784834860473617e-05,0.0032011463601404055,0.00071897902988153,0.0001771897386133701
5,5.791585819297288e-05,0.00011981270744408579,2.915008409718178e-05,8.17849160191536e-05,5.769899694710976e-05,7.968014968231205e-05,0.00011082862197602436,0.000300256648278924
6,0.00010160674836936388,0.00010337218291909628,8.322765867208622e-06,5.240920801727928e-05,2.4905285814774276e-05,0.00045952177752616764,0.00014506416616943537,8.675855562637648e-05
7,2.7492455922152117e-05,0.00010549845606645709,1.710788616617053e-05,4.459467898264787e-05,2.520740821792853e-05,2.4541013324294333e-05,2.6344346048810067e-05,0.00016027375220866238
8,4.437415024619774e-05,0.0001320068515286766,1.6395494176547666e-05,5.7524689937480574e-05,3.501585714500684e-05,5.802673231857955e-05,6.026340541321752e-05,0.0002807213797461767
9,0.00019937785376654407,9.200491488652581e-05,1.4733249545421419e-05,5.0932797240688965e-05,2.0028966103050257e-05,0.0018719985735038156,0.0006278750099460614,0.00012023540065676767
10,0.00043900931568263614,0.00011666447633654647,4.5210135784713384e-05,3.3715777880097756e-05,3.388124559176294e-05,0.005075867996204287,0.0036544563109779677,0.0005833635627823588
11,2.822183901528528e-05,8.236227837698979e-05,8.706913810294282e-06,4.5328989384928244e-05,2.4432274493903457e-05,2.0547198027893395e-05,2.352110204253458e-05,0.0001062836365281037
12,0.00025018864667856593,8.629974623759529e-05,7.3913022068656105e-06,5.683600914366915e-05,3.0553962911748645e-05,0.01553541785336573,0.0017399318659051962,0.00023266216937351935
13,5.566961825602089e-05,8.331163186868687e-05,5.6884097828802796e-06,5.010166727858712e-05,2.55656367493586e-05,0.00041668020927883715,0.00021535313386383402,0.00012594572249719494
14,2.8690389362915283e-05,8.599611066830523e-05,1.8050321392882405e-05,4.765276723854133e-05,2.7221588300522503e-05,4.7245545564822755e-05,4.604401772620808e-05,0.0001846373984824175
15,2.377036568291603e-05,0.00010256441919024762,0.0004483360805473303,4.745730687174776e-05,2.3476935634227244e-05,0.01276800836093123,0.00338356669342299,0.00031402701400882885
16,0.0007904902004105626,8.282193346532595e-05,6.158376137778646e-05,5.5054337971297783e-05,3.562339698587939e-05,0.000292744507234117,0.0001576740671159235,0.0001657067667813578
17,0.00013007007376858042,0.0001053425177870891,7.868732802473653e-06,4.4893334472256774e-05,2.5587282282665332e-05,2.227996187466124e-05,2.144020268178145e-05,0.0001160173545672713
18,3.357347231429472e-05,0.00012405014733840236,1.7931557105976082e-05,2.5760352598578845e-05,1.6862865692076152e-05,0.005242982443386692,0.0012256643795840684,0.00018728015509808803
19,0.00023124838355447996,0.0001275686704760567,3.4579324007575024e-05,5.986867744595967e-05,3.744834845483896e-05,0.006121683903812619,0.0021871003755530105,0.00018023732572947296
20,0.00018329742548112173,0.00010787830247332879,1.0500546903849598e-05,3.84231761388427e-05,1.7680094027804186e-05,0.001505451337651177,0.0004977813078590954,7.706685003171149e-05
21,8.837987219423315e-05,0.00010777630671115481,2.211557954330464e-05,4.9065100067627936e-05,3.15659305295277e-05,3.0924346128274226e-05,3.622181467032704e-05,0.00017319882774073222
22,7.702449402816732e-05,0.0001220734595625971,1.882370680269441e-05,4.1181393506902455e-05,3.235110874493251e-05,0.0002801223290789811,0.00022005212152841625,0.00032171238868028114
23,2.2108009205671713e-05,9.027739603366104e-05,1.5856276427788762e-05,4.8001879607696694e-05,2.4450368416149375e-05,6.842625191739508e-05,5.6617316186779975e-05,0.0001288373275683012
24,5.0614144401109736e-05,0.00010612452988252005,2.237466505313134e-05,4.731101606131278e-05,3.03508167159332e-05,4.231772841740824e-05,4.7305173305200244e-05,0.0004166399425204323
25,8.007570771354587e-05,8.614869715018368e-05,0.00012090321066511219,5.4802091270152814e-05,3.7101101975275035e-05,0.00021946030279727682,6.766030256836951e-05,7.663795549562979e-05
26,0.00032980213673153714,0.00010642203361067181,6.240732650224397e-05,5.79492076912141e-05,5.7514648892923516e-05,0.0015302930174003705,0.0017534218718019679,0.0008334759336536331
27,0.0001351931720283154,0.00013733640071010963,1.9363749873313442e-05,4.200443305364364e-05,1.699372260362691e-05,0.0011392569411354384,0.0004738356866863706,8.393343462486188e-05
28,0.0003485272486305112,9.772423926143472e-05,1.8417238142018085e-05,4.820115287207282e-05,3.059814841697363e-05,0.02058699215918231,0.008009219377551446,0.000796716925146481
29,0.00010101384201016816,0.0001242762287265484,1.7282085680909313e-05,3.9713404455503605e-05,2.3669522306750134e-05,6.253112017150747e-05,7.997191138592721e-05,0.00029887179498685557
30,0.00017564682222361832,0.00010809631127755674,0.0025352888089562584,4.227883448537745e-05,2.6167918130997152e-05,0.005268352661764586,0.0033286677050268034,0.00039354598997931573
31,3.4078995738393785e-05,0.00017320047322459616,1.5189387953402462e-05,2.9094691918737803e-05,1.4253202654886896e-05,0.0006839401988266715,0.00021690077718939123,0.00010075298744824054
32,0.0002000437259190292,0.00010697225747221775,1.666497006151542e-05,3.9888434643190744e-05,1.7695788846275007e-05,0.0001349551874979778,0.00011029950026246441,0.00029758473447318273
33,1.4521046691554611e-05,0.00010203898611091004,1.7783128293983942e-05,4.099751361903235e-05,1.8857435715838622e-05,0.001695926308994556,0.00038665829031793767,6.927820481584948e-05
34,0.0001776381817881798,0.00010458593404137504,1.6675837767046527e-05,5.10954651599495e-05,3.958833128572335e-05,5.687342571900368e-05,8.97167429657823e-05,0.0005790137739980047
35,5.014951203322284e-05,8.56293408514601e-05,0.00030738251317659034,5.085169091458433e-05,3.8757538801892644e-05,0.00036342183244011,0.0002926343686496838,0.000450390642421713
36,0.0002018387487891032,0.00015067956231509837,5.819759720963351e-05,8.490256485827277e-05,0.00010215991426132724,0.018606959194456565,0.008920023919342619,0.0016763651157823028
37,7.250096991237948e-05,8.144804229963639e-05,1.5965423633803717e-05,5.8168418993849344e-05,3.297753013989046e-05,0.007942207341279331,0.0009620340946668425,0.00029140041410178767
38,0.00011480692834875693,0.00012696852151245248,1.7199078225706328e-05,3.665832777491789e-05,1.7779835489518116e-05,0.0061603445670115105,0.0016286009072370758,0.00010479364596640191
39,0.00010473646308103213,0.00012099376460762243,5.7438847477163315e-06,3.3630587121345175e-05,1.710936916262558e-05,0.0010897641461943578,0.0002549665044543984,0.00013299173281015503
40,7.425689990149787e-05,0.00010189106858316492,4.6210066911622916e-05,4.8346702247825856e-05,3.419890670103285e-05,0.0006393339759333429,0.0003088683502973806,0.00026212472800035756
41,0.0006343778365513554,9.794551797571866e-05,5.30690660572426e-06,6.391377896192861e-05,7.703570588012656e-05,0.0006255282140100561,0.0004828511222750171,0.0006225761515683992
42,3.127930008269136e-05,0.00010548032602060691,1.5109791671652139e-05,8.606648004781919e-05,4.8369242656897645e-05,3.1450791104427056e-05,3.456108447588079e-05,0.0001726802618951546
43,7.054125868225583e-05,9.243178027940569e-05,5.680548213736718e-06,4.904709391484692e-05,2.4923082752475423e-05,0.0006569943961163583,0.00019180502935285906,0.00010554251064676901
44,6.02968220744621e-05,9.711565034244122e-05,1.7018401698975456e-05,4.3161658514934065e-05,2.390439890642171e-05,0.0015310467996575157,0.0008209284652059808,0.00027236882755578214
45,0.00012009321072247498,0.00014257449015707524,5.683642014235288e-05,3.7757259331926116e-05,2.640482293066309e-05,0.0003982964664898261,0.00029130568901065485,0.0006872128142843904
46,8.551234479898504e-05,0.00010533305094663718,1.4933885905166125e-05,4.112931275354324e-05,2.114014960199827e-05,3.1653358176264334e-05,3.701278856850015e-05,0.00019339343613769867
47,5.188657699926274e-05,0.00012382810425962056,2.0953920543580298e-05,3.113399573594656e-05,1.526916910069788e-05,0.01035484746108009,0.0029414089718246294,0.00021771894371746235
48,7.907331364951827e-05,0.000100143339608408,1.1987280563237265e-05,6.790565118613252e-05,7.124247863105731e-05,0.008710565845078346,0.0029484370548850634,0.0009426193520164473
49,0.00023710952624229648,0.0001620634995293139,6.0777329370997915e-05,3.5916581876500934e-05,2.0156184005360978e-05,0.0024985907954690164,0.001857891994601446,0.0006826124987298615
50,0.00016269196216073275,0.0001377481187217454,1.5138782542094012e-05,6.0022770659441254e-05,3.190204197395484e-05,4.239416814748263e-05,3.303239121319429e-05,0.00016584106563903033
51,0.00024235114647944676,0.00013021044710442904,1.9508323691111363e-05,4.12762497271676e-05,2.3590755906511084e-05,0.0011032683661316544,0.0002779554408385362,0.0001110471386784106
52,0.00013106125798263745,9.189373618658509e-05,1.4130818907275771e-05,6.506428247751329e-05,4.4146593755949674e-05,0.0028944469589113446,0.0008487595634183591,0.00016766914549117904
53,0.0003321176707065979,0.00013361746925822396,4.0721275068484346e-05,5.333654513675783e-05,3.9085339487573825e-05,0.0013567564211201262,0.0009260123675420761,0.0005063813175905997
54,0.0001708421556412102,9.2950613138941e-05,1.6291589383467263e-05,4.25269744196994e-05,3.494287357302964e-05,0.001861217332316131,0.0010272435464328915,0.000579217093489406
55,0.00019786265759663265,0.00014913934732033345,6.063742968752893e-06,4.388754288792453e-05,2.4803448605280808e-05,0.0017864747801590605,0.0007953294389064562,0.0001747847572574819
56,2.2630238902169625e-05,9.001188418334934e-05,2.1559716340679067e-05,5.597226012949421e-05,2.6868732358789546e-05,0.0001440665910868925,3.9088183278141954e-05,3.8404539129298375e-05
57,8.021030004744427e-05,0.00011467579538578308,6.026041882367862e-05,4.595666382101605e-05,1.8279518303971572e-05,0.0009159977801238155,0.0003824684469460098,0.00014970352893740624
58,7.9176228768811e-05,9.426296521419987e-05,1.539301248270202e-05,4.004451548891188e-05,1.7310719386010782e-05,0.0001978100557108327,0.0001067951300142899,0.00012249589026114787
