,t,true_cdf_0.3,Standard_beran_cdf_0.3,True_proba_cdf_0.3,NN_BCE_cdf_0.3,RandomForest_cdf_0.3,Standard_beran_mise_0.3,True_proba_mise_0.3,NN_BCE_mise_0.3,RandomForest_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,True_proba_cdf_0.5,NN_BCE_cdf_0.5,RandomForest_cdf_0.5,Standard_beran_mise_0.5,True_proba_mise_0.5,NN_BCE_mise_0.5,RandomForest_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,True_proba_cdf_0.7,NN_BCE_cdf_0.7,RandomForest_cdf_0.7,Standard_beran_mise_0.7,True_proba_mise_0.7,NN_BCE_mise_0.7,RandomForest_mise_0.7
0,0.10162882482008628,3.044371184890608e-07,0.0,0.0,0.0,0.0,9.268195911392065e-14,9.268195911392065e-14,9.268195911392065e-14,9.268195911392065e-14,1.9163707597555302e-08,0.0,0.0,0.0,0.0,3.672476888845903e-16,3.672476888845903e-16,3.672476888845903e-16,3.672476888845903e-16,6.404320565578312e-10,0.0,0.0,0.0,0.0,4.101532190668931e-19,4.101532190668931e-19,4.101532190668931e-19,4.101532190668931e-19
1,0.13467377161341335,5.352073383810475e-07,6.018580793409889e-09,0.0,0.0,0.0,3.162278326091798e-13,2.864468950569218e-13,2.864468950569218e-13,2.864468950569218e-13,3.5575431759746163e-08,0.0,0.0,0.0,0.0,1.265611344892357e-15,1.265611344892357e-15,1.265611344892357e-15,1.265611344892357e-15,1.2640549782282365e-09,0.0,0.0,0.0,0.0,1.5978349879835535e-18,1.5978349879835535e-18,1.5978349879835535e-18,1.5978349879835535e-18
2,0.1677187184067404,9.29943781300781e-07,4.0004467233889506e-07,0.0,0.0,0.0,1.5541354145918192e-10,8.64795436379979e-13,8.64795436379979e-13,8.64795436379979e-13,6.526849112898064e-08,1.7438998666696737e-07,0.0,0.0,0.0,3.0393363083042646e-11,4.259975934253857e-15,4.259975934253857e-15,4.259975934253857e-15,2.4655708228316395e-09,0.0,9.525713551283843e-17,5.485611964672898e-16,3.157505538520233e-08,6.07903948239879e-18,6.079039012681436e-18,6.0790367776667486e-18,9.96834500547501e-13
3,0.20076366520006744,1.5970126085210838e-06,4.0004467233889506e-07,0.0,0.0,0.0,1.5656548063375291e-10,2.55044927177531e-12,2.55044927177531e-12,2.55044927177531e-12,1.1834369015935528e-07,1.7438998666696737e-07,2.910123253485608e-13,1.1943766264899124e-10,1.5227007978579897e-07,3.038459676960982e-11,1.4005160127008575e-14,1.398087205547461e-14,5.330523165603001e-13,4.752606092092209e-09,0.0,1.0646647452539072e-11,3.9208621080977225e-09,7.903707849388986e-06,2.2587264666592376e-17,2.248863020414492e-17,9.263003615241146e-16,7.002854637385194e-10
4,0.2338086119933945,2.7107172658458225e-06,4.0004467233889506e-07,1.3837195833588112e-12,2.9758130293267014e-11,3.542152164448531e-08,1.6047195622789075e-10,7.34798059383678e-12,7.347826907614446e-12,7.209672858820399e-12,2.1207059318680721e-07,1.7438998666696737e-07,2.1664862215331481e-10,1.4727636181932625e-08,5.918528448501048e-06,3.038287541036426e-11,4.488223641984475e-14,4.1776238335460237e-14,8.807208697491926e-11,9.05343486955239e-09,0.0,1.036371542140202e-09,9.576162446855996e-08,5.772084794844301e-05,8.196468293722883e-17,6.611845095904301e-17,8.795118224654883e-14,6.767486803295662e-09
5,0.26685355878672157,4.547701358553086e-06,5.690010554686431e-06,7.06408685151183e-06,2.394505614833342e-08,7.717033886238122e-06,2.8107960470721894e-08,4.9841817003729084e-08,2.0481742849216453e-11,2.197223985084806e-08,3.755913382073409e-07,2.768820697969021e-06,3.341018017530506e-06,2.5920945690716126e-07,4.2633765301706816e-05,6.759543761907842e-09,1.1092300151767986e-08,3.699339722370127e-13,7.308209975021524e-09,1.70438138630834e-08,0.0,1.6458655312190372e-08,5.543169345354481e-07,0.00016152249946093544,2.904915909994359e-16,1.4684604788224335e-16,1.9763571772082066e-12,3.4519164003919836e-08
6,0.2998985055800486,7.541183892790679e-06,5.704386513137316e-06,7.126396553601477e-06,4.837813158938831e-07,3.345256730776713e-05,2.811007228783861e-08,4.983545577097327e-08,5.222066514548617e-11,2.317457316272184e-08,6.574409267616085e-07,2.768820697969021e-06,3.4433933689724807e-06,1.3846351493453923e-06,0.00012092765346469314,6.758274139677903e-09,1.1091229577445862e-08,1.0727365794185955e-11,2.1905837348887652e-08,3.17100456319048e-08,0.0,8.410964690008793e-08,1.5630458248779843e-06,0.0002977308131520532,1.0055269939774863e-15,4.986718492873415e-15,1.519998831135404e-11,1.0413943258255085e-07
7,0.33294345237337564,1.2360484736514264e-05,7.248110823311116e-06,8.375228908269805e-06,3.0310348263988816e-06,0.00010983430898878766,3.049592449105827e-08,5.04898441949465e-08,4.272066423997149e-10,3.5712482231100476e-08,1.1373930470019914e-06,2.8577997394799716e-06,3.898450784220686e-06,3.995110746676467e-06,0.00023591525527987057,6.764192632861754e-09,1.109213471626213e-08,6.231580312057627e-11,6.614585362104366e-08,5.830539204202305e-08,0.0,2.456167438644741e-07,2.9615634752111487e-06,0.0004391663480421715,3.3995187411740525e-15,4.784951158582379e-14,4.861256247419292e-11,2.1772210125288967e-07
8,0.3659883991667027,2.0025752434796946e-05,1.593195805848957e-05,1.8422309034520136e-05,8.812535680774447e-06,0.00024963063676589715,5.893748887039343e-08,9.091674615355767e-08,7.053148158095981e-10,1.0753006838831723e-07,1.9448407226260405e-06,5.804246441973971e-06,7.120724189752403e-06,8.465945627050608e-06,0.0003706330782505899,1.1318371442505152e-08,1.5115156194741616e-08,2.3475008831893183e-10,1.5435608795465296e-07,1.0595163989895539e-07,1.36794842350052e-06,1.9049900497856154e-06,4.92621714331698e-06,0.0005788399055485934,1.8710042423501013e-09,1.87350458898519e-09,1.250852147675863e-10,3.7044752492336253e-07
9,0.39903334596002976,3.20707466993464e-05,3.4257872763499784e-05,2.8227790821689803e-05,2.1925231689402856e-05,0.0004467593733727655,1.7300137833060093e-07,1.1494776170727858e-07,1.9471990558549988e-09,3.4594138335637633e-07,3.286884957703555e-06,1.0964817831329077e-05,1.016298149648176e-05,1.571984060648679e-05,0.0005257368342896364,2.0753951586545632e-08,1.548317348359838e-08,8.073084589703805e-10,3.038674591035004e-07,1.9028272916265807e-07,3.748889310928094e-06,2.402571299938039e-06,7.5346863821865725e-06,0.0007217899819638079,7.53877190852016e-09,1.875485688827754e-09,2.723083500354953e-10,5.678489622572363e-07
