,Standard_beran,Standard_beran_test_mode,True_proba,True_proba_test_mode,Prior_proba,Prior_proba_test_mode,LogisticRegression,LogisticRegression_test_mode,NN_BCE,NN_BCE_test_mode
35,2.56615447865935e-05,4.4663998677541396e-05,2.6609296598896318e-05,6.12668341299602e-05,2.8458993705447633e-05,5.2903693802954824e-05,2.3034325544180046e-05,6.482572115946478e-05,2.2069620773024556e-05,7.067854981848519e-05
36,8.143864114776063e-05,7.347694920999999e-05,3.398638503110256e-05,7.137335985170334e-05,3.662067289594055e-05,5.695379394957198e-05,4.367047911347032e-05,8.929892173619247e-05,4.583646142569371e-05,9.249201904929947e-05
37,6.991109856686485e-05,0.00012324427099384924,9.796087969259456e-05,6.265699853085298e-05,9.686635021905058e-05,7.20564195179899e-05,9.3816164650639e-05,5.7526453900951606e-05,9.284790911054168e-05,5.7231563992660545e-05
38,0.00011052952320471272,4.476347841669799e-05,2.5108405962568735e-05,5.3902591835296665e-05,1.9884324494132155e-05,5.7413031048493015e-05,1.6436493637613157e-05,8.583031897671343e-05,1.6481077278157198e-05,8.47473070677097e-05
39,0.0001366416943469767,2.666375786269096e-05,6.915224668480934e-05,2.4209285225767065e-05,8.411120994511267e-05,2.122155909387601e-05,0.00011085844211291167,2.6341904423154774e-05,0.00010814565515925531,2.5537466150680396e-05
40,3.1609863324331466e-05,5.5749492171437615e-05,2.4110665403342196e-05,4.637721996879717e-05,1.8472148890637025e-05,3.1705927011517146e-05,2.3911589576470827e-05,3.285008446490141e-05,2.4669252516242586e-05,3.0444654235719343e-05
41,4.81050036164889e-05,5.0874495060113124e-05,3.353718196235271e-05,3.161807610289889e-05,3.242937362385989e-05,3.234320402712842e-05,3.4161783177373364e-05,3.237186977782395e-05,3.4229573446894564e-05,3.295649084262027e-05
42,0.00014416135879515674,6.226209643671672e-05,0.00015952031972685425,5.270283022761856e-05,0.00018851226452143988,5.049942862018359e-05,0.00017538279322852594,5.6817582334929594e-05,0.00017102280082221554,5.026423308261385e-05
43,6.151563715937708e-05,1.5066855330784623e-05,8.124451384409254e-05,5.3754736389369114e-05,5.2383648898306077e-05,5.075508187482816e-05,6.652054148796919e-05,4.955668494904324e-05,7.262710215277025e-05,4.7233747485176694e-05
44,4.5513235581789403e-05,3.419487326183279e-05,2.1718957119311017e-05,1.6860795358137486e-05,3.194324417703903e-05,2.6976972996308307e-05,3.78837744457548e-05,3.342295706300727e-05,3.8264354434012926e-05,3.335951674065847e-05
45,2.583134472031907e-05,7.469840114297212e-05,1.743848187639305e-05,6.104708223208339e-05,1.75304006307859e-05,5.251461609048918e-05,1.7819891672660682e-05,5.95768623317098e-05,1.7071227662697887e-05,5.843144138239771e-05
46,5.253548003492732e-05,4.8560881928681244e-05,7.217628391415027e-05,5.040199450170654e-05,8.635862852738493e-05,4.947096085965106e-05,8.221496765792132e-05,6.519853733292174e-05,8.495683224427875e-05,6.628450921732319e-05
47,5.11258975132463e-05,6.73208863028562e-05,5.315080506371921e-05,3.4707659873033106e-05,4.528022129500164e-05,5.310573918561708e-05,5.349060995620098e-05,4.9244814051385015e-05,5.437331118937043e-05,4.3774844502153474e-05
48,6.115583586449906e-05,4.513901774072495e-05,4.2575435335133676e-05,3.0236065709052846e-05,4.62745794428537e-05,4.050352731068688e-05,4.626481905984479e-05,1.3476899291517113e-05,4.8947111541933334e-05,1.2543939411661577e-05
49,3.009914401824406e-05,2.1950886819321385e-05,2.319282120533945e-05,1.2912510354582452e-05,2.3789362365582695e-05,1.341877012685377e-05,2.2901932830671645e-05,1.538901219784886e-05,2.136831035351975e-05,1.6495947292782177e-05
50,0.00010663708638239317,0.0002132457964605026,3.122975494525437e-05,0.00018546092108316797,2.5779499511460398e-05,0.00020325299344709836,2.3716451352707858e-05,0.0002680266921164654,2.190450300484946e-05,0.0002681717492511916
51,6.251079623066821e-05,3.57181198254497e-05,3.140104542400635e-05,3.5360062306542535e-05,3.493361306885127e-05,3.909593728847697e-05,5.60556557720415e-05,3.976902187497256e-05,5.6256650379890024e-05,4.139905518596279e-05
52,0.00016216844112767575,6.957660328681593e-05,3.256826248619817e-05,7.447609573346331e-05,2.9953706637198594e-05,7.397284072918217e-05,2.9020891253739342e-05,5.6674182484969586e-05,3.073018892993096e-05,5.93042632647492e-05
53,5.780266760375999e-05,3.563406965280194e-05,3.4694287548716544e-05,3.433967426892457e-05,4.237386516884823e-05,3.8851363254775744e-05,4.58959931985519e-05,4.980337161804904e-05,5.0579509494792226e-05,5.204017728637093e-05
54,4.5347440298752425e-05,5.111615276592373e-05,4.639015325067553e-05,1.5850309480087718e-05,4.6665554982945425e-05,1.8679358672531774e-05,4.549399961246167e-05,1.769397638100435e-05,4.59521279148038e-05,1.7985292470996374e-05
