,t,true_cdf_0.3,Standard_beran_cdf_0.3,Standard_beran_mise_0.3,True_proba_cdf_0.3,True_proba_mise_0.3,NN_MAR_cdf_0.3,NN_MAR_mise_0.3,Standard_Beran_delta_obs_only_cdf_0.3,Standard_Beran_delta_obs_only_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,Standard_beran_mise_0.5,True_proba_cdf_0.5,True_proba_mise_0.5,NN_MAR_cdf_0.5,NN_MAR_mise_0.5,Standard_Beran_delta_obs_only_cdf_0.5,Standard_Beran_delta_obs_only_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,Standard_beran_mise_0.7,True_proba_cdf_0.7,True_proba_mise_0.7,NN_MAR_cdf_0.7,NN_MAR_mise_0.7,Standard_Beran_delta_obs_only_cdf_0.7,Standard_Beran_delta_obs_only_mise_0.7
16,0.14914922522536112,0.01487449357614957,0.009119856994343553,4.8008719090936744e-05,0.008739671854105216,6.523619722128203e-05,0.008639226208816186,7.490453233339172e-05,0.011730504484845361,3.656623886166204e-05,0.006864825803861209,0.007656766784433315,1.2134338825133656e-05,0.00940076989312096,2.538696916718762e-05,0.009262509070999273,3.443783921521723e-05,0.008863637791656295,1.8912067551310863e-05,0.0028204277050998122,0.005690442891382245,1.5361833625075593e-05,0.007561077340631013,3.3369567362276245e-05,0.006646164985029827,2.025862600014161e-05,0.005190306099849347,6.1744716393838e-06
17,0.17139974609598824,0.01789751987106173,0.00970524209903989,8.877039126465955e-05,0.010105557558806452,8.678104289474511e-05,0.009409301072585715,0.000112959078604772,0.012689066315071051,6.656764013396003e-05,0.008422087968820893,0.00821909414548246,1.635701804681517e-05,0.010396377720207442,2.4071314340233778e-05,0.010498166514095408,4.4901992124907486e-05,0.010085503982115274,2.6650456512351654e-05,0.0035322267923556397,0.0062518694807270165,1.6112669483069528e-05,0.0082195922478292,3.180392589709064e-05,0.007408792631177108,2.059509817899812e-05,0.006425082452768405,1.0874800596559756e-05
18,0.19365026696661536,0.02142959289577723,0.011114384050022408,0.00011964040644925241,0.014038494416670969,7.118688245723678e-05,0.012952087756899155,0.00011527324625616968,0.015152829252009855,6.547360866131776e-05,0.010281234114530347,0.010117430266495475,1.4069237389220364e-05,0.012045869114583977,2.420834686897003e-05,0.012764193209418536,5.353601330918646e-05,0.01312966014614203,3.4602774204447125e-05,0.00440136167181411,0.00834647992267142,3.834127635654945e-05,0.009375389300843806,3.531393250141409e-05,0.011365467181912189,7.794287303515627e-05,0.010270583417784787,5.5408360340566835e-05
19,0.21590078783724248,0.02553380204013135,0.015294554692913001,0.0001556191492633888,0.016613108211656735,0.0001160623126014979,0.019023879407437144,0.00019890320571103754,0.021933911386649057,0.00012223757190630864,0.012488615567758831,0.011785363053616623,2.0441873316299353e-05,0.013892795466391142,2.5385410691298394e-05,0.015467336498559211,6.959165343698001e-05,0.01607277963774027,4.780787913652567e-05,0.0054567905939687505,0.009233934951313564,3.861553423120757e-05,0.010972159610320942,4.102811489120459e-05,0.01456920985128,0.00012980630141195914,0.011306889566251921,4.618225952175432e-05
20,0.2381513087078696,0.030276673493571896,0.021837468750802575,0.00013934896598376416,0.01967002074012329,0.00014825179039344458,0.030883096596304466,0.00013471924514545282,0.03323509810910774,0.000167486772131215,0.015095089033773254,0.018179028320859453,3.521759649503092e-05,0.016906337235077878,2.0199716568255508e-05,0.02656270699396235,0.000265266485353079,0.025856480786134117,0.00019455661187107768,0.006731416857897136,0.011465080673203324,3.369069630510789e-05,0.012267905492830744,3.956202149565979e-05,0.01662144390462546,0.0001580445752375127,0.01622553935485897,0.00011883677570901334
21,0.26040182957849667,0.035727536725737044,0.02471021278530372,0.0002129202094265855,0.02311881716638183,0.00020827062778885596,0.03656394156483167,0.0002407480109989148,0.038184356758663794,0.00019162144666445328,0.018155933680280394,0.022849916245740436,5.455330383029272e-05,0.01951750070700616,1.9837981488400038e-05,0.0338214571603254,0.0003510142141747742,0.0315522336020693,0.00025042063406084534,0.00826232380846463,0.01508984112863454,5.286467425689943e-05,0.014038951555164584,3.9317963266276067e-05,0.01983322592827445,0.00017181156151002032,0.020365893663296847,0.0001658585240737506
22,0.2826523504491238,0.04195772652350434,0.02961811359623971,0.00028371910389420437,0.030006031694332247,0.00020595077276672007,0.053232043912537365,0.00041530972002903503,0.0429211428147516,0.00019279620277088644,0.02173064789551892,0.02643255766032408,5.59419197176366e-05,0.02456235369938257,3.2088338660090844e-05,0.04573890501861352,0.0006648079984039836,0.035526228979841555,0.0002579749650454236,0.010090957793224931,0.018549550383225328,7.81491275977823e-05,0.017062484095085706,5.460117166597648e-05,0.02654031486700296,0.00030427402364490097,0.024680945968638273,0.00023898197111878473
23,0.3049028713197509,0.04903961902651787,0.03503243640080156,0.00031309582884793066,0.03478948219510155,0.00023374801594803728,0.05903905873644114,0.00030507165443485605,0.051237572409459,0.00020418687516342572,0.025882610447265354,0.030725927796692736,6.611874865471996e-05,0.02844108616278951,1.8522552555553186e-05,0.05280124566039283,0.0007751498310604372,0.042206148841058076,0.00035725524864033223,0.012263242971214602,0.023577836271288177,0.00013674084744148398,0.020079005134601518,6.455845131129213e-05,0.034369450860895746,0.0004978021460230714,0.03262491489905006,0.0004424918363175858
24,0.327153392190378,0.05704550581110734,0.03825768860279766,0.0004736863426880327,0.03756920466203676,0.0004112725239261386,0.0624298099653516,0.00029577363870410137,0.056758232688353706,0.00017979198090510668,0.03067859293805211,0.0344253267789435,6.666486525608806e-05,0.03275485135620585,2.0691893823771086e-05,0.05823663357395403,0.0007965899272916492,0.048110986596511286,0.00040685105215962814,0.014829611088986418,0.026778492430234224,0.0001526025945592701,0.023475931830889845,7.848268571368875e-05,0.04276484739118006,0.0007963288598441942,0.03764544261516578,0.0005719065899507577
25,0.34940391306100516,0.06604631633120714,0.05176142976435979,0.00033590220609022763,0.0486811877507675,0.00032655658228437586,0.08668504481080914,0.0006802551053800393,0.0749162206907813,0.00025630288846436537,0.036188113532710155,0.04155273774815741,5.5310915818337816e-05,0.03771741235783055,3.805165599735797e-05,0.06628522604074376,0.0009930093079700102,0.058603484602381406,0.0005377712384731526,0.017844929116402754,0.031016245664426807,0.00018563892494018804,0.02671435306949103,9.229369058592835e-05,0.04739993809846943,0.0008736013557707452,0.04326711727510435,0.0006566592952211391
26,0.3716544339316322,0.07611020573486088,0.05759993143456943,0.0005546607187784206,0.057215013785557454,0.0003700309547671747,0.09948403039535599,0.0007419826002764886,0.08323370099722649,0.00036169825667069114,0.042482625934571486,0.04786749608846996,9.517738541950522e-05,0.04530823651230017,5.2303532181422916e-05,0.07598592406868383,0.0012396958234642888,0.06628241052362216,0.0006425269142153402,0.021368308083870947,0.035864009344322066,0.00024392226722271874,0.03176002062897021,0.00011814837851370285,0.053619964873852455,0.001047665938671266,0.04983630145006709,0.0008279897112465725
