,Standard_beran,True_proba,LogisticRegression,NN_BCE
0,5.6646979958924195e-05,1.7621180530900057e-05,4.5540466230077414e-05,4.941838436222416e-05
1,0.0001052563874646576,4.9174881108298e-05,5.4896959525600384e-05,4.7108759409360676e-05
2,0.00012522986417730166,8.471244624546114e-05,8.932013040713777e-05,8.7090740803577e-05
3,5.236023541188067e-05,4.183293422396972e-05,4.682278898942115e-05,4.7452181374958996e-05
4,9.832351730001218e-05,1.578844883469821e-05,2.5164944424243974e-05,2.4978575617981076e-05
5,7.975097727677459e-05,5.851584160098887e-05,7.648202451646743e-05,7.66158226328153e-05
6,4.418418127785245e-05,4.496068291699086e-05,3.9086085863533756e-05,4.005555322005414e-05
7,0.00010875006356594853,9.724050878420527e-05,7.888685316626148e-05,8.039321032649633e-05
8,3.3312184236388924e-05,7.62565549068615e-05,3.392286559194175e-05,3.214902260500075e-05
9,6.334546773037523e-05,3.729611799901463e-05,4.466857706290433e-05,4.633439122949791e-05
10,2.4454066314748418e-05,1.6302438773921623e-05,2.3084883001998598e-05,2.4502147394352955e-05
11,0.00012669518642705898,3.4757494456250174e-05,8.679947082948226e-05,8.792103308034616e-05
12,8.412618767318462e-05,0.00014472448277002428,0.00010101788587644007,0.00010436817339984231
13,7.776712990213542e-05,7.381226053255539e-05,6.217279241068511e-05,5.900048138702248e-05
14,7.500154787992285e-05,6.9015951767062e-05,8.673112568314493e-05,8.714482668567286e-05
15,3.541778817679281e-05,1.7363193965656656e-05,2.3616345508444523e-05,2.4255792898261995e-05
16,5.470207604258029e-05,4.351873338172458e-05,4.4607362350624164e-05,4.967665828356812e-05
17,3.2277990621727216e-05,3.100437465907042e-05,2.5346441678707288e-05,2.461048935155022e-05
18,2.554603665274764e-05,2.5898079525893478e-05,2.084283281261353e-05,1.9829691365201423e-05
19,8.713655026743835e-05,6.550083441635203e-05,0.00010020361758981433,9.444707942691689e-05
20,0.0001387802204270152,9.042356119708988e-05,0.00010246331978501231,9.936481360268627e-05
21,6.35587512727284e-05,2.3053666906720543e-05,4.139766883189426e-05,4.269504805973946e-05
22,6.851873517933235e-05,7.369070956254755e-05,7.5462384549254e-05,7.210589615525953e-05
23,3.0637756799693136e-05,1.9897500764761048e-05,2.1704935918698072e-05,2.3085609794771776e-05
24,5.35029083475317e-05,6.731246892767587e-05,6.60115290756967e-05,6.564082105507075e-05
25,0.00010022002376941715,5.535954545077878e-05,4.660825074122293e-05,4.654089160624408e-05
26,5.15894044946977e-05,8.074670752001705e-05,5.4259809616718166e-05,3.743759088007016e-05
27,3.8338093858514274e-05,3.2747928666775475e-05,4.2229349648031386e-05,4.280024316464312e-05
28,8.056751937851493e-05,4.8027621789810205e-05,4.5073421221258936e-05,4.4979655722553984e-05
29,0.00015275741100335806,7.229975489415911e-05,0.00014171792401832577,0.00014187301961946487
30,0.00026924214077130113,6.139275250937248e-05,5.408676551579835e-05,5.163125994693798e-05
31,5.600113569258029e-05,2.1971477291534522e-05,3.3079110982035356e-05,3.317181001417043e-05
32,9.514033578352519e-05,8.143868272874352e-05,0.0001007169519036559,0.00010343764730299654
33,8.626598764205487e-05,7.859670592701472e-05,7.534398430366983e-05,7.199825472502075e-05
34,4.484136236726758e-05,0.00014508967563048444,0.00014509684161307296,0.00015736784376784384
35,7.029778660200826e-05,5.3107391665890616e-05,5.641673502494245e-05,6.132302842377937e-05
36,9.413620355002478e-05,0.00011977149843312812,0.00012300927827329998,0.0001220428698760936
37,4.677083437094152e-05,2.7589440343096065e-05,3.3466482596767434e-05,3.4162557523619776e-05
38,3.621502712385779e-05,7.998236479811315e-05,6.921629453497515e-05,7.061965330357e-05
39,2.3885499710548124e-05,2.754738090096907e-05,1.3892407387634659e-05,1.3816436403581469e-05
40,0.00011763209226429122,0.0001661024382175739,0.0001148341974508596,0.00011521130354985767
41,3.637736486764967e-05,2.0927914395501453e-05,2.981039879569891e-05,3.0240919761310522e-05
42,5.8492609533667546e-05,4.9752191206944206e-05,5.7272684188185385e-05,5.6231807770913964e-05
43,8.914006132856495e-05,1.9023113040948757e-05,5.0290187100515624e-05,4.841981738267554e-05
44,6.321698682145249e-05,2.9438737607158683e-05,4.111175789043314e-05,4.183350426935996e-05
45,8.88776863500492e-05,9.015300499127015e-05,9.055005522560945e-05,9.114782931766471e-05
46,4.8346163436183235e-05,0.0001483074110732877,0.00014715536604800576,0.00015045355787977847
47,2.1327259476669684e-05,1.9840209762013226e-05,1.697866546686707e-05,1.6992446926137533e-05
48,2.7396551646760044e-05,0.00012943547020748128,0.00014756525975841072,0.00014737249432942676
49,4.7186128558458474e-05,2.6625398221852337e-05,4.562206777459451e-05,4.6613406718658965e-05
50,7.757685037834583e-05,7.25839596380134e-05,6.364737856199648e-05,6.514737727852532e-05
51,0.00021908520926070687,0.00013480720346606049,0.00016605249012765778,0.00016985570082667602
52,5.6389983642227313e-05,3.829312421848523e-05,2.2239596102781602e-05,2.168677297768892e-05
53,0.00015866500107334286,0.00010565767768774688,0.00010900905433540893,0.00011175183737011274
54,0.0001192394421594666,6.157926887120522e-05,7.919043994532639e-05,7.67629731239579e-05
55,4.165819727530574e-05,7.100461266778601e-05,5.447336679711677e-05,5.209508263701109e-05
56,0.000131719421424291,6.947136947851924e-05,6.522978000145344e-05,7.355516591032036e-05
57,7.624082994600134e-05,4.293772350144068e-05,6.219904527444498e-05,6.203451981100145e-05
58,4.6402642717272985e-05,4.102090509037222e-05,5.2609851553994207e-05,5.285943986929197e-05
59,0.0001618823089648024,6.243711061293571e-05,9.023593372380076e-05,8.920327372042532e-05
60,9.746343241723342e-05,8.516777325006748e-05,8.120423604602648e-05,8.171681507057451e-05
61,6.924028003379557e-05,3.497548639556394e-05,5.074681567456062e-05,5.0573464523019387e-05
62,4.7537824693857376e-05,4.407632350272576e-05,4.4307184148057244e-05,4.254336357295843e-05
63,8.82836321171433e-05,5.6402199356811745e-05,7.25363122645156e-05,7.282463182889093e-05
64,0.0001347115001532342,6.991131756697759e-05,8.605954027830676e-05,8.970781942838261e-05
65,0.0001431200454597053,1.1825574525307846e-05,1.9232714555799708e-05,1.962654803392892e-05
66,6.012441361179923e-05,4.753169062023441e-05,5.2595540443057406e-05,5.378463260657465e-05
67,0.00029905858492267274,0.00014214067392166543,0.00018225113919613742,0.0001826215053922946
68,5.1326498227345586e-05,3.732292796853516e-05,4.856225758740028e-05,4.141172416259521e-05
69,7.882188268332785e-05,9.532688718960767e-05,0.00010769608607965182,7.825990501492189e-05
70,4.340581405458254e-05,8.232667737508781e-05,0.00010191644423009186,0.00010717106830242053
71,4.378609621764836e-05,2.51131894239267e-05,2.5640103007586102e-05,2.6542666280402484e-05
72,8.991263412601994e-05,2.915659413079823e-05,3.221069666785422e-05,3.9208156816372945e-05
73,0.0003335732379445519,9.238856349489122e-05,0.00010647598031977272,0.00010783206692876987
74,6.571943437261118e-05,9.595458465269207e-05,8.433741449181135e-05,8.513076801809063e-05
75,4.480601636377673e-05,3.536011808488714e-05,3.661740669304282e-05,3.643210244624543e-05
