,t,true_cdf_0.3,Standard_beran_cdf_0.3,Standard_beran_mise_0.3,True_proba_cdf_0.3,True_proba_mise_0.3,NN_cdf_0.3,NN_mise_0.3,Linear_cdf_0.3,Linear_mise_0.3,Linear_MAR_cdf_0.3,Linear_MAR_mise_0.3,NN_MAR_cdf_0.3,NN_MAR_mise_0.3,Standard_Beran_delta_obs_only_cdf_0.3,Standard_Beran_delta_obs_only_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,Standard_beran_mise_0.5,True_proba_cdf_0.5,True_proba_mise_0.5,NN_cdf_0.5,NN_mise_0.5,Linear_cdf_0.5,Linear_mise_0.5,Linear_MAR_cdf_0.5,Linear_MAR_mise_0.5,NN_MAR_cdf_0.5,NN_MAR_mise_0.5,Standard_Beran_delta_obs_only_cdf_0.5,Standard_Beran_delta_obs_only_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,Standard_beran_mise_0.7,True_proba_cdf_0.7,True_proba_mise_0.7,NN_cdf_0.7,NN_mise_0.7,Linear_cdf_0.7,Linear_mise_0.7,Linear_MAR_cdf_0.7,Linear_MAR_mise_0.7,NN_MAR_cdf_0.7,NN_MAR_mise_0.7,Standard_Beran_delta_obs_only_cdf_0.7,Standard_Beran_delta_obs_only_mise_0.7
0,5.742132956724736e-06,1.8449302999472727e-05,0.0,3.4037678116635335e-10,0.0,3.4037678116635335e-10,0.0,3.4037678116635335e-10,0.0,3.4037678116635335e-10,0.0,3.4037678116635335e-10,0.0,3.4037678116635335e-10,0.0,3.4037678116635335e-10,1.9666611986433146e-05,0.0,3.8677562702491594e-10,0.0,3.8677562702491594e-10,0.0,3.8677562702491594e-10,0.0,3.8677562702491594e-10,0.0,3.8677562702491594e-10,0.0,3.8677562702491594e-10,0.0,3.8677562702491594e-10,2.1205472169980924e-05,0.0,4.4967204995183544e-10,0.0,4.4967204995183544e-10,0.0,4.4967204995183544e-10,0.0,4.4967204995183544e-10,0.0,4.4967204995183544e-10,0.0,4.4967204995183544e-10,0.0,4.4967204995183544e-10
1,0.03761199921349505,0.11383078007710554,0.11113834617240599,7.746579411421123e-05,0.11219510503824334,0.00015176104365906837,0.11612184040237769,9.310515164046479e-05,0.13236271079381146,0.0029467925307631033,0.13185114182644514,0.0013243935963667384,0.14345404902863845,0.0009786535717525827,0.12958740498493443,0.00046591382105911716,0.12086876957708304,0.11269694914723513,0.00021293195304497814,0.11880030829408872,0.00013711936179643735,0.12116262635369739,0.0003530708166774892,0.13381364161633505,0.0025683080832235245,0.13428518787292748,0.001090662846292179,0.1455315552282868,0.000835140293744593,0.13141408005200894,0.0003546384566816222,0.12968591313079558,0.11486698830818623,0.00035482334934575343,0.12741097714757682,0.00011572667034007676,0.12693928740022767,0.00029648138589799967,0.13962694035794943,0.002365256806539556,0.13858980816391225,0.0009694913134516075,0.15217525701938328,0.0006059401585611301,0.1390003452283201,0.0002953682317608549
2,0.07521825629403336,0.21468962523219595,0.21194325033992442,0.0003474028743519814,0.21858671137064087,0.00011152171305618054,0.22407286530973244,0.0009208198783908618,0.24623326142314225,0.006668316874417016,0.2515691129716949,0.0036117463704575512,0.2703656667698736,0.0032132748668752993,0.24431315712983243,0.0015479845950301403,0.22711307962791574,0.22403404197075746,0.00017608115580251748,0.2263476073113094,0.00023601219607444638,0.22936413085741375,0.0012032902191567193,0.24792546568045867,0.005983719661243898,0.2524950889440183,0.0028711937232413576,0.27088359450207883,0.0022137477233479964,0.25652065980301353,0.0010566759405468145,0.24253732784340865,0.22793751709193968,0.00041313934838816004,0.237240829505981,0.00042253040968324285,0.23686659773427712,0.0010532804864953251,0.2578136279446352,0.006024725069534678,0.25126738480315214,0.002779111704372523,0.2797924970492066,0.0017028710503172318,0.2635313077253117,0.0007835261280880525
3,0.11282451337457168,0.304069278357909,0.2990839414300733,0.0011082947061757512,0.31051936698084626,0.00027335140507008584,0.31553193945479674,0.0018996959816915408,0.34384358041689267,0.010449384732073954,0.3557460681726842,0.006614819315146313,0.3771197280036797,0.005667083483636965,0.3473842102729018,0.0030068993061708733,0.32051760759894754,0.31627515440701687,0.00035024734231640665,0.3260842014630928,0.0007303674621396253,0.3312212003176362,0.002238450547344979,0.3541006160586505,0.009373732279173895,0.35780230971045646,0.0056753526231774366,0.38318906460349594,0.004576127411007565,0.3615071693451815,0.002202046375771826,0.3407555865554661,0.3299379179259714,0.00031601367715553875,0.3395988167532092,0.00013531108622006805,0.3406023719778382,0.0011905138866946594,0.3584716722566753,0.01103980627717403,0.3599260877315003,0.006015044987897869,0.39835553495516257,0.003507773966120444,0.3748612858294142,0.001591013582598404
4,0.15043077045511002,0.3832762371584836,0.38385336151890453,0.0018464935926636827,0.39840859896496933,0.000692656512844941,0.4077112381595647,0.0025767160698540797,0.4328222234820235,0.014054512286468207,0.4466138199728705,0.009618095950409467,0.4723825500819093,0.008578142309499413,0.43760921616430004,0.004400199721693303,0.4026340601536027,0.40111912134125316,0.0008330943065360492,0.39928752113766475,0.0005833841408322106,0.4049560938811945,0.0018429569294546525,0.4335424129763229,0.013737948806612763,0.4369005127102527,0.007465242724464813,0.4669332096450032,0.0048069932238276976,0.44996109115747435,0.0031582807660121997,0.4262381333981019,0.4278657659628748,0.0004922883566141117,0.4265837365249442,0.00023647024564983163,0.43014515400249487,0.0015343285681098534,0.4456037829066937,0.01583761805522004,0.44938963747639515,0.008087419364208419,0.49454220439208746,0.00500514362998879,0.4728335300136786,0.002679782353446816
5,0.18803702753564835,0.4534683010459084,0.4579556968488744,0.0010495886654393073,0.4697766673442024,0.0010510944120277555,0.4774436462644185,0.0027451171950899677,0.5058277294397605,0.015526883930530228,0.5222833571389671,0.01134069541125066,0.5471839158898468,0.009443397786953462,0.5116088811209758,0.0044841928115437885,0.4748266179089633,0.4728496322720826,0.0006851599408443557,0.47194406179611575,0.0010353139398696734,0.47930742270054666,0.002396155875501434,0.5077045945343542,0.015592274104136116,0.5126823537406735,0.00959111192438683,0.5445059028801331,0.005902329156388982,0.5270951149064842,0.003713964192054192,0.500636375746562,0.501213338194159,0.00039801794603535717,0.5049485291943467,0.0006644199322056347,0.5099877057598239,0.00296439421495768,0.5219171397865898,0.018060232640303875,0.5285099893205127,0.010635590145434023,0.577595675046067,0.006711430186779647,0.5533103290789059,0.003463537893457344
6,0.22564328461618666,0.5156714951513812,0.5236276860685517,0.0013339790684192953,0.5370848875569665,0.0016627654813604433,0.5439774400510515,0.00402858861635212,0.5716603973031951,0.018282461002564115,0.5909193695920802,0.013548759003389154,0.621886373604691,0.012498501933304273,0.5812652007751337,0.005382719724190886,0.5382945982359537,0.5469945486202888,0.0008801509250671472,0.540337906964427,0.0014612947352341896,0.5521431925247839,0.0033326791343815157,0.5756051320590888,0.017824910080152197,0.5792333208211767,0.010497225481760897,0.6140221300648613,0.0068451687332057145,0.6007430281809387,0.004838956831298792,0.5653875871807478,0.5783257567528897,0.0009406565154588441,0.5772019827599885,0.0006662240978748087,0.5809881093230257,0.0032910078023803053,0.5919469721830066,0.021049265828900786,0.5974000880977709,0.010178006664036504,0.6491198938464348,0.007649013127313998,0.6267056728953799,0.004503273262204227
7,0.263249541696725,0.5707950681400409,0.5771681798327201,0.0010333782694003548,0.5900211872288333,0.001976308524682588,0.595450973837442,0.004725415733059828,0.6245731857918561,0.01668324665678099,0.6434484211526807,0.013778028505429984,0.6748749576832023,0.012187494944202525,0.6327275130767327,0.0052614572774046815,0.5940923792265866,0.6051948329585394,0.0010702975073970222,0.5974465563977793,0.0016113896859962773,0.6099074656349297,0.003813459579271361,0.6305390079716899,0.015887236955349764,0.6358501293374652,0.01025236662764165,0.6720785924573071,0.007103334819106263,0.6563290499425196,0.00499067905513052,0.6217426736699843,0.6253977919155669,0.000760653492292456,0.6259741929822813,0.0008934681484608559,0.628587054504716,0.0038158634792503456,0.6388667496554392,0.021042579718201747,0.6430095228348535,0.009866157013801908,0.6970289387603147,0.006451940480387252,0.6791460125027653,0.003956124316020664
8,0.3008557987772633,0.6196447830579561,0.6363979966471938,0.0013262289293951286,0.6401227067438136,0.0018960214267364378,0.6493606423709607,0.003880154386407588,0.6713571221929621,0.01902809013157657,0.6894796532244681,0.013964730690551966,0.723232626354233,0.011964104723901779,0.6897755695021686,0.0061402912135748375,0.6431469158202876,0.6576602070281663,0.0006550779217831751,0.6454944801559744,0.002461729967831815,0.657953497138101,0.004770219423893997,0.6786907347017952,0.017301261133172423,0.6837115961335872,0.011246970897711863,0.7170641218030994,0.00729870469721416,0.7073396608909384,0.004941062151507353,0.6707903393872094,0.6768976759807344,0.0011197425255015533,0.667385510476979,0.0012515905965634973,0.6789305828020693,0.005030812465988715,0.6815580748785057,0.0243344901625455,0.6837853889897706,0.010350884505568436,0.7402360453329203,0.005785386801654167,0.7298994414181312,0.004805903018841382
9,0.33846205585780165,0.6629346954889321,0.6900784409564926,0.00223598010895193,0.6870490853858349,0.0017035993137708336,0.6956857598198785,0.00335954017260926,0.7174314469560099,0.019293858671582148,0.7346926475557093,0.013402688699637422,0.769322062476175,0.01207554939601162,0.7447184953858157,0.007901078935857718,0.6862731390804333,0.7068306744925892,0.0014578546728763568,0.7033404709260448,0.0023420247369354877,0.7153772327299147,0.005106846312882964,0.7286594341239165,0.018053935138918675,0.7329708286771697,0.011592447200323574,0.7739064584309437,0.009178288739006142,0.7543855931802634,0.005667634264538797,0.7134781190034849,0.7289318897002192,0.002716669747432914,0.7178852642449092,0.0011088234847070754,0.7296603403369656,0.005246484864672524,0.7259859394141268,0.025863856370651205,0.7332029452281998,0.009873365279550943,0.7873638880172535,0.0062761300805807,0.7813652387442473,0.006584955664372283
