,Standard_beran,True_proba,NN,Linear,Linear_MAR,NN_MAR,Standard_Beran_delta_obs_only
0,0.0009288904124594451,0.000545356186967093,0.00111555635489447,0.013151402231414528,0.005809157809802241,0.003019733198350571,0.00132756142264178
1,0.0009033740153564999,0.0004790432450047823,0.0006034269880514877,0.005300490510306624,0.005658721778902001,0.0023509497172759,0.0008254130397544288
2,0.0004510885517715372,0.000659051275242448,0.005354919134791013,0.006679046748957484,0.0072611250989616585,0.002946276313456185,0.0005102709691987532
3,0.0006591729497222237,0.0004960082871478588,0.007867445366587898,0.01737018620392797,0.0061058161371123154,0.0036638624636861207,0.0009842316444282314
4,0.0014660389238509797,0.0007700301188090935,0.00663871427890468,0.005770602278173845,0.00456478268647025,0.0018741611092863378,0.0008769988024174942
5,0.0004556727464992305,0.0006401001061961754,0.008401782482316872,0.010114279390750576,0.008847766392722016,0.00243714734380374,0.0005481139734462017
6,0.00031531060548018114,0.0002156364610174573,0.0009660101936985697,0.009173490799080333,0.005669880584292543,0.0023063507126294173,0.0009928639738392407
7,0.0007048206515471715,0.0004015055888829381,0.0010574886125654518,0.006884229363256789,0.006371534121351106,0.0021327009290094344,0.0005437747731801895
8,0.0005092352294583803,0.0002976953121679699,0.0037001496221892925,0.006410302416711664,0.006197180549550039,0.0021189519846466862,0.00039844347870453283
9,0.0004457675493958181,0.0003653486641611162,0.000509019762447163,0.025925240249812753,0.005067195913195263,0.002447362656119588,0.0005242436470054369
