,t,true_cdf_0.3,Standard_beran_cdf_0.3,Standard_beran_mise_0.3,True_proba_cdf_0.3,True_proba_mise_0.3,Subramanian_cdf_0.3,Subramanian_mise_0.3,NN_MAR_cdf_0.3,NN_MAR_mise_0.3,NN_MAR_with_delta_cdf_0.3,NN_MAR_with_delta_mise_0.3,NN_two_steps_cdf_0.3,NN_two_steps_mise_0.3,NN_two_steps_with_delta_cdf_0.3,NN_two_steps_with_delta_mise_0.3,Standard_Beran_delta_obs_only_cdf_0.3,Standard_Beran_delta_obs_only_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,Standard_beran_mise_0.5,True_proba_cdf_0.5,True_proba_mise_0.5,Subramanian_cdf_0.5,Subramanian_mise_0.5,NN_MAR_cdf_0.5,NN_MAR_mise_0.5,NN_MAR_with_delta_cdf_0.5,NN_MAR_with_delta_mise_0.5,NN_two_steps_cdf_0.5,NN_two_steps_mise_0.5,NN_two_steps_with_delta_cdf_0.5,NN_two_steps_with_delta_mise_0.5,Standard_Beran_delta_obs_only_cdf_0.5,Standard_Beran_delta_obs_only_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,Standard_beran_mise_0.7,True_proba_cdf_0.7,True_proba_mise_0.7,Subramanian_cdf_0.7,Subramanian_mise_0.7,NN_MAR_cdf_0.7,NN_MAR_mise_0.7,NN_MAR_with_delta_cdf_0.7,NN_MAR_with_delta_mise_0.7,NN_two_steps_cdf_0.7,NN_two_steps_mise_0.7,NN_two_steps_with_delta_cdf_0.7,NN_two_steps_with_delta_mise_0.7,Standard_Beran_delta_obs_only_cdf_0.7,Standard_Beran_delta_obs_only_mise_0.7
0,0.03491929121735547,1.0405943811326638e-05,0.0,1.0828366660448721e-10,8.212717677806291e-06,1.175806291077337e-11,0.0,1.0828366660448721e-10,0.00026423157703876765,1.834119761919502e-07,0.0001509978456815436,5.8201739744030856e-08,0.0005123466596468013,3.022935259707149e-06,0.0002837253410029916,9.96611674972623e-07,0.0,1.0828366660448721e-10,4.067627459248019e-06,0.0,1.6545593147228552e-11,5.237674132479997e-06,3.5486375260190598e-12,0.0,1.6545593147228552e-11,0.00022762126421450423,1.3025735716115199e-07,0.0001296776513166481,4.113773489893951e-08,0.00035556555301850145,1.5962770984203503e-06,0.00021261699837201052,5.625015666434017e-07,0.0,1.6545593147228552e-11,1.5900106235630674e-06,0.0,2.528133783043415e-12,3.1311435530151368e-06,3.6797771023861675e-12,0.0,2.528133783043415e-12,0.00020042369393606874,1.0741680420721771e-07,0.00011532239824083246,3.463348861238822e-08,0.00025569881426321773,9.192423027671504e-07,0.00016575460330365665,4.841973732403927e-07,0.0,2.528133783043415e-12
1,0.05544560750811513,5.0584173219142286e-05,1.5401507384844026e-05,1.8042413111026815e-08,4.1055031888768135e-05,2.0934842676059127e-10,2.4392696538593218e-05,6.265331446428675e-08,0.00045474559027751713,4.6819845616861994e-07,0.0002645464407490356,1.763125145678331e-07,0.0008924298503521044,1.009796973949261e-05,0.00048236390238945545,2.841042576870454e-06,2.1588523799914163e-05,4.9715095368898915e-08,2.250627153101003e-05,1.4726744118430113e-05,1.4750270582477496e-08,2.6946603803409407e-05,5.7174508039814535e-11,1.8575050881501355e-05,3.4923875705218614e-08,0.00039251138456020574,3.3966842657811563e-07,0.00023066781381050894,1.2441127939336024e-07,0.0006459708408183368,5.5588320125704705e-06,0.0003703794030036994,1.627318434625679e-06,1.6355784393101147e-05,2.7014438437126652e-08,1.0013572993884105e-05,1.2794890988092611e-05,1.4834205061035957e-08,1.7225075187058956e-05,8.126513637740072e-11,1.1611916583207926e-05,1.9586457824902115e-08,0.0003514533178675194,3.0780482820116136e-07,0.00020775838560812665,1.0855574582449283e-07,0.00044776431342283317,2.5943612346610464e-06,0.00028303157771217724,1.0675279563264523e-06,1.024582791441575e-05,1.5182566293832684e-08
2,0.07597192379887478,0.00014852563917701472,0.00014085552142646562,3.7948244460621834e-07,0.00012281238435499664,1.5079145823846744e-09,9.175952608825088e-05,3.602683318652161e-07,0.0007112120725144916,9.928595221369898e-07,0.0004519069334806042,5.201609758283468e-07,0.00139467675824214,2.2972158492843734e-05,0.0008131415304624017,7.1681673560281156e-06,8.021919882513051e-05,2.7675201672151166e-07,7.217734206327964e-05,7.145443605325652e-05,7.483928159603939e-08,8.384211784790263e-05,4.045468309748547e-10,5.2763855186493956e-05,1.1185098528379254e-07,0.0006093086987913504,7.465112534526265e-07,0.0003664780622204183,2.8772597737880776e-07,0.0009468275909045553,9.393738871284483e-06,0.0005556283508634519,2.7957778456991067e-06,4.71469202169128e-05,8.919806338541371e-08,3.507452650735301e-05,2.956762227015075e-05,2.6556220906460117e-08,5.56367213904313e-05,6.49996001922292e-10,2.002256716510997e-05,2.6109063905055567e-08,0.0005398666467009905,6.603288771960915e-07,0.0003195332318796401,2.3178021848792033e-07,0.0006500099761647621,3.823121675296877e-06,0.00040215345258164445,1.4318186600828738e-06,1.9112627819145022e-05,2.0960771164790258e-08
3,0.09649824008963444,0.00033649858599331053,0.0002675467656991698,9.366363717869853e-07,0.0002800308942880736,7.034628948451248e-09,0.000147651542884496,5.797571741669625e-07,0.001035117492968289,1.7688291224562878e-06,0.0006546630818416566,7.96828782940992e-07,0.0019952722475004387,4.349622505342007e-05,0.001198576325339095,1.5424308144377456e-05,0.00013058641306952723,4.675494983652328e-07,0.00017485730521605433,0.00015716436109684261,2.793171175986583e-07,0.0002002474672406518,1.6975491378746534e-09,0.00010216231085662885,2.5090231202327824e-07,0.000888763866447268,1.3553663417251976e-06,0.0005523198727600603,5.376466042165239e-07,0.001315525153817793,1.5153400293053511e-05,0.0007974085903206435,4.852372713652414e-06,9.304131396678794e-05,2.1264286358740802e-07,9.085889549103654e-05,9.218160273870568e-05,1.3899416990772814e-07,0.00014099135493374936,3.573281362796897e-09,6.769615029850573e-05,1.873406352105327e-07,0.0007986540738033371,1.2932875947721426e-06,0.0004983290888183412,5.142888851249922e-07,0.0009302780538435101,6.0998370275227466e-06,0.0005915358300053419,2.2882418313624003e-06,6.459918256957797e-05,1.7564019177338254e-07
4,0.11702455638039409,0.0006506778464901262,0.0004745241350393181,1.316827745533418e-06,0.0005470177287858707,2.3914024806421323e-08,0.00038133432994491237,1.3654089525028101e-06,0.0014290901569279052,2.70810466139717e-06,0.0009798572091120755,1.4624431892158566e-06,0.002590235234371252,5.9431950703582184e-05,0.0016208744199040542,2.125854583200281e-05,0.0003342361331800348,1.1443257426292114e-06,0.00035690070127487655,0.00033517558239614,5.321027109062316e-07,0.00040036414678306764,5.901791332973687e-09,0.0003691243841552788,1.1039591027325438e-06,0.0012307590365995675,2.1904649410641757e-06,0.0008853890464367492,1.2565875576517273e-06,0.0017841976732981496,2.5300267202823383e-05,0.0011927803482933929,8.909115164134092e-06,0.0003355623279211395,9.474859328262047e-07,0.00019574918562571478,0.00025608895012710185,4.53421979680367e-07,0.0002924887832088663,1.3750356999415743e-08,0.0003404037888574385,1.2627072352789405e-06,0.0011141879838288383,2.1536577087301286e-06,0.0008042554909009253,1.2624308596225658e-06,0.0012756257214460059,9.864061690044179e-06,0.0009240218798791805,4.539057265815985e-06,0.000304442941805369,1.032551483528574e-06
5,0.13755087267115373,0.0011305741215760828,0.0008639142114532955,2.233975872870121e-06,0.000951684625210823,6.521870241228282e-08,0.0008036336795420562,3.429369261026415e-06,0.0019383668700677893,4.221007968429003e-06,0.0015051405307706716,3.1459797004824154e-06,0.003316967175009334,8.40085047279514e-05,0.0022794151606737832,3.2456306458804306e-05,0.0007448620537273776,3.206890892645271e-06,0.000648893541546593,0.0006284045453591647,9.092642209384843e-07,0.0007127654887446683,1.424012484481819e-08,0.0007192051100563429,2.101505223798751e-06,0.0016815902629582673,3.4877499320802487e-06,0.0013075127321884317,2.1667326735851018e-06,0.002345713905521074,3.7976900441817534e-05,0.0016721840261383076,1.3731894326628461e-05,0.0006297225769552811,1.734937616391622e-06,0.00037239449835260084,0.0004883352773008198,8.295068003794138e-07,0.0005354168982048151,3.7415034834871446e-08,0.0006053046143589341,1.9116895585684822e-06,0.0015210160126088307,3.5871923315150362e-06,0.0011571130511876622,2.102099627746001e-06,0.0016928754123647805,1.4412115469445315e-05,0.0012981009033083885,6.580420128031977e-06,0.0005529398888364761,1.652574754881239e-06
6,0.15807718896191342,0.0018186012078849742,0.0014937799625964609,3.908815421907877e-06,0.0015336250927145939,1.480202050258918e-07,0.0014157842138830235,5.7511768547492356e-06,0.0025607194455542774,5.854295450369837e-06,0.0021599629993082976,5.238836180681426e-06,0.004229225694229617,0.0001088241408327035,0.003069690862029883,4.060127916905387e-05,0.0012969689475995055,5.230761368667342e-06,0.0010853761224120676,0.0010934011112284836,1.6587881683264969e-06,0.0011737682068258088,2.7404114200103694e-08,0.001178842911068574,3.3361170174786815e-06,0.0022280023917441542,4.884721001209462e-06,0.0018086624315767224,3.4127619525825937e-06,0.0030262938317053294,5.255851417522953e-05,0.0022376509868483664,1.8224453097700236e-05,0.001040521355156272,2.7259873547592455e-06,0.000647677416468897,0.0008073737945606014,1.3976893073182572e-06,0.0008984549223709281,8.804522339236649e-08,0.0009283197564553381,2.905615205702391e-06,0.002010646341879581,5.206317472456085e-06,0.0015574072292058427,3.089227191861802e-06,0.002239887028201324,2.3111123610987846e-05,0.0017173980589904774,9.40824052439718e-06,0.000827489943603864,2.3845651491699835e-06
7,0.17860350525267304,0.0027597120561591074,0.0022316649394359366,6.129001505230597e-06,0.0023343581051798196,3.203032802852215e-07,0.0020037495476555533,8.018533709186128e-06,0.003357321201757651,8.111413038233013e-06,0.002898260373238348,7.180091423161514e-06,0.005463132399988577,0.00016386374358093133,0.0040817025635848355,6.217992896338597e-05,0.0018523107011857692,7.521707264537776e-06,0.0017046000875709272,0.0016842106799660522,2.7350311176299517e-06,0.001824961376372805,6.33544132724715e-08,0.0017308420354534887,4.804728617183524e-06,0.0029297230291988534,6.8761618406176894e-06,0.0024999773658450856,4.958734891508742e-06,0.0039350808676067725,7.706164411052318e-05,0.0030507164652394795,2.656987177304276e-05,0.0015559027204693427,4.099286331546265e-06,0.001052672862933472,0.0013316552410767828,2.659329335355294e-06,0.0014193374502035566,1.87647345960007e-07,0.0014577688126529364,4.670383444134703e-06,0.0026503717875200907,7.854754326754849e-06,0.0021630125144962357,4.848520470386812e-06,0.0028975699516481323,3.1584569783092644e-05,0.0023664327340865905,1.3433169622496967e-05,0.0012733657084964445,3.6247254502159087e-06
8,0.19912982154343273,0.004001067597793147,0.003090461393999223,9.526722155939477e-06,0.003399260318823318,6.363208540744942e-07,0.0029764507417405395,1.268121080258823e-05,0.004338306959753327,1.104295647386215e-05,0.0038951232753802354,1.0425012511016323e-05,0.006877722097627468,0.00021702793297875698,0.005287780664729592,8.053556832466143e-05,0.0027340509265798463,1.1968579200995252e-05,0.002548298990864021,0.0024612676797987087,4.528505859859116e-06,0.002702404032495827,1.4900913668152655e-07,0.0025757793510413217,7.285209543640908e-06,0.0038105929883071685,9.286825747492424e-06,0.0034183172183036947,7.459278465122509e-06,0.00500613573460847,0.00010102920788677406,0.0040564767215833806,3.48245233955421e-05,0.002285423802261099,6.09763323986979e-06,0.0016225941720456147,0.002003085590682993,4.068735489131822e-06,0.0021357482906700174,3.8130669069551175e-07,0.002155503087414289,6.795568173263993e-06,0.003432533423248934,1.0665923547896604e-05,0.0029222666973382156,7.079519787115844e-06,0.003785643444255354,4.557456707511499e-05,0.0031728338052006266,1.8488748829232193e-05,0.0018752576242404967,5.460265575942772e-06
9,0.21965613783419236,0.0055917168200704335,0.004499527489223834,1.8945788622455092e-05,0.0047675036683305135,1.1470625731131306e-06,0.004363645027226058,2.1103506346915034e-05,0.0055616550785260125,1.5769030127055884e-05,0.005235959261082974,1.626544382418415e-05,0.008653105594179351,0.00030315708681919894,0.006847118232372044,0.0001074970484895364,0.003929067926021133,1.9523994777605673e-05,0.0036614581852687025,0.003560445660657951,6.569188043222224e-06,0.0038355140406152884,2.956191357664157e-07,0.003648361728978953,1.0996363319539785e-05,0.004913129215223922,1.2649324135973952e-05,0.004542346334687541,1.094756578077984e-05,0.006359286621756754,0.00013791940185861663,0.005296655963943536,4.575251740235211e-05,0.0032221308660685764,9.413420940649787e-06,0.002396721347496709,0.002893723882068634,5.6906146283831675e-06,0.0030850742749872033,7.491626323676091e-07,0.003041935675434162,9.816835301095013e-06,0.004448439809904072,1.4835356933382e-05,0.0039055726307780743,1.0476073692459698e-05,0.004869726670088422,6.232541194869382e-05,0.004198891263932892,2.570124947526049e-05,0.002618093720502965,7.757229208821055e-06
