,Standard_beran,True_proba,NN,Linear,Linear_MAR,NN_MAR,Standard_Beran_delta_obs_only
0,0.0019112845613375557,0.0005829382154605135,0.000653533400152205,0.0012794502011002674,0.002050473109493942,0.0007844536727972096,0.0017705285569139203
1,0.0013439067166661149,0.00045901182637767777,0.0005704312846087171,0.0006381519519321278,0.0011584392641374166,0.0011556139221438617,0.0011503294508477793
2,0.0064257969047218375,0.0019025376808268952,0.0018817654307783042,0.0012033589409051258,0.003114903992454058,0.00150751245799421,0.006919483139246363
3,0.0032221391597478024,0.0010784778845636253,0.0019290381439057507,0.008665130059413979,0.0013486173203179025,0.0017956917921152693,0.005260453267264902
4,0.0012750752003246638,0.0005425467626706701,0.0020307079451914087,0.0025648093779904566,0.004188506121075899,0.0011487753074871311,0.0017740283432512648
5,0.004257113821214974,0.0005046300624308659,0.0006277762611498393,0.00439544147751729,0.001885542969693171,0.0016810361237257732,0.0030277667699469837
6,0.0010872406854661762,0.0006167623363702374,0.00097637460076543,0.00655041667716575,0.0016633402670725283,0.0012418867719568884,0.0009752685444797823
7,0.0005692534311805507,0.0005153953341118729,0.0012035530045725368,0.0007801618970680996,0.001177603339916123,0.0015853516357120301,0.0007397457013100121
8,0.01474681026636129,0.0008041972458363316,0.0007157673557194891,0.004501847227803744,0.0021451064931796732,0.0008127126796559172,0.012978421659087015
9,0.010587508987331405,0.0001679199595759339,0.002059000484556234,0.013157019485105066,0.0021239810259636636,0.0007866289401812936,0.0006134253482084851
