,t,true_cdf_0.3,Standard_beran_cdf_0.3,Standard_beran_mise_0.3,Standard_beran_test_mode_cdf_0.3,Standard_beran_test_mode_mise_0.3,True_proba_cdf_0.3,True_proba_mise_0.3,True_proba_test_mode_cdf_0.3,True_proba_test_mode_mise_0.3,Prior_proba_cdf_0.3,Prior_proba_mise_0.3,Prior_proba_test_mode_cdf_0.3,Prior_proba_test_mode_mise_0.3,LogisticRegression_cdf_0.3,LogisticRegression_mise_0.3,LogisticRegression_test_mode_cdf_0.3,LogisticRegression_test_mode_mise_0.3,NN_BCE_cdf_0.3,NN_BCE_mise_0.3,NN_BCE_test_mode_cdf_0.3,NN_BCE_test_mode_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,Standard_beran_mise_0.5,Standard_beran_test_mode_cdf_0.5,Standard_beran_test_mode_mise_0.5,True_proba_cdf_0.5,True_proba_mise_0.5,True_proba_test_mode_cdf_0.5,True_proba_test_mode_mise_0.5,Prior_proba_cdf_0.5,Prior_proba_mise_0.5,Prior_proba_test_mode_cdf_0.5,Prior_proba_test_mode_mise_0.5,LogisticRegression_cdf_0.5,LogisticRegression_mise_0.5,LogisticRegression_test_mode_cdf_0.5,LogisticRegression_test_mode_mise_0.5,NN_BCE_cdf_0.5,NN_BCE_mise_0.5,NN_BCE_test_mode_cdf_0.5,NN_BCE_test_mode_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,Standard_beran_mise_0.7,Standard_beran_test_mode_cdf_0.7,Standard_beran_test_mode_mise_0.7,True_proba_cdf_0.7,True_proba_mise_0.7,True_proba_test_mode_cdf_0.7,True_proba_test_mode_mise_0.7,Prior_proba_cdf_0.7,Prior_proba_mise_0.7,Prior_proba_test_mode_cdf_0.7,Prior_proba_test_mode_mise_0.7,LogisticRegression_cdf_0.7,LogisticRegression_mise_0.7,LogisticRegression_test_mode_cdf_0.7,LogisticRegression_test_mode_mise_0.7,NN_BCE_cdf_0.7,NN_BCE_mise_0.7,NN_BCE_test_mode_cdf_0.7,NN_BCE_test_mode_mise_0.7
0,0.12220986485308294,4.3321334747043783e-07,0.0,1.876738044265438e-13,0.0,1.876738044265438e-13,0.0,1.876738044265438e-13,0.0,1.876738044265438e-13,0.0,1.876738044265438e-13,0.0,1.876738044265438e-13,0.0,1.876738044265438e-13,0.0,1.876738044265438e-13,0.0,1.876738044265438e-13,0.0,1.876738044265438e-13,2.821072302990128e-08,0.0,7.958448938698005e-16,0.0,7.958448938698005e-16,0.0,7.958448938698005e-16,0.0,7.958448938698005e-16,0.0,7.958448938698005e-16,0.0,7.958448938698005e-16,0.0,7.958448938698005e-16,0.0,7.958448938698005e-16,0.0,7.958448938698005e-16,0.0,7.958448938698005e-16,9.794705431630434e-10,0.0,9.593625449240921e-19,0.0,9.593625449240921e-19,0.0,9.593625449240921e-19,0.0,9.593625449240921e-19,0.0,9.593625449240921e-19,0.0,9.593625449240921e-19,0.0,9.593625449240921e-19,0.0,9.593625449240921e-19,0.0,9.593625449240921e-19,0.0,9.593625449240921e-19
1,0.156267778726233,7.6893375066012e-07,3.268035677619796e-06,1.0675622643446885e-08,0.0,5.912591129042385e-13,4.131921699186858e-06,1.706701383922552e-08,0.0,5.912591129042385e-13,4.144084902773293e-06,1.7167657887012335e-08,0.0,5.912591129042385e-13,2.6252573134599722e-08,1.2400837300420554e-12,0.0,5.912591129042385e-13,3.548210524495499e-08,1.7956721289837034e-12,0.0,5.912591129042385e-13,5.296079276180567e-08,0.0,2.804845569958992e-15,0.0,2.804845569958992e-15,0.0,2.804845569958992e-15,0.0,2.804845569958992e-15,0.0,2.804845569958992e-15,0.0,2.804845569958992e-15,0.0,2.804845569958992e-15,0.0,2.804845569958992e-15,0.0,2.804845569958992e-15,0.0,2.804845569958992e-15,1.9586383077793905e-09,0.0,3.8362640207009035e-18,0.0,3.8362640207009035e-18,0.0,3.8362640207009035e-18,0.0,3.8362640207009035e-18,0.0,3.8362640207009035e-18,0.0,3.8362640207009035e-18,0.0,3.8362640207009035e-18,0.0,3.8362640207009035e-18,0.0,3.8362640207009035e-18,0.0,3.8362640207009035e-18
2,0.19032569259938306,1.3479508881714337e-06,4.8359347941911986e-06,1.3127144596336118e-08,0.0,1.8169715969221102e-12,5.750157009466017e-06,1.9677777560746933e-08,0.0,1.8169715969221102e-12,5.7777405121081095e-06,1.9828511081992308e-08,0.0,1.8169715969221102e-12,3.6893611461641385e-08,2.5199393371120397e-12,0.0,1.8169715969221102e-12,4.2098978299431876e-08,3.0062396881755753e-12,0.0,1.8169715969221102e-12,9.818895989267863e-08,0.0,9.64107184480589e-15,0.0,9.64107184480589e-15,1.2131406990079085e-15,9.641071606573142e-15,8.837375276016246e-16,9.641071671259964e-15,1.031710237242578e-09,9.905803867945062e-15,5.468887863679939e-10,9.70142115893702e-15,1.1793552689987053e-10,9.628282168220312e-15,5.6459705355393907e-11,9.631958417663156e-15,1.2225184753411611e-11,9.638770471306738e-15,4.5010449811755394e-12,9.640199290932173e-15,3.867751647868066e-09,0.0,1.495950280958631e-17,0.0,1.495950280958631e-17,8.458875822014989e-13,1.4952993168084142e-17,9.702306735803745e-13,1.4952022595687725e-17,1.197444895956412e-06,2.406522164844394e-11,1.5517545960137547e-06,2.860713384775203e-11,1.3961071854728946e-07,3.185822694715424e-13,1.7186748275832553e-07,3.5843211254291815e-13,1.9593982265919685e-08,6.6777184627886535e-15,2.5146755508242967e-08,8.569106008802367e-15
3,0.22438360647253314,2.3338074505329943e-06,7.0505029733635145e-06,1.801521467462196e-08,0.0,5.446657216163232e-12,8.516665169003956e-06,2.7310723988402055e-08,0.0,5.446657216163232e-12,8.564342934953673e-06,2.757209366785416e-08,4.715072798866515e-11,5.446438110921367e-12,4.999262006322169e-08,6.187324237022159e-12,1.1815830536221484e-12,5.44665170193758e-12,5.0303606878077114e-08,6.5819380828683995e-12,1.7548718034277043e-13,5.4466563970874495e-12,1.7978144526136116e-07,5.510822849766895e-07,3.0352585744389e-10,0.0,3.232136806026365e-14,3.8680257250855997e-07,1.4948706676924904e-10,3.0975969345092836e-11,3.231023627720044e-14,2.6959657308597284e-06,1.7050520886816606e-10,2.347265159840295e-06,1.6426995098887367e-11,3.6848968674429993e-07,4.4633566121010535e-13,4.0215944501298395e-07,4.630681421575431e-13,8.067813157364156e-08,3.219194021754319e-14,7.513696610594867e-08,3.0760081564431496e-14,7.542392558221763e-09,0.0,5.688768550231821e-17,0.0,5.688768550231821e-17,3.75275309383305e-10,5.161518484828614e-17,3.8180229611217696e-10,5.153875195061133e-17,3.915501933216137e-05,2.565000091365491e-09,3.7229997636726186e-05,2.2853193130369375e-09,7.525440995224563e-06,9.763712245364874e-11,7.2498162374183826e-06,9.028351366021479e-11,1.3228806527909587e-06,3.3610082014482157e-12,1.3025139257569762e-06,3.3886101871818777e-12
4,0.2584415203456832,3.99089204994085e-06,7.0505029733635145e-06,1.800232867696933e-08,4.184027779404742e-07,1.275778748851318e-10,8.5167384546605e-06,2.729297833540586e-08,2.322295394729945e-08,1.627837755639517e-11,9.02734683668538e-06,2.755328462444026e-08,6.158560216525943e-07,2.2180253789738837e-11,1.4548030885608297e-07,1.5866998037072653e-11,1.0832412835570792e-07,1.521072344663087e-11,8.183969352282272e-08,1.6657011332187718e-11,2.596013291955579e-08,1.5732372397522403e-11,3.2509293429790346e-07,5.510822849766895e-07,3.034390643169396e-10,3.602210434751063e-07,1.2963067494618275e-10,3.909122617143934e-07,1.494497171243098e-10,1.468648477364054e-07,2.0423171446885722e-11,3.388308554407882e-05,1.6144472221562084e-09,3.393220482949444e-05,1.4866542634965811e-09,1.0512349100916918e-05,1.522446127887778e-10,1.0675456911561355e-05,1.538140988499536e-10,2.54983254248331e-06,8.910820743043001e-12,2.4709477758516617e-06,8.13753559269324e-12,1.4524824203747568e-08,0.0,2.109705181497685e-16,0.0,2.109705181497685e-16,9.527734110448271e-09,5.977058948933503e-17,9.13648014189139e-09,6.519677316160768e-17,0.00016182641397864063,3.056295185995635e-08,0.00015648633727534644,2.850203673356218e-08,4.383856945785525e-05,2.3306126763112427e-09,4.207377656641897e-05,2.1481916328491312e-09,8.783933258609822e-06,1.052662872578298e-10,8.515989261748235e-06,9.832164977573496e-11
5,0.29249943421883323,6.740585443286391e-06,7.0505029733635145e-06,1.7993063506841392e-08,6.470393907874739e-07,2.0397760042600123e-10,8.533459986559743e-06,2.7276209652997226e-08,4.042017356331584e-08,4.5427865977365367e-11,2.186387840504256e-05,2.813408773950471e-08,1.3928615356637364e-05,1.9536020922260554e-10,6.584101041754775e-06,5.330726177842375e-11,7.244916803360368e-06,5.584199713884364e-11,2.3532932448878663e-06,2.8214404317071843e-11,2.2572052313314383e-06,2.7045899091261558e-11,5.805737918145904e-07,5.510822849766895e-07,3.0338886287929377e-10,4.6694036719874265e-07,1.4094309346698978e-10,4.583153742949708e-07,1.4953296860516072e-10,2.174022601941772e-07,2.0510202764814984e-11,0.0001229859481685518,1.6813890817118836e-08,0.00012407115848548956,1.6817174179681043e-08,5.708023322421507e-05,3.772645323800208e-09,5.855738988963577e-05,4.016244168007831e-09,1.5374132298278776e-05,2.896761732132777e-10,1.5706099542056152e-05,3.1194635185481166e-10,2.7622887305078506e-08,0.0,7.630239030690634e-16,0.0,7.630239030690634e-16,5.566600924133969e-08,1.415273886317151e-15,5.578652932014538e-08,1.4414797645172364e-15,0.00032154947665958633,1.1191686156012896e-07,0.0003173554540617476,1.0819316574944007e-07,0.00010562412233913054,1.2553451948872114e-08,0.00010402354526101587,1.2216559888404426e-08,2.277019014515125e-05,6.515727890356309e-10,2.2527339181666938e-05,6.388197048182094e-10
6,0.32655734809198333,1.1244939320466487e-05,1.1887292429785256e-05,2.4054645045031566e-08,6.491519562881965e-06,1.1444421912690728e-08,1.0132478847843519e-05,2.8361898750693478e-08,6.282981592066084e-06,1.493059240295591e-08,7.502253296236572e-05,3.670139434141342e-08,7.18675760869022e-05,2.121565082541094e-08,4.830802217304131e-05,2.224900359701211e-09,5.116302218903046e-05,2.484736737299658e-09,1.84159663554484e-05,2.1309917029919595e-10,1.877855582318366e-05,2.4126064824848807e-10,1.0240041298651441e-06,2.239879308075232e-06,1.866944372039482e-09,2.387077039791019e-06,1.6554812015929395e-09,1.749518616362855e-06,9.59648814699716e-10,2.2948927885948487e-06,1.4668434310358889e-09,0.00025591375854957735,6.968651317226635e-08,0.00025953607799883595,7.199642484653789e-08,0.0001522298576276676,2.5214285745335563e-08,0.00015401697503793755,2.6094084078350553e-08,4.417279619345138e-05,2.2573447678196705e-09,4.4928948025373835e-05,2.3969624398586556e-09,5.1878713218222576e-08,0.0,2.6914008851785466e-15,0.0,2.6914008851785466e-15,1.6528055266051833e-07,1.7112970893406436e-14,1.6363615083725412e-07,1.6385700025604186e-14,0.00048779662168301207,2.4987004072272905e-07,0.0004872657541558083,2.49122855766e-07,0.00018132784923472077,3.608833284801453e-08,0.0001811735328193226,3.602289501104967e-08,4.0682684747666346e-05,2.006351852513608e-09,4.052211122578264e-05,1.9845492364874632e-09
7,0.3606152619651334,1.852926546983118e-05,2.4197745310001296e-05,6.427274450898443e-08,1.3884250158529677e-05,3.569018275888292e-08,2.2423452085052698e-05,7.5814303362139e-08,1.479298409053953e-05,3.745700645600907e-08,0.0001801817072129388,1.2251375493942411e-07,0.00017245272061718674,6.83616165838736e-08,0.00016091362798437682,2.528773308058454e-08,0.00016665344763300082,2.7048994101360887e-08,6.437988356938629e-05,3.2739529302541457e-09,6.608234579767102e-05,3.6637368481777697e-09,1.7838072455330348e-06,5.512426882828269e-06,7.293976340508771e-09,3.3049627787029577e-06,2.299259191531987e-09,2.960725945927889e-06,9.754702316883084e-10,3.7251990619326936e-06,1.5806369542294763e-09,0.0004140948634752444,1.8611293583071507e-07,0.000418081940419081,1.814032315469505e-07,0.00029462113537872815,9.280663962626488e-08,0.00029811395806398933,9.506884028932756e-08,9.022795404225415e-05,9.148917904546492e-09,9.171775022607398e-05,9.54542394492266e-09,9.622259046556272e-08,0.0,9.258786915903212e-15,0.0,9.258786915903212e-15,3.619323043201339e-07,8.955071327050544e-14,3.685531197636927e-07,9.057846782743856e-14,0.0006571239776060592,4.4817330846853125e-07,0.0006608503701685968,4.5235881807046505e-07,0.0002706412067099028,7.979562969042434e-08,0.0002741627073915094,8.134833293283917e-08,6.219238640433011e-05,4.607062844007506e-09,6.28670396027281e-05,4.6854056319126625e-09
8,0.39467317583828343,3.015860133624776e-05,3.382324180446627e-05,8.180451532127214e-08,2.0263108115944005e-05,4.870347214148692e-08,3.5747703512819975e-05,1.1462162730216111e-07,2.4313984592367444e-05,4.797645916029019e-08,0.00031175675466773846,2.1905680134200855e-07,0.00029641769713647945,1.3008082954934753e-07,0.0003551692714998359,1.2144274230141085e-07,0.0003590859292909903,1.2313282619943002e-07,0.00014925414623775902,1.8935386213567146e-08,0.00014934948271895144,1.875591676538023e-08,3.069050612448251e-06,1.4344766938451547e-05,2.4245280787966845e-08,4.3494053557716625e-06,2.7735733941841347e-09,5.433620842178577e-06,1.0459613579831616e-09,6.068025760603279e-06,1.5969943232636478e-09,0.0005852738418700079,3.737211540293549e-07,0.0005846296932150493,3.4862944022985536e-07,0.0004745696901462015,2.37356931332455e-07,0.00048009474944365614,2.42666727824365e-07,0.00015122781509885585,2.5193680581899513e-08,0.00015324349449339725,2.5972514832716546e-08,1.762538905753813e-07,2.8092820243478256e-06,3.795677592863122e-09,0.0,3.106543394295861e-14,7.057819938203203e-07,3.4459432802599063e-13,7.136116631544231e-07,3.4856945973850356e-13,0.0008327341069241323,7.176208599851004e-07,0.000831285722790244,7.10859919667416e-07,0.0003765951933848062,1.5258376703837137e-07,0.00038052802481035444,1.5552574576693763e-07,8.841382411892506e-05,9.120278983741933e-09,8.922509989433425e-05,9.348576801617432e-09
9,0.4287310897114335,4.8487193127852345e-05,4.005297422172538e-05,9.376710286548287e-08,4.789078662373336e-05,1.6170943332574268e-07,5.100557918925075e-05,1.2450596800286202e-07,4.405560750205584e-05,7.084952405787043e-08,0.0004552766436767076,3.223054694611722e-07,0.00046953016461335773,4.755773402563657e-07,0.0006377390030127338,3.893573570390583e-07,0.0006446673684919842,3.9804673114625956e-07,0.00027666218665862996,6.582532719953898e-08,0.00028014155295394026,6.8647002682685e-08,5.215290737624723e-06,1.4623027513361308e-05,2.4276012872954193e-08,1.0956378810648593e-05,1.1702702412723373e-08,9.531411765209885e-06,1.0590569174268088e-09,1.0471348736145413e-05,1.7679002275554098e-09,0.0007546814215591988,5.995060545626177e-07,0.0007598838956661907,5.960212579929051e-07,0.0006967996093481668,5.080167677183158e-07,0.0007025777105180463,5.148216057355547e-07,0.00022902560474328382,5.702879438105388e-08,0.0002309457738386246,5.787598802764561e-08,3.1884573857328383e-07,2.8092820243478256e-06,3.794947028603332e-09,1.8226172553416075e-06,1.569044858843185e-09,1.2858563894811991e-06,1.1463251945648742e-12,1.2935819296935326e-06,1.1299308623414314e-12,0.0010034519179658722,1.0362827529130315e-06,0.0010045777310724198,1.0337732168460142e-06,0.0004988656575375866,2.67051016344621e-07,0.0005051321159081925,2.729126717274451e-07,0.00011989951587005776,1.676694305436881e-08,0.0001207653795268484,1.6962264616548924e-08
