,Standard_beran,True_proba,Prior_proba,LogisticRegression,NN_BCE
0,5.7594990446788534e-05,4.142026335329398e-05,5.2523862358254255e-05,6.374849611116177e-05,6.536770874522164e-05
1,8.425668626422325e-05,6.044485385710378e-05,7.749109563338647e-05,0.00010186170506066502,9.176473874920828e-05
2,0.00011116932442323198,0.00010544954909336432,9.494622064773567e-05,0.00011353444673191532,0.00011540186837754388
3,6.460114466560952e-05,9.80002224007599e-05,8.731464539303246e-05,6.174137442381036e-05,6.26652155840095e-05
4,0.00017445915189626671,0.00012693086562684465,8.506446305510802e-05,0.00017662458233127978,0.0001769998259748706
5,0.00021122326544512995,5.7434298384266594e-05,5.79185956493635e-05,6.584948327896647e-05,6.96618446742698e-05
6,0.00011671350498986312,0.00010703754701560662,9.127297379194064e-05,0.00010607884273561352,0.00011219741402187994
7,5.996377332329699e-05,0.00020707233442410265,0.00018079626669661875,0.0002085561072805031,0.000209064471562334
8,6.88635494571523e-05,4.0632309269879536e-05,2.7128930144564606e-05,3.361126392109183e-05,2.4912317073069726e-05
9,0.00012616292976930896,8.937652983228234e-05,0.0001100315816981174,0.00013742499905599863,0.00013640754768981197
10,7.63634530260762e-05,6.907298426011684e-05,7.087799836198562e-05,7.008094222213779e-05,7.074651092708908e-05
11,8.72109481060958e-05,5.836139930043903e-05,6.201339952180502e-05,5.517848684135207e-05,5.3573649762037195e-05
12,0.00010013156682743871,9.714136561142546e-05,8.58013675719723e-05,8.564460441135577e-05,8.502802518599162e-05
13,7.377367256220996e-05,0.00012480531168104436,9.171597329648503e-05,8.25634883672912e-05,7.993260513101452e-05
14,7.116012759901479e-05,8.79806213092712e-05,8.447000209753444e-05,8.172882719772483e-05,7.519993338387603e-05
15,0.00046017504908018887,0.00016877480179989878,0.00019943502957668735,0.0002202297740133911,0.0002328538472805335
16,0.0002508723240551754,0.00016397051659881875,0.00020322253915251945,0.0001987367186661432,0.00020686486291586275
17,0.00011559069180176886,5.1457858464156524e-05,6.990467181946444e-05,8.058712537891472e-05,8.348843375016935e-05
18,0.0001261649585196681,8.653567326313276e-05,0.00010259874003658301,0.00012122992421582342,0.00012129140373011739
19,0.00019218551949021134,0.00011844552726459556,9.905831680008938e-05,0.00011132497065274071,0.00011144046717399884
20,5.6732792134890097e-05,6.800367928339439e-05,4.951794180206682e-05,3.17375175671472e-05,3.158014515331071e-05
21,0.00026395607935942455,0.00012112675446331938,0.00014321081956493873,0.00011251147946311329,0.00011957018232183774
22,0.0001646442714140477,5.179656778963329e-05,5.990911459924024e-05,5.248358104662715e-05,5.5345617991241574e-05
23,8.31625553854535e-05,0.00011374062026287885,0.00010344916878178041,0.00010254737664425954,9.897164006907916e-05
24,0.00012688571793057686,9.565422868379552e-05,8.359036791310403e-05,0.00010163465221460705,9.893075389805248e-05
25,0.00023463765252496987,0.00036222139582654887,0.0003110597452633315,0.0003899896653872632,0.00038596169742015433
26,9.662232357407031e-05,6.301275556633088e-05,7.524681640183831e-05,8.497058413623512e-05,9.415837942495261e-05
27,0.00015519301831813572,0.00011157584028815511,0.00013885596054835351,0.00010598412670537622,0.00010601737987686703
28,7.953311130886975e-05,6.11755214577386e-05,5.4032099093545585e-05,6.727211390756216e-05,6.761494716819635e-05
29,0.00014190924628470762,0.00013567315116956246,0.00017409668453326224,0.0001673232345897468,0.00017855131171430434
30,0.00016326878739322597,7.814278158269147e-05,8.165312006113847e-05,0.00014809685421322618,0.00013793899868003138
31,8.221542872934948e-05,7.895556825143184e-05,7.95886412667113e-05,7.309116826454079e-05,8.179880927419237e-05
32,0.0008248058125495139,0.00034042013890222135,0.0003996669491766368,0.0005030129473436448,0.0005055978820290533
33,0.00012761790497922218,8.280288832395214e-05,0.0001005775616357331,9.500501461919827e-05,9.248166673848572e-05
34,9.618875735139858e-05,6.451198525573745e-05,6.972310708195959e-05,7.079259142753609e-05,7.151903157858047e-05
35,0.00012635774976352867,0.00010778526163798423,9.335109387448794e-05,0.0001482324406265005,0.0001457466862065003
36,0.0003389667032190832,3.822905927581597e-05,4.0124806493201605e-05,3.8408838759438534e-05,3.8429727819311507e-05
37,3.1777247160639155e-05,5.406252444534253e-05,3.482596573339436e-05,3.529126914811828e-05,3.4471892894475584e-05
38,5.196718568634924e-05,5.180348977024679e-05,4.4432563434072867e-05,4.6179017683842264e-05,4.668360840508436e-05
39,0.00017935662744785936,0.00011112199967015809,0.0001386452108929516,0.0001506809660125219,0.00015479137312719078
40,5.560505422697307e-05,3.8925347037778415e-05,4.160368642503357e-05,5.107296409579809e-05,4.6382583264543526e-05
41,6.628154494971869e-05,3.965221855820685e-05,4.534792985905316e-05,3.2610640342168695e-05,2.922812267629681e-05
