,Standard_beran,True_proba,NN,NN_with_delta,Linear,Linear_with_delta,Linear_MAR,NN_MAR,Standard_Beran_delta_obs_only
0,0.0005925519940917176,0.0004037534529338956,0.006385871284288386,0.0025062064171260385,0.0037426643028840288,0.0014300424737016004,0.006020842363194893,0.0020161321964833677,0.0005053864923569628
1,0.0003114336659128104,0.00033715228151027306,0.001290012653109729,0.00035107196648404384,0.006929364698947719,0.0011967854082118297,0.005107305915493955,0.0012387539250062944,0.0003232020207867314
2,0.0009145315872378216,0.0008819436480223906,0.0023633930899379565,0.0015348981517672906,0.006816041841402584,0.001696104682197553,0.004780625903833376,0.001818019943196561,0.0011506112486020098
3,0.0003420940091689237,0.00027500512738172213,0.005636616771843445,0.0020985833580517096,0.005720386582624804,0.0019061146667243704,0.005786814484500481,0.0019365617522876318,0.0005055733868656421
4,0.0006759890467547891,0.00036318957440994326,0.0007974950956736541,0.000551028509874619,0.0068248341170637486,0.0021304567303572484,0.004690463181223074,0.0016115052816251282,0.0006977151928419376
5,0.0008072545717931332,0.0006536970658207738,0.0033313831816149954,0.0012627284210503943,0.004866294609586225,0.0011393322843620034,0.005869794486844495,0.0017497856044524848,0.0009320694225882286
6,0.000279631552196156,0.0005240479730724634,0.004022965164133411,0.00035043590619192056,0.014954022255836532,0.0008295451040930637,0.004960421965749763,0.0011257107031796628,0.0006504795119096992
7,0.0003162342764112676,0.0003860275808752772,0.003925010315383077,0.0019245938888199684,0.007036514974718138,0.0028778194043872374,0.00462574126122765,0.001595257983808561,0.0004503569332133609
8,0.0009302021584411941,0.000813975067776053,0.0038969761134593035,0.0017395599537241276,0.00489528032991467,0.0017048141948419414,0.005393546358595895,0.0018141397439512949,0.0009069652417057842
9,0.00042780401281920734,0.00028420726653615754,0.0047936894280382735,0.0016040832354505027,0.005326671590156059,0.001657400621867365,0.007755608806890216,0.002155351838867149,0.0006393388091931236
10,0.0004557604672353377,0.00042459322532741094,0.004694893407563966,0.0009591010510908641,0.005932913928951616,0.00045265001853957235,0.00511020295645373,0.0013455072658301913,0.0003903415614476537
11,0.0008073262802611053,0.0004290858906112749,0.0008870110641311945,0.0007117588541233726,0.017061824054025728,0.0007679631334038169,0.007748089941934747,0.001872031645609903,0.0007684072926424436
12,0.0005407025600737611,0.0003025249453920537,0.005525542206457205,0.0020271672064385493,0.006231834488077567,0.0023735597419697846,0.0073414677764099484,0.001959784816183702,0.0004415105554719494
13,0.000637354616969662,0.00044812543584527004,0.0010824781744045247,0.0011341341085661647,0.008039989749029591,0.0015035475584720822,0.0042849844291810825,0.0018940331596757802,0.000786719974005694
14,0.0004750142772414844,0.000561295249048472,0.003775205484221161,0.0012677352452908515,0.006726375152322927,0.0014435269563936105,0.005835807822562461,0.0013353300380462988,0.0008635456966810581
15,0.00043023870589255366,0.0004884091603699194,0.006865052447548563,0.003138023195741169,0.011023596519344583,0.0023067149661452485,0.0053202437807254145,0.0023422471555970777,0.0007001227956730075
16,0.00030978295046928155,0.00017360449834420027,0.0015983874098704563,0.00039015654276780386,0.006774391231259288,0.0016778388114762222,0.003103854592340242,0.0008671916595452603,0.00044095062884047666
17,0.00029089136115197165,0.00022465665959098838,0.005680517006892097,0.002071136755691102,0.006284828973705876,0.0023326679747139954,0.005966433087306032,0.001707468293419051,0.0005108988830813713
18,0.0005439618457181745,0.00019006067940449908,0.004028266766296751,0.001052069455576026,0.006378299554519435,0.0017259374480286648,0.0034188944962458365,0.0012799877188680222,0.000641012978363932
19,0.0002602008988390131,0.0003060969248030368,0.005799647550366342,0.002175382581694793,0.008162891781655381,0.0029093621346347504,0.005105721656582342,0.0015017913983862794,0.0003674747028177034
20,0.0005561947290136802,0.0002996472460073008,0.0029412162704855836,0.0008981200782468805,0.005202624926337074,0.00160997739909834,0.003933069656578985,0.0012706107883276266,0.0007252252457595371
21,0.0004788262128460466,0.00038861962719971544,0.0059233492327570554,0.0019389230591039008,0.013681574063603161,0.0037206553011807884,0.005669342159076684,0.001486105134393331,0.00047844956408721437
22,0.0008091035287246557,0.0008789268763236319,0.003762999171069384,0.00233452000014394,0.008915286776931364,0.0038890719915256914,0.0070906208778662655,0.0026130831339391497,0.0009010503839508538
23,0.0011448772835751248,0.0007362602150903306,0.006226319436598542,0.0023454484910211183,0.003943292358729316,0.001716643767132217,0.005182083322394471,0.001971665502191458,0.0012802076905440414
24,0.00038771575974658185,0.00020549784230882606,0.0023202457215560158,0.0008434418492026072,0.005007205821688532,0.0014659455885887144,0.004886804077982084,0.0014304334136067897,0.0008756440483959695
25,0.0003950615248954707,0.000280613879888499,0.0006211880789667512,0.0004033462091654837,0.0049745875386131315,0.0018309819579162068,0.006640928694532067,0.0018101305083690412,0.0007683124639072116
