,Standard_beran,True_proba,True_proba_test_mode,Prior_proba,Prior_proba_test_mode,LogisticRegression,LogisticRegression_test_mode,NN_BCE,NN_BCE_test_mode
0,0.002470596854303692,0.0012057442255720714,0.000842558738703826,0.0016082099452774143,0.0013280581973689773,0.0013265157828483776,0.0010981849795590186,0.0013733482809863988,0.000704579460662872
1,0.0012032365396240949,0.0013366023977559017,0.0018972613593041606,0.001028780908946103,0.0021383443620557195,0.0015921468078494009,0.0017950864613312434,0.0007597835122220968,0.0010041348491523097
2,0.0009194303914192826,0.0008839462901969647,0.0010524434120787133,0.0008263677523348606,0.0013397772719760395,0.0012542839826127031,0.0011850823500707355,0.0008485194154625706,0.0008130984581803777
3,0.0008382665129350236,0.0006687808455114277,0.0007324639668077711,0.000855253165467333,0.001928019505373371,0.0005981932417307819,0.0008529687890008754,0.0004832325491595435,0.0013285931078670641
4,0.0016500509049182646,0.0010055463414844973,0.0017613529223673703,0.0015675303437266855,0.0024312970135857833,0.0015144552961062633,0.0023209222001292183,0.0009204721227722756,0.001572608925280095
5,0.0012031626744684024,0.002565930994605848,0.0014627954514950658,0.0026482008984579654,0.0012453375631551063,0.0013102562546144754,0.003139901604084493,0.0014067764965975812,0.004332891593209712
6,0.0009659263900662903,0.0008276365746435715,0.001099459940369451,0.0009438343940760846,0.0020438018221657804,0.0008301197740682805,0.0013177882223933623,0.0010998041712888377,0.0010221995230677036
7,0.002882213753332864,0.001117218683249361,0.0025896105707147324,0.0019487834468535391,0.002633110996445969,0.0018353453730021818,0.004291069979546039,0.0015816337807166784,0.004149331334425175
8,0.0009875282675734544,0.0006260477702370191,0.0023676569668783483,0.000730274947951361,0.0025157710886104735,0.0010949341024105348,0.002754576111706679,0.0007089265258656903,0.002144820802940833
9,0.00316700325204516,0.0024279011975328222,0.0019036545508202914,0.002942044213914019,0.0031565496413348106,0.0031344605728590084,0.003275627258245997,0.0027207063180690496,0.0030685450601080798
10,0.0013017358022144364,0.0012797784440681543,0.0036831727235275362,0.0011035378807522592,0.0034022052591458044,0.0018905546455008741,0.0054070956776707275,0.0014457038878077518,0.004477282945060452
11,0.001143829291909021,0.0009645347917830753,0.000639049139874049,0.0009754460334298384,0.0015567141131613543,0.001230577896035678,0.0021827632780088294,0.0010361177435670229,0.0006339724129594687
12,0.002216218875854351,0.0027378962970404487,0.0021235153257333503,0.0024490453183642585,0.0027095069814060493,0.00324184105412236,0.003113133327168344,0.0031459698810019534,0.002240762566329188
13,0.002672331163307098,0.0012255089032671758,0.0016748113319332548,0.001375954445670567,0.0017046719160425257,0.002546580990038696,0.002228223990918239,0.0016786727542413907,0.0012212308019538668
14,0.001494638517214376,0.0012125750164449396,0.00147482385636434,0.0012588862653167701,0.001727877945702007,0.0015825404152760244,0.0015714989900155127,0.0009661659520292285,0.0013907051147358902
15,0.001354333078047822,0.0009801364585894528,0.0008784637283645523,0.0010761287206578474,0.0013900397636581697,0.002087895704411955,0.0012306226110650937,0.00174524274338035,0.000904425493370361
16,0.002088873291878917,0.002309007129671164,0.0013696672933808892,0.0027231261653641176,0.0026257527566153497,0.002100748558819884,0.0015178667802869298,0.0019126180788321255,0.0009180286650501287
17,0.0013613417656431013,0.0012679579839548908,0.0012478221698938455,0.001137086271785657,0.0011938803654160876,0.0014579293784518456,0.0022888778314874127,0.0009420253047536698,0.0017785349939253763
18,0.004292467253268658,0.0015554164245294112,0.0008040147578571321,0.002526257519787658,0.001061454120266228,0.003121160969675951,0.001314094266337819,0.002467745445160488,0.0009917123469044549
19,0.003437523382684887,0.00148037780245648,0.005965502467737451,0.0019871790376842337,0.006390507874300718,0.0030249286642357724,0.006283354119300949,0.0021613611288476536,0.006158739100773608
20,0.00367310627815481,0.0018094914116162434,0.0018315274765980005,0.002399283384924243,0.0021089433386449648,0.00376985537016523,0.0031374993365279563,0.00318725770915299,0.0029898072773785946
21,0.0021935093814245106,0.001498830102108546,0.0015757877220252613,0.001970345545850032,0.0028127370362878443,0.0016960329676572335,0.0020267159014030513,0.0013228737366101676,0.0014551906522135057
22,0.0012016931394407437,0.0010764526447674908,0.0008581615028323959,0.0011826281921713908,0.0011807654186212738,0.0014706409961682924,0.0011910845512030006,0.0008442702312063177,0.0009122817823370451
23,0.003153216993088291,0.0031839047971189676,0.0019679476611116063,0.0034093469715981823,0.0018952203442961408,0.003868583774327876,0.0021551604078612653,0.003738972161882815,0.0016857169915265213
24,0.0012418348644911395,0.0015348389625763838,0.0018533168448825435,0.001626198613599166,0.001996489800970116,0.0018216113767800172,0.002484327523673151,0.0014565976227318956,0.0018913505862990076
