,t,true_cdf_0.3,Standard_beran_cdf_0.3,True_proba_cdf_0.3,LogisticRegression_cdf_0.3,NN_BCE_cdf_0.3,RandomForest_cdf_0.3,KNN_cdf_0.3,Standard_beran_mise_0.3,True_proba_mise_0.3,LogisticRegression_mise_0.3,NN_BCE_mise_0.3,RandomForest_mise_0.3,KNN_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,True_proba_cdf_0.5,LogisticRegression_cdf_0.5,NN_BCE_cdf_0.5,RandomForest_cdf_0.5,KNN_cdf_0.5,Standard_beran_mise_0.5,True_proba_mise_0.5,LogisticRegression_mise_0.5,NN_BCE_mise_0.5,RandomForest_mise_0.5,KNN_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,True_proba_cdf_0.7,LogisticRegression_cdf_0.7,NN_BCE_cdf_0.7,RandomForest_cdf_0.7,KNN_cdf_0.7,Standard_beran_mise_0.7,True_proba_mise_0.7,LogisticRegression_mise_0.7,NN_BCE_mise_0.7,RandomForest_mise_0.7,KNN_mise_0.7
0,0.17282610303687962,1.0117820852178343e-06,0.0,6.872280522429719e-17,0.0,0.0,2.5062395050623467e-09,0.0,1.0237029879676144e-12,1.0237029878285495e-12,1.0237029879676144e-12,1.0237029879676144e-12,1.0814438160699504e-12,1.0237029879676144e-12,7.161134160153903e-08,0.0,9.878764473114643e-17,6.998736070906731e-10,2.2204460492503132e-20,5.490302138355663e-09,0.0,5.128184245971429e-15,5.128184231822847e-15,7.072612778581877e-15,5.128184245968249e-15,1.1669496253763817e-13,5.128184245971429e-15,2.730891609482195e-09,0.0,1.8974932736171014e-15,1.5199141823696304e-08,7.66053886991358e-19,8.055942174789443e-08,0.0,7.457768982739912e-18,7.457758629049996e-18,4.61369684572955e-13,7.457768978555895e-18,1.3132624900197125e-11,7.457768982739912e-18
1,0.20519560284360908,1.7156160372312393e-06,1.1145230723850096e-06,9.668550771639195e-07,1.8278873187563827e-07,1.0790892841037624e-06,1.8661927222770824e-06,9.710873862712743e-08,1.242073593986076e-08,9.34770803882327e-09,1.1979336797454622e-11,1.1643136260738816e-08,5.5076205245526274e-09,9.691120694598216e-11,1.2806145162275775e-07,4.1164100404871285e-07,8.127543356292178e-08,9.304278962433799e-07,3.9898867672992775e-07,3.842913943162307e-06,8.130263990857588e-09,1.6943941311898424e-09,6.604842731284829e-11,2.3169569583352007e-11,1.5879466028077542e-09,1.137826020222436e-09,6.753293141846511e-13,5.185218287270715e-09,0.0,1.3886624039560757e-11,6.731352703584303e-06,6.15686546021621e-09,1.914729512393435e-05,0.0,2.68864886866508e-17,2.6752293010678836e-17,9.294687459180881e-10,9.057779972428857e-14,8.123188238439846e-09,2.68864886866508e-17
2,0.23756510265033853,2.876628445621107e-06,4.070594431609631e-06,4.9532749080295705e-06,3.6948214703585003e-06,2.480839033507731e-06,1.4337724666386731e-05,1.3102757715168555e-06,9.979005141279552e-08,1.6823677689960387e-07,5.335844585485856e-10,3.111364677417179e-08,5.036715717031752e-08,1.4808103115907653e-08,2.2644159234001087e-07,4.785257492294636e-07,8.174096571644807e-08,2.0751021905020863e-05,4.5671664955324597e-07,4.3290853445894604e-05,1.9604019765870894e-07,1.7390534130496931e-09,6.606710538472575e-11,1.5120792817146756e-09,1.5982889291090982e-09,7.876196267996078e-09,8.475366676347008e-11,9.734308709768087e-09,0.0,1.2014895928391667e-09,7.25722433772608e-05,7.417239380625995e-08,0.0001390577214964661,8.457772763443839e-07,9.475676605707301e-17,8.164820099449018e-17,1.9165420229349594e-08,1.5434689793963126e-12,7.837289288163476e-08,1.4146346947268638e-09
3,0.269934602457068,4.769635688071724e-06,4.361628333620904e-06,5.249445780860906e-06,3.215317530076416e-05,2.619716139972761e-06,6.558651710124974e-05,1.7925453405259972e-06,1.0063334558653067e-07,1.6907668645284957e-07,4.1024207740002925e-09,3.115304594966806e-08,6.611626584379617e-08,1.503499786553771e-08,3.959139370188886e-07,1.1677705476148215e-06,7.836809815165769e-07,0.00011889495233687963,9.547956874805585e-07,0.00017671167883264705,2.101950875918035e-06,6.4890348491112935e-09,4.8162034686191526e-09,2.6895823794347618e-08,2.586500200316829e-09,5.992920931975508e-08,1.6942830386622628e-09,1.8068539171459744e-08,9.128860106458192e-07,0.00010093133856452007,0.0003550425666621409,0.00010077082901112457,0.000491563019278005,3.286506141177448e-06,8.333576021765255e-09,0.00010000833001398993,0.00010012593263017455,0.00010000165073939975,0.0001003049734363354,6.7620638771246925e-09
4,0.30230410226379745,7.820454798748058e-06,5.330598796740416e-06,6.297758944531496e-06,0.00014305991305022677,3.966364026085956e-06,0.00020541947343433016,5.824032516734101e-06,1.0536431630512306e-07,1.7380111555726303e-07,4.222167743843935e-08,3.5379337889493564e-08,1.42662945479263e-07,1.8487820053574677e-08,6.844758388293398e-07,1.9227251717280237e-06,0.00010164380707015,0.000537062137483247,0.0002024269958559224,0.0006130348938478288,9.62518015466839e-06,9.79721358514319e-09,0.00010000798770369037,0.00020016604673266127,0.00020000525637030965,0.00020024046046620016,9.199024306071464e-09,3.316083050288447e-08,1.4419865397463539e-06,0.00010154870342776615,0.0006356356409670794,0.00010212574650395765,0.0009181302225706736,1.0657450536399183e-05,1.1132987847970884e-08,0.000100011126488653,0.00010043522389535786,0.00010000414920914431,0.0002007654921502702,2.530270186045024e-08
5,0.3346736020705269,1.2680378062436765e-05,1.1534196307066668e-05,1.4284050444882401e-05,0.000386485749636239,1.091276793282816e-05,0.0004582009546711296,2.642240636778921e-05,1.9171753664908781e-07,3.1606867047157955e-07,2.416944868616084e-07,1.1250130539251593e-07,4.4546510695528335e-07,5.890190802396829e-08,1.170130882179472e-06,3.900250703456653e-06,0.000203696350394099,0.000877288180571117,0.00020524804095629502,0.0009327843969930786,2.926757514330244e-05,2.0703040507291116e-08,0.00020001637039546608,0.00020061469560900367,0.0002000104474723197,0.00020067408700263082,4.274484122444363e-08,6.017512286908088e-08,1.4433917362425164e-06,0.0004018061145242558,0.0012817272104622703,0.000403444786151651,0.0015868382990139006,2.1936046313671842e-05,1.1132932037540311e-08,0.00040001108681363053,0.0004010569073030098,0.0004000061964766666,0.0005015570880086073,4.936787599881518e-08
6,0.36704310187725636,2.033266311636417e-05,1.9498355246729815e-05,2.2302150893788053e-05,0.000764275352497714,0.00012034816769933068,0.0009055025413606631,6.790810668651183e-05,3.015972317107748e-07,4.314351243761293e-07,8.416467548654015e-07,0.00010018046031291332,0.00010115084946160047,1.8026729366842428e-07,1.9780457034795285e-06,6.638943516801443e-06,0.0004061927669608094,0.0015155480338143654,0.00030944717519662735,0.0015056537337412134,5.945123935201887e-05,3.546327076924521e-08,0.00040002135854865363,0.00040156538093362936,0.0003000152202314665,0.0004014451129308212,1.0019469415612794e-07,1.0796993472146998e-07,1.5670990584552236e-06,0.00040236515599538736,0.0016854421130365015,0.000405058641785805,0.0019740484290362474,3.5730632680226506e-05,1.1201191365439986e-08,0.00040001105409015263,0.0004021039671827507,0.0004000065162401575,0.0005026690449522382,8.298549663261495e-08
7,0.39941260168398585,3.2242385639995036e-05,2.4921552828815573e-05,2.881855972960774e-05,0.0012817398214317142,0.00012773694314958646,0.0014222702768687309,0.00015583299366638012,4.368024965261222e-07,4.897920961098197e-07,2.217001265001687e-06,0.00010018269089116365,0.00020221413748261016,6.439662971599635e-07,3.306516498528411e-06,8.30811644072309e-06,0.0005091971105757109,0.0020377457916970006,0.00031397832686823953,0.001909987290531696,0.00010945293756676229,4.575708690008365e-08,0.0005000226659133566,0.00040324679354219306,0.0003000159517575825,0.00040261312259694346,2.2112197067032224e-07,1.9155268640667004e-07,1.7152076081477397e-06,0.00040336521276648394,0.002145423225472803,0.000407294221421416,0.002371958549290352,0.00015629846054901727,1.1377104141085712e-08,0.00040001099147634386,0.00040380707332298484,0.0004000076600201111,0.0005041416719463291,0.00010015636238670633
8,0.4317821014907153,5.0563881375349234e-05,3.1209889060830454e-05,3.949208478894702e-05,0.0019193426439869463,0.0001421913527917147,0.00189342894419545,0.0002837698361744015,5.102673206118197e-07,5.191717431661014e-07,4.695118652211493e-06,0.00010020431861587429,0.00020378404624242066,1.2850861243353952e-06,5.4656883698781255e-06,1.1756142285474758e-05,0.000614635627779291,0.0028489281576349248,0.00042283932012929633,0.0024424261548975754,0.0002709524213575416,6.49870948182576e-08,0.0006000232299473116,0.0006059617310414997,0.0004000257552866279,0.0005042304790754078,0.00010037054412415887,3.360305543644768e-07,3.377253428664806e-06,0.00040515038916158675,0.0026685646284952762,0.00041120249209489017,0.002881987393290008,0.00018048561963816435,2.0203948474279082e-08,0.0004000109241596919,0.0004062738952289668,0.0004000124823722858,0.0006060040868760711,0.00010025345576249394
9,0.4641516012974447,7.842310372717413e-05,4.4492530507421216e-05,0.0002609994562984085,0.0028884433054588614,0.00027000729584197245,0.002608036810352813,0.0005477049620468664,6.942603725230276e-07,0.0002006334210086955,0.0002088620611979711,0.00020036865051586603,0.0004060263334516425,0.00010231322119486624,8.93442387296375e-06,1.7977600009226834e-05,0.0007228119470660715,0.0035441273418408983,0.0004348143065802094,0.0030928713555633132,0.00045517858296832665,1.0457718031975305e-07,0.0007000183289887601,0.000610048404141802,0.00040003683866822606,0.00070633016245551,0.000200599419298769,5.82881467274114e-07,5.2975211237035635e-06,0.0004079666997260737,0.003237320965406311,0.00041552282376600467,0.0032918473803303185,0.00021330570446782956,2.8003460128097577e-08,0.0004000107856480703,0.00040963769214397996,0.0004000146070714316,0.0006082236571221365,0.00010034558068616966
