,Standard_beran,True_proba,LogisticRegression,NN_BCE,RandomForest,KNN
43,4.1788954008710836e-05,1.80469242491121e-05,3.521886001376607e-05,3.6534301232830366e-05,4.272858171880133e-05,3.8475191910937025e-05
44,2.990477960563816e-05,1.8284639233765645e-05,2.1338844248836952e-05,2.1702905725019636e-05,3.067692159110592e-05,2.585768658418928e-05
45,0.00010820656283897233,5.7242007991435915e-05,7.928151648721869e-05,5.4243738720088724e-05,5.67683566802796e-05,8.828709982651582e-05
46,1.4007877629955686e-05,0.00012858229231451948,0.0001113775052831894,0.00011051580433984037,1.3994098837554576e-05,0.0001033097262193673
47,0.0005364207942044687,0.00010957154013383284,0.00011119187057961914,0.00010827155888213815,0.00012629068744969915,0.00013347630438686537
48,3.4296410544175775e-05,1.9123039033320043e-05,2.4279352611877447e-05,2.512345694397671e-05,3.511880084552663e-05,3.626215452771837e-05
49,3.4813577532728645e-05,4.991651544708612e-05,3.400693670183076e-05,3.444009282595618e-05,4.426274774747572e-05,4.3685730580854995e-05
50,3.792856870218074e-05,2.968828470560027e-05,2.4909117170837965e-05,2.4931342900436384e-05,3.817816209893751e-05,3.771648038133758e-05
51,0.00011989642727287789,7.696958827059902e-05,6.994142381471069e-05,7.150239167204036e-05,0.00010085273369179817,0.00012294428760973943
52,5.6600852182896176e-05,6.539558594488527e-05,5.95350688872579e-05,5.907933198693023e-05,8.586977380674866e-05,7.787199465397443e-05
53,4.0733806992317816e-05,1.5394620224439348e-05,2.2054484642644226e-05,2.1503188029167954e-05,3.304018817440734e-05,3.344147276734358e-05
54,0.000145409266689499,9.961663472426565e-05,0.00011451525895471182,0.00010833105538663942,0.00013202146301282303,0.0001412157916545997
55,2.7050238718576712e-05,1.588104879661224e-05,1.6634784414234604e-05,1.7466465333118882e-05,2.1543787888347836e-05,2.578295627055175e-05
56,2.808375803044276e-05,2.718093272919171e-05,3.138131018816565e-05,3.054452905380574e-05,2.8095940383895633e-05,3.0677610570011174e-05
57,1.9493747887229866e-05,1.6548657503803757e-05,2.070582902388708e-05,2.0722041827650676e-05,2.0898865583869885e-05,9.176428409434643e-05
58,1.7542180238653283e-05,3.950640037919328e-05,2.074434114675503e-05,1.9972848004979745e-05,1.902524742379875e-05,2.5024726902292945e-05
59,4.610207561145445e-05,3.108247535499405e-05,3.292576876781581e-05,3.3719474025931944e-05,5.167360118039258e-05,4.341585548051907e-05
60,6.839130372325032e-05,5.647518104385782e-05,6.403920553014455e-05,6.588920874730452e-05,6.570559458815921e-05,6.910790460144482e-05
61,6.449757005500766e-05,3.1933543355609706e-05,2.419868814303796e-05,2.3833087527237333e-05,3.285503361424663e-05,4.064696920263125e-05
62,5.6648012288111545e-05,3.40666278483318e-05,3.2993189342690155e-05,3.298949399838653e-05,5.5478976000364844e-05,5.083444301630418e-05
63,2.5797513750793474e-05,3.788900346983561e-05,4.1129394014533225e-05,3.977865999105112e-05,2.839614174711045e-05,5.890885961686892e-05
64,3.5913398671636346e-05,2.3940415635383588e-05,3.6190255879839e-05,3.751025749170569e-05,0.0001384739569021695,0.00016146449395059
65,0.00015726427557518084,5.590482782813402e-05,8.767864158817603e-05,8.956675853122292e-05,0.00011948043931507923,0.0001250159424709175
66,8.802009853659247e-05,7.344266877976227e-05,7.95853479298159e-05,7.729992772932906e-05,0.00010728267480478973,0.00010806897984589151
67,0.00014894969566203614,0.00010012219772440769,8.781844901796371e-05,9.280384738793222e-05,0.00014796818633501302,0.00014516275242597225
68,2.8823878033483694e-05,3.156881483279296e-05,1.7609673024252235e-05,1.7573570642153423e-05,2.796688784076813e-05,3.7818155188353056e-05
69,5.172857828049798e-05,4.779431070477943e-05,6.773901338285987e-05,7.206864693101957e-05,5.1876730747054626e-05,4.568908606987729e-05
70,6.299313885003597e-05,2.3816492859616895e-05,4.866034646238032e-05,4.609930254173987e-05,6.257054750410793e-05,4.9775625439027124e-05
71,3.786029130347911e-05,2.753380240527166e-05,3.10247251196946e-05,3.394908854850946e-05,3.741252984592718e-05,3.733580027038344e-05
72,3.9059550827074735e-05,1.8241164444268048e-05,3.4022646752732885e-05,3.6242827363099794e-05,4.5942637156792714e-05,4.293694530507095e-05
73,1.7696479544075888e-05,1.974429950509032e-05,1.7172405508359683e-05,1.6005006621768184e-05,1.6842711980880606e-05,1.910036347899113e-05
74,0.0001221637148104835,0.00011695919469935846,0.00011771289922615482,0.00011888347943505847,8.591885930179809e-05,8.488940130031074e-05
75,7.08247476437083e-05,4.0962879975582967e-05,6.356468389738848e-05,6.232536370565846e-05,6.965241710877677e-05,8.247284736887246e-05
76,2.9050808613577272e-05,4.020447716606941e-05,3.142462514711079e-05,3.047323483062257e-05,2.837983301323567e-05,3.332969653981021e-05
77,4.1883954890682834e-05,2.270491667368767e-05,2.9655366466019195e-05,3.595282466064235e-05,3.616451236622496e-05,3.815412856913596e-05
78,1.2986676908280736e-05,5.3951415167471445e-05,1.911901272860591e-05,1.8858515222720564e-05,2.0466656679383214e-05,1.8455034118499443e-05
79,3.107840113903465e-05,2.659591161491009e-05,6.691428145149685e-05,6.753436376879087e-05,5.581033578905843e-05,9.685553868250788e-05
80,3.910338266626018e-05,0.00011465676382444322,7.309590290811911e-05,7.398034340255939e-05,3.951472719594465e-05,5.620304934785913e-05
81,3.102953120907409e-05,1.733247432891925e-05,2.23192397517153e-05,2.1230976791944592e-05,3.2668176320680055e-05,3.6684539574052346e-05
82,5.617399511653724e-05,5.690699840746879e-05,6.084184618941971e-05,5.922611177992042e-05,5.384307382667005e-05,5.2278454580704354e-05
83,2.977883754224584e-05,3.4063296669341e-05,4.273742635076569e-05,4.221295106154342e-05,2.892900010540875e-05,2.468692427827026e-05
84,4.395663932061408e-05,5.8599644241574096e-05,7.178782161274588e-05,7.253368252571e-05,3.9080024665774304e-05,3.0549839116739094e-05
85,1.876423450549742e-05,2.0731569541524035e-05,1.7270067543170457e-05,1.647601063565935e-05,1.6792120237703807e-05,1.712481290655524e-05
86,8.271787294588012e-05,5.481688464824682e-05,6.1047949943753e-05,6.407745536365531e-05,8.170268604120483e-05,8.875466892753653e-05
87,3.664574729976445e-05,3.224616998324927e-05,2.3955316997133075e-05,2.576510875336956e-05,3.579712135197032e-05,3.586457250861873e-05
88,0.0002832941576117146,0.00020321885700585093,0.00021326545004751154,0.00021258479838125066,0.0002587840329590821,0.0002620657692006566
89,1.5986374956682137e-05,6.01506525445052e-05,4.8940794750792265e-05,5.0610694815912506e-05,6.563966696148356e-05,0.000206695925576688
90,0.00017292389240383484,7.935621096056365e-05,9.891325807110736e-05,9.60072691422769e-05,0.0001503640623966366,0.00012796898639761388
91,6.606612593770155e-05,5.399299658307424e-05,6.416179779851994e-05,5.899399394878023e-05,5.081637827768969e-05,4.860798311594835e-05
92,5.842870486758969e-05,3.994055444007664e-05,4.248421390128515e-05,4.3224724553267635e-05,4.164606625055034e-05,4.902464423212952e-05
93,5.0743566480482726e-05,3.218793517673493e-05,2.845487695627447e-05,2.7367976722415163e-05,5.238864970864408e-05,0.0001048377763852233
94,4.9962432934272755e-05,2.8797686465286923e-05,3.7226062274988374e-05,3.807966363449496e-05,4.856211440221038e-05,4.806720506823604e-05
95,4.653950280682541e-05,1.7814282868656947e-05,3.65221948276661e-05,2.9628389019691394e-05,4.5610920209189235e-05,3.6077699989529773e-05
96,7.029454036676739e-05,5.0257947824916606e-05,5.263902720699621e-05,5.318458015455391e-05,6.225844515360377e-05,7.636880257149196e-05
97,6.285869369023327e-05,4.82304666778536e-05,6.295604578022897e-05,6.37144979608727e-05,6.143245355697592e-05,0.00010363791284858669
98,2.7482609389873255e-05,4.293251109795408e-05,2.389896461663798e-05,2.3726785713382678e-05,2.6809345849309817e-05,2.5301518458348184e-05
99,4.6009303936649136e-05,4.730341465858582e-05,5.172594916152138e-05,5.042054087655605e-05,0.0001373615626739026,0.00013231019769187414
100,0.00011631254084398111,0.00010121631940751166,0.00010562473552280143,0.00010663815133968473,0.00011588728477641372,0.00011531876895288858
101,5.560301694437495e-05,0.0001750441506364213,0.00015258390492449132,0.00015147225253351302,0.00017604070741187138,0.00019997801658620863
102,1.669023636186627e-05,2.80015476326838e-05,1.899973941400465e-05,1.823763218432722e-05,1.9783584971922657e-05,2.4907769700693756e-05
103,9.610819923864e-05,6.19927099179105e-05,8.682780584542643e-05,8.637063456473516e-05,9.347245871176953e-05,9.505973570910189e-05
104,0.00015503307221777322,8.547660502386578e-05,8.614398676648195e-05,8.577558010806443e-05,0.0001540027894724355,0.0001517837954099585
105,4.891217967967711e-05,3.9178556743016106e-05,3.739985737758479e-05,3.895805485194425e-05,4.68004399950277e-05,4.921547041915376e-05
106,3.538527321534375e-05,5.855297014018423e-05,5.916470416626334e-05,5.954302912398547e-05,3.394953480647972e-05,5.341377953704307e-05
107,5.6319271618912164e-05,3.518953386731992e-05,4.142315334202084e-05,4.234053113265911e-05,4.701078320055156e-05,0.00015892014183434692
108,7.868635498785215e-05,6.425148141837894e-05,7.581047308209998e-05,7.987863824704542e-05,7.819286103043651e-05,7.132450458543127e-05
109,4.335335423538391e-05,1.6752975906914675e-05,2.283550635973821e-05,2.2633104156560765e-05,2.7629237553693018e-05,2.6218560520638664e-05
110,1.8376098830544268e-05,1.1097053738433429e-05,1.1092345007511746e-05,1.1106355899989645e-05,1.5983720014995257e-05,1.4930307236999015e-05
111,3.207358295568387e-05,3.33277307122779e-05,3.218677362439597e-05,3.209186210088076e-05,4.60652729822382e-05,4.237137527263594e-05
112,0.00010189898989301755,0.00010538170057376721,0.00014225059144635038,0.00014397480107963397,0.00012525999815544799,0.00014805838607312744
113,4.9598597048948355e-05,4.597090832343311e-05,4.369137715141909e-05,4.102597423876655e-05,3.7497401925448764e-05,3.842881685057393e-05
114,5.2553742916137134e-05,3.777943152108848e-05,5.1143802581135924e-05,5.316588376204605e-05,5.3023513540575275e-05,4.9425783510138024e-05
115,1.8165065557271464e-05,2.0824382022058917e-05,2.2076097343293765e-05,1.558495811859411e-05,1.710361630277879e-05,1.8146762322820292e-05
116,3.312853454218564e-05,3.0054441481981378e-05,2.7269384507201008e-05,2.9710060418525423e-05,3.287733122222008e-05,3.4483798828966024e-05
117,4.038510688700708e-05,2.6834409829873787e-05,2.8738930035318142e-05,2.7424605691452526e-05,4.040082059087184e-05,4.215150587606753e-05
118,4.14228135001328e-05,4.0156056772760084e-05,3.958381667875565e-05,4.1201030505458816e-05,4.017295297965699e-05,3.8875460617401924e-05
119,2.533974499922408e-05,1.949894289550882e-05,2.035727455492159e-05,1.9449936346202494e-05,2.4822608634460716e-05,2.4745299455159716e-05
120,5.4947741390092724e-05,2.006433140517418e-05,5.247639814836136e-05,5.470340278243945e-05,5.76127457664164e-05,5.346155587765891e-05
121,5.462532195976686e-05,1.6471783358255923e-05,1.4971327113880748e-05,1.5180170451331391e-05,2.3792703590348603e-05,2.240274796928473e-05
122,2.1245069268646036e-05,1.8328244614722935e-05,1.797644401865217e-05,1.8477647404376774e-05,2.068638104221142e-05,1.953292194274011e-05
123,2.4239598168268325e-05,2.43511102988508e-05,1.7759900582550917e-05,1.680649331508609e-05,2.177055717554025e-05,2.8373811412400348e-05
124,3.611790146796861e-05,3.291076947778203e-05,4.079335889874856e-05,4.0876473290351124e-05,3.373260986428825e-05,5.985242290106145e-05
125,0.0001299281771104503,9.577276226954919e-05,0.00010864008446730457,0.00011618234026039892,0.00012328813557499146,0.00013114911187177278
126,0.0006739909220530188,0.0001808921999040121,0.0001808313118300007,0.00017788649979145915,0.00022857057943241133,0.00022551501819886822
127,0.00010540440796547567,5.522885380559108e-05,5.682305154028747e-05,6.157363971339626e-05,8.107675245606217e-05,8.847847423654309e-05
128,4.4257745758212033e-05,5.7368190504750704e-05,5.332122496556891e-05,5.3222423288440634e-05,6.394533456292703e-05,6.749387497371379e-05
129,0.0001109992266146384,0.00023771713422107891,0.00025144573512830956,0.0002512885697703156,0.000341323251469294,0.00032333383559251546
130,1.923864817170315e-05,3.389976306932452e-05,2.181710703546224e-05,2.1696839379218045e-05,2.65678173053978e-05,2.3528219320028107e-05
131,4.6974202764859496e-05,2.7336815006187355e-05,4.946384541041138e-05,4.887656612604993e-05,4.688354535619566e-05,4.627527115827112e-05
132,3.661924768336302e-05,2.4435165712812774e-05,2.6209709106595317e-05,2.600901162961621e-05,3.148575618546697e-05,2.769141542512745e-05
133,4.122734749640075e-05,0.0002563575028849134,0.00023446264643211165,0.0002346619622061026,0.00024047069342957714,0.0002467984649333175
134,8.497873789519708e-05,4.025022878627453e-05,3.502656070079483e-05,3.508377801218935e-05,2.9903640603135938e-05,3.8649759414437044e-05
135,7.598572011374549e-05,4.690587248961614e-05,3.9989950049902334e-05,3.8778676187423966e-05,7.19697169774252e-05,7.241023794637143e-05
136,0.00023771646837848637,3.5580047295203346e-05,5.910969696681032e-05,6.030903227222633e-05,0.00010624251546766584,9.806684068092718e-05
137,3.67414549992438e-05,4.470688395997315e-05,6.296633463366393e-05,5.402337506262184e-05,4.613118723024121e-05,3.934880279191168e-05
138,3.069232821046412e-05,1.8372104295642634e-05,2.1922478472752106e-05,2.2264477503869628e-05,3.016843821481787e-05,0.00015687768556112524
139,1.8416521323966466e-05,9.735427793023837e-06,1.1781516420492432e-05,1.0260405497167836e-05,1.7776351466308786e-05,1.6786027926643696e-05
140,4.181333693993179e-05,2.4365243879674852e-05,2.4306386313020538e-05,2.382043580419634e-05,3.744267509742632e-05,3.932205583021418e-05
141,4.941377472520892e-05,3.685114093070225e-05,3.5607026323882405e-05,3.536746229163295e-05,4.464296367230351e-05,7.964239568167171e-05
142,2.702551176041683e-05,2.157562867471759e-05,1.864088097422724e-05,1.8357302091764558e-05,2.6707041969736233e-05,2.4387547100479495e-05
143,3.2898760591796436e-05,2.4099753553490807e-05,2.9879205203880035e-05,2.8834237386535625e-05,3.279210690116575e-05,2.9646106321532128e-05
144,5.276914014369082e-05,1.9908285921619764e-05,2.3533618640234607e-05,2.4371416052612173e-05,7.107572658681111e-05,6.525217183193707e-05
145,2.640985779793151e-05,2.9215404087035284e-05,2.650314845106151e-05,2.632019195835868e-05,2.4912837626885992e-05,2.5503939829661347e-05
146,3.5052509734156484e-05,2.97395782524902e-05,2.2315248479755413e-05,2.0093650710160026e-05,2.2767297861425622e-05,2.046102795125573e-05
147,3.1599673685748904e-05,1.8566860864194127e-05,2.021171541014217e-05,1.7512710558590842e-05,1.5496385820079846e-05,2.2562628627942332e-05
148,4.6381533862238476e-05,3.7366245887858354e-05,4.758323156334005e-05,4.726943062709399e-05,4.543741015074532e-05,5.668288340480208e-05
149,4.7574886083001476e-05,3.33924889428458e-05,3.0791263499186125e-05,2.9888024378313942e-05,3.182400145361e-05,4.720773468514337e-05
150,5.3125805224311894e-05,2.886659918926466e-05,4.298534214032731e-05,4.4066478714026916e-05,4.403826534410777e-05,7.663126573863585e-05
151,2.91439472165795e-05,2.328234612599273e-05,1.643150900761045e-05,1.7869700021834672e-05,3.754506821327269e-05,5.034203646081428e-05
152,0.00027392235434698856,9.911119567929344e-05,0.00014969228172446094,0.00014988788444152305,0.00018488546073093572,0.0003476816541853153
153,2.9758164352545366e-05,3.066240897399597e-05,2.147733540452557e-05,1.9689095076443606e-05,2.9082043885119992e-05,3.184319677022428e-05
154,0.0001134293302733973,8.414160037865188e-05,0.00012854706770656829,0.0001236372499638996,9.549812396214585e-05,9.1085583145058e-05
155,1.7200097163517152e-05,2.0207162750563736e-05,2.269600209396803e-05,2.2449637915052746e-05,1.731375602887672e-05,1.593181907839235e-05
156,3.082951133921296e-05,2.922925044722235e-05,1.697062387035031e-05,1.7237041465125588e-05,5.763175700568957e-05,5.369615690591659e-05
157,4.569345700273979e-05,4.700741047467363e-05,4.95663708721933e-05,5.012427568763661e-05,4.239596123646896e-05,4.478046925892208e-05
158,7.57863219626555e-05,0.00018174624265122677,0.00019584335853580092,0.0001982576059100083,6.971469854672797e-05,0.0001947722008040844
159,3.3067757257847974e-05,4.595175475820931e-05,2.8750604521170716e-05,2.742002636358708e-05,3.184611098910935e-05,3.1443467200709506e-05
160,2.850647152801331e-05,2.3748891725053712e-05,2.5797583897776694e-05,2.5524798522243078e-05,2.9676373866780327e-05,3.3277964679478165e-05
161,0.0001257342455710536,7.019601639260872e-05,7.558513168291081e-05,7.671819652314644e-05,0.00012455951473812286,0.00012807129807531733
162,0.00013627170646325523,9.753483996134938e-05,0.00011812361137669168,0.00011646483007539464,0.00013857605601525082,0.00017409904738184832
163,4.2314237265869415e-05,2.987169514158958e-05,3.041170326681923e-05,3.0319955037097808e-05,3.977210282073733e-05,3.9940573357371225e-05
164,3.0666816274124954e-05,3.630922427399914e-05,5.410477732089329e-05,5.259977147301775e-05,2.8852969447787767e-05,3.193774935336267e-05
165,2.0246091886420858e-05,2.715758636792589e-05,2.3414092021105386e-05,2.3273754504816873e-05,2.1476245670318543e-05,2.6566464946446208e-05
166,0.00012497901065390365,0.00011184937875302411,9.656124693156254e-05,9.917411034511875e-05,0.00011152179906633547,0.0001505348742615246
167,5.0084897972581645e-05,2.2745519393593408e-05,2.5639363597547977e-05,2.7193713971451095e-05,5.034112450910558e-05,4.5004721796276175e-05
168,6.758570858943084e-05,4.641571123721113e-05,5.702851173055602e-05,5.7887871847207564e-05,5.7262425379152036e-05,5.406682170730108e-05
169,5.9152555748206405e-05,2.520896938341165e-05,3.341455140688921e-05,3.477934049151715e-05,5.211086933157102e-05,5.526936542720177e-05
170,2.3571145436262932e-05,2.894199125002756e-05,2.9284278226767356e-05,2.99264823054305e-05,2.2278397495736554e-05,2.9127370211228868e-05
171,3.9376774954235254e-05,1.7752504377200726e-05,3.287545944888224e-05,3.313902669743442e-05,3.942290523449954e-05,3.587785665008425e-05
172,5.26286735240939e-05,2.8849754309268704e-05,3.3461450134453946e-05,3.595399723731239e-05,5.210037412088282e-05,5.2798854810930365e-05
173,3.2825999609110565e-05,2.533461597578426e-05,2.9816020624419975e-05,2.987318789072004e-05,2.9311628483845547e-05,3.114189456789095e-05
174,4.4298013948337556e-05,4.260662333414414e-05,4.4187942709247784e-05,4.46974895106766e-05,4.3865869989213795e-05,4.8093878334133176e-05
175,5.811337666820328e-05,3.426632703845428e-05,3.362536433361123e-05,3.673035386604938e-05,5.81803071931924e-05,5.689710775646838e-05
176,7.748772237323534e-05,6.904514672863804e-05,8.944918549581001e-05,8.770547308246326e-05,0.00011563229110870034,0.00024750279434280836
177,0.00019351729729737493,0.0001665849105744747,0.00018657553326414554,0.00020014981237129238,0.00019013087610405285,0.0002656183097469962
178,2.862452709072223e-05,5.1980319536482716e-05,3.151373294324033e-05,3.261963912660686e-05,2.7391649306719623e-05,2.679931983939318e-05
179,5.292641259326354e-05,2.56632395745683e-05,5.494038540408699e-05,5.413993636447741e-05,5.45111706108956e-05,5.152108383781618e-05
180,5.90897851964963e-05,8.603986837692354e-05,8.564142717192697e-05,8.749682552054651e-05,5.961904288600184e-05,9.04529122898538e-05
181,0.00014973368541986744,5.378624821288249e-05,0.00010052634263871562,0.00013685448607534705,0.00014722096927993931,0.00018275732548931562
182,0.000446865294456885,0.00017983875385772143,0.0002179549897118016,0.00021801582717678167,0.0003761947819873483,0.000300634745106
183,7.170650180958349e-05,7.15887472517201e-05,7.199125769170511e-05,7.471588482026463e-05,6.962906328158178e-05,6.88546378671797e-05
184,0.00018909722003648404,0.00011925519360422958,9.161014373261016e-05,9.406093848775708e-05,0.00020400753923524985,0.0002048172842417691
185,1.7819822492805773e-05,5.1200961428496146e-05,3.829618692508481e-05,3.80620283281327e-05,1.7370113601110806e-05,0.00012458062135761134
186,5.49658834339441e-05,2.854083087896874e-05,5.1174933300417996e-05,5.0720582737753264e-05,5.278728464977369e-05,5.2831445472923757e-05
187,0.00011499433074673828,6.545489329879485e-05,8.671660424488007e-05,8.819881766810187e-05,0.00011109175644713698,0.00011856611897883158
188,2.844772686947347e-05,3.120287464293844e-05,2.2763037512736585e-05,2.1452917019494025e-05,2.804829904470851e-05,2.5153710149324082e-05
189,3.896983905497968e-05,4.4614601746582776e-05,4.125824925923526e-05,4.236434869964968e-05,2.8085791868532758e-05,3.3556051795184876e-05
190,8.905253294823898e-05,0.00017289499652921775,0.00015350271473618486,0.00014519209194573915,5.9020949805668185e-05,0.00014989179273492136
