,Standard_beran,True_proba,NN
0,0.08788840517836953,0.08655131665386433,0.0845002768953128
1,0.07731452456306086,0.08379589852533514,0.0850952247521648
2,0.07817364619276429,0.08510359518209948,0.08599232091420472
3,0.08214422252969256,0.0870007576875173,0.0869198138863123
4,0.08046175150449877,0.08267044556263145,0.08416259592633613
5,0.06986327550638716,0.08226473837042982,0.08265140315254269
6,0.08822415083412194,0.08927540729318356,0.08982997480860681
7,0.06815671331198077,0.0869154800578148,0.08695471258973286
8,0.08440445377471274,0.08737189515488371,0.09028629276135963
9,0.08121232536029337,0.08928031022826516,0.08996924793389932
