,true_cdf_0.3,Standard_beran_cdf_0.3,True_proba_cdf_0.3,NN_BCE_cdf_0.3,NN_MSEloss_cdf_0.3,DecisionTree_cdf_0.3,KNN_cdf_0.3,LogisticRegression_cdf_0.3,Standard_beran_mise_0.3,True_proba_mise_0.3,NN_BCE_mise_0.3,NN_MSEloss_mise_0.3,DecisionTree_mise_0.3,KNN_mise_0.3,LogisticRegression_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,True_proba_cdf_0.5,NN_BCE_cdf_0.5,NN_MSEloss_cdf_0.5,DecisionTree_cdf_0.5,KNN_cdf_0.5,LogisticRegression_cdf_0.5,Standard_beran_mise_0.5,True_proba_mise_0.5,NN_BCE_mise_0.5,NN_MSEloss_mise_0.5,DecisionTree_mise_0.5,KNN_mise_0.5,LogisticRegression_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,True_proba_cdf_0.7,NN_BCE_cdf_0.7,NN_MSEloss_cdf_0.7,DecisionTree_cdf_0.7,KNN_cdf_0.7,LogisticRegression_cdf_0.7,Standard_beran_mise_0.7,True_proba_mise_0.7,NN_BCE_mise_0.7,NN_MSEloss_mise_0.7,DecisionTree_mise_0.7,KNN_mise_0.7,LogisticRegression_mise_0.7
33,0.9866039385012547,0.985812621270678,0.986543078000297,0.9864463586384228,0.9862235273679946,0.986183046954849,0.9864152628921029,0.9864466515443198,5.116704551997431e-05,4.08610257926391e-05,4.9477478368844287e-05,4.827067376131478e-05,4.678827214840865e-05,4.672584984123014e-05,4.50751768081944e-05,0.9899216036302975,0.9895281284209573,0.9901385086124617,0.9898127053677028,0.9895989382706124,0.9895869168831477,0.9900685115455852,0.9901989595604387,3.5365961347789004e-05,3.1061398981765554e-05,3.777147848880732e-05,3.975757966794671e-05,3.8027060301387575e-05,4.33750470872236e-05,3.185566670599121e-05,0.9929666786962903,0.9925047024755039,0.9932619377854236,0.9930301288846047,0.9929288805475156,0.9925192730827789,0.9936745970129747,0.9934277642163817,2.6798432120127515e-05,2.2926076421290317e-05,3.013947092149979e-05,2.8325305171226475e-05,3.507832141951904e-05,2.4847453979599635e-05,2.1694560192649486e-05
34,0.9882451018377625,0.987489841549783,0.9880791940948181,0.9880051921426133,0.9878257740178411,0.987775788901431,0.9879838038919556,0.9880383027590939,4.7171254415097834e-05,4.049710386102444e-05,4.8687065907030555e-05,4.795681829030018e-05,4.6115187051589524e-05,4.341054554362617e-05,4.384735335994257e-05,0.9912322501166598,0.9906303346730077,0.9912503897058254,0.9909689474964993,0.9907770438323895,0.9906982017317089,0.991194691989675,0.9913201335706744,3.545537456541304e-05,3.056508957225234e-05,3.490447998514149e-05,3.7671384263483526e-05,3.6097821547655247e-05,4.081313775203232e-05,3.0832021832273544e-05,0.9939476657586481,0.9933492016234211,0.9942129004027983,0.9939819448451456,0.9938862178442056,0.993260849332598,0.9944358193569492,0.9943983418641595,2.6387832260602526e-05,2.1907987065052942e-05,2.8421156226294272e-05,2.708513638923936e-05,3.488031486836048e-05,2.3426326125901694e-05,2.0577675038331933e-05
35,0.9896852048031045,0.9889743662464201,0.9896867706542403,0.989604681237305,0.9894463297368131,0.9891708041330594,0.9896295969847201,0.9896796903286562,4.1165154502819436e-05,3.2943162541143074e-05,4.001315072269309e-05,3.8836795388309787e-05,3.6116327164123136e-05,3.860410335734592e-05,3.53462359734378e-05,0.9923724533946784,0.991567324427873,0.9922722274410002,0.9919962595740747,0.9918748178230286,0.9916763140017926,0.9922566897711138,0.9923628945337077,3.489349396483022e-05,3.067675242593284e-05,3.480687099409094e-05,3.715633103931223e-05,3.611778595368741e-05,3.7593539686769616e-05,3.0815353737301524e-05,0.9947918276178113,0.9943288189152811,0.9952631891862525,0.9950797907605362,0.9949968711797866,0.9941375811212876,0.9954346767309349,0.9954559579265418,2.3867276195521925e-05,1.9634179926730818e-05,2.5159653470414466e-05,2.4070184617432603e-05,3.388048710362931e-05,2.0592443524966867e-05,1.8296764832273367e-05
36,0.9909488794810923,0.9903781235428453,0.9911844551785475,0.9911023976398539,0.9910027936375433,0.990592491866079,0.9911058676883607,0.9911566166334489,4.37537463886446e-05,3.3556928946784426e-05,3.94309039745636e-05,3.964918992772531e-05,3.73991564395567e-05,3.826344069122385e-05,3.537605519707675e-05,0.9933643787755736,0.9930320753895471,0.9938027115223932,0.9935233455380181,0.9934062637651305,0.9932284148696408,0.9937400085191619,0.9938638104108197,2.9496212123440226e-05,2.754608384475205e-05,2.9716466289394752e-05,3.1682874051134766e-05,3.0994733101658035e-05,3.212227692264062e-05,2.7429112367555833e-05,0.9955182482525066,0.9951402608028244,0.9963400209119225,0.9961854484685218,0.9961042114338572,0.9949398449481599,0.9964824790333562,0.9965131161777646,2.2845836872866984e-05,1.696438883307889e-05,2.1942977128939916e-05,2.073144506671528e-05,3.211998848387956e-05,1.8446103116461597e-05,1.561705090368686e-05
37,0.9920577402571746,0.9916491281626769,0.9923641892503984,0.9923442229128231,0.9923030206683678,0.9917795907301428,0.9923477381724584,0.9923536936016706,4.072543963165237e-05,3.169795809734626e-05,3.569879473851215e-05,3.481369765749011e-05,3.3874289593286025e-05,3.4519195434317546e-05,3.3242107082381697e-05,0.9942273090795226,0.993684543453173,0.9947320402408066,0.9945924679663716,0.9944485256807013,0.9939071679813742,0.9946616530229477,0.9948088235217105,2.6335439564080828e-05,2.2031191487563442e-05,2.387041851805543e-05,2.6008125629286863e-05,2.7249384694980165e-05,2.7446883554279014e-05,2.154932861476964e-05,0.9961433498639845,0.9954926140320579,0.9969744892406482,0.9968476999716086,0.9967770792077165,0.995273512227886,0.9970993552095329,0.9971282935717386,2.329351944840693e-05,1.5981832244808237e-05,2.0509933417876002e-05,1.90573609307399e-05,3.241001687400376e-05,1.7325760922581598e-05,1.4786348053716272e-05
38,0.9930307535193315,0.9926918310896055,0.993575145577834,0.9935390065462374,0.9934950243953463,0.9929134721773869,0.9935043174565134,0.9935309610966334,3.82240922237778e-05,2.642420506559174e-05,2.9480428213094343e-05,2.909664196617623e-05,3.057943008585735e-05,3.036475940357797e-05,2.770022313958371e-05,0.9949780194896157,0.9945959434119657,0.9956702097260341,0.9954373162554527,0.9952823813701194,0.9949277127268361,0.9955102473770272,0.995677800331447,2.5715605499782434e-05,2.029842751612884e-05,2.3967131047164856e-05,2.5752059309342926e-05,2.583075880358208e-05,2.7197638559917536e-05,2.0866384908909392e-05,0.9966812641329482,0.9960101402057794,0.9976902850389174,0.9976052409435266,0.9975607656779891,0.9960566777847685,0.9977321239675855,0.9977960294267466,2.2663875247983847e-05,1.3610821022418678e-05,1.7535163525638672e-05,1.5513336796163978e-05,3.0105551049989565e-05,1.5367303776535638e-05,1.283837783212482e-05
39,0.9938845620665847,0.993778712923939,0.9945389973143606,0.9944912020031892,0.9944832247691292,0.9939661128226343,0.9945876909272546,0.994528098328855,3.46017264216413e-05,2.188337036718493e-05,2.518490463655409e-05,2.4832554072618643e-05,2.6034209818080013e-05,2.5648720077234103e-05,2.285042970585975e-05,0.9956311036578771,0.9952578399694212,0.9965703160723572,0.996325395482735,0.9962053974699324,0.9958339003171204,0.9964631982557808,0.9965849012904358,2.5657164874181956e-05,1.8391518672572865e-05,2.201236452795812e-05,2.3519124344182e-05,2.3025601227682187e-05,2.2301151648229637e-05,1.8918566787139562e-05,0.997144151694653,0.9964745310364368,0.9979879978367601,0.9979398455016422,0.997925841279046,0.9965734882027624,0.998074483458675,0.9980886128672866,1.9515285847516042e-05,1.2188136347233321e-05,1.5507395776858158e-05,1.3662150760034338e-05,2.517461916338137e-05,1.3454516039444146e-05,1.1342521557587369e-05
40,0.9946337697739359,0.9942856257740873,0.9951960852726458,0.9950674901721509,0.9950761220797999,0.9944768024785721,0.9952255139331301,0.9951572343555636,3.528512850275948e-05,2.2559299938505563e-05,2.6122292471248346e-05,2.5793047128833654e-05,2.7263607182231065e-05,2.629142375682695e-05,2.3809250024842157e-05,0.9961992574027823,0.9957108433493995,0.997043207927926,0.9967689582357674,0.9966837899430662,0.9963128303039697,0.9969392739647054,0.9970943972005942,2.4841932315741222e-05,1.437506165822429e-05,1.9611176094838424e-05,2.0861046393871626e-05,2.102925569869417e-05,1.8783947874187553e-05,1.4719605263611753e-05,0.9975424770545543,0.9968877571561962,0.9986146254782239,0.9985395039569172,0.9984938324406891,0.9971195755474376,0.9986321578474237,0.9987129003674091,1.7812973007439463e-05,7.396575991443808e-06,1.0309793749828845e-05,1.0152497131445622e-05,2.227618434696724e-05,8.721276638521352e-06,6.812964218517337e-06
41,0.9952911913827499,0.9948201364296141,0.9956449454602126,0.9955365980554923,0.9955277341550587,0.9949675911437853,0.995616780367365,0.9956173218547231,3.380461173383744e-05,2.2288833030684063e-05,2.5162248501465252e-05,2.4923684563549542e-05,2.6608254744037327e-05,2.4917491025735025e-05,2.3361514513737736e-05,0.996693525513291,0.9963725287256107,0.9976087055783026,0.9973688106095228,0.9972967693874104,0.9969242178614102,0.9974953633267957,0.9976373419580437,2.0669316592479573e-05,1.0587834119887417e-05,1.4540411204094404e-05,1.5155837407134207e-05,1.560796960361987e-05,1.413337821175311e-05,1.0963885585390805e-05,0.997885245159526,0.9971488424502796,0.9988925643564461,0.998777914905219,0.9987545149928639,0.9973859337391277,0.9988662868611783,0.9989787113142289,1.79938776633657e-05,6.5210929252542714e-06,9.628577877919633e-06,9.373435350333518e-06,2.229370137786334e-05,7.967763836141963e-06,5.860462204370472e-06
42,0.9958680716890986,0.9955072073275779,0.996236860139763,0.996102878579238,0.9960813810253412,0.9955709463692145,0.9961354382611386,0.9962088203615777,2.4059803500069307e-05,1.7929805798697604e-05,2.1478856970677398e-05,2.1341304415599693e-05,2.2486762304566392e-05,2.0687924716162157e-05,1.8503477305510805e-05,0.9971235164572154,0.9965876163210158,0.9979562814921171,0.9977360869493187,0.9976983046853951,0.9972737941513645,0.997793953972999,0.9979308973595482,1.9661433865754765e-05,9.243831294840034e-06,1.2771473446034174e-05,1.3032037585902898e-05,1.4378160358611554e-05,1.2408860168275702e-05,9.724367403167813e-06,0.9981802049728179,0.9972601256337265,0.9991064470170967,0.9989923725308962,0.9989323041928516,0.9975762862947926,0.999043617543293,0.9991829653632646,1.7821472655711137e-05,4.8870386893586744e-06,8.2651492375534e-06,7.87395267036652e-06,2.174619289672438e-05,6.7239846586052715e-06,4.474649394853268e-06
