,t,true_cdf_0.3,Standard_beran_cdf_0.3,Standard_beran_mise_0.3,True_proba_cdf_0.3,True_proba_mise_0.3,NN_cdf_0.3,NN_mise_0.3,NN_with_delta_cdf_0.3,NN_with_delta_mise_0.3,Linear_cdf_0.3,Linear_mise_0.3,Linear_with_delta_cdf_0.3,Linear_with_delta_mise_0.3,Linear_MAR_cdf_0.3,Linear_MAR_mise_0.3,NN_MAR_cdf_0.3,NN_MAR_mise_0.3,Standard_Beran_delta_obs_only_cdf_0.3,Standard_Beran_delta_obs_only_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,Standard_beran_mise_0.5,True_proba_cdf_0.5,True_proba_mise_0.5,NN_cdf_0.5,NN_mise_0.5,NN_with_delta_cdf_0.5,NN_with_delta_mise_0.5,Linear_cdf_0.5,Linear_mise_0.5,Linear_with_delta_cdf_0.5,Linear_with_delta_mise_0.5,Linear_MAR_cdf_0.5,Linear_MAR_mise_0.5,NN_MAR_cdf_0.5,NN_MAR_mise_0.5,Standard_Beran_delta_obs_only_cdf_0.5,Standard_Beran_delta_obs_only_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,Standard_beran_mise_0.7,True_proba_cdf_0.7,True_proba_mise_0.7,NN_cdf_0.7,NN_mise_0.7,NN_with_delta_cdf_0.7,NN_with_delta_mise_0.7,Linear_cdf_0.7,Linear_mise_0.7,Linear_with_delta_cdf_0.7,Linear_with_delta_mise_0.7,Linear_MAR_cdf_0.7,Linear_MAR_mise_0.7,NN_MAR_cdf_0.7,NN_MAR_mise_0.7,Standard_Beran_delta_obs_only_cdf_0.7,Standard_Beran_delta_obs_only_mise_0.7
0,3.313234648373126e-09,1.064542286856034e-08,0.0,1.1332502805046745e-16,0.0,1.1332502805046745e-16,0.0,1.1332502805046745e-16,0.0,1.1332502805046745e-16,0.0,1.1332502805046745e-16,0.0,1.1332502805046745e-16,0.0,1.1332502805046745e-16,0.0,1.1332502805046745e-16,0.0,1.1332502805046745e-16,1.1347828606291349e-08,0.0,1.2877321407776457e-16,0.0,1.2877321407776457e-16,0.0,1.2877321407776457e-16,0.0,1.2877321407776457e-16,0.0,1.2877321407776457e-16,0.0,1.2877321407776457e-16,0.0,1.2877321407776457e-16,0.0,1.2877321407776457e-16,0.0,1.2877321407776457e-16,1.2235775481584853e-08,0.0,1.4971420163575217e-16,0.0,1.4971420163575217e-16,0.0,1.4971420163575217e-16,0.0,1.4971420163575217e-16,0.0,1.4971420163575217e-16,0.0,1.4971420163575217e-16,0.0,1.4971420163575217e-16,0.0,1.4971420163575217e-16,0.0,1.4971420163575217e-16
1,0.04568598391402678,0.13652390559782077,0.13836159500967463,0.0003496090776413701,0.13713211847223117,0.00022586920683314877,0.13661816612869104,0.0004293724116591185,0.1487935572363386,0.0005076825227451886,0.17337535920144165,0.004042233015324026,0.16108928292102614,0.0012089221519941606,0.17305246998772147,0.002551767363743943,0.16185353187527446,0.0009057193382002065,0.14741208465346287,0.0005505501575579431,0.14484667180881877,0.14378955372553273,0.00031717093474154754,0.14392472466266684,0.00021939826074348146,0.14304853493099756,0.0004406111837914292,0.15485553677302982,0.0004393618902601939,0.1788255300781165,0.004104066322116322,0.16642537571125773,0.001036782654562323,0.1777120621847821,0.0023987682778484685,0.16785634251701625,0.0007607124906247522,0.15244739715943337,0.00048107627937577944,0.15525319754736147,0.1533657995018178,0.00038253005443547307,0.15490229579217313,0.00024825215596505963,0.1532696687859189,0.0004701187289617662,0.16491173005165816,0.0004697127866397278,0.18762861357978775,0.004640863285929831,0.1761761392859032,0.001102998575542646,0.1865675262780659,0.0025706361293523464,0.17774506743270588,0.0007672877749500166,0.16234814006255574,0.0005507074705066177
2,0.09137196451481891,0.2544090264588276,0.2574212022059953,0.0006949176193482076,0.25638992819137163,0.00042532651212662617,0.254382181076994,0.0010401215853931846,0.27531829289794735,0.0011684319422737034,0.31570695875591365,0.010925451620885427,0.295468204077875,0.003033430787987054,0.3160375199528519,0.0069228947216134476,0.2978945896336838,0.0023726121272269057,0.2727741943795744,0.0012368349026634269,0.2687127769850238,0.26673480966010665,0.0006117889850440198,0.26835901484209973,0.0004383382745476156,0.2664583471693929,0.0010628973551757796,0.2857796907435217,0.000919307477165417,0.32395445621613955,0.01097142202387633,0.3047244948304932,0.0026104596480000146,0.3240520870858668,0.006465248663115402,0.30855832757432544,0.00204052402999105,0.2819035954546536,0.0009625921077659384,0.28640283101462816,0.28358882615772135,0.0006788251196204305,0.2862214799638105,0.0004795873908231278,0.2830314179477114,0.0011279222486035522,0.30260350812314585,0.0009934047050576015,0.3370312266912538,0.012145287625058539,0.32050159260405336,0.002662635705661941,0.3373437158195754,0.00659189111772566,0.32422544823199717,0.0019428299188701335,0.29774541959082673,0.0010283603628419495
3,0.13705794511561106,0.35620001129162693,0.36101630655926115,0.0010553237657010023,0.35854896862259883,0.0005947787903660181,0.35560691380757564,0.0016286400517397889,0.3834666822250777,0.001796384909926035,0.430792729921163,0.01641327649369798,0.40833513653477876,0.004605541323962614,0.432962171727782,0.010712243044373725,0.41157404208357856,0.003714759239069731,0.3806254572978607,0.001835916601227839,0.37463729027854775,0.37443760787271146,0.000850587067655581,0.37566774128172564,0.0006150134444099855,0.3725296309164979,0.001649663239292662,0.3981888191851781,0.0014800628889853349,0.44200122076821335,0.01663077551002288,0.4208824216675556,0.003990952892176262,0.44434791330031703,0.009943905022480624,0.4259893862556662,0.003252449158729821,0.3935525649589739,0.001414984533568913,0.39719106588451725,0.39302908877426307,0.0008745518430904074,0.39677762303018643,0.0006331712545737276,0.39221464933361033,0.001729295801674298,0.4166614069358573,0.0013439331819751954,0.4556855042609872,0.017953289054394757,0.43844161384736935,0.0037514979284396185,0.4590182058684194,0.009707377666298846,0.44405565259711804,0.0028405663040818084,0.41081589664896456,0.001350760247528734
4,0.1827439257164032,0.4440940942560734,0.4484473125287385,0.0012058987017403008,0.4461276698205354,0.0007332793919172537,0.4419399471757122,0.0021056997974498465,0.47352759280617046,0.0020838892245026563,0.5239891981028166,0.01967720681128814,0.5011048272727626,0.005435069507647691,0.5284032711893337,0.012812607210069741,0.5055990018128527,0.00451464320199814,0.4704267517423638,0.0021180418177275963,0.4652189913864413,0.4633656315289866,0.0010190117346515757,0.4652090303604,0.0006806160164878882,0.4605765696245632,0.0020390981363370645,0.48981387861882314,0.0016357543087973103,0.5353413045625925,0.01973405650194541,0.514742444530465,0.0046451538776364504,0.5404164229390942,0.011694121593226706,0.5212552629205676,0.0037861874230786037,0.48470918758217085,0.0015502404213003705,0.49077907418534983,0.48498650369576635,0.00111211174018603,0.4895050192829505,0.0007989152469253173,0.48362077967229555,0.002215473028325155,0.5114820234066485,0.0015635078078451163,0.5501102843767718,0.02082333020836711,0.5344985314481422,0.004188519774348056,0.5564089218014818,0.011151324943580829,0.541777918979911,0.0033569105109237914,0.5055066927784192,0.0015585572609541265
5,0.2284299063171953,0.5199885345432033,0.525502152683261,0.0013755127515576188,0.5236427599893215,0.0008588173595258541,0.5183696848876077,0.0024062591032152315,0.5519501684742258,0.002323123549287892,0.6024586162689892,0.02132314686304355,0.579838501622966,0.005896390030533067,0.6089056632118731,0.013960799090464911,0.5862954137227091,0.005205373529191453,0.5479458538486909,0.0022952311798427965,0.5426802354410922,0.5406502206080492,0.0011696189744547986,0.5431760927944911,0.0007653917678352859,0.5373473736906553,0.0023465580383715727,0.5684694312693088,0.0018231506776745206,0.612963519408111,0.021010847460035637,0.5938535452302386,0.004998238104668416,0.6203923500814509,0.012452312967142783,0.6020762268367407,0.0042363015670182965,0.5626900023421895,0.0016920020337063224,0.5698372459127271,0.563739370720059,0.0013708040193294991,0.5694033351557032,0.0009547395635647886,0.5630135154488051,0.002526676253152257,0.5915601563329113,0.0018591410686778621,0.6274941198533036,0.022035820006926082,0.6145371327031225,0.004507875483982665,0.6370757053846192,0.011602493229941252,0.6236698524369277,0.00374149628395331,0.5852004784377495,0.0018828500876027785
6,0.27411588691798744,0.5855215701268004,0.5917335880479855,0.0015342057103193251,0.5902985728971198,0.0010558029209947874,0.583961574415672,0.0027424431945163434,0.6181653465764224,0.002455177123038918,0.6655996837096875,0.02112753214019344,0.645613969092716,0.005852503250181087,0.6747556082482532,0.014049702752883381,0.6535322654712835,0.00552684537612768,0.6140825711211673,0.0024137926813337708,0.6089214768519506,0.6061139423688788,0.0013899178056320956,0.6094434419076245,0.0009649450733488137,0.6023214948674612,0.0026283749487368406,0.6340146739850712,0.0019621995185060367,0.6757892726325385,0.020840186196824664,0.6592731292184802,0.00494603761751873,0.685663754345307,0.012345120544472532,0.6683061438861972,0.004308374450061155,0.6284467915758905,0.0018481447586900163,0.6366213845043365,0.631333555797763,0.0015239535532992107,0.6367513340288294,0.001089161658334527,0.6293226271991269,0.0027625448864186494,0.658522731531161,0.001961662808111549,0.6901519025650481,0.021424057726382607,0.6805483207318888,0.004351824826104088,0.7022566226938273,0.011299899013472486,0.6904758143320727,0.0038224073714449467,0.6524047561449742,0.0019168708404167473
7,0.31980186751877954,0.6421077803492279,0.648011221961957,0.0016265948579040144,0.6467628542640135,0.0011950811582185745,0.6394412664740681,0.003023918692028697,0.6739708105311096,0.002516071801052154,0.717729659521685,0.020114438188167685,0.70072400995112,0.0056674956376639,0.7287540780632136,0.013282085451123613,0.7089789089312925,0.005422927627005647,0.6699071833866883,0.002404192922780226,0.6655678955507753,0.6630576964025481,0.0014669827446222219,0.6668890077551882,0.0010546592727843883,0.6586002701863556,0.0027952809271157065,0.6903380904507981,0.0018934176030753081,0.7279921681278154,0.019694660826155053,0.7146363526632763,0.004607247477712986,0.7397742937496354,0.011565488275600654,0.7242987224652437,0.00422249710641826,0.6845948221497958,0.0017663960767286201,0.6930370727244419,0.6883561999099101,0.0016227963627438963,0.6943710632028719,0.001204322988584574,0.6864892835266482,0.0028739773569074374,0.7149668930745868,0.0019832148812021855,0.7413294980342566,0.020215530480848138,0.7352814720125583,0.004042982055806093,0.7561907893802295,0.010485325856444117,0.7462621848800279,0.0037659525875414776,0.7082826811676155,0.0019520782582194993
8,0.3654878481195717,0.6909686206692549,0.6973549433734332,0.0017084452497223399,0.6966092608770098,0.001321471128833979,0.688577607444958,0.003129824386315972,0.721779793252309,0.0025655260314095653,0.7623640658630974,0.018556668617553417,0.7471276671185896,0.005342704136617222,0.7745869108017358,0.012425941968768157,0.7565014469307091,0.005270936153720526,0.7185541120280928,0.0026067618649939527,0.7140092695808911,0.7106252673282947,0.0017243260381138706,0.7164237292822844,0.0012282792584706386,0.707578334016857,0.0028518243322672304,0.7372319074759881,0.0019568971268836676,0.7710560134541425,0.017998631852597494,0.7592309255479298,0.004309877802788959,0.7850631917099836,0.010633763400590267,0.7711497773014805,0.0041010809382225006,0.7309908871983419,0.001876360835656244,0.7406940455396611,0.7350719827524121,0.0018198465005776069,0.7430321335757937,0.001401542806408309,0.7342884918369497,0.0029107271634342506,0.7605938611969189,0.0019909948965418055,0.7824174506218856,0.018311118752641638,0.7794881592029561,0.0037234688439843422,0.7994588756149438,0.009331037342766782,0.7912124271940817,0.003508648391861214,0.754390388243904,0.0019729612773902385
9,0.41117382872036384,0.7331587886871324,0.7409785510271788,0.0020381093207972427,0.7413229841176595,0.0017026018605555506,0.7328945288221084,0.0034426033246226437,0.764188644802606,0.0028336491703697965,0.8003206492797587,0.01683987725352052,0.7873412105372138,0.005098790441543911,0.812934387550522,0.011396373142791792,0.7974925522297991,0.005262231955067664,0.7604569513704819,0.002831072237105554,0.7554340722749799,0.7529351227983107,0.0020529954496752694,0.7601875647547641,0.001690905659954224,0.7512851568125282,0.0031662216046930056,0.7779258443303062,0.002130418798465676,0.8070849588000633,0.01653867130373113,0.7985718253227421,0.0041192753978318225,0.8228523027969722,0.009683724877566205,0.8110558852584133,0.004136739986374062,0.7712966162816185,0.0020500759115678635,0.7809521214324786,0.776411456616366,0.0020743658255829266,0.786108716610389,0.0017942523682285391,0.7769568892137503,0.0030302118010313186,0.7994126512999563,0.002147416850131462,0.8191312260512412,0.01628547372368044,0.8163477156914335,0.0034094932245124047,0.8370147700947909,0.008264989672228643,0.8301276199071727,0.0035179137273973053,0.7936781133371944,0.0021606233781990523
