,t,true_cdf_0.3,Standard_beran_cdf_0.3,Standard_beran_mise_0.3,True_proba_cdf_0.3,True_proba_mise_0.3,Subramanian_cdf_0.3,Subramanian_mise_0.3,NN_MAR_cdf_0.3,NN_MAR_mise_0.3,NN_MAR_with_delta_cdf_0.3,NN_MAR_with_delta_mise_0.3,NN_two_steps_cdf_0.3,NN_two_steps_mise_0.3,NN_two_steps_with_delta_cdf_0.3,NN_two_steps_with_delta_mise_0.3,Standard_Beran_delta_obs_only_cdf_0.3,Standard_Beran_delta_obs_only_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,Standard_beran_mise_0.5,True_proba_cdf_0.5,True_proba_mise_0.5,Subramanian_cdf_0.5,Subramanian_mise_0.5,NN_MAR_cdf_0.5,NN_MAR_mise_0.5,NN_MAR_with_delta_cdf_0.5,NN_MAR_with_delta_mise_0.5,NN_two_steps_cdf_0.5,NN_two_steps_mise_0.5,NN_two_steps_with_delta_cdf_0.5,NN_two_steps_with_delta_mise_0.5,Standard_Beran_delta_obs_only_cdf_0.5,Standard_Beran_delta_obs_only_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,Standard_beran_mise_0.7,True_proba_cdf_0.7,True_proba_mise_0.7,Subramanian_cdf_0.7,Subramanian_mise_0.7,NN_MAR_cdf_0.7,NN_MAR_mise_0.7,NN_MAR_with_delta_cdf_0.7,NN_MAR_with_delta_mise_0.7,NN_two_steps_cdf_0.7,NN_two_steps_mise_0.7,NN_two_steps_with_delta_cdf_0.7,NN_two_steps_with_delta_mise_0.7,Standard_Beran_delta_obs_only_cdf_0.7,Standard_Beran_delta_obs_only_mise_0.7
0,0.028879021330781855,5.4348914249036966e-06,0.0,2.9538044800491666e-11,4.441760582574172e-06,3.898780710324491e-12,0.0,2.9538044800491666e-11,0.01717585943742093,0.00049218733650873,0.009968832783564717,0.00011298319884389576,0.0002600948338240566,4.801777495217602e-07,0.00015853074817321011,2.0570760334428614e-07,0.0,2.9538044800491666e-11,2.014441719553637e-06,0.0,4.057975441478222e-12,2.760342746885858e-06,1.4615252106824542e-12,0.0,4.057975441478222e-12,0.013968379666889042,0.0004079126389493455,0.00784905060048475,7.050184178539173e-05,0.00020018235584823906,2.896113336436801e-07,0.0001229306243208378,1.1371015930889923e-07,0.0,4.057975441478222e-12,7.466517279715056e-07,0.0,5.574888028828348e-13,1.588684754096903e-06,1.1500196416573918e-12,0.0,5.574888028828348e-13,0.010061905800041626,0.00020641771202637463,0.006039969867356268,4.422223282250074e-05,0.00015722596790067434,1.7981125333381382e-07,9.690155437259317e-05,7.331003677067344e-08,0.0,5.574888028828348e-13
1,0.048913709644196085,3.2949247550462055e-05,2.685247527214274e-05,4.112854872316776e-08,2.668595913651095e-05,1.1310943028557848e-10,1.6309655853740667e-05,5.321184595125788e-08,0.02933245224494453,0.0012563797810687836,0.016643205284113657,0.0003021032053388214,0.0004997023777499665,1.6675055592666653e-06,0.0003082642954018777,7.255128924406039e-07,1.547590934073917e-05,4.796656776282445e-08,1.4154357187632914e-05,2.2508951397743894e-05,2.1082297026425977e-08,1.7137977093930612e-05,2.7377948551513414e-11,1.0094638857932048e-05,2.0294926313658663e-08,0.021549471759539817,0.0007625895092810166,0.013038729586599433,0.00018588443860729367,0.0003747769594896383,9.909307272490134e-07,0.00023261078184674323,3.504872641961819e-07,9.364239598181334e-06,1.7473052893698133e-08,6.0804045104048545e-06,1.888858372645019e-05,2.795319898954658e-08,1.0675407023301719e-05,3.394428195448948e-11,3.930740459134885e-06,3.079314446392226e-09,0.01698965858523279,0.0004628503516775358,0.010247091612816183,0.00011908148350609782,0.00029415244577071786,6.037746115883462e-07,0.00018089971340592037,2.080509050595476e-07,3.5894995882057577e-06,2.5702215587835657e-09
2,0.06894839795761032,0.0001065932114542842,6.618059257812448e-05,9.576663139451384e-08,8.628293135328979e-05,8.617800737848416e-10,2.8460631151453473e-05,7.33169684446083e-08,0.040214195114162854,0.0020833409800690914,0.023086635770389104,0.0005670175688998988,0.0008104462666911904,4.120414276410208e-06,0.0004754424956021136,1.559878580018365e-06,2.417916470472903e-05,6.272754894252657e-08,5.041137203721115e-05,4.953698198414125e-05,4.211871425268629e-08,5.890715022137283e-05,2.2239452392711008e-10,2.158526611370004e-05,3.529180983615482e-08,0.03073548567600998,0.0013639358219549535,0.018341832870506728,0.0003586968543159438,0.0005911230372336235,2.2243116125144033e-06,0.0003520404214675638,6.778715020129854e-07,1.785690269344942e-05,2.8356026036856443e-08,2.3840812815254897e-05,3.353572022159357e-05,3.921848780626525e-08,3.920025375829417e-05,3.504344990764894e-10,1.0532928746948e-05,1.1111314564046789e-08,0.024071662923788383,0.0008418115810462785,0.014557847567405535,0.00023362498838271507,0.0004836009048098794,1.6956481973193167e-06,0.0002962877594858415,6.613124795229619e-07,9.3103872831235e-06,9.24706261710115e-09
3,0.08898308627102454,0.00025502111844473885,0.0001934681716486375,3.551602935594204e-07,0.00021129777884052847,4.074030619175658e-09,0.0001473451472542825,6.717554412724894e-07,0.052051141995208196,0.003302132848806494,0.029803924603178582,0.0009202790144770174,0.0012000721456509095,8.531506894405197e-06,0.0007740309974347375,3.866034383993219e-06,0.00014505549948387432,7.260046115205528e-07,0.0001295416689789747,0.00015611793541479512,2.0223175864856355e-07,0.00014828232014566344,1.011990924709497e-09,0.00011210350549524406,3.467731461329659e-07,0.0403905559183098,0.0021824926854354825,0.02388091513439305,0.0005920056016073492,0.0008711550599113838,4.543213211560697e-06,0.0005739832574193465,1.8998893195719958e-06,0.0001058507208136672,3.5032779585636983e-07,6.580053436479544e-05,0.00011701039168608818,1.6697462611066845e-07,0.00010190558759637758,1.937095026163487e-09,7.945582948957142e-05,2.4946982739409926e-07,0.03073242549895243,0.0012844853759772649,0.018744914150747423,0.0003759521286412336,0.0007014391027704664,3.3498068360304406e-06,0.0004580179694819175,1.352954852981662e-06,5.740785510151392e-05,1.5121312466436007e-07
4,0.10901777458443877,0.0005106577141146092,0.00039644872443269974,7.225783876120676e-07,0.00042728396004199754,1.445448396917329e-08,0.000291467521074259,1.199342751812488e-06,0.06500427293880008,0.004922176616911033,0.03639740505789919,0.0013496402466934433,0.0016472146776755276,1.5002324315636151e-05,0.0010836606922289083,6.3465019817421885e-06,0.0002756705898936601,1.1687852277692165e-06,0.0002745872850938903,0.00032398611408856803,3.694380754282272e-07,0.000309227601488633,4.390914877065266e-09,0.00024748430037803025,7.106612255102684e-07,0.049603493583130834,0.003158839533772429,0.029206082782552288,0.0008790728430082626,0.0012094579274367562,9.000987835368989e-06,0.0008539413083747705,4.127509463922698e-06,0.00022850401757259332,6.425951418102954e-07,0.0001476410895375902,0.00026553526187696294,4.7423991654202803e-07,0.00021885989970337193,7.520194443618315e-09,0.0001921508249269871,5.055855137758283e-07,0.03695261831531489,0.0017822825313898894,0.02270352157870506,0.0005400705776881235,0.0009397345850027894,5.097202219880811e-06,0.0006574974797342343,2.346466698919318e-06,0.00015731478632206365,3.544847698830587e-07
5,0.12905246289785302,0.0009091242617453398,0.0007853305528027276,1.516879281899003e-06,0.0007686027810515251,4.3901284682783037e-08,0.0006939805005839899,2.688362397141709e-06,0.07690995740875381,0.006687855005550131,0.0429915942938219,0.0018488480709784874,0.0021803132680868215,2.2294334365814483e-05,0.0015949170649074019,1.0020196214304586e-05,0.0006726873800083938,2.7787622087908654e-06,0.000512535533998733,0.00062663516178109,7.606512193601905e-07,0.000563155688255284,1.1618069924608727e-08,0.0005581472732977439,1.5184959782081693e-06,0.05865413511988585,0.004209335110272685,0.03439587936503539,0.0012008606404027564,0.0016135912561891696,1.307443849453632e-05,0.0012269404770637632,6.002707697697795e-06,0.0005122828093530119,1.3103531048353908e-06,0.0002889263265290082,0.00047829469167023686,7.38024537901977e-07,0.00040752721121730453,2.1050916253970022e-08,0.0004183529916626566,1.1577601465076214e-06,0.042864726406465145,0.0023096741903778006,0.026453740741649273,0.0007239469487914526,0.0012590510311579267,7.820526777880427e-06,0.0009188299997610522,3.470948122613603e-06,0.00035140222869045113,8.708045996297827e-07
6,0.14908715121126723,0.0014888194909307092,0.0012677030927456911,2.328031440380966e-06,0.0012554535832624847,1.1366785774378385e-07,0.0010993669254711176,3.941397277761298e-06,0.08934440782066169,0.008795567542694433,0.049549269053784956,0.00240668982342577,0.0028945595428649068,3.4227629488814105e-05,0.002187864362218977,1.470932749393197e-05,0.0010449128425505955,4.005124854829321e-06,0.0008740553435044624,0.0010216130773781319,1.2215016426628356e-06,0.0009438027793272891,2.43627214419097e-08,0.0009206749528809733,2.2034067463880496e-06,0.06729523699154515,0.005303778118589588,0.039693591201565834,0.0015681208409823158,0.002100915946505768,1.822151691902563e-05,0.0016739899612280202,8.004886171149457e-06,0.0008281023681117877,1.8786221580118286e-06,0.0005130747285196199,0.0007920732735864478,1.2741893372824442e-06,0.000703992590435335,5.4561377592172756e-08,0.000734505807824134,1.95637598278343e-06,0.04937914017396184,0.0029338446170106107,0.030545003400471414,0.0009494603361821423,0.0016554097838484593,1.1339189454818818e-05,0.0012667735677841145,4.754914111416994e-06,0.0006183070829467424,1.5349328895614483e-06
7,0.16912183952468146,0.002290577997131335,0.0018446842876507852,3.940236701683007e-06,0.001966559652784981,2.4391445751768297e-07,0.001621099726740069,6.142402896801333e-06,0.09984276703564586,0.010873620503190446,0.056291977507599046,0.0030397167729373743,0.0038335384687120076,5.338461652048726e-05,0.0029399116577621025,2.2705601415645143e-05,0.0015315665099604875,5.980629436881056e-06,0.0013932727586705366,0.0014847173801622426,1.9879645768401767e-06,0.0014932565500199002,5.8596941381162056e-08,0.001356929519755628,3.3405315185954026e-06,0.07721114511133491,0.0070270189412760765,0.04519059178546611,0.0019913145389370787,0.00278647011013559,2.7793925260407923e-05,0.0022535530950104888,1.25778359637971e-05,0.0012214194552741398,2.833930699412038e-06,0.0008473263683834816,0.0011428926998332401,1.8789817493290387e-06,0.001131486498373639,1.311197629484664e-07,0.0010611150439033528,2.8798578348044084e-06,0.05641167401132692,0.003757677678565349,0.034658824542616866,0.001201180047899643,0.0021900266696412095,1.7407546166788402e-05,0.0017143524251940995,7.891409074677645e-06,0.0009092366709056726,2.271048462674277e-06
8,0.1891565278380957,0.0033573676041392577,0.0027211859901751945,6.230053206395975e-06,0.002870835569226942,4.919381473723452e-07,0.0023875059294770173,1.0575288811703971e-05,0.11087268875107499,0.013029951203059907,0.06276022662924283,0.0036748197468398553,0.004852404249985899,6.661106256550985e-05,0.00385780464733272,3.0095714791813083e-05,0.0022075986194124773,1.0046743103006329e-05,0.002107564524505166,0.002163286674070387,3.237964812404128e-06,0.002224030371042155,1.0366448051286686e-07,0.001972595789244166,5.554657420389277e-06,0.08543094366573395,0.00825792875818875,0.050043481351011006,0.002381242662098192,0.0035228948706498542,3.5752463880811075e-05,0.002927465172957856,1.6252670915729144e-05,0.0017618729973247372,4.600153331953121e-06,0.0013227005316996008,0.0016982163476102592,2.931715065868782e-06,0.0017195069015543969,2.310966967993505e-07,0.0015415669226702506,4.453941461151321e-06,0.0633192032192008,0.004591063553999823,0.03855402025301552,0.0014540949153353999,0.0027984701349260312,2.5406907565639893e-05,0.0022632575388173387,1.1278149898312915e-05,0.0013158898752314413,3.3893895109795605e-06
9,0.20919121615150993,0.004734003468163794,0.0038777855880861045,9.390086611374976e-06,0.00407440284919264,9.277965324884902e-07,0.0033137576703024074,1.6150458433215542e-05,0.12259502859152345,0.015554863449608929,0.0697964846894937,0.004408824458793002,0.006210646651643008,9.233661039873842e-05,0.005098212084581621,4.3283902718842655e-05,0.0030474678950022332,1.6165306157321112e-05,0.003057355934644957,0.003135781523998269,5.754948452232632e-06,0.003196707648012494,1.999332633199737e-07,0.00272183983446005,8.707705625112782e-06,0.09631354672468721,0.010084392187550799,0.0554584733262279,0.002831960634225835,0.004551410521894759,5.2786399510228846e-05,0.003859233064855539,2.3161469160996698e-05,0.0024579787493302797,7.85093890106616e-06,0.0019739398809957313,0.0025053405191379457,4.4855276966457815e-06,0.0025535379170707677,5.08581307078919e-07,0.002140955692021429,7.076418607999064e-06,0.07067440508704304,0.005567615900204359,0.042659516390781124,0.001732679996081847,0.003602196356076533,3.571413602644962e-05,0.0030049124630257763,1.5591226989211678e-05,0.0018544268797040491,5.400907396050406e-06
