,Standard_beran,True_proba,NN,NN_with_delta,Linear,Linear_with_delta,Linear_MAR,Linear_MAR_with_delta,NN_MAR,NN_MAR_with_delta,Standard_Beran_delta_obs_only
0,0.0004730603060460988,0.0002727686363728678,0.002907879479469206,0.0046044670718558165,0.02047614251887103,0.013142806340965148,0.019996068448051445,0.012416631659930013,0.006888252801221576,0.006627236132447303,0.004640525507235884
1,0.0007931790295065801,0.0005568658174871548,0.0009515143414720915,0.0019969769920618868,0.008788286474170005,0.005040986736596304,0.026342029888800845,0.01296648786312672,0.0033101585174391945,0.00359334227444702,0.0031271355406286487
2,0.00030559733944565367,0.00026099961752079035,0.0006441813251674747,0.001063113970215879,0.02523905038536624,0.013889300397518498,0.020550753302552547,0.011341104580896297,0.0046082875845998485,0.004314333389662363,0.0020349842932462043
3,0.0003604208329360024,0.00027867880595480206,0.00014692561888860042,0.0016036341828037778,0.013874404233921729,0.008420457281683232,0.019347308602779063,0.010674349303729234,0.0048986345227264175,0.005075298329272239,0.003509741467166778
4,0.00029193225987766025,0.00021517285621140705,0.0005658428211896549,0.0026608351669036405,0.025080709469214563,0.015408888554308426,0.014666064204529755,0.01019771831540111,0.005105096262016705,0.005413289653212774,0.005335789549377794
5,0.00018867426881166117,8.222122808714932e-05,0.0006958373495203762,0.0013621830295800514,0.02679603813628172,0.015055811863982095,0.018701343263491762,0.011367478656577295,0.004876143399066317,0.0051875250889857165,0.0030698528269445507
6,0.00048502323971350003,0.0009689560565968003,0.0036310971995404525,0.000570140859004441,0.014918682576811584,0.00858963121584859,0.011910720799941675,0.0066006198603960845,0.0024309935398793728,0.0028261962735846888,0.002033916986167012
7,0.00046980860331333446,0.0004900949596179936,0.001380522236280889,0.003956196555948186,0.016245848206636222,0.004029486358166149,0.02019089008389098,0.012897548789973835,0.007108464535837068,0.00713739499403534,0.004353639985566236
8,0.00035910552214533676,0.00037384109420296983,0.0001517086475808034,0.0016122452390099544,0.00794303056063562,0.006091569784493846,0.01662358910231628,0.009785305004827742,0.004196311006695879,0.004588609337502302,0.003609208682038494
9,0.00019108099848126319,0.0001112560762472442,0.0018608605617632453,0.0027743974364798684,0.008825970113606,0.0035520991730938895,0.01740613648938919,0.009858217348352431,0.0039008632036664523,0.0039509130977316105,0.0019179147192685683
10,0.0001919320684259527,0.00012208557229349912,0.00020379227714542,0.0010766207993690127,0.01971988932043907,0.011006476180224349,0.018892343494243406,0.01032327332453409,0.004191627283485566,0.004036624823049276,0.002530058532187773
11,0.00017250559743255738,0.00015578328494747932,0.0009176828565739104,0.00206848481772205,0.021473654903035943,0.011679834932431715,0.030358624214317315,0.016189400433826703,0.004455693831709886,0.004277093852410783,0.0015097368864152498
12,0.00028674825750249006,0.00022252877437976517,0.0004214928061454918,0.0004361761417362967,0.02066447239977989,0.00983115414084258,0.015190585185154317,0.0077997236662806614,0.00229216188265079,0.0020588942022208003,0.000419634109031641
13,0.00026363782705597817,0.0001956272397327524,0.0014606334762206053,0.0006165275977542555,0.015558208947624148,0.005440048948097472,0.015370063053559143,0.008380101296293874,0.003983613681060602,0.0038536128897114627,0.003243602382191173
14,0.00021818530940824013,0.0006878929249361064,0.006656183089546316,0.007892995233575737,0.01524640757104096,0.009205488147535731,0.01945411662727613,0.011264393574433674,0.008678911941669032,0.009064587321424476,0.002326405023582207
15,0.0002146623288906054,0.000169203136549392,0.00020210316977179742,0.0011083495887711672,0.030850165609073676,0.015463602233762733,0.01653738488791919,0.00902054080462509,0.0038193086619776333,0.0038943131319766687,0.0020241065082317244
16,0.00038469124822946595,0.0010643640055408058,0.0014192822109725422,0.00106002576235154,0.009922608478634002,0.006419724683252938,0.017472588308333425,0.007305589328316015,0.00397155216375017,0.003985773328257405,0.0024584530526947893
17,0.00033882827164863084,0.00016153599829988837,0.000762882231066091,0.0030618993408090705,0.021352060278800596,0.01290744051485214,0.022674705814757723,0.013398354514328083,0.005883617040181019,0.00614154499578251,0.003332849410896731
18,0.0004981274548606938,0.000345722720367869,0.002349495158674947,0.0022428509562823274,0.02105206606682641,0.011146886408514169,0.0153019287992742,0.00579438608116235,0.0038395270400773834,0.0031482029215281634,0.0007687086726130437
19,0.0002572340728716998,0.0001394741843536019,0.0017422786540989758,0.0035700623442427386,0.022636534311714297,0.01592182659283659,0.022086522807364232,0.01565599937192202,0.006286227147906482,0.006678292190766733,0.0033175621538045247
20,0.00018252036176906656,0.0002667878243841336,0.00024994301136215463,0.0018607312501305073,0.01146985249357519,0.007009183103112922,0.019198029216174792,0.011678953043595468,0.0047372150034187994,0.0049795588220232665,0.0025945778755350475
21,0.00018231417039828063,0.0001754855087870436,0.0005308340191209194,0.0015457186499499406,0.030161861244249587,0.002823847721321665,0.015059665486664514,0.008912186487634989,0.0034321949112064484,0.003638700382565922,0.0019436006832424047
22,0.0003633238154497803,0.0009243630490256094,0.0010330246375863093,0.0005227997303931238,0.010861267676349928,0.004840989480268171,0.011450266916349256,0.0056742994580531204,0.0025802119445461486,0.002228682501282614,0.000958813263263815
23,0.00013383925169025457,0.00018091029952807883,0.0004660485315998648,0.0015601059523921393,0.031555289042327024,0.016730211032610492,0.0229846882014563,0.012670166322184928,0.004586912059628294,0.004469034716687508,0.0017111587484736944
24,0.00018548578789164054,0.00021223600305222143,0.0010932066640608222,0.002293965415002483,0.025704489983536933,0.013232415823605292,0.01005408769995742,0.004568205205240507,0.003942974120655445,0.0038907711270291232,0.0028948987664065276
25,0.0002496617148654274,0.00017211239359817053,0.0021845059037061245,0.0026566299934125937,0.02167943910796989,0.011892102524407106,0.016070877707549263,0.009257992811490302,0.0034806689419713773,0.003428317663542321,0.0014510565473081273
26,0.0007258841674421235,0.0003362367575918072,0.00011975027183636745,0.0005524929440487266,0.013674480285355664,0.002740175930933872,0.014407534783616576,0.006392700124557526,0.0015124242274718294,0.0014638481320781319,0.0006509744589578858
27,0.0001681063023172796,0.00020598376629830367,0.0002345212449173,0.0012209409974324647,0.03574290789524373,0.018276590352883072,0.01572576495659819,0.00944004708955991,0.0034961230457475714,0.0036600378717779798,0.0023386450685039307
28,0.0001920395145787836,0.00011704098912152213,0.00022929988856942648,0.001996801526368097,0.030238581271365583,0.015097704768787027,0.015409858309127096,0.009382512134379555,0.00563146576978252,0.0054046110700999165,0.0031031527371927197
29,0.0006861574463147609,0.00018458846244249688,0.000583018857021406,0.0006841056481388637,0.01634566279892399,0.008036270133771424,0.013903209430463968,0.00693526398024844,0.002794362096962724,0.0024245827840350463,0.000806333507029211
30,0.00017769150481735974,0.00015973271760141858,0.0004215462246638996,0.001891813079515431,0.024662480714999796,0.0028770590016531914,0.013411158591357407,0.00787511467028591,0.00363532803475293,0.003942110841664604,0.002475936423145325
31,0.00138954594030503,0.0007380381142410814,0.001933164696568502,0.004821239122982933,0.03183561581606053,0.018661400815143194,0.030206537923714912,0.018034137587896345,0.007125052290108087,0.00770739012133861,0.004113516120486873
32,0.00034543443368545895,0.00023333040878488188,0.0009987292373072375,0.00144679743948243,0.012340630769922216,0.008128819008843845,0.01585164530859205,0.009749893226564192,0.004355177355335832,0.0044036483727802975,0.0022321094033856807
33,0.00024585176141155376,0.00021406114098647053,0.0032154810808510477,0.004229349236855712,0.010683130604642781,0.0059466169162096585,0.020030128168108004,0.011123465507973303,0.005793662901779258,0.005675440832576013,0.002637543942556664
