,Standard_beran,True_proba,NN_BCE,NN_MSEloss,DecisionTree,KNN,LogisticRegression
35,4.848206041153442e-05,2.7836274112221886e-05,4.020213783552685e-05,4.231500959381218e-05,5.425028320655025e-05,4.6934631238892335e-05,2.937671471258043e-05
36,1.8301235328634258e-05,1.4482770473336931e-05,1.751405120464609e-05,1.875552659889011e-05,2.1807315029627842e-05,1.761948318282572e-05,1.2722217556032562e-05
37,3.8071391952083727e-05,6.538021735014799e-05,6.12338043906688e-05,5.782996788919804e-05,7.23927953850528e-05,5.059126624804685e-05,7.515300724914527e-05
38,5.305184021420105e-05,0.00011999663660165763,0.0001253993883795342,0.00012578545545022027,5.637290818805672e-05,0.00012515494218472633,0.0001269821841856453
39,2.903884609395096e-05,2.3050906164125572e-05,2.1344707544909293e-05,2.6710048926997277e-05,2.8994434435575568e-05,2.5972901189490584e-05,2.666198648827425e-05
40,4.731165488001864e-05,1.2226948186178829e-05,4.986554031197259e-05,5.8637535639879634e-05,5.028606800676965e-05,4.668498440249886e-05,1.7723507512906107e-05
41,3.1280822192860404e-05,2.6709501218737373e-05,2.299863182168952e-05,2.292655182293586e-05,2.9790322926682462e-05,3.14699264068925e-05,2.1160733570073918e-05
42,2.480538786435686e-05,2.582782616955819e-05,2.251324092766344e-05,2.3215406699960185e-05,1.977577466489839e-05,2.216945148497784e-05,2.0290216809572774e-05
43,0.00010350612993957,5.867671066408332e-05,6.417959683371577e-05,6.123835356988925e-05,8.077703975438886e-05,0.0001282968044200975,5.6382328062886356e-05
44,3.256105418970567e-05,2.4778140013267316e-05,4.2084455935934934e-05,4.4689834110623404e-05,3.58129413779996e-05,3.9275836349457455e-05,3.0681871717029235e-05
45,4.396472101755479e-05,4.664457420923942e-05,3.643839803578026e-05,3.8093489175495774e-05,3.823347894254528e-05,3.6134405571002506e-05,3.4636189773703864e-05
46,3.297346563465367e-05,2.5817870586371396e-05,2.3009370012073355e-05,2.01690825703883e-05,2.5162510811189846e-05,2.767478229800525e-05,2.8073783600405544e-05
47,6.857894510918063e-05,4.532728424426886e-05,5.342216717505981e-05,5.614460744900335e-05,8.448032493861774e-05,7.24332454517001e-05,4.942184171659191e-05
48,5.7404140072928437e-05,4.525424071439849e-05,5.14106776498065e-05,5.210118230844432e-05,6.047878907017506e-05,5.5988288240029955e-05,5.492932428994361e-05
49,0.00027368202188538193,0.00013010417261339024,0.00019600144180816252,0.000197635005439246,0.00015730695029185713,0.0001593883782792954,0.0001437769876354353
50,3.388715680369663e-05,2.2306577744478028e-05,2.741145186040624e-05,3.053801139742222e-05,2.589303308514878e-05,2.7420119377177802e-05,2.965207389313225e-05
51,4.168622732584458e-05,2.2449197308156356e-05,3.972412446171092e-05,3.8058949433840304e-05,3.768197629043049e-05,4.6460802988870653e-05,3.2900194483336425e-05
52,8.257248356094467e-05,4.6639377683907524e-05,7.313221683330785e-05,6.56608893573085e-05,8.934251164061282e-05,8.73952513907655e-05,4.178975772581919e-05
53,6.456891636870987e-05,4.6517996907085035e-05,3.611490447242105e-05,3.5347367181071164e-05,6.0576699790263094e-05,6.156345816908246e-05,2.7963693572482747e-05
54,2.529994499439546e-05,1.2315915899927188e-05,2.3675686413511384e-05,4.5469101638920724e-05,2.6436528860678634e-05,2.4422406982063086e-05,1.1701891202302833e-05
55,1.2867737218535693e-05,1.0862863544943542e-05,1.1816921753217112e-05,9.938250213648272e-06,1.2409073821225184e-05,1.631006080355695e-05,1.5362330107028392e-05
56,4.479131462258488e-05,3.538307161564366e-05,5.40847069685946e-05,4.74459062214897e-05,5.702309402469426e-05,6.388469147241497e-05,3.8960703140247165e-05
