,Standard_beran,Standard_beran_test_mode,True_proba,True_proba_test_mode,Prior_proba,Prior_proba_test_mode,LogisticRegression,LogisticRegression_test_mode,NN_BCE,NN_BCE_test_mode
0,0.003922211466934553,0.003561612281130039,0.0018172901271999436,0.0026229724149808183,0.0028064990383633334,0.0032877573751686163,0.0034652976026215963,0.005647546024362341,0.002484741487838144,0.005537579716846688
1,0.006112643332078253,0.0041766635996541525,0.002760114826766924,0.0033728197500273974,0.004432673138338123,0.0034800006856484287,0.004078217067396561,0.006801008853441504,0.004605668090607234,0.004210954394238861
2,0.09813641562552326,0.004515529045074553,0.005360185060927453,0.005272593581454829,0.00426251398298856,0.0035511952353395547,0.005823362678568131,0.0037197167119342304,0.004113963149926807,0.004909325673212385
3,0.10484585472543341,0.004608420030478787,0.002021957573008289,0.0038345200212929584,0.0041054756295546765,0.00395505736982683,0.003546864851754851,0.005489349163515545,0.0029855234612579332,0.005023311512248579
4,0.002562476052284625,0.0068525779241324055,0.003795726401830209,0.002157004732293186,0.003265994181557364,0.0030805205087679425,0.0035600941306152974,0.0025369071101798177,0.0031251894567547933,0.0015705302035082475
5,0.006434740137373057,0.002018605027007069,0.003087185943564806,0.0023328342729520006,0.004337185910276286,0.0018462809156121881,0.006593136693040356,0.004510789795209507,0.005180751700521308,0.003911244268726523
6,0.006012849908626611,0.004504781324847379,0.002916101551544192,0.0053067484907840115,0.0045144983140897625,0.0048493713961489,0.006295818800187315,0.004313602893309194,0.005715284541850236,0.0028609763038364867
7,0.006962969271746804,0.005426300817278675,0.0040827582088117055,0.0029508615993196347,0.0057376708702041,0.00419599886358344,0.005121102390463733,0.0066536317549451265,0.0037592159088275074,0.004471791278291144
8,0.0031739613144852906,0.006410736584408411,0.0016850727755402506,0.003988069569300176,0.0025149386777783543,0.005470659521646655,0.002562636723714095,0.006149131682120411,0.0019630384609590195,0.004875924415191057
9,0.005377372105026348,0.0032735419138917644,0.0033477334721886943,0.004782761165843724,0.0035025420527177507,0.0035214182241939803,0.003566661650786703,0.004602196315759541,0.0029380704631610396,0.004260634229481982
