,t,true_cdf_0.3,Standard_beran_cdf_0.3,True_proba_cdf_0.3,LogisticRegression_cdf_0.3,NN_BCE_cdf_0.3,Standard_beran_mise_0.3,True_proba_mise_0.3,LogisticRegression_mise_0.3,NN_BCE_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,True_proba_cdf_0.5,LogisticRegression_cdf_0.5,NN_BCE_cdf_0.5,Standard_beran_mise_0.5,True_proba_mise_0.5,LogisticRegression_mise_0.5,NN_BCE_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,True_proba_cdf_0.7,LogisticRegression_cdf_0.7,NN_BCE_cdf_0.7,Standard_beran_mise_0.7,True_proba_mise_0.7,LogisticRegression_mise_0.7,NN_BCE_mise_0.7
0,0.39246620966127677,2.923238969963754e-05,0.0,6.4646864942974335e-06,0.00034508868492904687,0.00014634063968755551,8.545326075514763e-10,5.277578481988611e-10,1.1900296714447082e-07,1.7963793498029232e-08,2.9641255977624094e-06,0.0,3.706980284138295e-06,0.0004733640346762924,0.00015307480180715483,8.786040559310344e-12,1.5665271634275083e-12,2.3589019689750364e-07,2.6096680380344858e-08,1.6953894106030654e-07,0.0,6.98312303792914e-07,0.00037228716583296293,8.879737495799622e-05,2.8743452535850036e-14,3.2272664892909975e-13,1.4705538165140957e-07,9.149345100496213e-09
1,0.4214038218185351,4.382394845724524e-05,5.85136291694488e-05,1.4743708397721989e-05,0.0005743993691172567,0.0002504922276344168,3.3917642177882343e-07,8.775967175215756e-10,3.172114749848369e-07,5.232614080163113e-08,4.6579075864484846e-06,3.565930605643475e-06,6.914136880297184e-06,0.0006569867139030583,0.00021758150418824563,1.2600626610688263e-09,7.7510792825614e-12,4.4928997618987815e-07,5.1563749505353303e-08,2.8096449654477305e-07,0.0,1.1377180071203697e-06,0.0004707628741240344,0.00011434992093309004,7.894104831865769e-14,8.998639952679704e-13,2.3507316424935193e-07,1.5251751082211863e-08
2,0.4503414339757934,6.51196756911293e-05,5.85136291694488e-05,2.9540169473041278e-05,0.0008599125970918376,0.0003846840552262243,3.3900427491004277e-07,1.4032917684653993e-09,7.045121855675664e-07,1.2415291173239575e-07,7.2544589327978875e-06,3.565930605643475e-06,1.1445450053442218e-05,0.000860204308601048,0.0002900563306452997,1.2724754885624425e-09,2.374908506610602e-11,7.603480796241722e-07,8.986147815889054e-08,4.6144993759377494e-07,0.0,1.845545647721769e-06,0.0005897544340610517,0.00014564258354651027,2.1293604490529923e-13,2.3487167145984193e-12,3.6979584745148546e-07,2.448524855191062e-08
3,0.4792790461330517,9.591221997333104e-05,5.85136291694488e-05,5.220095959450832e-05,0.0011850562313012868,0.0005450265740362581,3.403592896535132e-07,2.212737842171618e-09,1.3017890365745124e-06,2.431941555547171e-07,1.119811130753021e-05,3.565930605643475e-06,1.844223067086981e-05,0.001096843674841209,0.00037693505921773007,1.317120429608468e-09,6.889878596977841e-11,1.2314356562570628e-06,1.4976137631607455e-07,7.510921395908719e-07,0.0,3.056366045162129e-06,0.0007314268662353363,0.00018406900174456343,5.641394021551941e-13,6.438470510999304e-12,5.662306726000899e-07,3.838402184281532e-08
4,0.50821665829031,0.00014002465043827977,0.00011000972509782047,9.68765063346555e-05,0.0016025945396133867,0.0007525265191532926,4.034893890211823e-07,9.880532078742033e-09,2.2972179506254647e-06,4.381297239556296e-07,1.7132317650716445e-05,2.801385196538608e-05,2.9645169501680834e-05,0.0013739520472936272,0.0004829171021150158,2.0448986789541736e-08,1.8655494315334195e-10,1.9161020388682208e-06,2.4165082240541306e-07,1.2116071659759383e-06,4.937988113395963e-07,4.7355717153818586e-06,0.0008793430268682323,0.0002259330435902296,1.3863953520999848e-11,1.5199818634449877e-11,8.200991858159674e-07,5.8319702011947254e-08
5,0.5371542704475684,0.0002026339309402521,0.00013766585185877035,0.0001505409856217388,0.00210177677619685,0.0010085470158577435,4.2646154271833185e-07,1.1666312669546461e-08,3.8970264955721625e-06,7.648500310583609e-07,2.5979173876623067e-05,3.717075083923271e-05,4.5617770405453896e-05,0.0016910466677811055,0.0006069010714567335,2.8035486330970354e-08,4.5130430717355544e-10,2.8799238646420157e-06,3.740050167453409e-07,1.937024738207499e-06,4.937988113395963e-07,7.169515211893351e-06,0.0010548309183078964,0.0002765317792974198,1.5431605762997812e-11,3.335538899409128e-11,1.1805843870498354e-06,8.72362156045932e-08
6,0.5660918826048267,0.0002906736715188925,0.00022272976992720127,0.0002733877155708464,0.0027282945609331142,0.0013404509472256553,6.3013067514609e-07,1.3959349517375763e-07,6.464397693344275e-06,1.2975805066386028e-06,3.904622543804957e-05,5.217227386697054e-05,6.887107901425771e-05,0.0020450308102180127,0.000751266149399511,3.820720639795181e-08,1.0655305968684885e-09,4.184388209637018e-06,5.60569286857665e-07,3.069150413330955e-06,4.937988113395963e-07,1.0847892827677841e-05,0.0012542918179208496,0.00033439308678316794,1.9981140560893606e-11,7.04282839836376e-11,1.6587556552362064e-06,1.2534561373625593e-07
7,0.5950294947620851,0.00041332750077004604,0.00039870393414250915,0.00038330618828121053,0.003388392252668564,0.0016895148485910028,1.129332386795396e-06,1.3874382387244056e-07,9.520820846630258e-06,1.8714208678901128e-06,5.8168015716746185e-05,8.921609870285341e-05,0.00010215849025985269,0.0024474303298290066,0.0009186222937649157,6.770881153500884e-08,2.280155130950432e-09,5.933240687225255e-06,8.098702843452434e-07,4.819656041417896e-06,1.1416665846242236e-06,1.5997257403197464e-05,0.0014550161812871476,0.0003960634300815691,6.779001097301051e-11,1.4786376386196914e-10,2.2121721130181465e-06,1.7252628729662011e-07
8,0.6239671069193433,0.0005826231454966551,0.0004939292028815423,0.0005347113865757125,0.004137622501669016,0.00210275495520154,1.5814952192021202e-06,1.5184212691060766e-07,1.361106773475494e-05,2.6632537663137874e-06,8.589111678286161e-05,0.00014234766729897652,0.00014726604797160258,0.002902262933116385,0.0011138486010017724,1.2429675316613095e-07,4.352216001678451e-09,8.222967499160887e-06,1.1492635977725035e-06,7.501260307371403e-06,9.112136457979258e-05,2.406139178220523e-05,0.0017049114078478722,0.00047551401450869,4.200518386724817e-07,3.318242643048246e-10,3.0238398913634455e-06,2.465160111050806e-07
9,0.6529047190766017,0.0008141347568967611,0.0007318755916694808,0.0007544324734174312,0.005025939742943444,0.0026254757966195563,2.2113354724720157e-06,1.734315262489951e-07,1.9113634284416583e-05,3.8416245074644975e-06,0.0001257125950870583,0.00025966937813505676,0.00021082359240722658,0.003424789856262235,0.0013458222304940136,4.3836301402568896e-07,8.467707944159424e-09,1.1256223641349079e-05,1.6123208471243967e-06,1.1571201838913357e-05,9.848171388474935e-05,3.671327071121499e-05,0.002012382307008017,0.000576606160376476,4.221642659689163e-07,7.75572548812022e-10,4.2040957357205874e-06,3.6092360617820163e-07
10,0.68184233123386,0.0011277968879709749,0.0010820493331299263,0.0010522810064040379,0.006063856556119815,0.003265852621286486,3.985476063943529e-06,2.0185345860577808e-07,2.651030909647291e-05,5.504509959834082e-06,0.00018238286255396822,0.0003842335525859875,0.0002965683526023766,0.003990137555245536,0.0016096269182650947,6.18259228905175e-07,1.6185493134497474e-08,1.503419291440769e-05,2.2146167830339715e-06,1.769109668170148e-05,0.00013308921654824556,5.419475109310845e-05,0.0023344235054257555,0.0006876752561585909,5.154871389759163e-07,1.6477961558407507e-09,5.621499312837064e-06,5.032752269891289e-07
11,0.7107799433911184,0.0015488275446885144,0.0013253448230168307,0.0014756419833815504,0.00728037377434728,0.004038669418600671,4.4447077805383714e-06,2.6556067481740576e-07,3.565299127301401e-05,7.525670982987813e-06,0.0002622844598158202,0.0005087563998371413,0.000422055568331825,0.004688159069027987,0.0019450487602552969,7.490550034515804e-07,3.265934801071841e-08,2.0302731598723466e-05,3.0746024535323328e-06,2.6808308771060872e-05,0.0001530005849041105,8.002938780149793e-05,0.0027015989050588095,0.000821635985309892,5.283162882305445e-07,3.616774356326306e-09,7.479014059430362e-06,7.090464493525676e-07
12,0.7397175555483767,0.002108749723843618,0.0019916997660936755,0.0020791370447759815,0.008780149003363774,0.005020766696415764,7.722924449724763e-06,3.6894651712870353e-07,4.792216909349795e-05,1.017572243832832e-05,0.00037389828068665453,0.0007174591509420347,0.0006023936129204954,0.005514937692424813,0.002355129052646662,1.0960274343685088e-06,6.591758780396691e-08,2.739952899140256e-05,4.269689156488594e-06,4.0265129447401455e-05,0.0002105472876832637,0.00011619096060513035,0.0031314074723848917,0.0009833402216781262,6.007494276058477e-07,7.213533924907324e-09,1.0013950622582983e-05,9.993720232356858e-07
13,0.768655167705635,0.0028464907634076163,0.002640434042865627,0.0028010411483158793,0.010344545618991157,0.00608327087551668,1.1911421552578303e-05,5.523807198892249e-07,6.102435361395562e-05,1.297141434346673e-05,0.0005283678041499333,0.0009061751620320446,0.0008318028859219584,0.006420045661700041,0.0028277794317410863,1.3652435303465942e-06,1.1554502243417018e-07,3.5927994088516565e-05,5.749417517837485e-06,5.9943320969370065e-05,0.0002199843060767326,0.00016700001243164842,0.00362451642525479,0.0011774462789829953,6.011964809310312e-07,1.3790637681214677e-08,1.3320033955559621e-05,1.4022809047961613e-06
14,0.7975927798628933,0.003809526798976873,0.0030236953350714934,0.0037798761690133963,0.01221431937906116,0.007417507190358946,1.3905612690286643e-05,9.306958853616434e-07,7.743981511462327e-05,1.6526882780606167e-05,0.00074016975482263,0.001066196061870096,0.0011300090781660532,0.007386265513288146,0.0033573506742522073,1.4655169275933954e-06,1.9422073915432563e-07,4.568762500798672e-05,7.452063535998293e-06,8.845286115228296e-05,0.0002617838797518801,0.00023071667355003988,0.0041403428696143415,0.0013861590869369844,6.47803560429047e-07,2.483007439522834e-08,1.7249047341817495e-05,1.8842266624730444e-06
