,Standard_beran,True_proba,LogisticRegression,NN_BCE,RandomForest,KNN
0,0.00019270892220566224,0.0002517386680353491,0.00017781746678568536,0.00018368600749849907,0.00018123946597116612,0.00016082013761662499
1,0.00015021981435902934,0.00021739727179218807,0.0001771739357395316,0.00015174233054232987,0.00015707334835916387,0.00016338824332566955
2,0.00017233624156572279,0.00022168168857039704,0.00021042554470458705,0.0001675274400358735,0.00017332757368439041,0.0002079844166139021
3,0.00024001204330696788,0.0001432488652821683,0.0002508464130077738,0.0002276740673001075,0.00023318470535522263,0.00018680708694444884
4,0.00011572347324252925,0.0001465228746906027,9.970197374676273e-05,0.00012407463840026335,0.00011385760434353021,0.00011419289732302434
5,0.0006650099274091901,0.0002070019586278918,0.00042063190670119663,0.0005016646882910461,0.0004990733172943978,0.0004750486961714189
6,0.00043832147983326295,0.0002596812658711843,0.00039580485094563083,0.0004497217019126019,0.0004421582543762955,0.0003453373793279219
7,0.003826229048521483,0.0019761237252101872,0.00030849115639610384,0.00042002056649367874,0.0024911321214043753,0.0021217214482234215
8,0.001241908419385016,0.0002541707354882186,0.0003813379093033637,0.0003720210168952073,0.00039553791832434284,0.00033263060812232045
9,0.00043656556771591126,0.00015969208098892093,0.0001258850970751423,0.00014982562792543384,0.0004266557165071849,0.0006599199863643069
10,0.0018088637020590049,0.00037126484419241904,0.0005031750896774339,0.0004811692691255978,0.0005779417842752799,0.0005457861711465737
11,0.0008942548157929447,8.945551267836252e-05,0.0005366137418750601,0.0006352143000327745,0.0008475491398184341,0.0007882445463520386
12,0.0004971714964414332,0.0002438360273690835,0.00039332005439451483,0.0004389721339545542,0.0004351358385191704,0.000413140180772518
13,0.00039058114087131557,0.00019488199551289713,0.000305051478967166,0.0003420457599125848,0.0003798511948851789,0.00040105483865823815
14,0.0012472446962306426,0.0010578182388180902,0.0010352455956903575,0.0011227665159246512,0.001146714865463123,0.0009739739725327939
15,0.00023393817982066457,0.00022241018151429207,0.00020573037629407245,0.0008656298200402065,0.0002220831932714101,0.000863121355194437
16,0.000326381970801839,0.00036698674470576393,0.0002646121475555523,0.00022369898018220974,0.00019061654870857153,0.00023551388144647125
17,0.0033898896070683913,0.0027226390766093476,0.0027843324886198655,0.0030781195202479817,0.0032811677672691967,0.003038226083634782
18,0.00012882218610849375,0.00023958601966867545,0.0001335085270414116,0.00012271934389644878,0.00012153638775965194,0.0001050262794137954
19,0.00030835666529470217,0.00011711757076697751,0.0002505382700889212,0.00022349949479480823,0.00031335808076123626,0.00030740239871581776
