,t,true_cdf_0.3,Standard_beran_cdf_0.3,True_proba_cdf_0.3,LogisticRegression_cdf_0.3,NN_BCE_cdf_0.3,RandomForest_cdf_0.3,KNN_cdf_0.3,Standard_beran_mise_0.3,True_proba_mise_0.3,LogisticRegression_mise_0.3,NN_BCE_mise_0.3,RandomForest_mise_0.3,KNN_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,True_proba_cdf_0.5,LogisticRegression_cdf_0.5,NN_BCE_cdf_0.5,RandomForest_cdf_0.5,KNN_cdf_0.5,Standard_beran_mise_0.5,True_proba_mise_0.5,LogisticRegression_mise_0.5,NN_BCE_mise_0.5,RandomForest_mise_0.5,KNN_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,True_proba_cdf_0.7,LogisticRegression_cdf_0.7,NN_BCE_cdf_0.7,RandomForest_cdf_0.7,KNN_cdf_0.7,Standard_beran_mise_0.7,True_proba_mise_0.7,LogisticRegression_mise_0.7,NN_BCE_mise_0.7,RandomForest_mise_0.7,KNN_mise_0.7
0,-0.7187895804018173,1.1613317630213534e-06,0.0,0.0,0.0,2.4978352719529086e-14,3.5332216269390317e-08,0.0,1.3486914638022889e-12,1.3486914638022889e-12,1.3486914638022889e-12,1.3486914057861047e-12,1.5162997150805173e-12,1.3486914638022889e-12,8.333704793139207e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.945063557919169e-15,6.945063557919169e-15,6.945063557919169e-15,6.945063557919169e-15,6.945063557919169e-15,6.945063557919169e-15,3.2277833962484713e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0418585653097295e-17,1.0418585653097295e-17,1.0418585653097295e-17,1.0418585653097295e-17,1.0418585653097295e-17,1.0418585653097295e-17
1,-0.6854821249774701,1.9932582838231204e-06,3.0340284165648044e-05,4.924523961870097e-05,1.3216391465783461e-05,4.924523964367933e-05,4.863505388234601e-05,4.924523961870097e-05,1.0307016563883208e-07,3.144048497734091e-07,2.098405388459009e-08,3.1440484977330955e-07,3.0688921908928187e-07,3.144048497734091e-07,1.510811288969689e-07,8.352916017217992e-06,7.827680221564325e-06,1.9693081975286073e-06,7.827680221564325e-06,7.737879978430007e-06,7.827680221564325e-06,9.427595588237345e-09,1.225217312619234e-08,7.750627302669261e-10,1.225217312619234e-08,1.1972642042340281e-08,1.225217312619234e-08,6.2237121891507554e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.873459341338354e-17,3.873459341338354e-17,3.873459341338354e-17,3.873459341338354e-17,3.873459341338354e-17,3.873459341338354e-17
2,-0.6521746695531229,3.380782890574915e-06,3.0340284165648044e-05,4.924523961870097e-05,1.3216391465783461e-05,4.924523964367933e-05,4.863505388234601e-05,4.924523961870097e-05,1.0299342647148794e-07,3.142756484243037e-07,2.095483436221477e-08,3.142756484241348e-07,3.067617110356242e-07,3.142756484243037e-07,2.706432345542843e-07,8.352916017217992e-06,7.827680221564325e-06,1.9693081975286073e-06,7.827680221564325e-06,7.737879978430007e-06,7.827680221564325e-06,9.425648626035447e-09,1.2250351760585837e-08,7.746422432502577e-10,1.2250351760585837e-08,1.1970842150146092e-08,1.2250351760585837e-08,1.1857193122764803e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.4059302875054097e-16,1.4059302875054097e-16,1.4059302875054097e-16,1.4059302875054097e-16,1.4059302875054097e-16,1.4059302875054097e-16
3,-0.6188672141287757,5.666636989107801e-06,3.0340284165648044e-05,4.924523961870097e-05,1.3216391465783461e-05,4.924523964367933e-05,4.863505388234601e-05,4.924523961870097e-05,1.0287540062747967e-07,3.1407119464048555e-07,2.091509395882816e-08,3.140711946402025e-07,3.065600468429387e-07,3.1407119464048555e-07,4.790768812462168e-07,8.352916017217992e-06,7.827680221564325e-06,1.9693081975286073e-06,7.827680221564325e-06,7.737879978430007e-06,7.827680221564325e-06,9.422322835441222e-09,1.2247244923616131e-08,7.739775699698501e-10,1.2247244923616131e-08,1.1967772747960687e-08,1.2247244923616131e-08,2.2320626729150024e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.982103775820452e-16,4.982103775820452e-16,4.982103775820452e-16,4.982103775820452e-16,4.982103775820452e-16,4.982103775820452e-16
4,-0.5855597587044286,9.386341245919009e-06,3.6795602490793945e-05,5.570055794384687e-05,1.556384088844842e-05,5.3503492499439864e-05,5.2867525426738556e-05,5.350349247446151e-05,1.109187227808617e-07,3.219738751073205e-07,2.193080028657343e-08,3.173074364602478e-07,3.0975753166660427e-07,3.173074364607167e-07,8.379940016865608e-07,8.352916017217992e-06,7.827680221564325e-06,1.9693081975286073e-06,7.827680221564325e-06,7.737879978430007e-06,7.827680221564325e-06,9.416799545601582e-09,1.2242098666015145e-08,7.730366524035349e-10,1.2242098666015145e-08,1.1962690952049065e-08,1.2242098666015145e-08,4.1517198340164366e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.7236777580165408e-15,1.7236777580165408e-15,1.7236777580165408e-15,1.7236777580165408e-15,1.7236777580165408e-15,1.7236777580165408e-15
5,-0.5522523032800812,1.5365229159684934e-05,4.759260942419685e-05,6.79315206317438e-05,1.936030031301772e-05,6.573445518733679e-05,6.492651960435968e-05,6.465163271378583e-05,1.2940249604053165e-07,3.461706511481729e-07,2.393164128470234e-08,3.415304845171628e-07,3.332885754385034e-07,3.4132925925702697e-07,1.4484756347415482e-06,8.73252297581395e-06,7.827680221564325e-06,1.9693081975286073e-06,7.827680221564325e-06,7.737879978430007e-06,7.827680221564325e-06,9.435717375439522e-09,1.223393720372334e-08,7.720280471522808e-10,1.223393720372334e-08,1.1954639132555413e-08,1.223393720372334e-08,7.63048557097015e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.822431004878348e-15,5.822431004878348e-15,5.822431004878348e-15,5.822431004878348e-15,5.822431004878348e-15,5.822431004878348e-15
6,-0.5189448478557341,2.485781449748143e-05,5.74335033765766e-05,7.517531880950501e-05,2.2243980972916356e-05,7.2978253365098e-05,7.20596404147783e-05,6.670473179980541e-05,1.3810505053004527e-07,3.5113436491007274e-07,2.4992172957512108e-08,3.4653590994151017e-07,3.3818788345098743e-07,3.412246297089141e-07,2.4741349126706385e-06,1.330343990645022e-05,1.1036974332345185e-05,2.7442286523593483e-06,1.1036974332345185e-05,1.0820950773576255e-05,1.1036974332345185e-05,1.3577865637954869e-08,1.42659366846267e-08,8.882774573654798e-10,1.42659366846267e-08,1.3828598777066047e-08,1.42659366846267e-08,1.3857484037925308e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.920298638613541e-14,1.920298638613541e-14,1.920298638613541e-14,1.920298638613541e-14,1.920298638613541e-14,1.920298638613541e-14
7,-0.4856373924313869,3.974459242340684e-05,7.440091737251686e-05,8.892925009358899e-05,2.5985288411230488e-05,8.358352791612733e-05,8.20329556182886e-05,7.731000635083474e-05,1.562907302855396e-07,3.6627417843516855e-07,2.6279662824934128e-08,3.5470263083893e-07,3.4521917577404157e-07,3.4957813565104593e-07,4.176237414750192e-06,1.469623173577017e-05,1.1036974332345185e-05,2.7442286523593483e-06,1.1036974332345185e-05,1.0820950773576255e-05,1.1036974332345185e-05,1.3920238173898034e-08,1.4239684176752015e-08,8.902551558328256e-10,1.4239684176752015e-08,1.380308165767114e-08,1.4239684176752015e-08,2.4867410079752394e-07,8.709245220345219e-07,0.0,0.0,0.0,0.0,0.0,1.513305906798591e-10,6.183880840745701e-14,6.183880840745701e-14,6.183880840745701e-14,6.183880840745701e-14,6.183880840745701e-14
8,-0.4523299370070397,6.280510805594499e-05,8.251496324988616e-05,9.136382882683369e-05,2.650401838670602e-05,8.490822566478817e-05,8.332465647434284e-05,7.863470409949558e-05,1.5962685808998403e-07,3.648111703305176e-07,2.743100507076438e-08,3.53379218184304e-07,3.4395472988381976e-07,3.4854406428067495e-07,6.966341450212165e-06,1.751651238319718e-05,1.3641542997410716e-05,2.8022534868027415e-06,1.3641542997410716e-05,1.1127915501250029e-05,1.139449327633546e-05,1.5196086939334836e-08,1.552965147466616e-08,9.058956778788415e-10,1.552965147466616e-08,1.3788356081680815e-08,1.4229767278745539e-08,4.409576440075348e-07,8.709245220345219e-07,0.0,0.0,0.0,0.0,0.0,1.511282666093341e-10,1.9444364380867543e-13,1.9444364380867543e-13,1.9444364380867543e-13,1.9444364380867543e-13,1.9444364380867543e-13
9,-0.4190224815826925,9.809005146490771e-05,0.0001157464586794299,0.00011880296239583755,3.826394630448482e-05,0.00011234735923379202,0.00010560707240424739,0.0001053260568101333,2.055269393023061e-07,4.0623335110315605e-07,3.7820415218567264e-08,3.952569701414292e-07,3.799603230148311e-07,4.098437041296053e-07,1.1483935238598552e-05,2.5496155572571343e-05,2.111335980862439e-05,4.325323714434171e-06,2.111335980862439e-05,1.6093709669212088e-05,1.1831264290060317e-05,2.1958729417890538e-08,2.1320481230584344e-08,1.3077372631238135e-09,2.1320481230584344e-08,1.7820258210185366e-08,1.4238288833629571e-08,7.726625587782194e-07,8.709245220345219e-07,0.0,0.0,0.0,0.0,0.0,1.509530505065542e-10,5.970074297377031e-13,5.970074297377031e-13,5.970074297377031e-13,5.970074297377031e-13,5.970074297377031e-13
