,Standard_beran,True_proba,LogisticRegression,NN_BCE,NN_MSEloss,RandomForest,KNN
12,0.00018270436301457235,3.7105402158089393e-05,3.8931511783051604e-05,4.41627797616483e-05,4.566633586208726e-05,3.826333332547754e-05,0.0001252556851640016
13,5.773099579347865e-05,2.585824124368783e-05,3.102004638078255e-05,3.599933755703899e-05,3.563006703384081e-05,2.915185510495451e-05,5.079954241103774e-05
14,0.00021954555108246726,7.570064984977517e-05,7.564981980212426e-05,7.037657726476596e-05,6.964358050205304e-05,7.101645608589862e-05,8.483889831367685e-05
15,2.4998369001642932e-05,2.5932309257692566e-05,1.9645007746757584e-05,1.5888455801792432e-05,1.4725921582329334e-05,2.335598394886452e-05,2.171191558737252e-05
16,4.961153928272768e-05,4.668712420196953e-05,4.223552664150467e-05,4.183842686806438e-05,4.2624320249377605e-05,4.3573393526107654e-05,4.416284727071819e-05
17,1.8924078275534567e-05,3.8819396787550965e-05,1.6934524465889877e-05,1.3195116138907736e-05,1.2201091440661746e-05,1.818959014579558e-05,1.3645486691531815e-05
18,1.8430427290417605e-05,1.2831869461265005e-05,1.2932645226939615e-05,1.0961621605944197e-05,1.274714846650467e-05,1.4249832128957957e-05,1.9291413415125205e-05
19,1.4619288739562885e-05,1.31169152286986e-05,1.5087161580783955e-05,1.2351979549642714e-05,1.1899164952043433e-05,1.2930843984470707e-05,1.1432179459593936e-05
20,3.452527383363196e-05,3.567257771653381e-05,3.73555991258806e-05,3.432307170101048e-05,3.233664140255846e-05,3.474363325527893e-05,4.1646751850894145e-05
21,1.8126834186818565e-05,1.371679436039012e-05,1.4936887501269267e-05,1.1191625804176373e-05,1.0893122405304375e-05,1.553663319032204e-05,1.5284829693896542e-05
22,1.9135824221221336e-05,1.2311187150244913e-05,1.4572413444464795e-05,1.1635409564346521e-05,1.3610693440574187e-05,1.0159416471764172e-05,1.6502380169594477e-05
23,4.529674808338168e-05,2.8908036518511937e-05,2.3748200417396438e-05,2.9652824163655562e-05,2.8593165980153208e-05,2.3227357589892643e-05,4.463171548140275e-05
24,4.725114561724539e-05,3.380526738353034e-05,3.56855931355289e-05,3.865222288420427e-05,4.176868849648892e-05,3.322707303869098e-05,4.6688188218945764e-05
25,1.4556026489937496e-05,1.4642927202116927e-05,1.4760861619630465e-05,1.5751373728116588e-05,1.4009467729827343e-05,1.3322331891708817e-05,1.0197030908753539e-05
26,2.6204393809605408e-05,1.3319447112233431e-05,1.5969280820963474e-05,1.3460751242611003e-05,1.6196691651981252e-05,1.3704491861982875e-05,1.7708250219131053e-05
27,3.6532022200727485e-05,3.0003696328624092e-05,3.1487742069724996e-05,2.6441407997834285e-05,2.3585616348190427e-05,2.6331619265932075e-05,2.792139635819158e-05
28,3.0490234545815757e-05,1.8002198513666224e-05,1.5727657743636392e-05,2.045199630867835e-05,2.176029607252565e-05,1.7563176240214172e-05,2.940202976907726e-05
29,5.355289644671968e-05,5.744322201517721e-05,3.515229998656966e-05,3.590989428638355e-05,3.6592386246853584e-05,3.5971750408876136e-05,0.0001562185645155524
30,5.086571715220701e-05,2.2591914963500335e-05,3.4507130650848105e-05,3.3642149932717386e-05,3.329592899077944e-05,3.659162841709292e-05,4.779270782817547e-05
31,7.946501365961971e-05,4.9435665003119246e-05,4.4373452842968626e-05,4.3232847722269466e-05,4.3994676321595854e-05,4.5067679856343335e-05,5.422043448592217e-05
32,3.41129577822497e-05,2.7236086632566567e-05,3.340561154073417e-05,2.8455794339558398e-05,2.9850306291416885e-05,2.9566479666442726e-05,2.9794671106717486e-05
33,1.2562917850298537e-05,2.077426006826343e-05,1.0712301063877494e-05,9.46714687148924e-06,8.964310691474365e-06,1.0023581512969702e-05,1.1166328489775363e-05
34,3.8565140701080535e-05,4.1937425752728505e-05,3.4420989420117274e-05,4.0728787347505526e-05,3.98092384136707e-05,3.075895467376789e-05,4.392586005674481e-05
35,4.205244226996744e-05,4.4254621723190156e-05,3.361844036341378e-05,4.133008106230849e-05,4.177665263954523e-05,3.5016328509250806e-05,7.0509487329704e-05
36,5.2440745532625075e-05,2.8258302138194634e-05,2.8789024080925007e-05,3.162872280215085e-05,3.349407763388183e-05,2.6798155668873123e-05,3.986326986399297e-05
37,5.100594578857146e-05,4.3595743831831434e-05,3.880720750938104e-05,4.231757597392871e-05,3.821729070175643e-05,3.9288804468315775e-05,6.189906797512009e-05
