,t,true_cdf_0.3,Standard_beran_cdf_0.3,True_proba_cdf_0.3,LogisticRegression_cdf_0.3,NN_BCE_cdf_0.3,RandomForest_cdf_0.3,KNN_cdf_0.3,Standard_beran_mise_0.3,True_proba_mise_0.3,LogisticRegression_mise_0.3,NN_BCE_mise_0.3,RandomForest_mise_0.3,KNN_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,True_proba_cdf_0.5,LogisticRegression_cdf_0.5,NN_BCE_cdf_0.5,RandomForest_cdf_0.5,KNN_cdf_0.5,Standard_beran_mise_0.5,True_proba_mise_0.5,LogisticRegression_mise_0.5,NN_BCE_mise_0.5,RandomForest_mise_0.5,KNN_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,True_proba_cdf_0.7,LogisticRegression_cdf_0.7,NN_BCE_cdf_0.7,RandomForest_cdf_0.7,KNN_cdf_0.7,Standard_beran_mise_0.7,True_proba_mise_0.7,LogisticRegression_mise_0.7,NN_BCE_mise_0.7,RandomForest_mise_0.7,KNN_mise_0.7
0,0.11499556199579719,3.83022118148074e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.4670594299063698e-13,1.4670594299063698e-13,1.4670594299063698e-13,1.4670594299063698e-13,1.4670594299063698e-13,1.4670594299063698e-13,2.464755953503447e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.075021910330602e-16,6.075021910330602e-16,6.075021910330602e-16,6.075021910330602e-16,6.075021910330602e-16,6.075021910330602e-16,8.443821276503515e-10,0.0,0.0,0.0,0.0,0.0,0.0,7.129811774953242e-19,7.129811774953242e-19,7.129811774953242e-19,7.129811774953242e-19,7.129811774953242e-19,7.129811774953242e-19
1,0.14809602234848918,6.707992260121702e-07,2.404680810264015e-07,2.6345906567470933e-12,2.4474755555559115e-14,1.1515788322924436e-14,1.5727266812182173e-07,0.0,5.795225798887124e-11,4.4996807399685706e-13,4.499715687838408e-13,4.499715861691047e-13,2.4973666971676233e-11,4.499716016185359e-13,4.558453892104747e-08,7.375039036139341e-10,0.0,0.0,0.0,4.823276145149435e-10,0.0,2.5546246456928447e-15,2.0779501886445233e-15,2.0779501886445233e-15,2.0779501886445233e-15,2.2666167525350806e-15,2.0779501886445233e-15,1.660504268222611e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.757274424785549e-18,2.757274424785549e-18,2.757274424785549e-18,2.757274424785549e-18,2.757274424785549e-18,2.757274424785549e-18
2,0.18119648270118113,1.1610664007668984e-06,5.308058510367531e-06,4.847257700158258e-06,4.433246418944492e-08,2.8107839547875102e-08,3.2401208007823977e-06,2.810986314542019e-07,1.3051031636162539e-08,1.2052424071463161e-08,2.310935060143223e-12,1.781118906503543e-12,4.8666819755819826e-09,5.642005004418108e-11,8.331609664378998e-08,3.814403868941385e-07,5.900507867528937e-09,4.570921119384508e-11,1.9969408793230058e-11,4.329462693908326e-09,0.0,1.4487861035298788e-10,4.077435048725091e-14,6.936044665830709e-15,6.938643190859099e-15,2.1253232342337524e-14,6.941571959957421e-15,3.2268886372809857e-09,0.0,4.032485456662016e-14,2.0300083730329098e-08,3.086721986345076e-09,2.9642339813196196e-07,0.0,1.0412810277413174e-17,1.0412550232217767e-17,2.159453732416228e-14,6.458085376386524e-16,1.0513092536240627e-11,1.0412810277413174e-17
3,0.2142969430538731,1.9862064570977393e-06,5.8105952095270914e-06,4.981753927326471e-06,4.459084153918269e-08,2.818731725640067e-08,3.324317556682166e-06,2.810986314542019e-07,1.3295415644397921e-08,1.2064576639955714e-08,4.83375535670698e-12,4.331364599545111e-12,4.870686438988519e-09,5.855309946622066e-11,1.5049203001515702e-07,1.992270326568124e-06,2.3380235713118538e-06,6.763554898692181e-08,1.470917050183651e-08,1.6698925219428285e-06,4.3366887923734774e-07,2.739131329818859e-09,5.4381386360466765e-09,6.148618509466202e-14,2.2185594546312155e-14,2.1331110778216965e-09,1.879608172500892e-10,6.1969113175286055e-09,1.5657064847675039e-06,1.5732164596081732e-06,3.3884618503743358e-06,5.929617031384948e-07,1.4744590231288935e-05,0.0,2.4514174297561816e-09,2.4746784863958182e-09,2.5457730449939547e-11,9.391258522091903e-13,1.7712792671271012e-09,3.840170987731442e-17
4,0.24739740340656508,3.3581644320692166e-06,5.8105952095270914e-06,4.981756195116316e-06,5.0488716448526814e-08,2.9687306610015617e-08,3.3367823528525076e-06,2.810986314542019e-07,1.3286804111786335e-08,1.2058239362927396e-08,1.2006838578513578e-11,1.1576354639645466e-11,4.868947654926107e-09,6.511404071046697e-11,2.6864399587056473e-07,1.992270326568124e-06,2.3391968342024728e-06,4.759036577551612e-06,1.1212105061579881e-06,8.71152529222552e-06,4.840349521513243e-07,2.7387100702531756e-09,5.437639610099873e-09,3.6577919675275975e-11,1.876874699977131e-12,2.2559993870978087e-09,2.0783441078480675e-10,1.1760300469794022e-08,1.5657064847675039e-06,1.5772973820683544e-06,2.8905256498395594e-05,5.66009250517685e-06,6.866079117012403e-05,2.1681568540543596e-11,2.451400108390316e-09,2.4746659270511077e-09,1.1053713974258538e-09,5.078026909485588e-11,7.763188763902447e-09,1.3826479403282776e-16
5,0.28049786375925706,5.611740563182325e-06,5.8105952095270914e-06,4.985464244255722e-06,2.127605083716455e-06,7.565298592520087e-07,5.977132580267441e-06,2.810986314542019e-07,1.328082923823884e-08,1.2055971072827312e-08,2.2454392950908375e-11,2.5299034670416054e-11,4.87228207172574e-09,8.406145017344584e-11,4.7394282212174726e-07,1.992270326568124e-06,2.3685849240531187e-06,3.579069439918914e-05,9.311038710979491e-06,3.972946092119234e-05,1.043352591703739e-06,2.7380445009360942e-09,5.437017953379164e-09,1.5529035206481819e-09,1.0919582382651068e-10,4.055295953733769e-09,1.0292757155230282e-09,2.2055561572490492e-08,1.5657064847675039e-06,1.6052770878730581e-06,8.123707831940385e-05,1.7265130735654166e-05,0.00014954238520046494,1.143732369479622e-09,2.4513682178191936e-09,2.4747972665558054e-09,7.72142620292617e-09,3.9679794410118954e-10,2.7922762975878294e-08,1.7441202098783482e-15
6,0.313598324111949,9.268715218536858e-06,5.8105952095270914e-06,5.113140096255297e-06,2.7712225050869787e-05,1.0344055335916646e-05,2.9459152554255243e-05,3.08235666613077e-06,1.3292748289065094e-08,1.2072948729891298e-08,7.648328077675178e-10,7.625098427083193e-11,5.700873716061471e-09,1.8125620220574102e-09,8.263544715947528e-07,1.992270326568124e-06,2.5846572287002712e-06,0.00011313589745887698,3.198871485437949e-05,0.00010095108046624957,8.54166215919705e-06,2.7370985423061098e-09,5.437420781640073e-09,1.4440039997610568e-08,1.222023443406911e-09,1.3533677160122285e-08,1.3738774200489225e-08,4.087703192066201e-08,1.5657064847675039e-06,1.6871166271986705e-06,0.00015202314092598856,3.368800193466714e-05,0.00023947487126669143,8.652399968925861e-07,2.451310464506838e-09,2.47534628006786e-09,2.582409494461955e-08,1.4000452609015387e-09,6.582270042019799e-08,7.465945965323121e-10
7,0.346698784464641,1.5131311127348729e-05,1.6108047714078144e-05,1.9303095639419234e-05,0.00010937041978494089,4.3016158988753325e-05,0.00010309131977041119,1.2793124983294213e-05,6.322841870652505e-08,1.0371015913557693e-07,1.1745601414769773e-08,1.4439898892188212e-09,5.727853503185379e-08,1.5198709152971744e-08,1.4239843816685487e-06,4.8665790930064734e-06,6.656137228470804e-06,0.00023828059739517505,7.157652044493279e-05,0.00018774171424808107,1.563873251000425e-05,7.864724010566805e-09,1.4775186591169432e-08,6.202048624687102e-08,5.9224377865870296e-09,4.4199439902370174e-08,2.1272579632037783e-08,7.486991421418161e-08,1.5657064847675039e-06,1.8410050786428212e-06,0.00023629662066404678,5.400036156789934e-05,0.00033381630180516307,1.5368385903056225e-06,2.4512079533266347e-09,2.47557960755925e-09,6.114787880985894e-08,3.5150586747042346e-09,1.228487695413982e-07,9.496650239185585e-10
8,0.37979924481733296,2.4416190536462077e-05,2.976837309443481e-05,3.1706279606734336e-05,0.0002699889850685194,0.00011055469321584254,0.00022415836855341608,4.380028263178848e-05,9.529372146603037e-08,1.2739752807124494e-07,7.102451819967104e-08,1.0464743943807928e-08,1.1260156608058725e-07,1.1002790806213895e-07,2.425211665259933e-06,8.779100895976e-06,8.298640028871596e-06,0.00039930723119973444,0.00012509847720964062,0.00028553572202767496,2.460586704453327e-05,1.2849910643588958e-08,1.4792882862777102e-08,1.7003651229188126e-07,1.7617192820917108e-08,9.50894842423283e-08,3.599037858126236e-08,1.3552129563522103e-07,1.9903913453852563e-06,2.1036869118993274e-06,0.000333793240393066,7.803208960110986e-05,0.00042755574327214087,2.1985940990981723e-06,2.631272912474557e-09,2.47632906058629e-09,1.2071268990517076e-07,7.270537572292661e-09,1.9729464861006237e-07,1.3940759235419916e-09
9,0.41289970517002494,3.8943355703312504e-05,4.441116081483198e-05,4.949076381336648e-05,0.0005027251238195919,0.0002139844439207438,0.00037727954209578976,0.00010661175275900892,1.411004387715128e-07,1.7568930324059735e-07,2.4379525210864006e-07,3.982414453041974e-08,2.2001419387810446e-07,2.808774950334838e-07,4.082321565736043e-06,1.3668141482620855e-05,1.3198850743895596e-05,0.0005920081776119526,0.00019135234875877527,0.0003886434255223018,3.635574305986222e-05,2.0077321827396214e-08,1.650178458849185e-08,3.706273980255064e-07,4.042678379560327e-08,1.7234867338425253e-07,5.7775192272296517e-08,2.4242965655368416e-07,3.72660293648619e-06,2.539410321362845e-06,0.0004434565906160616,0.00010583937523106757,0.000519581292004171,3.2588636451819088e-06,5.644476610352507e-09,2.478416038364267e-09,2.124255212029846e-07,1.3254288588253964e-08,2.888739531453039e-07,1.849198392935338e-09
