,t,true_cdf_0.3,Standard_beran_cdf_0.3,Standard_beran_mise_0.3,True_proba_cdf_0.3,True_proba_mise_0.3,Subramanian_cdf_0.3,Subramanian_mise_0.3,NN_two_steps_cdf_0.3,NN_two_steps_mise_0.3,NN_two_steps_with_delta_cdf_0.3,NN_two_steps_with_delta_mise_0.3,NN_MAR_cdf_0.3,NN_MAR_mise_0.3,NN_MAR_with_delta_cdf_0.3,NN_MAR_with_delta_mise_0.3,Standard_Beran_delta_obs_only_cdf_0.3,Standard_Beran_delta_obs_only_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,Standard_beran_mise_0.5,True_proba_cdf_0.5,True_proba_mise_0.5,Subramanian_cdf_0.5,Subramanian_mise_0.5,NN_two_steps_cdf_0.5,NN_two_steps_mise_0.5,NN_two_steps_with_delta_cdf_0.5,NN_two_steps_with_delta_mise_0.5,NN_MAR_cdf_0.5,NN_MAR_mise_0.5,NN_MAR_with_delta_cdf_0.5,NN_MAR_with_delta_mise_0.5,Standard_Beran_delta_obs_only_cdf_0.5,Standard_Beran_delta_obs_only_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,Standard_beran_mise_0.7,True_proba_cdf_0.7,True_proba_mise_0.7,Subramanian_cdf_0.7,Subramanian_mise_0.7,NN_two_steps_cdf_0.7,NN_two_steps_mise_0.7,NN_two_steps_with_delta_cdf_0.7,NN_two_steps_with_delta_mise_0.7,NN_MAR_cdf_0.7,NN_MAR_mise_0.7,NN_MAR_with_delta_cdf_0.7,NN_MAR_with_delta_mise_0.7,Standard_Beran_delta_obs_only_cdf_0.7,Standard_Beran_delta_obs_only_mise_0.7
0,0.009651550199515397,8.99064865778066e-07,0.0,8.083176328765322e-13,9.188203891102864e-07,1.0613606977398318e-13,0.0,8.083176328765322e-13,0.0002870277889224149,1.1150435706711045e-07,9.889978188977966e-05,1.3410945880635863e-08,0.0003259551449915599,1.2392756809517476e-07,0.00011444733714689514,1.714993598318262e-08,0.0,8.083176328765322e-13,8.99064865778066e-07,0.0,8.083176328765322e-13,9.188203891102864e-07,1.0613606977398318e-13,0.0,8.083176328765322e-13,0.0002870277889224149,1.1150435706711045e-07,9.889978188977966e-05,1.3410945880635863e-08,0.0003259551449915599,1.2392756809517476e-07,0.00011444733714689514,1.714993598318262e-08,0.0,8.083176328765322e-13,8.99064865778066e-07,0.0,8.083176328765322e-13,9.188203891102864e-07,1.0613606977398318e-13,0.0,8.083176328765322e-13,0.0002870277889224149,1.1150435706711045e-07,9.889978188977966e-05,1.3410945880635863e-08,0.0003259551449915599,1.2392756809517476e-07,0.00011444733714689514,1.714993598318262e-08,0.0,8.083176328765322e-13
1,0.03315492057166471,3.644484113439196e-05,6.198336078483024e-05,6.084797940078958e-08,3.5639230095075855e-05,4.256556057211626e-11,9.797722570251965e-05,1.5456324748294574e-07,0.001047201231230876,1.2833970568949585e-06,0.0004248039547351451,2.472063821788018e-07,0.0012227465279686838,1.573900574515321e-06,0.0004880370069758866,2.967115012944335e-07,0.00012911621693396046,2.7003908352402875e-07,3.644484113439196e-05,6.198336078483024e-05,6.084797940078958e-08,3.5639230095075855e-05,4.256556057211626e-11,9.797722570251965e-05,1.5456324748294574e-07,0.001047201231230876,1.2833970568949585e-06,0.0004248039547351451,2.472063821788018e-07,0.0012227465279686838,1.573900574515321e-06,0.0004880370069758866,2.967115012944335e-07,0.00012911621693396046,2.7003908352402875e-07,3.644484113439196e-05,6.198336078483024e-05,6.084797940078958e-08,3.5639230095075855e-05,4.256556057211626e-11,9.797722570251965e-05,1.5456324748294574e-07,0.001047201231230876,1.2833970568949585e-06,0.0004248039547351451,2.472063821788018e-07,0.0012227465279686838,1.573900574515321e-06,0.0004880370069758866,2.967115012944335e-07,0.00012911621693396046,2.7003908352402875e-07
2,0.05665829094381403,0.00018186574917747843,0.0002168671991859733,2.1768911691545527e-07,0.0001794720621920426,7.336298188129985e-10,0.0003423041226285123,5.69789044372874e-07,0.0019495690851505333,3.832706118248342e-06,0.0009023754895695391,8.298509330457401e-07,0.002334518035260012,5.170415284383173e-06,0.0010434563406742847,1.0649559029814766e-06,0.0004482900819747843,9.952911673653823e-07,0.00018186574917747843,0.0002168671991859733,2.1768911691545527e-07,0.0001794720621920426,7.336298188129985e-10,0.0003423041226285123,5.69789044372874e-07,0.0019495690851505333,3.832706118248342e-06,0.0009023754895695391,8.298509330457401e-07,0.002334518035260012,5.170415284383173e-06,0.0010434563406742847,1.0649559029814766e-06,0.0004482900819747843,9.952911673653823e-07,0.00018186574917747843,0.0002168671991859733,2.1768911691545527e-07,0.0001794720621920426,7.336298188129985e-10,0.0003423041226285123,5.69789044372874e-07,0.0019495690851505333,3.832706118248342e-06,0.0009023754895695391,8.298509330457401e-07,0.002334518035260012,5.170415284383173e-06,0.0010434563406742847,1.0649559029814766e-06,0.0004482900819747843,9.952911673653823e-07
3,0.08016166131596335,0.0005149775272741531,0.0005272092546598811,4.958414448822363e-07,0.0005136181345951585,4.571490628335952e-09,0.0008359268604864689,1.3421914720455198e-06,0.003030325097205336,7.63815927540627e-06,0.0016129100020547604,1.9197255368689837e-06,0.0037157965091591024,1.1448144514370795e-05,0.0018676772815761045,2.5946679634618047e-06,0.0011010276790533085,2.5220114696324496e-06,0.0005149775272741531,0.0005272092546598811,4.958414448822363e-07,0.0005136181345951585,4.571490628335952e-09,0.0008359268604864689,1.3421914720455198e-06,0.003030325097205336,7.63815927540627e-06,0.0016129100020547604,1.9197255368689837e-06,0.0037157965091591024,1.1448144514370795e-05,0.0018676772815761045,2.5946679634618047e-06,0.0011010276790533085,2.5220114696324496e-06,0.0005149775272741531,0.0005272092546598811,4.958414448822363e-07,0.0005136181345951585,4.571490628335952e-09,0.0008359268604864689,1.3421914720455198e-06,0.003030325097205336,7.63815927540627e-06,0.0016129100020547604,1.9197255368689837e-06,0.0037157965091591024,1.1448144514370795e-05,0.0018676772815761045,2.5946679634618047e-06,0.0011010276790533085,2.5220114696324496e-06
4,0.10366503168811265,0.0011134096172440648,0.0011459858125795442,1.1868309722431678e-06,0.0011111042750943983,1.5992588093976606e-08,0.0018316780040667651,3.490648331373698e-06,0.0043166828481194805,1.2493913755607643e-05,0.0027128509041458937,4.2965482398636446e-06,0.005415011138914826,2.078813632593675e-05,0.0031245677767780676,5.958531290208287e-06,0.002413708639760283,6.9012638527667665e-06,0.0011134096172440648,0.0011459858125795442,1.1868309722431678e-06,0.0011111042750943983,1.5992588093976606e-08,0.0018316780040667651,3.490648331373698e-06,0.0043166828481194805,1.2493913755607643e-05,0.0027128509041458937,4.2965482398636446e-06,0.005415011138914826,2.078813632593675e-05,0.0031245677767780676,5.958531290208287e-06,0.002413708639760283,6.9012638527667665e-06,0.0011134096172440648,0.0011459858125795442,1.1868309722431678e-06,0.0011111042750943983,1.5992588093976606e-08,0.0018316780040667651,3.490648331373698e-06,0.0043166828481194805,1.2493913755607643e-05,0.0027128509041458937,4.2965482398636446e-06,0.005415011138914826,2.078813632593675e-05,0.0031245677767780676,5.958531290208287e-06,0.002413708639760283,6.9012638527667665e-06
5,0.12716840206026195,0.0020544290459664264,0.002076045134906551,2.224882118527016e-06,0.0020815367001438957,4.6385270870333244e-08,0.003327194888691826,7.20857653153545e-06,0.005908365092076633,1.867025300375509e-05,0.004252284308773211,8.17920539709918e-06,0.007577452559818042,3.469764262946528e-05,0.0048839177094253325,1.1798724285305311e-05,0.004401096745152607,1.5439711603651797e-05,0.0020544290459664264,0.002076045134906551,2.224882118527016e-06,0.0020815367001438957,4.6385270870333244e-08,0.003327194888691826,7.20857653153545e-06,0.005908365092076633,1.867025300375509e-05,0.004252284308773211,8.17920539709918e-06,0.007577452559818042,3.469764262946528e-05,0.0048839177094253325,1.1798724285305311e-05,0.004401096745152607,1.5439711603651797e-05,0.0020544290459664264,0.002076045134906551,2.224882118527016e-06,0.0020815367001438957,4.6385270870333244e-08,0.003327194888691826,7.20857653153545e-06,0.005908365092076633,1.867025300375509e-05,0.004252284308773211,8.17920539709918e-06,0.007577452559818042,3.469764262946528e-05,0.0048839177094253325,1.1798724285305311e-05,0.004401096745152607,1.5439711603651797e-05
6,0.15067177243241128,0.0034147046076177475,0.003513884701801876,3.869241316134517e-06,0.003431142668175707,9.364596064957541e-08,0.0056704115105002196,1.4814315881231256e-05,0.0077077631484606165,2.3823251069085195e-05,0.006375960813315138,1.4542987194024801e-05,0.010117048530115526,5.145526336284488e-05,0.007291915666802257,2.1572952680873876e-05,0.007543304021686637,3.510124676125436e-05,0.0034147046076177475,0.003513884701801876,3.869241316134517e-06,0.003431142668175707,9.364596064957541e-08,0.0056704115105002196,1.4814315881231256e-05,0.0077077631484606165,2.3823251069085195e-05,0.006375960813315138,1.4542987194024801e-05,0.010117048530115526,5.145526336284488e-05,0.007291915666802257,2.1572952680873876e-05,0.007543304021686637,3.510124676125436e-05,0.0034147046076177475,0.003513884701801876,3.869241316134517e-06,0.003431142668175707,9.364596064957541e-08,0.0056704115105002196,1.4814315881231256e-05,0.0077077631484606165,2.3823251069085195e-05,0.006375960813315138,1.4542987194024801e-05,0.010117048530115526,5.145526336284488e-05,0.007291915666802257,2.1572952680873876e-05,0.007543304021686637,3.510124676125436e-05
7,0.1741751428045606,0.005270012391349983,0.00522865482014186,6.6464518250963405e-06,0.00524716822228972,1.789798875515298e-07,0.00850952548284767,2.7609812660550672e-05,0.009828205689625827,2.8415841749191892e-05,0.008930902460531003,2.3384175309489847e-05,0.013193567868112287,7.264293074428629e-05,0.010232719182378315,3.6054506782142216e-05,0.011291697598303072,6.763656946482186e-05,0.005270012391349983,0.00522865482014186,6.6464518250963405e-06,0.00524716822228972,1.789798875515298e-07,0.00850952548284767,2.7609812660550672e-05,0.009828205689625827,2.8415841749191892e-05,0.008930902460531003,2.3384175309489847e-05,0.013193567868112287,7.264293074428629e-05,0.010232719182378315,3.6054506782142216e-05,0.011291697598303072,6.763656946482186e-05,0.005270012391349983,0.00522865482014186,6.6464518250963405e-06,0.00524716822228972,1.789798875515298e-07,0.00850952548284767,2.7609812660550672e-05,0.009828205689625827,2.8415841749191892e-05,0.008930902460531003,2.3384175309489847e-05,0.013193567868112287,7.264293074428629e-05,0.010232719182378315,3.6054506782142216e-05,0.011291697598303072,6.763656946482186e-05
8,0.1976785131767099,0.0076948842721950295,0.0077810631532571365,9.861820914593856e-06,0.007628869096256744,3.337524872026686e-07,0.01274894151005196,5.128795682230483e-05,0.012334085810454006,3.135490739340053e-05,0.012472955582510525,3.731433612707938e-05,0.016941422844891765,9.9041672139502e-05,0.014282195387100904,6.078799430558253e-05,0.016860072476926165,0.0001303164686659841,0.0076948842721950295,0.0077810631532571365,9.861820914593856e-06,0.007628869096256744,3.337524872026686e-07,0.01274894151005196,5.128795682230483e-05,0.012334085810454006,3.135490739340053e-05,0.012472955582510525,3.731433612707938e-05,0.016941422844891765,9.9041672139502e-05,0.014282195387100904,6.078799430558253e-05,0.016860072476926165,0.0001303164686659841,0.0076948842721950295,0.0077810631532571365,9.861820914593856e-06,0.007628869096256744,3.337524872026686e-07,0.01274894151005196,5.128795682230483e-05,0.012334085810454006,3.135490739340053e-05,0.012472955582510525,3.731433612707938e-05,0.016941422844891765,9.9041672139502e-05,0.014282195387100904,6.078799430558253e-05,0.016860072476926165,0.0001303164686659841
9,0.2211818835488592,0.010762201676293796,0.010697191358134728,1.4290383760130518e-05,0.010673396136387065,6.470750549301882e-07,0.01761882352884751,8.579695075658856e-05,0.01533001872797538,3.3658427201856107e-05,0.016557508228927143,5.4844273024961924e-05,0.02154453309325702,0.000135352180660157,0.01903111807254105,9.44825438762903e-05,0.02322609741634424,0.000222498911160712,0.010762201676293796,0.010697191358134728,1.4290383760130518e-05,0.010673396136387065,6.470750549301882e-07,0.01761882352884751,8.579695075658856e-05,0.01533001872797538,3.3658427201856107e-05,0.016557508228927143,5.4844273024961924e-05,0.02154453309325702,0.000135352180660157,0.01903111807254105,9.44825438762903e-05,0.02322609741634424,0.000222498911160712,0.010762201676293796,0.010697191358134728,1.4290383760130518e-05,0.010673396136387065,6.470750549301882e-07,0.01761882352884751,8.579695075658856e-05,0.01533001872797538,3.3658427201856107e-05,0.016557508228927143,5.4844273024961924e-05,0.02154453309325702,0.000135352180660157,0.01903111807254105,9.44825438762903e-05,0.02322609741634424,0.000222498911160712
