,Standard_beran,True_proba,NN_BCE,LogisticRegression,DecisionTree,KNN
0,0.00030571404782916376,0.00018220404971229786,0.000263350475127493,0.0005856766657125426,0.0002565314179362249,0.00048119359795606805
1,0.0008799680809932627,0.0004807621802455461,0.0009362600987686111,0.0011350430039285743,0.0009619770598080353,0.0011659119446201624
2,0.00028270979341349015,0.00019543896705160528,0.000297485088185701,0.0005093604878869196,0.0003309349693638088,0.0004949672928887477
3,0.00012221067120253028,0.00015056152741456976,0.00014177665420738445,0.00048301914265939076,0.0001683999243300692,0.00013034942666718027
4,0.000273105385938213,0.00026540335399010713,0.0002622984295088859,0.0006317520876240907,0.0003342609259247697,0.0004170667959935498
5,0.00035965600864015904,0.0004981441246695963,0.0004393677993211827,0.0005806041865325329,0.0005964993763311519,0.0005147676013992853
6,0.0002678625055088313,0.0003393240569910674,0.000326535501018756,0.0005238990142067503,0.0004452973678151962,0.00040618834437827924
7,0.0005442356820124395,0.00041509951338117356,0.0005706314682937918,0.0006427163043412362,0.0006343076234964483,0.0006267582330883356
8,0.00015147916652548502,0.00018003485099789713,0.00018793588250002113,0.0004407060219691543,0.00022225370110378695,0.00021619441102734482
9,0.0002566389702606108,0.00017460043232326406,0.0001621079603555579,0.00046174217657101075,0.00028953210521428206,0.00031418940683215714
10,0.0002723818114713836,0.0003360218237528491,0.0003198301836078073,0.0007010890972084501,0.00032877090108663097,0.00037524395053177036
11,0.00023026571872658506,0.00016880993625930624,0.0001506660038109548,0.00045973075806869445,0.00013442626452281795,0.0002781556209272763
12,0.00037202415410658073,0.00034758223860925815,0.0003812750099391741,0.0007673966374119859,0.0004994217837595978,0.0004284606953063107
13,0.00026401755522345935,0.00031208930329629,0.00029244236837849526,0.0003392346010878039,0.0002426603140633237,0.0005670206223206293
14,0.0004118764663958646,0.00022930152436406314,0.0005700327555835203,0.0004616497230179549,0.0002021583584554528,0.0006677258286894662
15,0.00020783951263981406,0.00024463599515431577,0.0001914161392304478,0.0005469388006183615,0.0002535109385735521,0.0003021541982108906
16,0.0005002203556797729,0.00024624374567098583,0.00033074131150587286,0.0005910012912848252,0.0005139313571833287,0.00039424423044368077
17,0.00023597288088780883,0.00016962263650284256,0.0005488549791752193,0.0005209647840159967,0.000524216174637532,0.0006260006876984755
18,0.0003975642832771664,0.00042683582805666266,0.0005205973282167421,0.0007347546265513797,0.0004337930146146359,0.0004411589911390995
19,0.0003680862711147934,0.0003212824682472218,0.0003816749344199656,0.0008759031424240748,0.0007315564067403354,0.0004943104362092719
20,0.0007240215188620793,0.0005527140682000072,0.0006402401395301664,0.0005583577212187031,0.0006568114926169437,0.0007648385935396804
21,0.0007750530419151664,0.0006794967303261443,0.0009065303466459706,0.0008795008247658186,0.0007998657916251287,0.0014621326349831595
22,0.00021628402625551875,0.00010697002145793683,0.00028785121914306035,0.000377017401560177,0.0003413378117021285,0.0002655031814291862
23,0.00012986598667876243,0.00011930815592599486,0.00023574007234780292,0.00032126784528001636,0.00014251705973079875,0.000290583662670916
24,0.00022060985197281757,0.00019489645996538952,0.0002114176267314903,0.0003637664791836985,0.0002290505894177622,0.00023163440782387977
25,0.0005343260670740149,0.0003415866240234276,0.0004517580125506194,0.0007759392731205831,0.0005199361769225731,0.0006739606015928179
26,0.00042609392105484855,0.0003525398458550035,0.0003746993249651471,0.0007603535704897302,0.0004654435208505489,0.00036704320975779176
