,Standard_beran,True_proba,Subramanian,NN_MAR,NN_MAR_with_delta,NN_two_steps,NN_two_steps_with_delta,Standard_Beran_delta_obs_only
0,0.00037117057143192867,0.00023615303493759352,0.011737803471537689,0.00876583823708519,0.029642402059659456,0.00035788940357358787,0.0009239910392985055,0.0012838313304271386
1,0.002746339286301421,7.890581364219412e-05,0.003611454168385171,0.006607911274829805,0.0276032261719786,7.66869680883639e-05,0.0018986185030531095,0.00450830907008623
2,0.00030322122350818695,5.455165736244715e-05,0.0009191765490758899,0.004871089605384784,0.012105816943107086,7.173644524023993e-05,0.0014679017093389168,0.0005957691870052972
3,0.000803058469434251,9.184617377377861e-05,9.356566851142549e-05,0.0074287701687626335,0.001543274540548488,7.138168315450507e-05,5.864782165905768e-05,0.00021357171921476806
4,0.00011660794207758602,0.00011897997230564991,9.472979683232277e-05,0.008650994475672072,0.0005373209134443719,0.00014489179617198006,0.0001211073890478412,0.00010244865729460459
5,5.522887055868343e-05,5.1781053760028883e-05,7.875993988660757e-05,0.008613896056144129,0.008599172898026473,0.00012023913950542986,9.935861680554469e-05,0.00011020181620351223
6,8.45103951734742e-05,0.00016827278411232608,0.00012503737141986626,0.008705147243231383,0.00857855895493238,0.00013491643374883636,0.00012878012682018388,0.0012636824346194616
7,0.0007304284493952206,0.00015714893695324662,0.0004921903630976961,0.011898581388610371,0.000545403946928769,0.0002204389183258824,0.000127034371081923,0.00014062044792323138
8,0.0005784817881528214,5.517035271775573e-05,0.0010650434123433007,0.011898581388610371,0.002152510583853776,0.00013905506162953835,0.00010386136611978264,0.002724921988488101
9,0.020893521394487805,0.00010028947441083927,0.00015238181542348483,0.004954453021546932,0.008940241073993252,0.00020724466270208246,0.0001198067883287515,0.0003361508100104832
10,0.0020722831744050966,9.544603510211583e-05,0.0007045858973531407,0.008583759448589004,0.0010880548657630426,0.00030418203800338067,0.00023673013288622914,0.00012106544158675788
11,0.0006992639261554926,5.441841092442191e-05,0.0020209205773044753,0.011898581388610371,0.01102819021345416,7.770947818738605e-05,0.0009426620439166434,0.000794306043689213
12,0.00010422436005259903,0.00013094230686124772,0.00015760105717182248,0.008708063696854397,0.00044241442274241087,0.00022901983744438913,0.0002088096949141812,0.0001132655579167471
13,0.0005581416980019727,0.00010807200936186273,0.004128398651312493,0.011898581388610371,0.033639584064171404,0.0003015715604214952,0.0007049148220770214,0.0019813393960245443
14,7.085366883398e-05,6.528511238176876e-05,0.00036594206583410413,0.011294234701915267,0.0018334920171484634,0.0002482787186699685,0.00012999790568436273,0.00021936116582982326
15,0.0015370377285335972,5.209544390722335e-05,0.0009881509311555263,0.011898581388610371,0.01187216250318525,0.0005946617048840125,0.0011302161425177405,0.0030452395013815478
16,0.00016191733534680295,0.00014087564312114694,0.003561951332646798,0.005344392617228347,0.00526790196819783,0.00012475777378029963,0.00012892346587126943,0.0003306235682020864
17,7.732365264720703e-05,2.9506711741873834e-05,0.00016761229345475207,0.0065937076851633235,0.0015144320977040437,4.6374160610563444e-05,5.130437969842226e-05,5.396102323621023e-05
