,t,true_cdf_0.3,Standard_beran_cdf_0.3,Standard_beran_mise_0.3,True_proba_cdf_0.3,True_proba_mise_0.3,Linear_cdf_0.3,Linear_mise_0.3,Linear_with_delta_cdf_0.3,Linear_with_delta_mise_0.3,NN_cdf_0.3,NN_mise_0.3,NN_with_delta_cdf_0.3,NN_with_delta_mise_0.3,Standard Beran delta obs_cdf_0.3,Standard Beran delta obs_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,Standard_beran_mise_0.5,True_proba_cdf_0.5,True_proba_mise_0.5,Linear_cdf_0.5,Linear_mise_0.5,Linear_with_delta_cdf_0.5,Linear_with_delta_mise_0.5,NN_cdf_0.5,NN_mise_0.5,NN_with_delta_cdf_0.5,NN_with_delta_mise_0.5,Standard Beran delta obs_cdf_0.5,Standard Beran delta obs_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,Standard_beran_mise_0.7,True_proba_cdf_0.7,True_proba_mise_0.7,Linear_cdf_0.7,Linear_mise_0.7,Linear_with_delta_cdf_0.7,Linear_with_delta_mise_0.7,NN_cdf_0.7,NN_mise_0.7,NN_with_delta_cdf_0.7,NN_with_delta_mise_0.7,Standard Beran delta obs_cdf_0.7,Standard Beran delta obs_mise_0.7
0,-0.08280964298023119,0.0016063766748379425,0.0,2.580446021463405e-06,0.0,2.580446021463405e-06,0.0,2.580446021463405e-06,0.0,2.580446021463405e-06,0.0,2.580446021463405e-06,0.0,2.580446021463405e-06,0.0,2.580446021463405e-06,0.0006030024118412665,0.0,3.636119086863844e-07,0.0,3.636119086863844e-07,0.0,3.636119086863844e-07,0.0,3.636119086863844e-07,0.0,3.636119086863844e-07,0.0,3.636119086863844e-07,0.0,3.636119086863844e-07,0.0001991895757301672,0.0,3.967648707956401e-08,0.0,3.967648707956401e-08,0.0,3.967648707956401e-08,0.0,3.967648707956401e-08,0.0,3.967648707956401e-08,0.0,3.967648707956401e-08,0.0,3.967648707956401e-08
1,-0.06291261086532211,0.0019865524176335856,0.016371747576527707,0.00020693383975947083,0.016371747576527707,0.00020693383975947083,0.0032644667235893765,1.6330649733664707e-06,0.016371747576527707,0.00020693383975947083,0.003160084334107971,1.3771771589840438e-06,0.016371747576527707,0.00020693383975947083,0.020366537278274532,0.00033782384347739037,0.0007592288405516104,0.001973773916628341,1.475119741822231e-06,0.001973773916628341,1.475119741822231e-06,0.0008590169397215686,9.957664735953397e-09,0.001973773916628341,1.475119741822231e-06,0.000315327541490551,1.9704836330809616e-07,0.001973773916628341,1.475119741822231e-06,0.0036200075887958816,8.184055046406059e-06,0.000255586906500709,0.0,6.532466677460216e-08,0.0,6.532466677460216e-08,6.223657512682834e-06,6.218202994586433e-08,0.0,6.532466677460216e-08,0.0,6.532466677460216e-08,0.0,6.532466677460216e-08,0.0,6.532466677460216e-08
2,-0.04301557875041303,0.002446721662897856,0.016371747576527707,0.0001939063466952628,0.016371747576527707,0.0001939063466952628,0.0032644667235893765,6.687069842853783e-07,0.016371747576527707,0.0001939063466952628,0.003160084334107971,5.088863006760303e-07,0.016371747576527707,0.0001939063466952628,0.020366537278274532,0.0003211197916890977,0.0009520088752225002,0.001973773916628341,1.044003799839079e-06,0.001973773916628341,1.044003799839079e-06,0.0008590169397215686,8.647500068209434e-09,0.001973773916628341,1.044003799839079e-06,0.000315327541490551,4.053631207226937e-07,0.001973773916628341,1.044003799839079e-06,0.0036200075887958816,7.1182171356292175e-06,0.00032659545247205727,0.0,1.0666458957542782e-07,0.0,1.0666458957542782e-07,6.223657512682834e-06,1.0263808700549145e-07,0.0,1.0666458957542782e-07,0.0,1.0666458957542782e-07,0.0,1.0666458957542782e-07,0.0,1.0666458957542782e-07
3,-0.023118546635503945,0.0030012721632726074,0.016371747576527707,0.00017876961277645914,0.016371747576527707,0.00017876961277645914,0.0032644667235893765,6.927137658033742e-08,0.016371747576527707,0.00017876961277645914,0.003160084334107971,2.5221305605440707e-08,0.016371747576527707,0.00017876961277645914,0.020366537278274532,0.00030155243251430287,0.0011888515339431155,0.001973773916628341,6.161031468402512e-07,0.001973773916628341,6.161031468402512e-07,0.0008590169397215686,1.0879085954529254e-07,0.001973773916628341,6.161031468402512e-07,0.000315327541490551,7.63044165390268e-07,0.001973773916628341,6.161031468402512e-07,0.0036200075887958816,5.910519763047265e-06,0.0004156083655386857,0.0,1.7273031350573776e-07,0.0,1.7273031350573776e-07,6.223657512682834e-06,1.6759583916553558e-07,0.0,1.7273031350573776e-07,0.0,1.7273031350573776e-07,0.0,1.7273031350573776e-07,0.0,1.7273031350573776e-07
4,-0.0032215145205948675,0.003666629481602204,0.016371747576527707,0.00016142002580600345,0.016371747576527707,0.00016142002580600345,0.0032644667235893765,1.6173488393248413e-07,0.016371747576527707,0.00016142002580600345,0.003160084334107971,2.5658798644995443e-07,0.016371747576527707,0.00016142002580600345,0.020366537278274532,0.00027888692041735724,0.001478551287690595,0.001973773916628341,2.452454522120123e-07,0.001973773916628341,2.452454522120123e-07,0.0009634168779794061,2.6536346006849494e-07,0.001973773916628341,2.452454522120123e-07,0.000315327541490551,1.3530894837236642e-06,0.001973773916628341,2.452454522120123e-07,0.0038834888574224014,5.783724714307526e-06,0.00052670111948762,0.0,2.774140692695121e-07,0.0,2.774140692695121e-07,0.00011789573522680286,1.6712184220063433e-07,0.0,2.774140692695121e-07,0.0,2.774140692695121e-07,0.0,2.774140692695121e-07,0.0001224591681070475,1.6341155525597313e-07
5,0.01667551759431421,0.004461431753240345,0.016371747576527707,0.0001418556230104493,0.016371747576527707,0.0001418556230104493,0.0035714697947096807,7.920322876317361e-07,0.016371747576527707,0.0001418556230104493,0.003160084334107971,1.6935051052824912e-06,0.016371747576527707,0.0001418556230104493,0.020366537278274532,0.000252972381762473,0.0018313497220490162,0.001973773916628341,2.0284651201569314e-08,0.001973773916628341,2.0284651201569314e-08,0.001013382518963879,6.690703453229221e-07,0.001973773916628341,2.0284651201569314e-08,0.000315327541490551,2.2983232519452437e-06,0.001973773916628341,2.0284651201569314e-08,0.0038834888574224014,4.211275030931024e-06,0.0006647423354317931,0.0,4.4188237251531453e-07,0.0,4.4188237251531453e-07,0.00011789573522680286,2.990412041557564e-07,0.0,4.4188237251531453e-07,0.0,4.4188237251531453e-07,0.0,4.4188237251531453e-07,0.0001224591681070475,2.9407103356375805e-07
6,0.0365725497092233,0.005406696772123722,0.025568059636468132,0.00040648055254776587,0.025568059636468132,0.00040648055254776587,0.0056886040180453845,7.947169530313691e-08,0.020530928206751176,0.00022874237648817322,0.0051175739042169655,8.359203274662758e-08,0.01830329346942794,0.00016632220637291805,0.020366537278274532,0.00022379682796947056,0.0022591051184142354,0.002060814773053421,3.9319061063311067e-08,0.002060814773053421,3.9319061063311067e-08,0.0013425594526701445,8.400559573942787e-07,0.0020130392506920725,6.0548411257861e-08,0.00033357234361408583,3.7076764668295634e-06,0.0019919884511817587,7.13513139133857e-08,0.0038834888574224014,2.6386225315541494e-06,0.0008355164899697259,0.0,6.980878050113311e-07,0.0,6.980878050113311e-07,0.00011789573522680286,5.149795476378025e-07,0.0,6.980878050113311e-07,0.0,6.980878050113311e-07,0.0,6.980878050113311e-07,0.0001224591681070475,5.084507442619755e-07
7,0.056469581824132364,0.006525975882035319,0.025568059636468132,0.000362600953710834,0.025568059636468132,0.000362600953710834,0.0056886040180453845,7.011916386019769e-07,0.020530928206751176,0.00019613868961756406,0.0051175739042169655,1.9835961311226495e-06,0.01830329346942794,0.0001387052095543075,0.020366537278274532,0.00019156113976306715,0.002775467588857832,0.002060814773053421,5.107286471371735e-07,0.002060814773053421,5.107286471371735e-07,0.0013425594526701445,2.0532257267528726e-06,0.0020130392506920725,5.812969708382019e-07,0.00033357234361408583,5.962852388744016e-06,0.0019919884511817587,6.138395591736435e-07,0.0038834888574224014,1.2277111315914373e-06,0.0010458584111651154,0.0,1.0938198162048197e-06,0.0,1.0938198162048197e-06,0.00011789573522680286,8.611147279345937e-07,0.0,1.0938198162048197e-06,0.0,1.0938198162048197e-06,0.0,1.0938198162048197e-06,0.0001224591681070475,8.526661620802127e-07
8,0.07636661393904146,0.007845488462513435,0.025568059636468132,0.00031408952901589,0.025568059636468132,0.00031408952901589,0.0056886040180453845,4.6521505067882505e-06,0.020530928206751176,0.00016092038150468648,0.0051175739042169655,7.4415178373658226e-06,0.01830329346942794,0.00010936568556264607,0.020366537278274532,0.00015677666344667237,0.0033960567236238893,0.002060814773053421,1.7828710665632288e-06,0.002060814773053421,1.7828710665632288e-06,0.0013425594526701445,4.216851041814477e-06,0.0020130392506920725,1.9127373304347088e-06,0.00033357234361408583,9.37881057780403e-06,0.0019919884511817587,1.971407713678629e-06,0.0038834888574224014,2.375900850593706e-07,0.0013037990988512863,0.0,1.6998920901654263e-06,0.0,1.6998920901654263e-06,0.00011789573522680286,1.4063667878558638e-06,0.0,1.6998920901654263e-06,0.0,1.6998920901654263e-06,0.0,1.6998920901654263e-06,0.0001224591681070475,1.395564031970803e-06
9,0.09626364605395055,0.0093942301822391,0.025568059636468132,0.0002615927592144865,0.02556926078888555,0.0002616316151259494,0.006782059525776818,6.8234355384825925e-06,0.020530928206751176,0.00012402604288917115,0.005119895244871109,1.8269939156804633e-05,0.01830329346942794,7.9371408655136e-05,0.020366537278274532,0.0001203915230097095,0.0041386379929381325,0.002060814773053421,4.31734933309207e-06,0.0021165149541422235,4.088981584029201e-06,0.003525447351569899,3.7600276266158524e-07,0.0026806286126860313,2.1257913529031163e-06,0.00045027014068554916,1.3604057413530334e-05,0.002054268346563193,4.344596822729191e-06,0.0038834888574224014,6.510108135442492e-08,0.0016187219648475806,0.0,2.620260799480012e-06,0.00012488636216823057,2.231544807832377e-06,0.004105830675339317,6.185709737803869e-06,6.735948674707615e-05,2.406725538458138e-06,0.00022150601981474338,1.9522123970540044e-06,6.282168659277332e-06,2.5999620963317767e-06,0.0001224591681070475,2.2388023569098016e-06
