,t,true_cdf_0.3,Standard_beran_cdf_0.3,NN_BCE_cdf_0.3,Standard_beran_mise_0.3,NN_BCE_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,NN_BCE_cdf_0.5,Standard_beran_mise_0.5,NN_BCE_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,NN_BCE_cdf_0.7,Standard_beran_mise_0.7,NN_BCE_mise_0.7
11,-0.29139750034010864,0.0004860686389792359,0.0006038584148418929,0.0006555090954347687,2.3416585484311795e-06,3.3197328290612025e-06,6.991241588209412e-05,0.0001088960791888588,9.715978171772776e-05,2.225650985118266e-07,2.324739182131804e-07,5.937595843826292e-06,4.6107507041814877e-08,0.0,3.5042587991434684e-11,3.525504440462316e-11
12,-0.2618635876641678,0.0006870847878626264,0.0007729620282385962,0.0007940290111171755,2.871496052297969e-06,3.7860881001049254e-06,0.0001036167142888338,0.0001472574291452311,0.00013524429997808563,2.6017847260439984e-07,3.032559507967564e-07,9.28520977342643e-06,8.229160135548307e-06,5.244436164050237e-06,1.2884174373819731e-08,5.209065056570336e-09
13,-0.23232967498822693,0.0009624675285720834,0.0010306125804825884,0.0010753849123186872,3.701868672587441e-06,5.111756023849026e-06,0.00015216555437424497,0.0001964487876844656,0.00017195306736448424,3.0090513007340713e-07,3.3179693814163196e-07,1.4386017208757664e-05,9.802842183783134e-06,5.244436164050237e-06,1.3294919310257893e-08,5.27630570920506e-09
14,-0.20279576231228613,0.0013360932979586942,0.0013507510246226445,0.0014157940165700033,4.409068665259261e-06,6.22897998253509e-06,0.00022142304545896949,0.0003538868819133528,0.00034633138019007524,6.494055889005967e-07,9.102400847252074e-07,2.2083288836862575e-05,7.621532753383953e-05,6.162969274451979e-05,2.3690713306602283e-07,2.2024323944270854e-07
15,-0.17326184963634528,0.001838125139021236,0.0017987514777996355,0.001842227723982335,5.525816002970094e-06,7.864718216824402e-06,0.0003192703759944469,0.0004979483252614047,0.00047130870302401653,8.141236339371319e-07,1.0620400082920765e-06,3.3586762965973115e-05,8.896549151496013e-05,6.817274494715753e-05,2.4252383367523726e-07,2.2490722491796688e-07
16,-0.14372793696040442,0.002506192170735677,0.002260788793063924,0.002293044587701282,6.5888960613725045e-06,9.068877736570223e-06,0.0004561773401759742,0.0006789786687884692,0.0006222481944486774,1.3039353585811602e-06,1.662568863825264e-06,5.0612877568728145e-05,0.00014841981276369877,0.00011263727820103542,3.382920762949616e-07,2.9859899441039815e-07
17,-0.11419402428446357,0.003386639044670082,0.003057825111273982,0.0030602922380535123,9.169438278301873e-06,1.2678661654754143e-05,0.0006458900518667294,0.0008792579666512807,0.0007958126249351566,1.655697370084159e-06,2.0689681729924115e-06,7.557010923772868e-05,0.00019464744838372739,0.0001575222325876857,4.3508237881521553e-07,4.5369536423374717e-07
18,-0.08466011160852271,0.004535799334214463,0.003856027759341883,0.0038403520612821616,1.2924910918806794e-05,1.693501558302245e-05,0.0009062424946924867,0.0011670620251260178,0.001049864663504338,2.0421868508118896e-06,2.406377404989763e-06,0.00011180038134054778,0.0002488293099576461,0.00019971725476922942,6.076584744893583e-07,5.947278447624911e-07
19,-0.05512619893258186,0.006021230063691833,0.005007979496949906,0.005012376194807006,1.685291747635624e-05,2.157464905210936e-05,0.0012600941380747994,0.0016033941810454139,0.0014659279416514765,3.2710065199109904e-06,4.102409849882808e-06,0.00016388879238456958,0.0003288249484721889,0.00025493602045930877,7.602677553493871e-07,7.36540763410981e-07
20,-0.025592286256641006,0.007922827304360605,0.006539433908498888,0.006485528420766221,2.5447056371152435e-05,3.1044817997176935e-05,0.0017363881404435489,0.002168923439817041,0.0019591251838506256,4.3610985742804515e-06,5.2395257149320576e-06,0.00023805480877880401,0.0005013630577133804,0.00040768836642427364,1.1716632743866954e-06,1.3364094798695026e-06
