,t,true_cdf_0.3,Standard_beran_cdf_0.3,Standard_beran_mise_0.3,True_proba_cdf_0.3,True_proba_mise_0.3,True_proba_test_mode_cdf_0.3,True_proba_test_mode_mise_0.3,Prior_proba_cdf_0.3,Prior_proba_mise_0.3,Prior_proba_test_mode_cdf_0.3,Prior_proba_test_mode_mise_0.3,LogisticRegression_cdf_0.3,LogisticRegression_mise_0.3,LogisticRegression_test_mode_cdf_0.3,LogisticRegression_test_mode_mise_0.3,NN_BCE_cdf_0.3,NN_BCE_mise_0.3,NN_BCE_test_mode_cdf_0.3,NN_BCE_test_mode_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,Standard_beran_mise_0.5,True_proba_cdf_0.5,True_proba_mise_0.5,True_proba_test_mode_cdf_0.5,True_proba_test_mode_mise_0.5,Prior_proba_cdf_0.5,Prior_proba_mise_0.5,Prior_proba_test_mode_cdf_0.5,Prior_proba_test_mode_mise_0.5,LogisticRegression_cdf_0.5,LogisticRegression_mise_0.5,LogisticRegression_test_mode_cdf_0.5,LogisticRegression_test_mode_mise_0.5,NN_BCE_cdf_0.5,NN_BCE_mise_0.5,NN_BCE_test_mode_cdf_0.5,NN_BCE_test_mode_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,Standard_beran_mise_0.7,True_proba_cdf_0.7,True_proba_mise_0.7,True_proba_test_mode_cdf_0.7,True_proba_test_mode_mise_0.7,Prior_proba_cdf_0.7,Prior_proba_mise_0.7,Prior_proba_test_mode_cdf_0.7,Prior_proba_test_mode_mise_0.7,LogisticRegression_cdf_0.7,LogisticRegression_mise_0.7,LogisticRegression_test_mode_cdf_0.7,LogisticRegression_test_mode_mise_0.7,NN_BCE_cdf_0.7,NN_BCE_mise_0.7,NN_BCE_test_mode_cdf_0.7,NN_BCE_test_mode_mise_0.7
0,0.404840673121859,3.479623626670626e-05,0.0,1.2107780583284465e-09,7.375905405012096e-06,7.697098924479672e-10,4.12613362510228e-05,1.2311807680539597e-07,0.00037311894130221513,1.3082843985502366e-07,0.00046368347979290625,8.912756416735038e-07,0.0007170807512326527,5.765238515058429e-07,0.0007588232156103825,6.56370686301435e-07,0.00017703001595770706,3.613197292004987e-08,0.00018686865724603041,4.461858353685311e-08,3.60008088799509e-06,0.0,1.2960582400107554e-11,4.68993388245964e-06,4.179588034290825e-12,4.257859221863836e-05,2.7870232724908634e-07,0.0006168152094919488,3.9495454071408655e-07,0.0006595064295185565,6.582619986016865e-07,0.0009203678811906551,9.444546690520426e-07,0.0009126202154268331,9.455724495506561e-07,0.0001661151155056495,3.686719667312637e-08,0.00016723110067344893,3.8911821542817336e-08,2.1064999308136455e-07,0.0,4.437341958517903e-14,1.5593001530295192e-06,2.417699270317306e-12,3.965406386182702e-05,2.9127200946415433e-07,0.0008318956638718089,7.400498321952005e-07,0.0008491365461495753,9.837254780886207e-07,0.0008902035348351694,9.177076305572265e-07,0.0008742273120997496,8.900234029790414e-07,0.00011617930264366416,2.1228092219188155e-08,0.00011122784951900999,1.8728336349096985e-08
1,0.43281388081194583,5.128496438188241e-05,4.363024037763785e-05,2.0100390554225728e-07,1.6088177765430366e-05,1.343810153975125e-09,4.935517492071828e-05,1.2283755207972821e-07,0.0005146702534998143,4.486179665948592e-07,0.0005823953450749903,9.995642439021152e-07,0.0010598482591306813,1.2565628788887008e-06,0.0011053911946668133,1.3609169849960751e-06,0.0002793889790303633,9.247551175062094e-08,0.0002856165293328522,9.952877379421392e-08,5.5529341338852535e-06,2.0389678107838315e-05,4.96616075216705e-08,8.65586522292683e-06,1.9727361408786695e-11,4.641603246447412e-05,2.787234618665976e-07,0.000758995599288283,6.434329624919799e-07,0.0007979382849817467,8.620443542356575e-07,0.0012106829031336942,1.6009827789474862e-06,0.0012193918507954332,1.6663421508397428e-06,0.00022812332559077165,6.720892191854391e-08,0.0002350745299956225,7.590101234332106e-08,3.4204144341586015e-07,2.3159325509392035e-06,1.071241418623816e-09,2.6505067083593127e-06,7.1691240552982376e-12,4.060225791166272e-05,2.912999980047175e-07,0.000967977296256819,9.905857282939117e-07,0.0009899538330302793,1.2478113561750777e-06,0.001107392960039536,1.385220458239564e-06,0.0011003204900740704,1.3939741603172062e-06,0.00014843938240668931,3.260816096632898e-08,0.00014458273951506727,3.095176941947052e-08
2,0.46078708850203265,7.496459431360882e-05,0.00010552000139836593,9.587165746656601e-07,3.127409916298063e-05,2.230244221628979e-09,6.296414711146003e-05,1.2239964752710672e-07,0.0007058515597298315,1.4470795487834979e-06,0.0007663978580984337,1.6835772435638556e-06,0.0014968413371934408,2.4281231858689946e-06,0.0015062325181281727,2.4615956937848423e-06,0.0004154630354221056,1.932293562207572e-07,0.0004129752755586674,2.0514392715314387e-07,8.493937517367732e-06,3.4390565788817166e-05,8.855011303489372e-08,1.5092900304863877e-05,7.213813196321067e-11,5.243533548989876e-05,2.7872337459957884e-07,0.0009117655936996622,9.445022241810041e-07,0.0009611308811738467,1.2111962990544072e-06,0.0015807095575089698,2.7283025550847184e-06,0.0015629548491803962,2.695102306018039e-06,0.00030975931186363046,1.2141433190135152e-07,0.00031275121297440645,1.2834237047417218e-07,5.507378734595541e-07,2.3159325509392035e-06,1.0704610847688601e-09,4.281116254062911e-06,1.806481292157807e-11,4.2121504758481085e-05,2.9134679920962187e-07,0.0011089481188038875,1.2938100510299893e-06,0.0011336407181325946,1.5486168729526337e-06,0.001366781359719107,2.1050310538286977e-06,0.0013549510533868814,2.0969861843119807e-06,0.0001902176900265351,5.230948916936271e-08,0.00018449438835476339,4.889034194022991e-08
3,0.4887602961921195,0.00010867697570792014,0.00013688061810491315,1.1476742103333222e-06,5.2443616064387634e-05,3.8462836634641425e-09,8.710062132078755e-05,1.2368059957329446e-07,0.0008692318956841727,1.8686526941488882e-06,0.0008945384569518278,1.8450221259365334e-06,0.0019844165410104675,4.184323003665375e-06,0.002037253922215776,4.356644595145436e-06,0.0005711464334488692,3.546666734630038e-07,0.0005867220426665814,3.794045655889107e-07,1.2884783484793821e-05,5.08229500517704e-05,1.1502681437420583e-07,2.429034731236346e-05,1.8255754368578504e-10,6.251637240001884e-05,2.793284633650027e-07,0.00106478952570144,1.2456945651075944e-06,0.0011022381891812665,1.4953629731393136e-06,0.001976360247522911,4.208933394274102e-06,0.0019777445364852885,4.289379516933817e-06,0.00040451635309535385,2.0170383674874346e-07,0.0004144326353064903,2.2233211682208063e-07,8.79354618211158e-07,1.2371129549758053e-05,2.1273122097851573e-08,6.5935321970950204e-06,4.080269929941417e-11,4.4447591053064507e-05,2.9159264092476836e-07,0.0012544387847331817,1.6468053302626792e-06,0.0012719702651628406,1.8831897401868829e-06,0.0016399810656274549,3.0149962092210485e-06,0.0016385515539009737,3.0406171664825745e-06,0.00023637019246486147,7.984007912672206e-08,0.0002309653147152829,7.654233800373884e-08
4,0.5167335038822063,0.00015625766395071223,0.00017139961857112973,1.3747787966823588e-06,8.696121912649624e-05,6.170844367107772e-09,0.00012200631719151089,1.2594135741880202e-07,0.0010396507520735148,2.265668616332563e-06,0.0010244528107906203,1.9984739946828495e-06,0.0025900915461409863,6.937725052930959e-06,0.0026119207333689443,7.090303854752858e-06,0.000788949452616482,6.37939112911405e-07,0.0007874583651263145,6.432169551798151e-07,1.9383500750419687e-05,7.692226815280035e-05,2.4979903762787013e-07,3.85056877911516e-05,4.997148243243424e-10,7.71578579528076e-05,2.7987265817803874e-07,0.001232653865006083,1.7375081185683512e-06,0.0012477931401032537,1.824627562058452e-06,0.0024240480721476965,6.280367408445399e-06,0.0024449278752209985,6.553381814144142e-06,0.000518345875980829,3.2069062121857714e-07,0.0005316538083198441,3.629805857370487e-07,1.3923236118827652e-06,1.3266894530409857e-05,2.141957997724186e-08,1.0017997429599412e-05,9.525593327964087e-11,4.8080558362654236e-05,2.9185862342996033e-07,0.0013962442534961373,2.025293405375145e-06,0.0014170521014531257,2.2820101061459204e-06,0.0019346014688781932,4.152445604667096e-06,0.0019669985677772356,4.394239881944573e-06,0.0002876039055538826,1.1481601361933901e-07,0.00028770771780651236,1.2077703052734003e-07
5,0.5447067115722932,0.00022283076329129728,0.00017139961857112973,1.3771946805398815e-06,0.00012923505148963399,1.1985128332208845e-08,0.00023766523409354313,9.771111533441245e-07,0.0011717399502432751,2.4067704894610417e-06,0.0012528423177371884,3.2503684361902056e-06,0.0032075981843991837,1.0580484937700346e-05,0.0033097344507502864,1.1082726669164134e-05,0.0010117858981292555,1.0096130723033295e-06,0.0010528068566295324,1.1349061606238745e-06,2.8918789462184075e-05,7.692226815280035e-05,2.487926618400861e-07,5.7681675221605834e-05,1.1370761735568095e-09,0.00011324336299676885,3.2673684743997504e-07,0.001372274807895037,2.077021386356118e-06,0.001427448031577162,2.351836018284071e-06,0.0029202804351717853,9.071752580408624e-06,0.002986499196988337,9.703489714515684e-06,0.0006505646339638288,4.991402956265776e-07,0.0006829290866359705,5.975294434435332e-07,2.186138607140712e-06,1.3266894530409857e-05,2.1401357694573305e-08,1.5093543742341064e-05,2.1323846430345552e-10,5.300213022323752e-05,2.9217948705485105e-07,0.0015379457000773023,2.44521068093523e-06,0.001575459078671403,2.7715697046147503e-06,0.0022702230076840214,5.690197796168794e-06,0.00233614781718289,6.1578668652014485e-06,0.00034999776037860866,1.677554033567764e-07,0.00035238235090015945,1.7844107029381124e-07
6,0.57267991926238,0.00031517155670771616,0.0003631710988336123,2.8783165971696103e-06,0.00019969517504512036,2.0759525082071308e-08,0.0003029935715973348,9.709838192077788e-07,0.0015261359782930467,5.153401854255125e-06,0.0014318105934938113,3.916952559842211e-06,0.0039561666022671724,1.571618369592872e-05,0.003968766943452221,1.5215776821718883e-05,0.0012923319774465758,1.557016624032096e-06,0.0012971213157805094,1.534675755782249e-06,4.2788481437591444e-05,0.00014965752199417982,4.6270997990876494e-07,8.847614004145465e-05,2.7840251942997785e-09,0.00013968012580017065,3.281461030792066e-07,0.0015787091472871722,2.820527535595856e-06,0.0016038073372273292,3.079508941120495e-06,0.0034830433958507405,1.2792659699225947e-05,0.0035306677000162545,1.3393533035511202e-05,0.00080691379892047,7.468877100427177e-07,0.0008329733947592688,8.551116083026766e-07,3.4039337588450403e-06,1.4290542431990572e-05,2.157256109943006e-08,2.2780369944313538e-05,4.740607006176376e-10,5.994314098442588e-05,2.925170203892504e-07,0.0016752790055998023,2.888712610449106e-06,0.001714094401461899,3.2344223357639434e-06,0.0026472483434239924,7.691520843931337e-06,0.0027275804455272556,8.325902109284292e-06,0.00042503626466987743,2.468558312502782e-07,0.0004254872700295842,2.567392845273273e-07
7,0.6006531269524669,0.0004421456725227233,0.00046399991292597254,3.8817439727328295e-06,0.00034012501041524477,2.5538065400801525e-07,0.00039521541289875173,9.741599457531582e-07,0.0017798039647708508,6.860585630307268e-06,0.0016663226763298017,4.954665819757372e-06,0.004810053977118402,2.2348394896632047e-05,0.004729411264858262,2.0685386085546874e-05,0.0016567294694146072,2.4108797776709177e-06,0.001595184350461008,2.1320427860436456e-06,6.278832278258955e-05,0.00015775399965535343,4.6438451787682e-07,0.00012853263373429401,5.996253454928882e-09,0.00017859773891696517,3.322448635827533e-07,0.0017166719388608965,3.195744008987428e-06,0.001765796227508749,3.616394927840961e-06,0.004084267474032264,1.7363265546394023e-05,0.004130581655053124,1.8069217745353662e-05,0.0009808033885946826,1.0705699189420054e-06,0.0010042588631873168,1.1943049926858886e-06,5.255997556256249e-06,1.4290542431990572e-05,2.1535665852139835e-08,3.3128140716039426e-05,9.97726994582514e-10,6.935822463497499e-05,2.9292435662227136e-07,0.0018110079980095761,3.3631081923493957e-06,0.0018537035611055424,3.728523926697992e-06,0.003069377830500311,1.0306269289901099e-05,0.0031519952132518223,1.1027115893798527e-05,0.0005074760474350576,3.4739293173815796e-07,0.0005070521189815685,3.570884876602522e-07
8,0.6286263346425537,0.0006152323189222459,0.0006264474422817679,4.716269195902568e-06,0.0004993453087288447,2.784738780425797e-07,0.0005631252493090561,1.1018392246375214e-06,0.0020894076213339506,8.108628217354062e-06,0.002050416561391545,7.1801149333246e-06,0.00586536660076187,3.233939562850271e-05,0.0056370146975707166,2.8273184587884696e-05,0.0021308255885571087,3.831122101497044e-06,0.0019823755509717194,3.030805921382866e-06,9.13782500896818e-05,0.0002245860788661208,6.607343293557567e-07,0.00018578876311997394,1.1633016022050487e-08,0.00023465111091435954,3.3869814526082307e-07,0.0019236252187493912,3.996153642058202e-06,0.0020120040137722333,4.919329622770302e-06,0.004765875296727124,2.337041834029645e-05,0.004822539093806915,2.431920819685663e-05,0.0011951153929510466,1.5472698454981426e-06,0.0012156830645398797,1.6881716786517975e-06,8.048312529713148e-06,2.0580677367708632e-05,2.7429681134217806e-08,4.701338784950937e-05,1.9473334860790536e-09,8.422187253063041e-05,2.9494442218747213e-07,0.0019529607843639656,3.8994480715201094e-06,0.0020334433265352114,4.583135456777519e-06,0.0035276534390292465,1.3615924775838495e-05,0.003637988806156921,1.4469479011732807e-05,0.0006037712649025279,4.960329914921901e-07,0.0006035288283243912,4.866696337786025e-07
9,0.6565995423326405,0.0008491368856126674,0.0010891773673960793,9.782677949345714e-06,0.0007711796592772308,1.2852894973878152e-06,0.0007831982188741509,1.1587843375357018e-06,0.0027569588922722456,1.623562187722094e-05,0.0023726149383531815,9.751840065654293e-06,0.007023815683548618,4.470031600607273e-05,0.006820684595484968,4.076255744414732e-05,0.0026596742362405695,5.532450179521183e-06,0.0025407012734862348,5.0416140733578696e-06,0.00013189422736416964,0.0003682291727593767,1.316261941090952e-06,0.0002709634138752526,2.5703558782149437e-08,0.00031107177744861217,3.4872859998243437e-07,0.0022129109697827326,5.7764543756454635e-06,0.002199986010271929,5.633398734393771e-06,0.005568029081938733,3.1649009110364476e-05,0.005586822190835695,3.2326685466983056e-05,0.001460583554907869,2.2365843168831443e-06,0.0014688414256278965,2.4060315036354085e-06,1.2221804953196035e-05,4.738620293479656e-05,8.816764686660505e-08,6.845779938383534e-05,4.005354894642825e-09,0.00010302181899720874,2.968127730340467e-07,0.0021107593705689026,4.590653560081529e-06,0.0021771130660225443,5.253847113325512e-06,0.004084738115978004,1.829355137384629e-05,0.0041330583273841495,1.8661838520718494e-05,0.0007284877271175172,7.194270093255338e-07,0.0007072275359334257,6.563776496709493e-07
