,t,true_cdf_0.3,Standard_beran_cdf_0.3,True_proba_cdf_0.3,NN_BCE_cdf_0.3,LogisticRegression_cdf_0.3,DecisionTree_cdf_0.3,KNN_cdf_0.3,Standard_beran_mise_0.3,True_proba_mise_0.3,NN_BCE_mise_0.3,LogisticRegression_mise_0.3,DecisionTree_mise_0.3,KNN_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,True_proba_cdf_0.5,NN_BCE_cdf_0.5,LogisticRegression_cdf_0.5,DecisionTree_cdf_0.5,KNN_cdf_0.5,Standard_beran_mise_0.5,True_proba_mise_0.5,NN_BCE_mise_0.5,LogisticRegression_mise_0.5,DecisionTree_mise_0.5,KNN_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,True_proba_cdf_0.7,NN_BCE_cdf_0.7,LogisticRegression_cdf_0.7,DecisionTree_cdf_0.7,KNN_cdf_0.7,Standard_beran_mise_0.7,True_proba_mise_0.7,NN_BCE_mise_0.7,LogisticRegression_mise_0.7,DecisionTree_mise_0.7,KNN_mise_0.7
0,-0.7353877322831139,8.833193959206577e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.802531552096351e-13,7.802531552096351e-13,7.802531552096351e-13,7.802531552096351e-13,7.802531552096351e-13,7.802531552096351e-13,6.168016501337784e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.804442756077513e-15,3.804442756077513e-15,3.804442756077513e-15,3.804442756077513e-15,3.804442756077513e-15,3.804442756077513e-15,2.3166482104585926e-09,0.0,0.0,0.0,0.0,0.0,0.0,5.3668589310209974e-18,5.3668589310209974e-18,5.3668589310209974e-18,5.3668589310209974e-18,5.3668589310209974e-18,5.3668589310209974e-18
1,-0.7036745858833156,1.4861435990752306e-06,5.838984565263994e-06,5.838984565263994e-06,5.838984565263994e-06,2.4907451063893582e-06,5.838984565263994e-06,0.0,3.3942275590626642e-09,3.3942275590626642e-09,3.3942275590626642e-09,6.151865315037476e-10,3.3942275590626642e-09,2.2086227970722774e-12,1.09327879524567e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.1952585241338223e-14,1.1952585241338223e-14,1.1952585241338223e-14,1.1952585241338223e-14,1.1952585241338223e-14,1.1952585241338223e-14,4.354619112000826e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.8962707610602897e-17,1.8962707610602897e-17,1.8962707610602897e-17,1.8962707610602897e-17,1.8962707610602897e-17,1.8962707610602897e-17
2,-0.6719614394835172,2.4735915304765584e-06,5.838984565263994e-06,5.838984565263994e-06,5.838984565263994e-06,2.4907451063893582e-06,5.838984565263994e-06,0.0,3.386606204864335e-09,3.386606204864335e-09,3.386606204864335e-09,6.141776015604222e-10,3.386606204864335e-09,6.118655059645359e-12,1.9169584794606955e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.674729811976261e-14,3.674729811976261e-14,3.674729811976261e-14,3.674729811976261e-14,3.674729811976261e-14,3.674729811976261e-14,8.096779583062796e-09,0.0,0.0,0.0,0.0,0.0,0.0,6.555783961670255e-17,6.555783961670255e-17,6.555783961670255e-17,6.555783961670255e-17,6.555783961670255e-17,6.555783961670255e-17
3,-0.6402482930837188,4.073109334673787e-06,5.838984565263994e-06,5.838984565263994e-06,5.838984565263994e-06,2.4907451063893582e-06,5.838984565263994e-06,0.0,3.378398649915732e-09,3.378398649915732e-09,3.378398649915732e-09,6.166811838662006e-10,3.378398649915732e-09,1.6590219652206734e-11,3.325034080572961e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.1055851636971674e-13,1.1055851636971674e-13,1.1055851636971674e-13,1.1055851636971674e-13,1.1055851636971674e-13,1.1055851636971674e-13,1.4891915660815763e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.217691520488493e-16,2.217691520488493e-16,2.217691520488493e-16,2.217691520488493e-16,2.217691520488493e-16,2.217691520488493e-16
4,-0.6085351466839203,6.635322779765115e-06,4.954055271423563e-05,3.9189449469750895e-05,3.9189449469750895e-05,1.39159181896642e-05,3.753222806699208e-05,3.467449982646031e-05,1.087313320278622e-07,8.930741609088602e-08,8.930741609088602e-08,1.145571753286928e-08,8.017088796865449e-08,9.383309204414088e-08,5.705406627983004e-07,1.4592084889741842e-07,1.4592084889741842e-07,1.4592084889741842e-07,5.228925660349937e-08,1.3781419093139568e-07,0.0,2.2882985065085957e-12,2.2882985065085957e-12,2.2882985065085957e-12,5.392669892814023e-13,2.06753457043982e-12,3.255166479063239e-13,2.7093753123295666e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.340714583060922e-16,7.340714583060922e-16,7.340714583060922e-16,7.340714583060922e-16,7.340714583060922e-16,7.340714583060922e-16
5,-0.5768220002841219,1.0694078263266906e-05,4.954055271423563e-05,3.9189449469750895e-05,3.9189449469750895e-05,1.39159181896642e-05,3.753222806699208e-05,3.467449982646031e-05,1.0839952184940203e-07,8.90596311065337e-08,8.90596311065337e-08,1.1413090715857974e-08,7.993655549721382e-08,9.362195721303342e-08,9.684785009910102e-07,1.4592084889741842e-07,1.4592084889741842e-07,1.4592084889741842e-07,5.228925660349937e-08,1.3781419093139568e-07,0.0,2.7845976111691014e-12,2.7845976111691014e-12,2.7845976111691014e-12,1.1100852007898705e-12,2.5702855669922598e-12,9.37950606881793e-13,4.8760995516541745e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.3776346837642043e-15,2.3776346837642043e-15,2.3776346837642043e-15,2.3776346837642043e-15,2.3776346837642043e-15,2.3776346837642043e-15
6,-0.5451088538843235,1.7052097368447627e-05,0.00010068280931719298,9.033170607270824e-05,9.033170607270824e-05,3.2549563681256724e-05,8.69451392489351e-05,0.00011502141757262163,3.677548485686898e-07,3.485465828501977e-07,3.485465828501977e-07,4.5498335039319136e-08,3.2211409656774945e-07,7.361799978645942e-07,1.626343658934491e-06,2.611510594985322e-07,2.611510594985322e-07,2.611510594985322e-07,9.420507157797964e-08,2.4913831444095534e-07,0.0,5.25264051548953e-12,5.25264051548953e-12,5.25264051548953e-12,2.7876842454679337e-12,4.973205830903764e-12,2.644993696956421e-12,8.680913104140558e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.535825232163916e-15,7.535825232163916e-15,7.535825232163916e-15,7.535825232163916e-15,7.535825232163916e-15,7.535825232163916e-15
7,-0.5133957074845251,2.6901323953408697e-05,0.00010068280931719298,9.033170607270824e-05,9.033170607270824e-05,3.2549563681256724e-05,8.69451392489351e-05,0.00011502141757262163,3.662044601701222e-07,3.4720009517414866e-07,3.4720009517414866e-07,4.529006618922578e-08,3.208343190196853e-07,7.343471610627852e-07,2.7018423442523828e-06,2.611510594985322e-07,2.611510594985322e-07,2.611510594985322e-07,9.420507157797964e-08,2.4913831444095534e-07,0.0,9.345863629408211e-12,9.345863629408211e-12,9.345863629408211e-12,7.2400077404419235e-12,9.092268327855414e-12,7.2999520531952e-12,1.5288067453046573e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.3372500644890228e-14,2.3372500644890228e-14,2.3372500644890228e-14,2.3372500644890228e-14,2.3372500644890228e-14,2.3372500644890228e-14
8,-0.4816825610847267,4.198939744491368e-05,0.0001072510481140243,9.363080452134077e-05,9.363080452134077e-05,3.3043194564751356e-05,9.002436485473164e-05,0.00011502191555011754,3.658112063910422e-07,3.463246828214909e-07,3.463246828214909e-07,4.53301627663712e-08,3.1993934473574785e-07,7.319156443325047e-07,4.440580693613367e-06,1.1164904184446379e-06,8.079489703294307e-07,8.079489703294307e-07,1.7598289936748834e-07,7.594839614188942e-07,0.0,5.267869291021113e-11,4.5899116785068006e-11,4.5899116785068006e-11,1.927369586772624e-11,4.2157506372778095e-11,1.9718756896491785e-11,2.66341741225703e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.093792311913947e-14,7.093792311913947e-14,7.093792311913947e-14,7.093792311913947e-14,7.093792311913947e-14,7.093792311913947e-14
9,-0.4499694146849283,6.484627054103602e-05,0.00015156506884505538,0.00013794482525237184,0.0001282183140874249,4.6183392468173156e-05,0.00011857018501097216,0.00015179047046778304,4.755994045896682e-07,4.5673551337878935e-07,4.4371563917866976e-07,6.050337151126498e-08,3.831300207003545e-07,8.425279399498038e-07,7.220357554572011e-06,8.372691503253371e-06,8.064150055138163e-06,1.216827526508979e-06,2.937096206634404e-07,1.1357576164017225e-06,2.3582055757143118e-07,4.9941880831752095e-09,4.989123859806302e-09,7.647362928085494e-11,4.9719494467899434e-11,7.245010094760083e-11,5.4289279264426744e-11,4.5901906787654675e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.1069850467425352e-13,2.1069850467425352e-13,2.1069850467425352e-13,2.1069850467425352e-13,2.1069850467425352e-13,2.1069850467425352e-13
