,Standard_beran,True_proba,Subramanian,NN_MAR,NN_MAR_with_delta,NN_two_steps,NN_two_steps_with_delta,Standard_Beran_delta_obs_only
0,0.00018212929035312946,0.00010942821794945823,5.248518734796302e-05,7.66395750312183e-05,5.8936464116173586e-05,4.427180238678859e-05,3.4082356620744454e-05,0.00025348331445605894
1,0.0003045583035024539,9.188480396770635e-05,3.8633130665687486e-05,5.939706038550831e-05,3.478369031605228e-05,2.6427157499881206e-05,2.872686869297596e-05,0.0001756427633476534
2,0.0001380402229817922,0.00011067590656134018,2.2685712131689125e-05,6.242666600213497e-05,3.081089586080265e-05,5.061923244279565e-05,3.5643100123795076e-05,7.097413090096807e-05
3,0.00011289219476946358,8.983722329121538e-05,2.915183993092256e-05,7.33753907702307e-05,4.7322905962735745e-05,4.9279201420320364e-05,4.141793193993176e-05,6.144135802508138e-05
4,3.99195164501124e-05,0.00011428109033390523,5.503308772796263e-05,7.329404996420021e-05,5.568740730082986e-05,0.004369656401313229,0.0016205906789927844,0.0002315037134467631
5,0.00014786285469800225,0.00011251371559278041,0.0001119181690168319,0.00015131430292499487,0.00013395853841465953,0.00014234465640461738,0.00012233945531436752,0.00026119346856157453
6,3.5684923850756684e-05,0.00010764898397017384,3.3999440242414495e-05,5.078563333638651e-05,4.1624975384823345e-05,3.517247406096622e-05,3.858430374889036e-05,0.00011904206003430626
7,4.3605496076344384e-05,0.00010369238147477448,7.850133961084154e-05,9.993395459606851e-05,8.148038182125068e-05,8.98045634642695e-05,8.28233232742658e-05,0.0001816676198777878
8,3.883529494770425e-05,8.443661748419693e-05,1.979053143013959e-05,5.540392381700268e-05,3.456652074404117e-05,3.5911113318565315e-05,3.406673364792001e-05,9.381479530388988e-05
9,0.0004472479920519484,9.955593051821475e-05,5.84529355587563e-05,7.755738305834286e-05,6.416515231958805e-05,0.00010902314433622162,6.007088194587666e-05,0.00013159492102801326
10,3.05633100237253e-05,9.445265531709425e-05,4.451883580251022e-05,9.03283766086385e-05,7.285729203014071e-05,4.807074673497062e-05,5.348316017660462e-05,0.00020496806841582496
11,8.725888561055902e-05,0.00010920990187750129,0.00013112523665880936,0.0001512097572505453,0.00013067470933019422,0.00013347338665461748,0.00012646132460803093,0.00017151888836821423
12,0.00024740216916194663,0.00012058255991574687,3.841863744023613e-05,5.627430718029479e-05,3.848536746566499e-05,5.197245712817639e-05,4.2465591775248115e-05,0.00011090657670902874
13,4.2086877535230235e-05,0.00010699119557780431,4.7054389601416464e-05,6.0704615325658726e-05,4.010095872564841e-05,2.759441454712439e-05,2.9718248674773772e-05,0.0001624413082434489
14,0.00021527570040933235,9.47684838190307e-05,8.094126346298351e-05,9.911731344048252e-05,7.973097452751101e-05,0.0005216889842610649,6.027433494089531e-05,0.0001848452576605937
15,0.00016929558861988149,0.00010636909938910464,3.2692037746872154e-05,4.2239106594632e-05,2.485808240267168e-05,0.0007471646187466769,0.0001286727165466506,7.093081719886392e-05
16,0.00031711703746038484,8.49824508017031e-05,7.970902495134899e-05,0.00012284069181540478,0.00010249773798979959,0.0002970641548032793,0.0001307406026548684,0.00025265771002924497
17,9.0856690417888e-05,0.00011119249279412574,7.24073266849503e-05,8.879669896861292e-05,7.196500951024737e-05,7.387013938818244e-05,6.991490587520419e-05,0.00011007768365757948
18,5.629900857629572e-05,0.00012287295687735857,0.00012967282995947536,0.0001451176762612614,0.00012690058137313198,0.0001947141371190046,4.787497905379965e-05,0.00020760859705576658
19,4.2171777307907154e-05,0.0001337561884403791,0.00011624654772705289,9.393430936987034e-05,7.617558712220141e-05,0.000724431304388048,0.0001443766055375761,0.00020165127367601936
20,2.1584914460793664e-05,8.672549331043546e-05,4.4698111950391724e-05,5.7286325580198855e-05,3.736926230896284e-05,5.774417192353468e-05,4.698183591440597e-05,0.00012941568910927365
21,0.0001043638286549386,9.342410476715737e-05,2.237262499436533e-05,5.661324046419719e-05,3.371829337282664e-05,0.00038039248117237805,0.0001225455510556577,0.00012620547517299703
22,8.164155775738052e-05,0.00013682608716718525,4.951571695697253e-06,7.455669999391148e-05,2.8866233483919994e-05,0.00022237407452764502,0.00012994853013623944,8.421038791654982e-05
23,3.6388392489387445e-05,8.69864377592066e-05,3.0964514611572163e-05,6.303666315901171e-05,4.8774461166084254e-05,3.911211852641804e-05,3.815471063664515e-05,0.0001416073073887917
24,4.583374464192725e-05,0.00014669068061325883,3.1220190029693034e-05,4.675483349201125e-05,2.4738416593754017e-05,0.0006534660053945457,0.0001803741197045873,4.256352618564002e-05
25,5.91469166635624e-05,8.96390038537017e-05,7.726734141492864e-05,0.00011515870202968785,0.00010225830536833973,0.00020337139121278137,0.00019455857557456943,0.00023931397310861032
26,0.00028134599264440283,0.00013217332517435784,4.418140428385887e-05,4.7949441274489596e-05,3.283370460754546e-05,6.444971665202153e-05,5.8078721060881775e-05,0.00019682082539223804
27,4.214832465334808e-05,0.00012940078368595522,6.86237701591938e-05,9.31781671391674e-05,7.611602369795095e-05,3.184674088699436e-05,4.285197906590545e-05,0.00015814298341417264
28,7.729324173309252e-05,0.00011444471522756602,0.00019420258207395548,0.0001840946125566619,0.00016282850836948066,0.00015808569431867314,0.00015776819916305223,0.000411386547528257
29,0.0002829570915299592,9.426987665739628e-05,2.4583063651875767e-05,4.233108372729783e-05,3.023233998369675e-05,2.6202969826876536e-05,2.633698312493679e-05,8.893506778040068e-05
30,0.0006679611766559607,0.00012109606049994976,1.9913133329433977e-05,3.822246249521463e-05,2.6379260394070417e-05,5.630422335053766e-05,4.7865610873242354e-05,0.00012383668521068422
31,5.692211854167953e-05,0.00012490314904662616,7.212172757064933e-05,4.7701739139403074e-05,2.9825264874171106e-05,2.586510355261051e-05,2.8527263569890736e-05,0.00011454337995204777
32,0.00029080072450665516,9.989405345124684e-05,2.319257304723472e-05,4.099482138015324e-05,2.8173685361328467e-05,3.2097996859096166e-05,3.081804553927612e-05,0.00016927138300824846
33,0.00011566204993307697,0.00012535852931279244,1.4292582377390571e-05,3.607727676144872e-05,1.8055766605807682e-05,3.774013371724436e-05,3.261760292447191e-05,8.681138557972404e-05
34,0.00011365308754290242,0.00013544480190726924,2.6747481158614345e-05,5.750573950535012e-05,3.843133409848347e-05,0.001040913367042853,0.0005166452327985692,0.00026830314827420906
35,0.00011607483703610171,0.00011338805633499478,8.882010294234769e-05,0.00011125787267504939,8.054541510377535e-05,0.002301767225911458,0.0005876344762525908,0.0001763225358522365
36,5.8077176694302086e-05,0.0001279903291288198,6.358576299611882e-05,8.367985166586328e-05,6.0049776499309276e-05,8.613350707612916e-05,6.860784410245768e-05,0.00016006021156232244
37,0.00015822898775442768,9.671934407531818e-05,0.00010222794659743379,9.806692602899748e-05,8.555537745236593e-05,0.0004572504901214467,0.00015018746998261747,0.00021136535691921842
38,0.00023286804715155217,9.389804874729455e-05,3.20412699286683e-05,5.742086520355676e-05,4.0301266905722315e-05,2.2402454653207826e-05,2.776809306089135e-05,9.970123929475575e-05
39,0.00021865442316266673,9.788896673250275e-05,4.232217608947239e-05,6.0302560537735585e-05,5.3058208136283584e-05,5.258934406977516e-05,4.8963345541901914e-05,0.00013519957886209564
40,0.00014981956829988546,0.00014891482335790653,1.3655571479215242e-05,3.9142924059369664e-05,2.4252932356664134e-05,0.016019283388106813,0.0030724014430491137,9.567914963854407e-05
41,3.448031570444558e-05,9.77803142130574e-05,8.420359175296963e-06,6.407912573023155e-05,3.188608559816375e-05,2.6142973915563134e-05,2.1339959432391455e-05,0.0001572873800627971
42,0.0003823404018489429,0.00010975714200539393,3.260013291209904e-05,4.792310027914109e-05,3.072239074953588e-05,2.8470016282451475e-05,1.604962469840278e-05,0.00010514742992817458
43,0.0001265941256346788,9.99955948519392e-05,9.607236904852279e-05,8.060749012880704e-05,6.448753476502701e-05,2.877900428501465e-05,3.210983819125752e-05,0.00020337239014941246
44,4.418843143127209e-05,7.7267860670598e-05,6.153287780515392e-05,8.098500428579737e-05,7.239497166226634e-05,0.004880120856331554,0.001260016759888324,0.0001976444744484152
45,9.844752951524883e-05,7.44755671870864e-05,7.780744863754822e-05,0.00011030492977129262,9.679397825235336e-05,9.208803951553051e-05,8.329050424899209e-05,0.00018603992971840384
46,0.000183259201538362,9.499359952108194e-05,5.538535732008297e-05,7.366805200688496e-05,5.6500434460744105e-05,6.903951300602164e-05,6.307203107014637e-05,0.00020822462741772183
47,5.88859133894745e-05,0.00010081659864151602,2.6979876524049103e-05,7.598603672989862e-05,5.759210669708886e-05,3.578647579016833e-05,3.794097263342597e-05,0.00010956555992466852
48,0.00035824189725690997,9.850654685742684e-05,1.5253672192537968e-05,4.421316672582018e-05,3.6747373082346476e-05,0.007201384850142099,0.0019489315479238874,0.00025290661915135384
49,7.221231915358074e-05,9.994615331293604e-05,4.683199006518433e-05,4.542636075485764e-05,2.6527714299051428e-05,0.001322821162653111,0.00012657613389211348,8.52026082811905e-05
50,2.014672045633668e-05,9.077720132580911e-05,8.12377124795183e-05,9.608022866923459e-05,8.007659312042705e-05,3.974046516456293e-05,4.660366765873279e-05,0.00017054048845260153
51,0.00025992535730040003,0.00010412876289272117,9.21155900435075e-05,6.446071428860022e-05,5.4527636890731094e-05,2.8317801374734994e-05,3.504473602550897e-05,0.00014288287910281481
52,0.0001460264541110635,0.00021637205214008822,1.5828178608526276e-05,4.0327568623193204e-05,1.7782358421567372e-05,1.6746806370545916e-05,1.918539389581009e-05,0.00020272836863165079
53,5.155476403815958e-05,9.787736920166234e-05,4.692235687347381e-05,0.0001048974247310139,8.670894710887075e-05,3.854870970121418e-05,4.9578366437135876e-05,0.00018743814093399565
54,0.00019103143691583287,0.00010642257448866608,5.8426236412267956e-05,7.782009609759574e-05,6.478350463471519e-05,0.00011460175486814187,5.668692066149706e-05,0.00013990093037260557
55,3.240536349044206e-05,8.169376909801107e-05,5.041544512156727e-05,8.104731373184264e-05,5.942867316074147e-05,0.00042875557036796457,6.196874352255363e-05,0.00010095791491845761
56,4.937203514988952e-05,9.972025374225392e-05,3.348680836101372e-05,5.247138584187299e-05,3.436169521166255e-05,6.320675216882053e-05,2.0771796112464622e-05,4.424115148272905e-05
57,8.692143470578544e-05,8.944683811855936e-05,0.00010300643378996186,8.846543082443243e-05,6.803467368126436e-05,5.2361913871465084e-05,5.822671685731487e-05,0.0001499629362694072
58,0.0010918531883784743,9.420916644061646e-05,8.956414579114214e-05,6.928304470915238e-05,4.3794177656059664e-05,0.00566263819991319,0.0016488361021339654,0.00029219402985801234
59,0.00016091158028736904,0.0001883402736471444,2.9782491197997194e-05,4.0677150789195356e-05,2.093556241124993e-05,8.066788457403425e-05,3.907185933111887e-05,0.00010227528505801424
60,0.00015041189862134523,0.00016187838840979013,4.68376628028441e-05,5.5659536175623306e-05,4.0107905995209974e-05,4.6466681060799735e-05,4.2079442274584545e-05,0.00023475861572445485
61,0.0007486883844298369,0.00012550505045549141,2.6727229705302177e-05,7.139124203363469e-05,4.9567064979819765e-05,0.00031874900940299266,0.0001000910051287574,0.00015711885827893329
62,7.583667124042682e-05,0.0001012654608213215,0.00011511346328111178,0.00011343004482689422,0.00010373391102140918,7.005291486660089e-05,7.71375049250985e-05,0.00023247837882009223
63,0.00016910820045720667,0.0001002960070071385,2.148314783758615e-05,6.043127208898233e-05,4.068131702211241e-05,3.4637704978611296e-05,3.232896216335962e-05,0.00011221188151714175
64,5.845988143725343e-05,0.00011107705751976935,5.826172341640651e-05,6.679585071626862e-05,4.81461426647859e-05,5.261625440262877e-05,4.9000997053147156e-05,0.00016347216854288533
65,0.00017695687469951557,8.365641170740166e-05,0.00012646261155368276,0.00011349227000848168,9.518049748336271e-05,0.00010482763770454007,0.00010162739296993657,0.00017678842993956682
66,4.3836572030183683e-05,0.00012048808712679458,2.6194279996834932e-05,4.919742768134589e-05,2.2862345751369195e-05,6.657731539481844e-05,2.317561585381866e-05,6.422296038885726e-05
67,0.00023833671882903556,0.00010161129335601038,6.343357696274211e-05,7.375920062481842e-05,5.734349869945926e-05,7.139960549740615e-05,6.200583724245465e-05,0.00023866487875793887
68,5.1830671354549085e-05,9.301344415636751e-05,8.222582583562781e-05,0.0001084836689630463,9.090071891189963e-05,3.999607111991369e-05,5.451075493134046e-05,0.0002292654408378456
69,6.286177104061342e-05,8.464466321238318e-05,3.67988233717858e-05,8.91763654327072e-05,5.9983502950681514e-05,0.00014411093175809904,2.3502295428010736e-05,6.140326262193607e-05
70,0.000614791521441432,9.166168222252882e-05,2.7659883456141638e-05,5.960807102665791e-05,4.287390445117758e-05,4.309819003530439e-05,3.946079488834079e-05,9.20235462612489e-05
71,0.00024042747772649772,9.665959452957136e-05,1.838410680842499e-05,4.533968072829981e-05,2.380707717368875e-05,3.934505495907508e-05,2.777507284472455e-05,9.43015709493394e-05
72,0.000175399264668568,0.0001713739557927038,2.670060508511066e-05,3.2557687698944435e-05,1.354515484075207e-05,9.573647054163936e-05,3.967152039736202e-05,7.250248474285915e-05
73,0.0006011496320447672,0.00010777997404170055,3.589804705299809e-05,3.9230525607367704e-05,2.6457450037688384e-05,5.075752569893458e-05,4.941412724688498e-05,0.0003078636183385036
74,0.0002787877335015261,0.00011471550220241223,0.00010517105225664366,6.315454220195888e-05,5.337407054524563e-05,0.0009708446333045591,0.0004574440296097935,0.0002902151852889998
75,0.0004449436524892798,0.00012831807854680335,5.504725519201881e-05,5.29990118149631e-05,3.931154159903293e-05,4.0801123026840144e-05,4.342982120991455e-05,0.00021422513046175882
76,3.9687807046699456e-05,0.000120687695555841,8.604638903119793e-05,0.00014532999021183896,9.21218727311609e-05,0.0002203691975247931,4.039226358655584e-05,0.00013020711439452656
77,0.00013821770317244328,0.00012205130531703962,2.4392538016278328e-05,4.655580215393538e-05,2.896481569859808e-05,0.0009261717348354441,0.00019003156344592865,0.00014223245419868602
78,0.0003003101636513508,0.00011603095373889066,6.528780717801066e-05,6.230301959288218e-05,5.488535059985982e-05,5.6767821873671076e-05,5.923448029293741e-05,0.00018479409520283477
79,4.2325046519267e-05,0.00013032758245967588,9.069224492927298e-05,0.00010280603398007465,8.241252370572298e-05,0.00016588292262529502,3.538526297249579e-05,0.0001438249727041221
80,7.10259019586827e-05,9.774127810771809e-05,8.206877544085476e-05,9.191488333698811e-05,7.582487125701313e-05,0.0015100795399247407,0.0002198390431234925,0.00014171479714619406
81,0.00010875084962378985,0.0001014992762333248,3.65151463993639e-05,8.012154455318956e-05,5.796013888012705e-05,6.228137751281365e-05,5.161845090810907e-05,0.0001553567011471547
82,0.00014141682498527107,8.543383555581712e-05,7.605387744996972e-05,6.020993196264327e-05,3.545613399099552e-05,0.00162552032215533,0.0003927727048393254,0.0001397609544233
83,0.00017706440933816308,8.784752561455717e-05,9.682048393384083e-05,7.720591460611897e-05,6.159076626247078e-05,5.030865722105598e-05,5.4413540434118066e-05,0.00010910008610951703
84,3.781558079669849e-05,9.018859460318326e-05,0.00014237646966607672,0.00013800995866138243,0.00011744156115307408,5.8958387321805597e-05,7.875168669691986e-05,0.0003468004497260264
