,t,true_cdf_0.3,Standard_beran_cdf_0.3,True_proba_cdf_0.3,LogisticRegression_cdf_0.3,NN_BCE_cdf_0.3,NN_MSEloss_cdf_0.3,RandomForest_cdf_0.3,KNN_cdf_0.3,Standard_beran_mise_0.3,True_proba_mise_0.3,LogisticRegression_mise_0.3,NN_BCE_mise_0.3,NN_MSEloss_mise_0.3,RandomForest_mise_0.3,KNN_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,True_proba_cdf_0.5,LogisticRegression_cdf_0.5,NN_BCE_cdf_0.5,NN_MSEloss_cdf_0.5,RandomForest_cdf_0.5,KNN_cdf_0.5,Standard_beran_mise_0.5,True_proba_mise_0.5,LogisticRegression_mise_0.5,NN_BCE_mise_0.5,NN_MSEloss_mise_0.5,RandomForest_mise_0.5,KNN_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,True_proba_cdf_0.7,LogisticRegression_cdf_0.7,NN_BCE_cdf_0.7,NN_MSEloss_cdf_0.7,RandomForest_cdf_0.7,KNN_cdf_0.7,Standard_beran_mise_0.7,True_proba_mise_0.7,LogisticRegression_mise_0.7,NN_BCE_mise_0.7,NN_MSEloss_mise_0.7,RandomForest_mise_0.7,KNN_mise_0.7
0,-0.6699417314429622,2.5542391551819243e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5241376618655565e-12,6.5241376618655565e-12,6.5241376618655565e-12,6.5241376618655565e-12,6.5241376618655565e-12,6.5241376618655565e-12,6.5241376618655565e-12,1.986028850424262e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.944310594716862e-14,3.944310594716862e-14,3.944310594716862e-14,3.944310594716862e-14,3.944310594716862e-14,3.944310594716862e-14,3.944310594716862e-14,8.419902731496691e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.089476200785603e-17,7.089476200785603e-17,7.089476200785603e-17,7.089476200785603e-17,7.089476200785603e-17,7.089476200785603e-17,7.089476200785603e-17
1,-0.6369306943266415,4.288599511790204e-06,2.2854690104161634e-06,2.3307500936633364e-06,5.54466429192968e-07,2.3307500936633364e-06,2.3307306630513835e-06,2.1068345922606757e-06,1.9569238211270877e-06,2.7738524913445288e-08,2.85355509556205e-08,1.5622063261701185e-09,2.85355509556205e-08,2.8534996345755718e-08,2.3437789736066566e-08,1.9695530332040484e-08,3.520030965360667e-07,4.951835795543591e-07,4.007227514892686e-07,1.1637451368810003e-07,4.007227514892686e-07,4.0071797769704043e-07,4.5532146488521666e-07,3.258661099466043e-07,1.4307951436897737e-09,1.243597665661653e-09,7.230170036289562e-11,1.243597665661653e-09,1.243564364353504e-09,1.200275000852748e-09,8.010213068357326e-10,1.5862160107057237e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.516081232619789e-16,2.516081232619789e-16,2.516081232619789e-16,2.516081232619789e-16,2.516081232619789e-16,2.516081232619789e-16,2.516081232619789e-16
2,-0.6039196572103208,7.117356867765044e-06,2.2854690104161634e-06,2.3307500936633364e-06,5.54466429192968e-07,2.3307500936633364e-06,2.3307306630513835e-06,2.1068345922606757e-06,1.9569238211270877e-06,2.7757859521900906e-08,2.855462938568147e-08,1.5913341071993594e-09,2.855462938568147e-08,2.8554074885745664e-08,2.3458134971377828e-08,1.9716723689744913e-08,6.166279140753481e-07,4.951835795543591e-07,4.007227514892686e-07,1.1637451368810003e-07,4.007227514892686e-07,4.0071797769704043e-07,4.5532146488521666e-07,3.258661099466043e-07,1.4307893917654073e-09,1.2436419070961792e-09,7.249643299841923e-11,1.2436419070961792e-09,1.2436086083145581e-09,1.2002903459381334e-09,8.011051661204646e-10,2.953277190652521e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.721846164827995e-16,8.721846164827995e-16,8.721846164827995e-16,8.721846164827995e-16,8.721846164827995e-16,8.721846164827995e-16,8.721846164827995e-16
3,-0.5709086200940001,1.1675613976586121e-05,5.364561024065939e-06,5.329416036823354e-06,1.303132011562602e-06,5.423588946532809e-06,5.398092600482052e-06,5.298454717759538e-06,4.589119793603147e-06,5.944797534976488e-08,6.813048902850915e-08,4.483224947125681e-09,7.062050396313089e-08,7.023228990156623e-08,6.316204750209858e-08,5.6770047564767235e-08,1.067633512827746e-06,1.2265509502948136e-06,6.691324871760384e-07,2.238465510507992e-07,1.0266661737481809e-06,9.362767147454543e-07,1.0424254334946204e-06,5.560387030641656e-07,3.204725987526589e-09,1.4917208544578454e-09,1.3376936013729775e-10,2.6874021150895047e-09,2.2377115847629698e-09,2.415708399581957e-09,1.0113753423241333e-09,5.4342268184063294e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9530821113881478e-15,2.9530821113881478e-15,2.9530821113881478e-15,2.9530821113881478e-15,2.9530821113881478e-15,2.9530821113881478e-15,2.9530821113881478e-15
4,-0.5378975829776794,1.893247332849673e-05,1.628886147034668e-05,1.6796605143736675e-05,5.0033141794628365e-06,1.7002217439754496e-05,1.6657631266549233e-05,1.580616499044494e-05,1.4667921344535962e-05,2.1845354687328724e-07,2.657525933998627e-07,2.9402473539456586e-08,2.7107602735826424e-07,2.6145996291362984e-07,2.3024155597264505e-07,2.620581811805257e-07,1.8270500438089097e-06,4.761626293790422e-06,3.825098047665154e-06,1.1623550131510728e-06,4.119517588832112e-06,3.826244919210809e-06,3.892098451881365e-06,2.5101536320749074e-06,2.1995261749188714e-08,1.851877341764111e-08,1.8776439680925776e-09,1.9397355361879572e-08,1.8087106401261036e-08,1.6658280235792578e-08,1.0775719551066078e-08,9.882533034299132e-08,2.457077376253913e-06,3.0969794801317562e-06,4.885718660684657e-07,2.2895276771107697e-06,2.2895171757117194e-06,2.0273729953945495e-06,1.5654830438151412e-06,4.761952290790873e-08,8.88637598626928e-08,1.6383854306822599e-09,4.7262670468606484e-08,4.7262214216117074e-08,3.6869454674478026e-08,2.257622681058562e-08
5,-0.5048865458613587,3.0346670311129554e-05,3.207812233537186e-05,3.264725697423787e-05,9.369569614635808e-06,3.27352233662592e-05,3.268782348972009e-05,2.9767248966631167e-05,2.6062850167105056e-05,4.4810079109410055e-07,5.355820660344771e-07,5.70803277822404e-08,5.425170752565569e-07,5.43696276980776e-07,4.499967198157583e-07,4.238882805517241e-07,3.0904036230580554e-06,1.0528733385001543e-05,9.011330767879023e-06,2.4397374618369104e-06,9.311251181957403e-06,9.064864192676348e-06,8.437340428730533e-06,5.664080117129922e-06,5.707338782234764e-08,5.0014316510449115e-08,4.0260953133002666e-09,5.0707689099458625e-08,5.458708768617751e-08,4.050651022627824e-08,2.8580263004546998e-08,1.7762386518979816e-07,2.859916868709966e-06,3.3965328614860903e-06,5.018568057166606e-07,2.5890810584651037e-06,2.3949081664280226e-06,2.2902209892486037e-06,1.6102687886154875e-06,4.837581545021267e-08,8.951330804299158e-08,1.6400903937503432e-09,4.791234590094334e-08,4.7317589615393694e-08,3.737109450341087e-08,2.2596043598175005e-08
6,-0.47187550874503803,4.808402263264303e-05,4.9005186947520164e-05,4.951917636348288e-05,1.4667702774997504e-05,4.8376096887746075e-05,4.814877174657743e-05,4.390538352835891e-05,3.9742702620980806e-05,6.508554775738736e-07,7.893065732756501e-07,8.430258653704986e-08,7.570837132707643e-07,7.556464548014606e-07,6.129828907540178e-07,6.143461757711116e-07,5.166830022644021e-06,1.9112258006337844e-05,1.6475418562338927e-05,4.530110405173604e-06,1.687491190912056e-05,1.6357215038235607e-05,1.5182488115145353e-05,1.1131410800337693e-05,1.219137679258664e-07,1.1741754872856254e-07,8.863668168398174e-09,1.169894349758456e-07,1.1435056604265356e-07,8.755679447171978e-08,6.922540404063873e-08,3.155315125972483e-07,5.71102475246299e-06,6.261478482438243e-06,1.059600706981223e-06,5.539752236873186e-06,4.89684893053296e-06,4.642228342600896e-06,3.0496004053122473e-06,7.223178239059073e-08,1.2042892941846816e-07,2.6966256758913135e-09,7.890155107981861e-08,7.083615997065966e-08,5.5455472483951984e-08,3.0944648243536455e-08
7,-0.43886447162871733,7.53159886821087e-05,7.257721651148508e-05,7.860407195401663e-05,2.2859131669443356e-05,7.875215374919165e-05,7.921141189069108e-05,7.106233516629192e-05,6.17222084884392e-05,1.0955089583680507e-06,1.6393813380794968e-06,1.734726875986485e-07,1.6518858894503903e-06,1.6364915164465975e-06,1.3032504565114687e-06,1.0933685989856736e-06,8.538576636035864e-06,2.931615172004065e-05,2.666514994675011e-05,7.303802918497193e-06,2.6992556002495138e-05,2.645364802810225e-05,2.439476868179652e-05,1.8922926605728042e-05,2.0241020884933244e-07,2.2657252518908057e-07,1.6927150832489056e-08,2.2766036910590437e-07,2.2473418791772578e-07,1.7763629026542808e-07,1.498411255917643e-07,5.539858912007638e-07,7.527906341880919e-06,7.753517220328099e-06,1.4474405599947171e-06,6.985154927072179e-06,6.6123792362295485e-06,5.954647367583399e-06,3.805568013042193e-06,7.977052475879996e-08,1.2654691030956023e-07,3.119360557051483e-09,8.499005477109564e-08,7.890041852566087e-08,6.019705753564625e-08,3.2739701578342484e-08
8,-0.40585343451239664,0.00011662225863172272,0.00010388942882302893,0.00011409769003637665,3.594925186480432e-05,0.00011231160687787912,0.00011310089274869636,0.00010178437487213614,8.960509031379683e-05,1.497125933576822e-06,2.223878583133519e-06,2.731438699690787e-07,2.142956368167457e-06,2.1768333213056194e-06,1.7381650911181618e-06,1.5326831065934104e-06,1.3947864360559683e-05,4.287229430077556e-05,3.950360808373263e-05,1.1293293117866676e-05,4.051490681893313e-05,4.0156045469959666e-05,3.682468810889157e-05,2.9211530218808267e-05,3.018802352175371e-07,3.2945907790112545e-07,2.595934628706543e-08,3.481204734431151e-07,3.5087669764585686e-07,2.783970092128636e-07,2.2481601167807977e-07,9.613370921715944e-07,1.111469299547041e-05,1.0687227074534123e-05,2.0756572979820253e-06,1.081960332070474e-05,1.0235337112249832e-05,9.174959592410404e-06,5.742936362628426e-06,1.1744425084238893e-07,1.6040761836345287e-07,3.995405522980351e-09,1.3823327496956773e-07,1.2985486995063095e-07,9.883999756145491e-08,5.620886415608286e-08
9,-0.37284239739607594,0.00017852355456196464,0.0001570896513537033,0.00016966564353316358,5.5561226125163745e-05,0.00016669783211334776,0.00016730050480529774,0.00015365414815285327,0.0001377829069410709,2.539400558815241e-06,3.526681398894716e-06,4.66676563228811e-07,3.322590396232198e-06,3.388436408015364e-06,2.915080962143038e-06,2.7702173537689843e-06,2.2521637787772753e-05,6.612843885320093e-05,6.150819822610555e-05,1.769829826331585e-05,6.255049699620462e-05,6.153385163789926e-05,5.589309392090023e-05,4.361478201015063e-05,5.050236964150065e-07,5.507245845492377e-07,4.335157365152563e-08,5.502515694173803e-07,5.494172946605881e-07,4.279240796003463e-07,3.5142495454836027e-07,1.6488477764246588e-06,1.8109137731003146e-05,1.653458925072134e-05,3.679688473461451e-06,1.7007420234903447e-05,1.629165492540835e-05,1.4636709077548781e-05,9.157685935176218e-06,1.7090608669242773e-07,2.0714703417526844e-07,7.520877871151913e-09,1.8617977597785506e-07,1.7715288271953153e-07,1.3379277648521474e-07,7.46133453784158e-08
10,-0.33983136027975525,0.0002701730939027064,0.00022070617708537936,0.00023963284036515836,8.103301603878827e-05,0.00023510556332367915,0.00023565504114375586,0.0002145102460181731,0.0001947784766257124,3.5543835175797755e-06,4.9869449125844865e-06,6.855590753585623e-07,4.719445827618414e-06,4.783640311517775e-06,4.019575140726716e-06,4.024801497477566e-06,3.5947762993381875e-05,9.033621842566541e-05,8.323092582576612e-05,2.5352779172516483e-05,8.51967819425485e-05,8.366572823958718e-05,7.589300990197068e-05,5.916093110983692e-05,6.48689341561995e-07,7.00521753413638e-07,6.275007048815368e-08,7.056668663294934e-07,6.967726768139683e-07,5.450963704571921e-07,4.6336822374175243e-07,2.7952490418795775e-06,2.5775417166340896e-05,2.1898346574668137e-05,5.816309422948296e-06,2.3724997804524527e-05,2.2518120447615708e-05,2.0421654209837948e-05,1.231527511155377e-05,2.1496721448426682e-07,2.5034241271600216e-07,1.3684994256849092e-08,2.3524475579564166e-07,2.2007450472454832e-07,1.66915414131388e-07,9.159723967168442e-08
