,Standard_beran,True_proba,LogisticRegression,NN_BCE,NN_MSEloss,RandomForest,KNN
9334,0.0002373894000446113,0.00017400930557862537,0.00019903881560210616,0.00023714389899583295,0.0002537123953768052,0.00023016564447650328,0.00021035258756858734
9335,0.00014344061815076896,0.00021581265644681172,0.00010543103670173424,0.00012574180152800368,0.00011473118903065229,0.0001413938858132267,0.00017105466293669864
9336,0.00017867667399291222,0.0001358846234525961,0.0001398086398960727,0.00017666877323243297,0.00019712977595717844,0.00017745680942396486,0.00017165799586468382
9337,0.0017393971683283508,0.001260014673149467,0.0008969701007865053,0.0007807536306942154,0.0010817575388154625,0.0007017595016570748,0.001834409995397946
9338,0.0008673436455962572,0.0012935091600274169,0.0014024941795419453,0.0014013231130169208,0.0014805100117870349,0.0007828145863248277,0.0016141402601100253
9339,0.000892637479512199,0.0004465863193267223,0.00034302761321247915,0.0005015418046278586,0.00042332371951004494,0.00046145562667595,0.0004521223891685793
9340,0.0002644445310452588,6.927131788628069e-05,8.901347800887381e-05,0.00011984441575597584,9.105298476636818e-05,9.03762921603219e-05,7.882519210079188e-05
9341,0.0004242513115654977,0.0004826006784865736,0.00040552810281481655,0.0004464978273804554,0.00042801728024646063,0.00044672080474731637,0.0004053403535420988
9342,0.00011856738499814894,0.00011591308889300822,7.717255530490484e-05,8.40822558488097e-05,8.277941397433918e-05,0.0001087380827048289,0.00010581745802649409
9343,0.0003408016176390838,0.00023864666002527287,0.00016153271290617288,0.00018835013160044527,0.00017108897257526803,0.00018538498644116614,0.0001540361317188115
9344,0.00030789235733111797,0.00021710279425476116,0.0002661873842577404,0.00029407884648300974,0.0003712569819684425,0.00027375931131401856,0.00030893600086910535
9345,0.0006261951098338208,0.0005405414273920879,0.0006150082336528165,0.0009148703739015017,0.0008597813084488244,0.0009568985885072737,0.0009599883487819886
9346,0.0001277019035844734,0.0002608515564587292,0.00010824230011461386,0.0001401145009332631,0.00014405593046991057,0.00014709711105183491,0.000122538288508896
9347,9.498376219292917e-05,0.0001430858838086859,9.781512299865762e-05,9.66202794662732e-05,8.901626094816274e-05,9.294269704694896e-05,0.00010272295386324635
9348,0.00016847159421968375,0.00011494057935685965,9.211597199922809e-05,0.00012416680858378336,0.00012284155690202506,0.00011728416894201897,0.00012468692860109805
9349,0.00012896447446040927,0.00036269005175155333,0.00031663527139668015,0.00031188331996698996,0.00028523135983855624,0.00041666685958563607,0.0004588241913690395
9350,0.00034621207672714155,9.954719106562898e-05,0.0002300343247632462,0.0002803733988298766,0.0002860398989271415,0.00029623936352205947,0.0002612223373620777
9351,0.00024562197070162966,0.0004016274290076322,0.00027019439330225765,0.00024416293760517717,0.00024316546858789182,0.0002427131938278036,0.00023057114156262257
9352,0.0005970831695415003,0.00014851317023140923,0.0001237308069527666,0.00010915826249481207,0.00012172743369192338,0.00010327619700732182,0.0001197321331143492
9353,0.00044475947319901814,0.0002852269121643242,0.0004316787011272588,0.0005174105813763788,0.00045589415082969534,0.0004539839378901216,0.0004544178490245486
9354,0.0024012564557428567,0.000296187437158339,0.00031756025001027446,0.00039952002769507914,0.0003738005793712518,0.00034725066109171513,0.00041648022082942977
9355,0.0004889767827644121,0.00042451913247984816,0.00044562138074672055,0.000539860732082898,0.0005143107191882142,0.0005222074821149126,0.0005563085988089582
9356,0.00013544109915447245,0.00018790959185383842,9.63677863697938e-05,0.00011374592727988522,0.00011239974226069076,0.00014222475297593124,0.00012894633306568336
9357,0.00018073855498481465,9.206508911463725e-05,0.00010824284822032263,0.00016490692923130292,0.0001738453328347128,0.00017597604884772323,0.0002407455153051725
9358,0.0006756331261596339,0.0002161700030992396,0.00031214298193493897,0.0006022193825291896,0.000521564866198442,0.0005797772727994207,0.0003514034728376648
9359,0.00038826682080222525,0.00023795827869457716,0.00033506023734817137,0.0003587365719978417,0.0003813575506020445,0.0003695544694311973,0.000305027161792071
9360,0.0005812623993000439,0.00017834216791033953,0.0002028348840594446,0.000485973358366489,0.00035510652192004575,0.0002706905169598892,0.0003092497527152519
9361,0.00030020837708617906,0.0004611278812398357,0.0004838053457771949,0.0004857976693031003,0.0004963254295551944,0.00028700074590736217,0.0005689122834963822
9362,0.00018214588110668258,0.00016278989738793316,0.00018233592856221908,0.00016901074427645683,0.00016158155120783155,0.00017519463668719796,0.00016803194946198073
9363,0.00018665433527626342,0.00019734888162391834,0.0001859794719821147,0.00016033472163775524,0.00015473991309629775,0.0001867150501457733,0.00018749417277838008
9364,0.0012527628673842113,0.000282959917735706,0.00026674091924346765,0.0005667136999974791,0.0005142205411222651,0.0005204855159927032,0.0005361336391856306
9365,0.0003494116641480504,0.0002899673849325237,0.00030644170880418463,0.0003404302620038955,0.00034598942726340857,0.0003379012120813296,0.00036948715488930326
9366,0.0005208155260375526,0.00029851272748211347,0.00045808174825634707,0.0003551621144232438,0.0003912473583898041,0.00039215839246759047,0.0004152086651519411
9367,0.00023967352454973205,0.000867349638945454,0.0009297459006008119,0.0007927179598090778,0.00075276555892112,0.0002283224352019137,0.0009602531540942615
9368,0.00019580428876465086,0.00012148987157598834,0.00016656640235148757,0.00015708781989108255,0.0001765027713704126,0.00018590535498267245,0.00019493714270746337
9369,0.0001817743033121721,0.00024539975956029605,0.00019718588990080694,0.00034108021237085805,0.0003432164286306811,0.00029099781831615294,0.0003379010050611913
9370,0.0001341757701014104,0.00015257381114738478,0.00014043772698359099,0.0001402841408137209,0.00014538722408291072,0.00016732479721860886,0.0001731006409118826
9371,0.0001706760452800634,0.00013834606687947257,0.00010402084938077997,0.00015982668370115424,0.00014289638796848492,0.00016660551145613662,0.00016893825005659431
9372,0.00020630426042818096,8.735893655067086e-05,0.00015915196158147266,0.00018468106911206694,0.0001837791248762575,0.0001979749316067209,0.00021958521942694025
9373,0.00151774500106023,0.00028157214097881343,0.0002894231188091659,0.0005674435336027989,0.00042152504024804075,0.0003078761014205764,0.00035819455736540957
9374,0.00033751549067025696,0.0003697349507845107,0.00018269013267540986,0.00015847785553949303,0.0001676243057797279,0.00016576119824872272,0.00016300597781981717
9375,0.0001558566184501893,0.00010167586358427533,0.00013628061245617905,0.0001571110251462336,0.0001451958717128532,0.00015440702099023002,0.0001615426473392137
9376,0.0004769147266065462,0.00023858536939135434,0.0003421436915621744,0.000345530906334897,0.00041681869531040296,0.00032367321016931263,0.00041017493776350294
